,CRTX
2019-05-09,32.88999938964844
2019-05-10,23.860000610351562
2019-05-13,23.899999618530273
2019-05-14,24.0
2019-05-15,25.0
2019-05-16,25.149999618530273
2019-05-17,26.0
2019-05-20,26.09000015258789
2019-05-21,27.31999969482422
2019-05-22,27.350000381469727
2019-05-23,27.489999771118164
2019-05-24,27.360000610351562
2019-05-28,26.860000610351562
2019-05-29,26.270000457763672
2019-05-30,26.649999618530273
2019-05-31,25.670000076293945
2019-06-03,24.1299991607666
2019-06-04,24.600000381469727
2019-06-05,24.399999618530273
2019-06-06,25.729999542236328
2019-06-07,24.969999313354492
2019-06-10,25.600000381469727
2019-06-11,26.059999465942383
2019-06-12,27.520000457763672
2019-06-13,31.420000076293945
2019-06-14,31.40999984741211
2019-06-17,38.220001220703125
2019-06-18,42.0
2019-06-19,40.970001220703125
2019-06-20,36.18000030517578
2019-06-21,35.88999938964844
2019-06-24,35.5
2019-06-25,38.04999923706055
2019-06-26,38.61000061035156
2019-06-27,39.79999923706055
2019-06-28,42.5099983215332
2019-07-01,45.279998779296875
2019-07-02,40.310001373291016
2019-07-03,40.06999969482422
2019-07-05,37.58000183105469
2019-07-08,37.849998474121094
2019-07-09,40.5099983215332
2019-07-10,40.599998474121094
2019-07-11,41.7400016784668
2019-07-12,41.29999923706055
2019-07-15,41.4900016784668
2019-07-16,38.79999923706055
2019-07-17,40.0
2019-07-18,41.0
2019-07-19,41.900001525878906
2019-07-22,41.88999938964844
2019-07-23,41.54999923706055
2019-07-24,41.0
2019-07-25,41.79999923706055
2019-07-26,35.11000061035156
2019-07-29,36.95000076293945
2019-07-30,34.720001220703125
2019-07-31,35.400001525878906
2019-08-01,35.599998474121094
2019-08-02,33.0
2019-08-05,29.170000076293945
2019-08-06,31.399999618530273
2019-08-07,30.739999771118164
2019-08-08,27.780000686645508
2019-08-09,27.690000534057617
2019-08-12,29.6200008392334
2019-08-13,29.760000228881836
2019-08-14,29.690000534057617
2019-08-15,28.709999084472656
2019-08-16,26.979999542236328
2019-08-19,26.149999618530273
2019-08-20,25.260000228881836
2019-08-21,24.950000762939453
2019-08-22,24.479999542236328
2019-08-23,23.780000686645508
2019-08-26,23.540000915527344
2019-08-27,22.690000534057617
2019-08-28,22.15999984741211
2019-08-29,22.110000610351562
2019-08-30,19.850000381469727
2019-09-03,21.18000030517578
2019-09-04,22.25
2019-09-05,23.010000228881836
2019-09-06,23.219999313354492
2019-09-09,21.079999923706055
2019-09-10,22.1200008392334
2019-09-11,25.40999984741211
2019-09-12,28.239999771118164
2019-09-13,28.399999618530273
2019-09-16,25.6200008392334
2019-09-17,26.530000686645508
2019-09-18,24.190000534057617
2019-09-19,23.989999771118164
2019-09-20,26.979999542236328
2019-09-23,27.690000534057617
2019-09-24,27.280000686645508
2019-09-25,25.420000076293945
2019-09-26,24.600000381469727
2019-09-27,24.649999618530273
2019-09-30,24.93000030517578
2019-10-01,24.459999084472656
2019-10-02,22.790000915527344
2019-10-03,23.18000030517578
2019-10-04,23.389999389648438
2019-10-07,23.040000915527344
2019-10-08,23.360000610351562
2019-10-09,22.81999969482422
2019-10-10,23.43000030517578
2019-10-11,23.469999313354492
2019-10-14,23.579999923706055
2019-10-15,23.010000228881836
2019-10-16,23.06999969482422
2019-10-17,23.170000076293945
2019-10-18,21.760000228881836
2019-10-21,21.299999237060547
2019-10-22,22.5
2019-10-23,23.0
2019-10-24,22.510000228881836
2019-10-25,21.389999389648438
2019-10-28,21.540000915527344
2019-10-29,21.219999313354492
2019-10-30,20.8799991607666
2019-10-31,20.770000457763672
2019-11-01,21.190000534057617
2019-11-04,20.950000762939453
2019-11-05,21.030000686645508
2019-11-06,21.520000457763672
2019-11-07,23.239999771118164
2019-11-08,24.459999084472656
2019-11-11,23.5
2019-11-12,22.670000076293945
2019-11-13,23.149999618530273
2019-11-14,23.09000015258789
2019-11-15,23.40999984741211
2019-11-18,27.559999465942383
2019-11-19,24.81999969482422
2019-11-20,25.610000610351562
2019-11-21,25.09000015258789
2019-11-22,25.229999542236328
2019-11-25,25.950000762939453
2019-11-26,25.8700008392334
2019-11-27,26.0
2019-11-29,26.25
2019-12-02,28.350000381469727
2019-12-03,28.34000015258789
2019-12-04,31.8700008392334
2019-12-05,34.29999923706055
2019-12-06,28.309999465942383
2019-12-09,31.90999984741211
2019-12-10,32.66999816894531
2019-12-11,33.36000061035156
2019-12-12,35.18000030517578
2019-12-13,39.04999923706055
2019-12-16,40.689998626708984
2019-12-17,42.2400016784668
2019-12-18,43.560001373291016
2019-12-19,47.369998931884766
2019-12-20,66.08000183105469
2019-12-23,68.91000366210938
2019-12-24,64.5
2019-12-26,61.2400016784668
2019-12-27,60.0099983215332
2019-12-30,56.130001068115234
2019-12-31,56.13999938964844
2020-01-02,53.25
2020-01-03,48.5
2020-01-06,43.880001068115234
2020-01-07,42.650001525878906
2020-01-08,43.13999938964844
2020-01-09,47.900001525878906
2020-01-10,48.84000015258789
2020-01-13,49.15999984741211
2020-01-14,51.40999984741211
2020-01-15,58.84000015258789
2020-01-16,62.619998931884766
2020-01-17,58.63999938964844
2020-01-21,58.31999969482422
2020-01-22,56.75
2020-01-23,58.880001068115234
2020-01-24,57.0
2020-01-27,54.599998474121094
2020-01-28,55.0
2020-01-29,51.90999984741211
2020-01-30,51.83000183105469
2020-01-31,46.9900016784668
2020-02-03,48.060001373291016
2020-02-04,46.2599983215332
2020-02-05,45.63999938964844
2020-02-06,54.849998474121094
2020-02-07,50.97999954223633
2020-02-10,52.150001525878906
2020-02-11,53.59000015258789
2020-02-12,61.06999969482422
2020-02-13,64.0999984741211
2020-02-14,72.51000213623047
2020-02-18,70.87999725341797
2020-02-19,58.970001220703125
2020-02-20,60.150001525878906
2020-02-21,60.08000183105469
2020-02-24,55.63999938964844
2020-02-25,54.380001068115234
2020-02-26,52.40999984741211
2020-02-27,50.65999984741211
2020-02-28,50.25
2020-03-02,49.099998474121094
2020-03-03,45.25
2020-03-04,46.13999938964844
2020-03-05,43.5
2020-03-06,40.810001373291016
2020-03-09,38.15999984741211
2020-03-10,39.95000076293945
2020-03-11,37.02000045776367
2020-03-12,29.010000228881836
2020-03-13,33.7400016784668
2020-03-16,30.739999771118164
2020-03-17,36.04999923706055
2020-03-18,37.5099983215332
2020-03-19,40.869998931884766
2020-03-20,41.040000915527344
2020-03-23,39.02000045776367
2020-03-24,44.15999984741211
2020-03-25,43.52000045776367
2020-03-26,45.9900016784668
2020-03-27,44.08000183105469
2020-03-30,45.790000915527344
2020-03-31,45.61000061035156
2020-04-01,43.540000915527344
2020-04-02,37.2599983215332
2020-04-03,34.93000030517578
2020-04-06,38.79999923706055
2020-04-07,36.2400016784668
2020-04-08,40.54999923706055
2020-04-09,40.279998779296875
2020-04-13,40.900001525878906
2020-04-14,43.09000015258789
2020-04-15,41.25
2020-04-16,39.439998626708984
2020-04-17,41.599998474121094
2020-04-20,42.08000183105469
2020-04-21,41.720001220703125
2020-04-22,44.81999969482422
2020-04-23,44.22999954223633
2020-04-24,44.790000915527344
2020-04-27,46.29999923706055
2020-04-28,45.54999923706055
2020-04-29,46.040000915527344
2020-04-30,45.619998931884766
2020-05-01,44.47999954223633
2020-05-04,45.27000045776367
2020-05-05,46.11000061035156
2020-05-06,45.75
2020-05-07,47.150001525878906
2020-05-08,46.04999923706055
2020-05-11,46.060001373291016
2020-05-12,45.779998779296875
2020-05-13,45.040000915527344
2020-05-14,45.880001068115234
2020-05-15,55.0099983215332
2020-05-18,57.75
2020-05-19,56.09000015258789
2020-05-20,56.59000015258789
2020-05-21,56.47999954223633
2020-05-22,55.08000183105469
2020-05-26,47.599998474121094
2020-05-27,47.2400016784668
2020-05-28,43.5099983215332
2020-05-29,46.09000015258789
2020-06-01,44.439998626708984
2020-06-02,44.22999954223633
2020-06-03,42.18000030517578
2020-06-04,44.099998474121094
2020-06-05,41.470001220703125
2020-06-08,41.72999954223633
2020-06-09,46.369998931884766
2020-06-10,45.22999954223633
2020-06-11,44.91999816894531
2020-06-12,44.970001220703125
2020-06-15,46.97999954223633
2020-06-16,51.38999938964844
2020-06-17,50.59000015258789
2020-06-18,51.380001068115234
2020-06-19,51.150001525878906
2020-06-22,50.75
2020-06-23,49.2599983215332
2020-06-24,48.0
2020-06-25,50.5
2020-06-26,47.150001525878906
2020-06-29,45.0
2020-06-30,46.29999923706055
2020-07-01,47.5099983215332
2020-07-02,45.88999938964844
2020-07-06,46.709999084472656
2020-07-07,46.2400016784668
2020-07-08,47.22999954223633
2020-07-09,45.79999923706055
2020-07-10,45.75
2020-07-13,41.47999954223633
2020-07-14,44.279998779296875
2020-07-15,45.16999816894531
2020-07-16,43.189998626708984
2020-07-17,44.36000061035156
2020-07-20,44.38999938964844
2020-07-21,44.11000061035156
2020-07-22,44.20000076293945
2020-07-23,43.189998626708984
2020-07-24,42.720001220703125
2020-07-27,42.58000183105469
2020-07-28,41.38999938964844
