,BIOX
2018-03-22,9.600000381469727
2018-03-23,9.640000343322754
2018-03-26,9.640000343322754
2018-03-27,9.600000381469727
2018-03-28,9.600000381469727
2018-03-29,9.579999923706055
2018-04-02,9.619999885559082
2018-04-03,9.579999923706055
2018-04-04,9.649999618530273
2018-04-05,9.649999618530273
2018-04-06,9.649999618530273
2018-04-09,9.670000076293945
2018-04-10,9.699999809265137
2018-04-11,9.699999809265137
2018-04-12,9.649999618530273
2018-04-13,9.645999908447266
2018-04-16,9.680000305175781
2018-04-17,9.680000305175781
2018-04-18,9.609999656677246
2018-04-19,9.649999618530273
2018-04-20,9.649999618530273
2018-04-23,9.649999618530273
2018-04-24,9.640000343322754
2018-04-25,9.680000305175781
2018-04-26,9.649999618530273
2018-04-27,9.649999618530273
2018-04-30,9.649999618530273
2018-05-01,9.649999618530273
2018-05-02,9.649999618530273
2018-05-03,9.699999809265137
2018-05-04,9.720000267028809
2018-05-07,9.720000267028809
2018-05-08,9.720000267028809
2018-05-09,9.720000267028809
2018-05-10,9.720000267028809
2018-05-11,9.699999809265137
2018-05-14,9.680000305175781
2018-05-15,9.649999618530273
2018-05-16,9.649999618530273
2018-05-17,9.649999618530273
2018-05-18,9.65999984741211
2018-05-21,9.65999984741211
2018-05-22,9.550000190734863
2018-05-23,9.550000190734863
2018-05-24,9.670000076293945
2018-05-25,9.670000076293945
2018-05-29,9.640000343322754
2018-05-30,9.699999809265137
2018-05-31,9.699999809265137
2018-06-01,9.699999809265137
2018-06-04,9.652999877929688
2018-06-05,9.652999877929688
2018-06-06,9.652999877929688
2018-06-07,9.652999877929688
2018-06-08,9.652999877929688
2018-06-11,9.652999877929688
2018-06-12,9.640000343322754
2018-06-13,9.640000343322754
2018-06-14,9.640000343322754
2018-06-15,9.640000343322754
2018-06-18,9.640000343322754
2018-06-19,9.630000114440918
2018-06-20,9.630000114440918
2018-06-21,9.630000114440918
2018-06-22,9.630000114440918
2018-06-25,9.670000076293945
2018-06-26,9.699999809265137
2018-06-27,9.699999809265137
2018-06-28,9.699999809265137
2018-06-29,9.6899995803833
2018-07-02,9.670000076293945
2018-07-03,9.670000076293945
2018-07-05,9.670000076293945
2018-07-06,9.670000076293945
