,FLNT
2007-12-28,36.0
2007-12-31,36.0
2008-01-02,35.5
2008-01-03,35.5
2008-01-04,35.70000076293945
2008-01-07,35.70000076293945
2008-01-08,35.70000076293945
2008-01-09,35.70000076293945
2008-01-10,35.79999923706055
2008-01-11,35.849998474121094
2008-01-14,35.75
2008-01-15,35.75
2008-01-16,35.849998474121094
2008-01-17,35.79999923706055
2008-01-18,35.79999923706055
2008-01-22,35.75
2008-01-23,35.79999923706055
2008-01-24,35.79999923706055
2008-01-25,35.70000076293945
2008-01-28,35.75
2008-01-29,35.75
2008-01-30,35.75
2008-01-31,35.79999923706055
2008-02-01,35.79999923706055
2008-02-04,35.79999923706055
2008-02-05,35.75
2008-02-06,35.75
2008-02-07,35.75
2008-02-08,35.75
2008-02-11,35.75
2008-02-12,35.900001525878906
2008-02-13,35.95000076293945
2008-02-14,35.900001525878906
2008-02-15,35.900001525878906
2008-02-19,35.900001525878906
2008-02-20,35.75
2008-02-21,35.75
2008-02-22,35.75
2008-02-25,35.75
2008-02-26,35.75
2008-02-27,35.75
2008-02-28,35.75
2008-02-29,35.75
2008-03-03,35.75
2008-03-04,35.75
2008-03-05,35.599998474121094
2008-03-06,35.79999923706055
2008-03-07,35.5
2008-03-10,35.5
2008-03-11,35.5
2008-03-12,35.5
2008-03-13,35.5
2008-03-14,35.5
2008-03-17,35.54999923706055
2008-03-18,35.54999923706055
2008-03-19,35.54999923706055
2008-03-20,35.54999923706055
2008-03-24,35.54999923706055
2008-03-25,35.75
2008-03-26,35.75
2008-03-27,35.75
2008-03-28,35.5
2008-03-31,35.75
2008-04-01,35.599998474121094
2008-04-02,35.599998474121094
2008-04-03,35.54999923706055
2008-04-04,35.54999923706055
2008-04-07,35.75
2008-04-08,35.75
2008-04-09,35.75
2008-04-10,35.599998474121094
2008-04-11,35.650001525878906
2008-04-14,35.650001525878906
2008-04-15,35.650001525878906
2008-04-16,35.650001525878906
2008-04-17,35.650001525878906
2008-04-18,35.75
2008-04-21,35.75
2008-04-22,35.900001525878906
2008-04-23,35.849998474121094
2008-04-24,35.849998474121094
2008-04-25,35.849998474121094
2008-04-28,35.95000076293945
2008-04-29,35.95000076293945
2008-04-30,35.95000076293945
2008-05-01,36.0
2008-05-02,36.0
2008-05-05,35.75
2008-05-06,35.75
2008-05-07,35.75
2008-05-08,35.75
2008-05-09,35.75
2008-05-12,35.75
2008-05-13,36.20000076293945
2008-05-14,36.20000076293945
2008-05-15,36.20000076293945
2008-05-16,35.70000076293945
2008-05-19,35.70000076293945
2008-05-20,35.70000076293945
2008-05-21,35.70000076293945
2008-05-22,35.70000076293945
2008-05-23,35.849998474121094
2008-05-27,35.849998474121094
2008-05-28,35.849998474121094
2008-05-29,36.099998474121094
2008-05-30,36.099998474121094
2008-06-02,36.099998474121094
2008-06-03,36.29999923706055
2008-06-04,36.25
2008-06-05,36.25
2008-06-06,36.25
2008-06-09,36.25
2008-06-10,36.04999923706055
2008-06-11,36.04999923706055
2008-06-12,36.349998474121094
2008-06-13,36.349998474121094
2008-06-16,36.349998474121094
2008-06-17,36.349998474121094
2008-06-18,36.400001525878906
2008-06-19,36.400001525878906
2008-06-20,36.75
2008-06-23,36.75
2008-06-24,36.75
2008-06-25,36.75
2008-06-26,36.599998474121094
2008-06-27,36.599998474121094
2008-06-30,36.599998474121094
2008-07-01,36.900001525878906
2008-07-02,36.900001525878906
2008-07-03,36.900001525878906
2008-07-07,36.650001525878906
2008-07-08,36.650001525878906
2008-07-09,36.599998474121094
2008-07-10,36.849998474121094
2008-07-11,36.849998474121094
2008-07-14,36.599998474121094
2008-07-15,36.599998474121094
2008-07-16,36.599998474121094
2008-07-17,36.599998474121094
2008-07-18,36.599998474121094
2008-07-21,36.599998474121094
2008-07-22,36.599998474121094
2008-07-23,36.599998474121094
2008-07-24,36.599998474121094
2008-07-25,36.599998474121094
2008-07-28,36.599998474121094
2008-07-29,36.650001525878906
2008-07-30,36.650001525878906
2008-07-31,36.650001525878906
2008-08-01,36.650001525878906
2008-08-04,36.900001525878906
2008-08-05,36.900001525878906
2008-08-06,36.900001525878906
2008-08-07,36.900001525878906
2008-08-08,36.95000076293945
2008-08-11,36.95000076293945
2008-08-12,36.70000076293945
2008-08-13,36.70000076293945
2008-08-14,36.70000076293945
2008-08-15,36.70000076293945
2008-08-18,36.70000076293945
2008-08-19,36.70000076293945
2008-08-20,36.70000076293945
2008-08-21,36.70000076293945
2008-08-22,36.70000076293945
2008-08-25,36.70000076293945
2008-08-26,36.650001525878906
2008-08-27,37.5
2008-08-28,37.5
2008-08-29,37.5
2008-09-02,37.5
2008-09-03,37.5
2008-09-04,37.5
2008-09-05,37.5
2008-09-08,37.0
2008-09-09,37.20000076293945
2008-09-10,37.150001525878906
2008-09-11,37.150001525878906
2008-09-12,37.150001525878906
2008-09-15,37.150001525878906
2008-09-16,37.150001525878906
2008-09-17,36.0
2008-09-18,36.0
2008-09-19,36.0
2008-09-22,36.25
2008-09-23,36.25
2008-09-24,36.25
2008-09-25,36.25
2008-09-26,36.25
2008-09-29,36.25
2008-09-30,35.75
2008-10-01,34.75
2008-10-02,35.349998474121094
2008-10-03,35.0
2008-10-06,33.75
2008-10-07,34.0
2008-10-08,33.75
2008-10-09,34.75
2008-10-10,34.54999923706055
2008-10-13,34.54999923706055
2008-10-14,34.599998474121094
2008-10-15,33.75
2008-10-16,34.150001525878906
2008-10-17,34.45000076293945
2008-10-20,35.0
2008-10-21,35.5
2008-10-22,36.0
2008-10-23,36.0
2008-10-24,36.0
2008-10-27,35.75
2008-10-28,35.5
2008-10-29,35.5
2008-10-30,35.5
2008-10-31,35.25
2008-11-03,35.25
2008-11-04,35.25
2008-11-05,35.5
2008-11-06,35.5
2008-11-07,35.5
2008-11-10,35.5
2008-11-11,35.5
2008-11-12,35.5
2008-11-13,35.75
2008-11-14,35.5
2008-11-17,35.75
2008-11-18,35.75
2008-11-19,35.75
2008-11-20,35.5
2008-11-21,35.75
2008-11-24,36.0
2008-11-25,36.0
2008-11-26,35.95000076293945
2008-11-28,35.5
2008-12-01,35.5
2008-12-02,35.79999923706055
2008-12-03,35.75
2008-12-04,35.5
2008-12-05,35.5
2008-12-08,35.5
2008-12-09,35.54999923706055
2008-12-10,35.70000076293945
2008-12-11,35.75
2008-12-12,35.75
2008-12-15,35.75
2008-12-16,35.75
2008-12-17,35.75
2008-12-18,35.75
2008-12-19,35.75
2008-12-22,35.75
2008-12-23,35.75
2008-12-24,35.650001525878906
2008-12-26,35.650001525878906
2008-12-29,36.0
2008-12-30,35.900001525878906
2008-12-31,36.04999923706055
2009-01-02,36.04999923706055
2009-01-05,36.25
2009-01-06,36.29999923706055
2009-01-07,36.75
2009-01-08,36.75
2009-01-09,36.75
2009-01-12,36.400001525878906
2009-01-13,36.45000076293945
2009-01-14,36.54999923706055
2009-01-15,36.5
2009-01-16,36.5
2009-01-20,36.5
2009-01-21,36.5
2009-01-22,36.5
2009-01-23,36.5
2009-01-26,36.5
2009-01-27,36.5
2009-01-28,36.5
2009-01-29,36.5
2009-01-30,36.5
2009-02-02,36.95000076293945
2009-02-03,37.0
2009-02-04,37.400001525878906
2009-02-05,37.29999923706055
2009-02-06,37.400001525878906
2009-02-09,37.400001525878906
2009-02-10,37.400001525878906
2009-02-11,37.400001525878906
2009-02-12,37.25
2009-02-13,37.25
2009-02-17,37.150001525878906
2009-02-18,37.150001525878906
2009-02-19,37.349998474121094
2009-02-20,37.29999923706055
2009-02-23,37.349998474121094
2009-02-24,37.45000076293945
2009-02-25,37.54999923706055
2009-02-26,37.54999923706055
2009-02-27,37.400001525878906
2009-03-02,37.400001525878906
2009-03-03,37.5
2009-03-04,37.400001525878906
2009-03-05,37.5
2009-03-06,37.45000076293945
2009-03-09,37.54999923706055
2009-03-10,37.5
2009-03-11,37.5
2009-03-12,37.599998474121094
2009-03-13,37.599998474121094
2009-03-16,37.54999923706055
2009-03-17,37.5
2009-03-18,37.5
2009-03-19,37.5
2009-03-20,37.5
2009-03-23,37.5
2009-03-24,37.45000076293945
2009-03-25,37.599998474121094
2009-03-26,37.599998474121094
2009-03-27,37.599998474121094
2009-03-30,37.599998474121094
2009-03-31,37.45000076293945
2009-04-01,37.599998474121094
2009-04-02,37.70000076293945
2009-04-03,38.25
2009-04-06,38.25
2009-04-07,38.650001525878906
2009-04-08,38.650001525878906
2009-04-09,38.400001525878906
2009-04-13,38.29999923706055
2009-04-14,38.400001525878906
2009-04-15,38.5
2009-04-16,38.599998474121094
2009-04-17,38.5
2009-04-20,38.349998474121094
2009-04-21,38.400001525878906
2009-04-22,38.400001525878906
2009-04-23,38.54999923706055
2009-04-24,38.45000076293945
2009-04-27,38.400001525878906
2009-04-28,38.45000076293945
2009-04-29,38.45000076293945
2009-04-30,38.400001525878906
2009-05-01,38.5
2009-05-04,38.45000076293945
2009-05-05,38.45000076293945
2009-05-06,38.45000076293945
2009-05-07,38.45000076293945
2009-05-08,38.400001525878906
2009-05-11,38.5
2009-05-12,38.5
2009-05-13,38.400001525878906
2009-05-14,38.400001525878906
2009-05-15,38.5
2009-05-18,38.5
2009-05-19,38.45000076293945
2009-05-20,38.349998474121094
2009-05-21,38.29999923706055
2009-05-22,38.400001525878906
2009-05-26,38.400001525878906
2009-05-27,38.70000076293945
2009-05-28,38.70000076293945
2009-05-29,38.70000076293945
2009-06-01,38.70000076293945
2009-06-02,38.70000076293945
2009-06-03,38.70000076293945
2009-06-04,38.650001525878906
2009-06-05,38.849998474121094
2009-06-08,38.79999923706055
2009-06-09,38.79999923706055
2009-06-10,38.599998474121094
2009-06-11,38.849998474121094
2009-06-12,38.599998474121094
2009-06-15,38.5
2009-06-16,38.400001525878906
2009-06-17,38.599998474121094
2009-06-18,38.599998474121094
2009-06-19,38.400001525878906
2009-06-22,38.54999923706055
2009-06-23,38.400001525878906
2009-06-24,38.45000076293945
2009-06-25,38.45000076293945
2009-06-26,38.599998474121094
2009-06-29,38.599998474121094
2009-06-30,38.54999923706055
2009-07-01,38.599998474121094
2009-07-02,38.599998474121094
2009-07-06,38.70000076293945
2009-07-07,38.900001525878906
2009-07-08,38.79999923706055
2009-07-09,38.70000076293945
2009-07-10,38.900001525878906
2009-07-13,38.849998474121094
2009-07-14,38.849998474121094
2009-07-15,38.79999923706055
2009-07-16,38.75
2009-07-17,38.70000076293945
2009-07-20,38.79999923706055
2009-07-21,38.79999923706055
2009-07-22,38.849998474121094
2009-07-23,38.650001525878906
2009-07-24,38.900001525878906
2009-07-27,38.75
2009-07-28,38.849998474121094
2009-07-29,38.75
2009-07-30,38.79999923706055
2009-07-31,38.75
2009-08-03,38.75
2009-08-04,38.95000076293945
2009-08-05,38.79999923706055
2009-08-06,38.849998474121094
2009-08-07,38.75
2009-08-10,38.75
2009-08-11,38.849998474121094
2009-08-12,38.849998474121094
2009-08-13,38.849998474121094
2009-08-14,38.849998474121094
2009-08-17,38.849998474121094
2009-08-18,39.04999923706055
2009-08-19,39.04999923706055
2009-08-20,39.04999923706055
2009-08-21,39.099998474121094
2009-08-24,39.099998474121094
2009-08-25,39.04999923706055
2009-08-26,39.099998474121094
2009-08-27,39.04999923706055
2009-08-28,39.099998474121094
2009-08-31,39.099998474121094
