,CDAK
2020-10-14,12.119999885559082
2020-10-15,12.09000015258789
2020-10-16,12.100000381469727
2020-10-19,12.1899995803833
2020-10-20,11.609999656677246
2020-10-21,9.75
2020-10-22,9.430000305175781
2020-10-23,9.5
2020-10-26,9.399999618530273
2020-10-27,9.3100004196167
2020-10-28,9.020000457763672
2020-10-29,8.880000114440918
2020-10-30,8.619999885559082
2020-11-02,8.710000038146973
2020-11-03,8.449999809265137
2020-11-04,9.319999694824219
2020-11-05,9.0600004196167
2020-11-06,9.09000015258789
2020-11-09,9.289999961853027
2020-11-10,9.039999961853027
2020-11-11,8.84000015258789
2020-11-12,8.869999885559082
2020-11-13,8.75
2020-11-16,8.600000381469727
2020-11-17,8.729999542236328
2020-11-18,7.900000095367432
2020-11-19,8.1899995803833
2020-11-20,8.270000457763672
2020-11-23,8.850000381469727
2020-11-24,8.569999694824219
2020-11-25,9.0
2020-11-27,9.609999656677246
2020-11-30,13.010000228881836
2020-12-01,16.40999984741211
2020-12-02,15.079999923706055
2020-12-03,15.4399995803833
2020-12-04,17.450000762939453
2020-12-07,19.979999542236328
2020-12-08,15.880000114440918
2020-12-09,15.609999656677246
2020-12-10,15.989999771118164
2020-12-11,15.25
2020-12-14,15.5600004196167
2020-12-15,15.729999542236328
2020-12-16,15.420000076293945
2020-12-17,15.369999885559082
2020-12-18,15.779999732971191
2020-12-21,18.850000381469727
2020-12-22,18.90999984741211
2020-12-23,23.209999084472656
2020-12-24,22.979999542236328
2020-12-28,22.475000381469727
2020-12-29,21.68000030517578
2020-12-30,28.0
2020-12-31,32.29999923706055
2021-01-04,27.350000381469727
2021-01-05,28.540000915527344
2021-01-06,31.530000686645508
2021-01-07,31.190000534057617
2021-01-08,29.3799991607666
2021-01-11,26.06999969482422
2021-01-12,27.989999771118164
2021-01-13,31.450000762939453
2021-01-14,29.729999542236328
2021-01-15,28.299999237060547
2021-01-19,28.43000030517578
2021-01-20,27.350000381469727
2021-01-21,25.8700008392334
2021-01-22,26.600000381469727
2021-01-25,28.459999084472656
2021-01-26,29.219999313354492
2021-01-27,26.5
2021-01-28,25.1200008392334
2021-01-29,23.8799991607666
2021-02-01,24.530000686645508
2021-02-02,24.3799991607666
2021-02-03,23.8799991607666
2021-02-04,23.760000228881836
2021-02-05,23.979999542236328
2021-02-08,26.850000381469727
2021-02-09,24.479999542236328
2021-02-10,24.25
2021-02-11,24.579999923706055
2021-02-12,25.0
2021-02-16,23.579999923706055
2021-02-17,21.709999084472656
2021-02-18,21.079999923706055
2021-02-19,19.559999465942383
2021-02-22,18.68000030517578
2021-02-23,18.0
2021-02-24,17.899999618530273
2021-02-25,17.690000534057617
2021-02-26,16.200000762939453
2021-03-01,18.389999389648438
2021-03-02,18.170000076293945
2021-03-03,16.209999084472656
2021-03-04,15.819999694824219
2021-03-05,15.140000343322754
2021-03-08,15.539999961853027
2021-03-09,16.329999923706055
2021-03-10,15.600000381469727
2021-03-11,16.8700008392334
2021-03-12,16.579999923706055
2021-03-15,17.350000381469727
2021-03-16,17.219999313354492
2021-03-17,18.059999465942383
2021-03-18,17.579999923706055
2021-03-19,16.469999313354492
2021-03-22,17.920000076293945
2021-03-23,16.639999389648438
2021-03-24,14.944999694824219
2021-03-25,15.15999984741211
2021-03-26,15.0
2021-03-29,13.489999771118164
2021-03-30,13.899999618530273
2021-03-31,15.079999923706055
2021-04-01,14.550000190734863
2021-04-05,13.609999656677246
2021-04-06,13.399999618530273
2021-04-07,14.029999732971191
2021-04-08,14.529999732971191
2021-04-09,15.489999771118164
2021-04-12,14.539999961853027
2021-04-13,13.65999984741211
2021-04-14,13.890000343322754
2021-04-15,13.3100004196167
2021-04-16,12.880000114440918
2021-04-19,11.75
2021-04-20,11.890000343322754
2021-04-21,11.720000267028809
2021-04-22,15.779999732971191
2021-04-23,18.170000076293945
2021-04-26,17.209999084472656
2021-04-27,19.6200008392334
2021-04-28,19.56999969482422
2021-04-29,19.200000762939453
2021-04-30,19.799999237060547
2021-05-03,20.549999237060547
2021-05-04,20.0
2021-05-05,20.079999923706055
2021-05-06,18.270000457763672
2021-05-07,18.549999237060547
2021-05-10,16.40999984741211
2021-05-11,17.350000381469727
2021-05-12,16.860000610351562
2021-05-13,16.65999984741211
2021-05-14,18.18000030517578
