,DGRW
2013-05-22,24.899999618530273
2013-05-23,24.81999969482422
2013-05-24,24.81999969482422
2013-05-28,25.030000686645508
2013-05-29,24.84000015258789
2013-05-30,24.899999618530273
2013-05-31,24.600000381469727
2013-06-03,24.670000076293945
2013-06-04,24.639999389648438
2013-06-05,24.290000915527344
2013-06-06,24.420000076293945
2013-06-07,24.790000915527344
2013-06-10,24.739999771118164
2013-06-11,24.540000915527344
2013-06-12,24.389999389648438
2013-06-13,24.670000076293945
2013-06-14,24.540000915527344
2013-06-17,24.709999084472656
2013-06-18,24.8799991607666
2013-06-19,24.56999969482422
2013-06-20,24.0
2013-06-21,24.079999923706055
2013-06-24,23.809999465942383
2013-06-25,23.950000762939453
2013-06-26,24.18000030517578
2013-06-27,24.309999465942383
2013-06-28,24.170000076293945
2013-07-01,24.389999389648438
2013-07-02,24.31999969482422
2013-07-03,24.34000015258789
2013-07-05,24.600000381469727
2013-07-08,24.690000534057617
2013-07-09,24.889999389648438
2013-07-10,24.850000381469727
2013-07-11,25.270000457763672
2013-07-12,25.25
2013-07-15,25.31999969482422
2013-07-16,25.209999084472656
2013-07-17,25.209999084472656
2013-07-18,25.329999923706055
2013-07-19,25.270000457763672
2013-07-22,25.200000762939453
2013-07-23,25.239999771118164
2013-07-24,25.15999984741211
2013-07-25,25.209999084472656
2013-07-26,25.209999084472656
2013-07-29,25.15999984741211
2013-07-30,25.260000228881836
2013-07-31,25.219999313354492
2013-08-01,25.559999465942383
2013-08-02,25.59000015258789
2013-08-05,25.600000381469727
2013-08-06,25.440000534057617
2013-08-07,25.399999618530273
2013-08-08,25.510000228881836
2013-08-09,25.40999984741211
2013-08-12,25.450000762939453
2013-08-13,25.510000228881836
2013-08-14,25.399999618530273
2013-08-15,25.030000686645508
2013-08-16,24.959999084472656
2013-08-19,24.8799991607666
2013-08-20,24.950000762939453
2013-08-21,24.799999237060547
2013-08-22,25.0
2013-08-23,25.1200008392334
2013-08-26,25.0
2013-08-27,24.600000381469727
2013-08-28,24.6299991607666
2013-08-29,24.690000534057617
2013-08-30,24.579999923706055
2013-09-03,24.649999618530273
2013-09-04,24.850000381469727
2013-09-05,24.84000015258789
2013-09-06,24.829999923706055
2013-09-09,25.149999618530273
2013-09-10,25.329999923706055
2013-09-11,25.329999923706055
2013-09-12,25.34000015258789
2013-09-13,25.450000762939453
2013-09-16,25.56999969482422
2013-09-17,25.68000030517578
2013-09-18,25.959999084472656
2013-09-19,25.950000762939453
2013-09-20,25.739999771118164
2013-09-23,25.670000076293945
2013-09-24,25.559999465942383
2013-09-25,25.459999084472656
2013-09-26,25.540000915527344
2013-09-27,25.40999984741211
2013-09-30,25.290000915527344
2013-10-01,25.489999771118164
2013-10-02,25.329999923706055
2013-10-03,25.209999084472656
2013-10-04,25.3799991607666
2013-10-07,25.15999984741211
2013-10-08,24.920000076293945
2013-10-09,24.989999771118164
2013-10-10,25.489999771118164
2013-10-11,25.600000381469727
