,CDMO
1995-05-16,35.0
1995-05-17,32.8125
1995-05-18,37.1875
1995-05-19,35.0
1995-05-22,39.375
1995-05-23,30.625
1995-05-24,30.625
1995-05-25,37.1875
1995-05-26,37.1875
1995-05-30,35.0
1995-05-31,37.1875
1995-06-01,35.0
1995-06-02,35.0
1995-06-05,30.625
1995-06-06,30.625
1995-06-07,31.71875
1995-06-08,30.625
1995-06-09,37.1875
1995-06-12,30.625
1995-06-13,30.625
1995-06-14,30.625
1995-06-15,35.0
1995-06-16,37.1875
1995-06-19,35.0
1995-06-20,39.375
1995-06-21,35.0
1995-06-22,32.8125
1995-06-23,35.0
1995-06-26,36.09375
1995-06-27,30.625
1995-06-28,35.0
1995-06-29,32.8125
1995-06-30,32.8125
1995-07-03,35.0
1995-07-05,28.4375
1995-07-06,28.4375
1995-07-07,29.53125
1995-07-10,26.25
1995-07-11,30.625
1995-07-12,35.0
1995-07-13,35.0
1995-07-14,30.625
1995-07-17,30.625
1995-07-18,30.625
1995-07-19,28.4375
1995-07-20,32.8125
1995-07-21,30.625
1995-07-24,30.625
1995-07-25,32.8125
1995-07-26,29.53125
1995-07-27,26.25
1995-07-28,30.625
1995-07-31,28.4375
1995-08-01,26.25
1995-08-02,26.25
1995-08-03,24.0625
1995-08-04,32.8125
1995-08-07,32.8125
1995-08-08,32.8125
1995-08-09,35.0
1995-08-10,41.5625
1995-08-11,35.0
1995-08-14,41.5625
1995-08-15,41.5625
1995-08-16,39.375
1995-08-17,37.1875
1995-08-18,39.375
1995-08-21,39.375
1995-08-22,40.46875
1995-08-23,40.46875
1995-08-24,37.1875
1995-08-25,41.5625
1995-08-28,38.28125
1995-08-29,37.1875
1995-08-30,37.1875
1995-08-31,37.1875
1995-09-01,35.0
1995-09-05,35.0
1995-09-06,37.1875
1995-09-07,35.0
1995-09-08,37.1875
1995-09-11,33.90625
1995-09-12,37.1875
1995-09-13,35.0
1995-09-14,35.0
1995-09-15,36.09375
1995-09-18,37.1875
1995-09-19,36.09375
1995-09-20,33.90625
1995-09-21,35.0
1995-09-22,37.1875
1995-09-25,41.5625
1995-09-26,41.5625
1995-09-27,39.375
1995-09-28,52.5
1995-09-29,75.46875
1995-10-02,61.25
1995-10-03,74.375
1995-10-04,78.75
1995-10-05,89.6875
1995-10-06,89.6875
1995-10-09,89.6875
1995-10-10,83.125
1995-10-11,98.4375
1995-10-12,107.1875
1995-10-13,105.0
1995-10-16,105.0
1995-10-17,106.09375
1995-10-18,108.28125
1995-10-19,102.8125
1995-10-20,105.0
1995-10-23,105.0
1995-10-24,102.8125
1995-10-25,91.875
1995-10-26,89.6875
1995-10-27,96.25
1995-10-30,98.4375
1995-10-31,100.625
1995-11-01,98.4375
1995-11-02,106.09375
1995-11-03,100.625
1995-11-06,100.625
1995-11-07,100.625
1995-11-08,102.8125
1995-11-09,100.625
1995-11-10,96.25
1995-11-13,98.4375
1995-11-14,98.4375
1995-11-15,108.28125
1995-11-16,102.8125
1995-11-17,106.09375
1995-11-20,105.0
1995-11-21,100.625
1995-11-22,102.8125
1995-11-24,98.4375
1995-11-27,100.625
1995-11-28,102.8125
1995-11-29,107.1875
1995-11-30,105.0
1995-12-01,107.1875
1995-12-04,109.375
1995-12-05,107.1875
1995-12-06,111.5625
1995-12-07,111.5625
1995-12-08,112.65625
1995-12-11,109.375
1995-12-12,112.65625
1995-12-13,115.9375
1995-12-14,146.5625
1995-12-15,142.1875
1995-12-18,142.1875
1995-12-19,131.25
1995-12-20,144.375
1995-12-21,144.375
1995-12-22,150.9375
1995-12-26,148.75
1995-12-27,159.6875
1995-12-28,177.1875
1995-12-29,175.0
1996-01-02,175.0
1996-01-03,166.25
1996-01-04,161.875
1996-01-05,135.625
1996-01-08,135.625
1996-01-09,135.625
1996-01-10,144.375
1996-01-11,175.0
1996-01-12,177.1875
1996-01-15,177.1875
1996-01-16,166.25
1996-01-17,175.0
1996-01-18,177.1875
1996-01-19,179.375
1996-01-22,179.375
1996-01-23,179.375
1996-01-24,183.75
1996-01-25,183.75
1996-01-26,181.5625
1996-01-29,179.375
1996-01-30,179.375
1996-01-31,188.125
1996-02-01,192.5
1996-02-02,223.125
1996-02-05,218.75
1996-02-06,247.1875
1996-02-07,266.875
1996-02-08,258.125
1996-02-09,262.5
1996-02-12,261.40625
1996-02-13,253.75
1996-02-14,249.375
1996-02-15,245.0
1996-02-16,227.5
1996-02-20,192.5
1996-02-21,231.875
1996-02-22,251.5625
1996-02-23,249.375
1996-02-26,249.375
1996-02-27,242.8125
1996-02-28,245.0
1996-02-29,247.1875
1996-03-01,253.75
1996-03-04,264.6875
1996-03-05,262.5
1996-03-06,271.25
1996-03-07,277.8125
1996-03-08,253.75
1996-03-11,271.25
1996-03-12,255.9375
1996-03-13,255.9375
1996-03-14,262.5
1996-03-15,249.375
1996-03-18,240.625
1996-03-19,231.875
1996-03-20,245.0
1996-03-21,240.625
1996-03-22,238.4375
1996-03-25,242.8125
1996-03-26,227.5
1996-03-27,210.0
1996-03-28,201.25
1996-03-29,225.3125
1996-04-01,231.875
1996-04-02,227.5
1996-04-03,223.125
1996-04-04,227.5
1996-04-08,201.25
1996-04-09,210.0
1996-04-10,201.25
1996-04-11,210.0
1996-04-12,201.25
1996-04-15,201.25
1996-04-16,192.5
1996-04-17,192.5
1996-04-18,183.75
1996-04-19,181.015625
1996-04-22,205.625
1996-04-23,218.75
1996-04-24,233.515625
1996-04-25,224.765625
1996-04-26,223.125
1996-04-29,224.765625
1996-04-30,214.375
1996-05-01,205.625
1996-05-02,189.765625
1996-05-03,201.25
1996-05-06,196.875
1996-05-07,181.015625
1996-05-08,189.765625
1996-05-09,202.890625
1996-05-10,202.890625
1996-05-13,198.515625
1996-05-14,196.875
1996-05-15,211.640625
1996-05-16,214.375
1996-05-17,214.375
1996-05-20,214.375
1996-05-21,218.75
1996-05-22,220.390625
1996-05-23,223.125
1996-05-24,233.515625
1996-05-28,237.890625
1996-05-29,227.5
1996-05-30,218.75
1996-05-31,224.765625
1996-06-03,216.015625
1996-06-04,218.75
1996-06-05,223.125
1996-06-06,216.015625
1996-06-07,210.0
1996-06-10,201.25
1996-06-11,201.25
1996-06-12,188.125
1996-06-13,196.875
1996-06-14,188.125
1996-06-17,183.75
1996-06-18,179.375
1996-06-19,179.375
1996-06-20,166.25
1996-06-21,170.625
1996-06-24,170.625
1996-06-25,170.625
1996-06-26,172.8125
1996-06-27,172.8125
1996-06-28,161.875
1996-07-01,157.5
1996-07-02,159.6875
1996-07-03,140.0
1996-07-05,140.0
1996-07-08,146.5625
1996-07-09,144.375
1996-07-10,153.125
1996-07-11,140.0
1996-07-12,135.625
1996-07-15,135.625
1996-07-16,137.8125
1996-07-17,122.5
1996-07-18,140.0
1996-07-19,133.4375
1996-07-22,131.25
1996-07-23,122.5
1996-07-24,131.25
1996-07-25,122.5
1996-07-26,126.875
1996-07-29,122.5
1996-07-30,113.75
1996-07-31,118.125
1996-08-01,129.0625
1996-08-02,135.625
1996-08-05,133.4375
1996-08-06,122.5
1996-08-07,126.875
1996-08-08,122.5
1996-08-09,129.0625
1996-08-12,124.6875
1996-08-13,126.875
1996-08-14,124.6875
1996-08-15,129.0625
1996-08-16,124.6875
1996-08-19,131.25
1996-08-20,131.25
1996-08-21,135.625
1996-08-22,148.75
1996-08-23,157.5
1996-08-26,165.703125
1996-08-27,166.25
1996-08-28,157.5
1996-08-29,157.5
1996-08-30,153.125
1996-09-03,155.3125
1996-09-04,157.5
1996-09-05,166.25
1996-09-06,168.4375
1996-09-09,177.1875
1996-09-10,183.75
1996-09-11,190.3125
1996-09-12,183.75
1996-09-13,166.25
1996-09-16,175.0
1996-09-17,175.0
1996-09-18,179.375
1996-09-19,179.375
1996-09-20,179.375
1996-09-23,183.75
1996-09-24,170.625
1996-09-25,170.625
1996-09-26,168.4375
1996-09-27,170.625
1996-09-30,170.625
1996-10-01,161.875
1996-10-02,161.875
1996-10-03,148.75
1996-10-04,135.625
1996-10-07,144.375
1996-10-08,146.5625
1996-10-09,142.1875
1996-10-10,144.375
1996-10-11,140.0
1996-10-14,140.0
1996-10-15,140.0
1996-10-16,140.0
1996-10-17,137.8125
1996-10-18,137.8125
1996-10-21,144.375
1996-10-22,140.0
1996-10-23,131.25
1996-10-24,131.25
1996-10-25,133.4375
1996-10-28,122.5
1996-10-29,118.125
1996-10-30,122.5
1996-10-31,122.5
1996-11-01,126.875
1996-11-04,126.875
1996-11-05,118.125
1996-11-06,126.875
1996-11-07,124.6875
1996-11-08,120.3125
1996-11-11,122.5
1996-11-12,118.125
1996-11-13,118.125
1996-11-14,120.3125
1996-11-15,118.125
1996-11-18,118.125
1996-11-19,115.9375
1996-11-20,131.25
1996-11-21,142.1875
1996-11-22,166.25
1996-11-25,177.1875
1996-11-26,179.375
1996-11-27,175.0
1996-11-29,166.25
1996-12-02,170.625
1996-12-03,170.625
1996-12-04,161.875
1996-12-05,161.875
1996-12-06,161.875
1996-12-09,175.0
1996-12-10,179.375
1996-12-11,170.625
1996-12-12,172.8125
1996-12-13,157.5
1996-12-16,153.125
1996-12-17,153.125
1996-12-18,153.125
1996-12-19,161.875
1996-12-20,161.875
1996-12-23,159.6875
1996-12-24,159.6875
1996-12-26,155.3125
1996-12-27,157.5
1996-12-30,155.3125
1996-12-31,157.5
1997-01-02,157.5
1997-01-03,159.6875
1997-01-06,177.1875
1997-01-07,183.203125
1997-01-08,177.1875
1997-01-09,183.75
1997-01-10,194.6875
1997-01-13,196.875
1997-01-14,207.8125
1997-01-15,192.5
1997-01-16,183.75
1997-01-17,188.125
1997-01-20,179.375
1997-01-21,188.125
1997-01-22,199.0625
1997-01-23,207.8125
1997-01-24,236.25
1997-01-27,231.875
1997-01-28,201.25
1997-01-29,218.75
1997-01-30,205.625
1997-01-31,218.75
1997-02-03,212.1875
1997-02-04,210.0
1997-02-05,207.8125
1997-02-06,218.75
1997-02-07,218.75
1997-02-10,207.8125
1997-02-11,201.25
1997-02-12,205.625
1997-02-13,216.5625
1997-02-14,210.0
1997-02-18,210.0
1997-02-19,212.1875
1997-02-20,201.25
1997-02-21,196.875
1997-02-24,210.0
1997-02-25,210.0
1997-02-26,205.625
1997-02-27,205.625
1997-02-28,201.25
1997-03-03,188.125
1997-03-04,183.75
1997-03-05,179.375
1997-03-06,185.9375
1997-03-07,190.3125
1997-03-10,192.5
1997-03-11,183.75
1997-03-12,175.0
1997-03-13,177.1875
1997-03-14,188.125
1997-03-17,188.125
1997-03-18,183.75
1997-03-19,175.0
1997-03-20,177.1875
1997-03-21,175.0
1997-03-24,168.4375
1997-03-25,170.625
1997-03-26,177.1875
1997-03-27,175.0
1997-03-31,172.8125
1997-04-01,172.8125
1997-04-02,166.25
1997-04-03,166.25
1997-04-04,164.0625
1997-04-07,170.625
1997-04-08,176.09375
1997-04-09,177.1875
1997-04-10,175.0
1997-04-11,170.625
1997-04-14,168.4375
1997-04-15,168.4375
1997-04-16,170.625
1997-04-17,157.5
1997-04-18,161.875
1997-04-21,166.25
1997-04-22,164.0625
1997-04-23,164.0625
1997-04-24,161.875
1997-04-25,159.6875
1997-04-28,161.875
1997-04-29,161.875
1997-04-30,161.875
1997-05-01,161.875
1997-05-02,157.5
1997-05-05,157.5
1997-05-06,155.3125
1997-05-07,148.75
1997-05-08,140.0
1997-05-09,142.1875
1997-05-12,140.0
1997-05-13,153.125
1997-05-14,153.125
1997-05-15,153.125
1997-05-16,153.125
1997-05-19,161.875
1997-05-20,170.625
1997-05-21,183.75
1997-05-22,179.375
1997-05-23,179.375
1997-05-27,175.0
1997-05-28,175.0
1997-05-29,172.8125
1997-05-30,166.25
1997-06-02,161.875
1997-06-03,159.6875
1997-06-04,148.75
1997-06-05,144.375
1997-06-06,148.75
1997-06-09,153.125
1997-06-10,148.75
1997-06-11,144.375
1997-06-12,148.75
1997-06-13,148.75
1997-06-16,150.9375
1997-06-17,150.9375
1997-06-18,150.9375
1997-06-19,146.5625
1997-06-20,150.9375
1997-06-23,146.5625
1997-06-24,148.75
1997-06-25,147.65625
1997-06-26,148.75
1997-06-27,148.75
1997-06-30,153.125
1997-07-01,155.3125
1997-07-02,150.9375
1997-07-03,146.5625
1997-07-07,144.375
1997-07-08,146.5625
1997-07-09,144.375
1997-07-10,142.1875
1997-07-11,140.0
1997-07-14,137.8125
1997-07-15,133.4375
1997-07-16,137.8125
1997-07-17,135.625
1997-07-18,139.453125
1997-07-21,135.625
1997-07-22,135.625
1997-07-23,135.625
1997-07-24,131.25
1997-07-25,131.25
1997-07-28,133.4375
1997-07-29,135.625
1997-07-30,140.0
1997-07-31,142.1875
1997-08-01,135.625
1997-08-04,135.625
1997-08-05,137.8125
1997-08-06,142.1875
1997-08-07,140.0
1997-08-08,146.5625
1997-08-11,142.1875
1997-08-12,140.0
1997-08-13,135.625
1997-08-14,140.0
1997-08-15,137.8125
1997-08-18,129.0625
1997-08-19,137.8125
1997-08-20,137.8125
1997-08-21,137.8125
1997-08-22,135.625
1997-08-25,129.0625
1997-08-26,126.875
1997-08-27,124.6875
1997-08-28,105.0
1997-08-29,122.5
1997-09-02,126.875
1997-09-03,124.6875
1997-09-04,111.5625
1997-09-05,118.125
1997-09-08,111.5625
1997-09-09,114.84375
1997-09-10,113.75
1997-09-11,115.9375
1997-09-12,109.375
1997-09-15,111.5625
1997-09-16,105.0
1997-09-17,105.0
1997-09-18,109.375
1997-09-19,109.375
1997-09-22,109.375
1997-09-23,111.5625
1997-09-24,115.9375
1997-09-25,112.65625
1997-09-26,113.75
1997-09-29,107.1875
1997-09-30,106.09375
1997-10-01,111.5625
1997-10-02,107.1875
1997-10-03,107.1875
1997-10-06,105.0
1997-10-07,100.625
1997-10-08,96.25
1997-10-09,91.875
1997-10-10,96.25
1997-10-13,91.875
1997-10-14,91.875
1997-10-15,87.5
1997-10-16,96.25
1997-10-17,107.1875
1997-10-20,113.75
1997-10-21,110.46875
1997-10-22,109.375
1997-10-23,109.375
1997-10-24,102.8125
1997-10-27,100.625
1997-10-28,108.28125
1997-10-29,115.9375
1997-10-30,115.9375
1997-10-31,102.8125
1997-11-03,105.0
1997-11-04,105.0
1997-11-05,110.46875
1997-11-06,108.28125
1997-11-07,105.0
1997-11-10,106.09375
1997-11-11,105.0
1997-11-12,105.0
1997-11-13,105.0
1997-11-14,105.0
1997-11-17,103.90625
1997-11-18,101.71875
1997-11-19,101.71875
1997-11-20,101.71875
1997-11-21,96.25
1997-11-24,96.25
1997-11-25,98.4375
1997-11-26,96.25
1997-11-28,98.4375
1997-12-01,96.25
1997-12-02,102.8125
1997-12-03,100.625
1997-12-04,102.8125
1997-12-05,99.53125
1997-12-08,96.25
1997-12-09,91.875
1997-12-10,94.0625
1997-12-11,83.125
1997-12-12,89.6875
1997-12-15,88.59375
1997-12-16,84.21875
1997-12-17,82.03125
1997-12-18,82.03125
1997-12-19,83.125
1997-12-22,79.84375
1997-12-23,82.03125
1997-12-24,78.75
1997-12-26,78.75
1997-12-29,74.375
1997-12-30,70.0
1997-12-31,76.5625
1998-01-02,72.1875
1998-01-05,70.0
1998-01-06,67.8125
1998-01-07,56.875
1998-01-08,49.21875
1998-01-09,48.125
1998-01-12,45.9375
1998-01-13,44.84375
1998-01-14,43.75
1998-01-15,44.84375
1998-01-16,44.84375
1998-01-20,44.84375
1998-01-21,43.75
1998-01-22,44.84375
1998-01-23,44.84375
1998-01-26,36.09375
1998-01-27,35.0
1998-01-28,35.0
1998-01-29,33.90625
1998-01-30,35.0
1998-02-02,30.625
1998-02-03,28.4375
1998-02-04,28.4375
1998-02-05,27.34375
1998-02-06,26.25
1998-02-09,21.875
1998-02-10,21.875
1998-02-11,22.96875
1998-02-12,22.421875
1998-02-13,20.78125
1998-02-17,19.6875
1998-02-18,16.953125
1998-02-19,17.5
1998-02-20,22.96875
1998-02-23,27.34375
1998-02-24,19.6875
1998-02-25,20.78125
1998-02-26,19.6875
1998-02-27,21.875
1998-03-02,22.96875
1998-03-03,20.78125
1998-03-04,19.6875
1998-03-05,18.59375
1998-03-06,21.875
1998-03-09,20.78125
1998-03-10,19.6875
1998-03-11,19.6875
1998-03-12,19.6875
1998-03-13,20.78125
1998-03-16,19.6875
1998-03-17,19.6875
1998-03-18,19.6875
1998-03-19,18.59375
1998-03-20,19.6875
1998-03-23,21.875
1998-03-24,27.34375
1998-03-25,28.4375
1998-03-26,26.25
1998-03-27,26.25
1998-03-30,25.15625
1998-03-31,27.34375
1998-04-01,25.15625
1998-04-02,35.0
1998-04-03,31.71875
1998-04-06,29.53125
1998-04-07,29.53125
1998-04-08,25.15625
1998-04-09,25.15625
1998-04-13,25.703125
1998-04-14,24.0625
1998-04-15,24.0625
1998-04-16,24.0625
1998-04-17,26.25
1998-04-20,27.34375
1998-04-21,28.4375
1998-04-22,28.4375
1998-04-23,26.25
1998-04-24,24.0625
1998-04-27,25.15625
1998-04-28,25.15625
1998-04-29,25.15625
1998-04-30,24.609375
1998-05-01,24.0625
1998-05-04,29.53125
1998-05-05,47.03125
1998-05-06,62.34375
1998-05-07,70.0
1998-05-08,66.71875
1998-05-11,57.96875
1998-05-12,54.6875
1998-05-13,67.8125
1998-05-14,70.0
1998-05-15,70.0
1998-05-18,65.625
1998-05-19,61.25
1998-05-20,54.6875
1998-05-21,49.21875
1998-05-22,49.21875
1998-05-26,55.78125
1998-05-27,55.78125
1998-05-28,57.96875
1998-05-29,54.6875
1998-06-01,54.6875
1998-06-02,54.6875
1998-06-03,53.59375
1998-06-04,52.5
1998-06-05,53.59375
1998-06-08,53.59375
1998-06-09,52.5
1998-06-10,52.5
1998-06-11,49.21875
1998-06-12,48.125
1998-06-15,52.5
1998-06-16,52.5
1998-06-17,51.40625
1998-06-18,48.125
1998-06-19,50.3125
1998-06-22,53.59375
1998-06-23,52.5
1998-06-24,51.40625
1998-06-25,49.21875
1998-06-26,49.21875
1998-06-29,49.21875
1998-06-30,48.125
1998-07-01,45.9375
1998-07-02,39.375
1998-07-06,43.75
1998-07-07,45.9375
1998-07-08,43.75
1998-07-09,43.75
1998-07-10,44.84375
1998-07-13,48.125
1998-07-14,47.03125
1998-07-15,43.75
1998-07-16,45.9375
1998-07-17,52.5
1998-07-20,52.5
1998-07-21,50.3125
1998-07-22,48.125
1998-07-23,51.40625
1998-07-24,52.5
1998-07-27,50.3125
1998-07-28,48.125
1998-07-29,49.21875
1998-07-30,50.3125
1998-07-31,50.3125
1998-08-03,49.21875
1998-08-04,47.03125
1998-08-05,50.3125
1998-08-06,51.40625
1998-08-07,52.5
1998-08-10,52.5
1998-08-11,50.3125
1998-08-12,48.125
1998-08-13,48.125
1998-08-14,47.03125
1998-08-17,51.40625
1998-08-18,49.21875
1998-08-19,48.125
1998-08-20,44.84375
1998-08-21,45.9375
1998-08-24,43.75
1998-08-25,44.84375
1998-08-26,40.46875
1998-08-27,39.375
1998-08-28,44.84375
1998-08-31,39.375
1998-09-01,36.09375
1998-09-02,37.1875
1998-09-03,35.0
1998-09-04,36.09375
1998-09-08,39.375
1998-09-09,39.375
1998-09-10,38.28125
1998-09-11,37.1875
1998-09-14,37.1875
1998-09-15,52.5
1998-09-16,44.84375
1998-09-17,40.46875
1998-09-18,39.375
1998-09-21,41.5625
1998-09-22,43.75
1998-09-23,44.84375
1998-09-24,40.46875
1998-09-25,39.375
1998-09-28,39.375
1998-09-29,38.28125
1998-09-30,35.0
1998-10-01,37.1875
1998-10-02,36.09375
1998-10-05,36.09375
1998-10-06,32.8125
1998-10-07,27.34375
1998-10-08,25.15625
1998-10-09,24.0625
1998-10-12,24.0625
1998-10-13,24.0625
1998-10-14,33.90625
1998-10-15,35.0
1998-10-16,36.09375
1998-10-19,35.0
1998-10-20,31.71875
1998-10-21,29.53125
1998-10-22,30.625
1998-10-23,35.0
1998-10-26,30.625
1998-10-27,30.625
1998-10-28,36.09375
1998-10-29,35.0
1998-10-30,33.90625
1998-11-02,34.453125
1998-11-03,33.90625
1998-11-04,33.90625
1998-11-05,36.09375
1998-11-06,38.28125
1998-11-09,39.375
1998-11-10,36.09375
1998-11-11,35.0
1998-11-12,36.09375
1998-11-13,35.0
1998-11-16,36.09375
1998-11-17,36.09375
1998-11-18,35.0
1998-11-19,35.0
1998-11-20,36.09375
1998-11-23,36.09375
1998-11-24,36.09375
1998-11-25,35.0
1998-11-27,35.0
1998-11-30,35.0
1998-12-01,33.90625
