,IHP
2012-11-06,1.100000023841858
2012-11-07,1.0800000429153442
2012-11-08,1.0299999713897705
2012-11-09,1.0299999713897705
2012-11-12,
2012-11-13,
2012-11-14,1.0
2012-11-15,
2012-11-16,
2012-11-19,0.9599999785423279
2012-11-20,0.9599999785423279
2012-11-21,0.9399999976158142
2012-11-23,
2012-11-26,0.9800000190734863
2012-11-27,0.9800000190734863
2012-11-28,
2012-11-29,0.9800000190734863
2012-11-30,
2012-12-03,
2012-12-04,0.9800000190734863
2012-12-05,0.9399999976158142
2012-12-06,0.8999999761581421
2012-12-07,
2012-12-10,
2012-12-11,
2012-12-12,
2012-12-13,0.8700000047683716
2012-12-14,0.8799999952316284
2012-12-17,
2012-12-18,
2012-12-19,
2012-12-20,0.800000011920929
2012-12-21,0.800000011920929
2012-12-24,0.7599999904632568
2012-12-26,
2012-12-27,0.7599999904632568
2012-12-28,
2012-12-31,
2013-01-02,0.8299999833106995
2013-01-03,0.8700000047683716
2013-01-04,0.9100000262260437
2013-01-07,0.949999988079071
2013-01-08,
2013-01-09,1.0199999809265137
2013-01-10,0.9700000286102295
2013-01-11,
2013-01-14,0.9100000262260437
2013-01-15,0.9200000166893005
2013-01-16,0.9200000166893005
2013-01-17,0.9200000166893005
2013-01-18,0.9100000262260437
2013-01-22,0.8700000047683716
2013-01-23,
2013-01-24,
2013-01-25,0.9100000262260437
2013-01-28,
2013-01-29,0.9900000095367432
2013-01-30,1.0299999713897705
2013-01-31,1.0800000429153442
2013-02-01,
2013-02-04,
2013-02-05,1.100000023841858
2013-02-06,1.0499999523162842
2013-02-07,1.0800000429153442
2013-02-08,1.1299999952316284
2013-02-11,1.0800000429153442
2013-02-12,1.1100000143051147
2013-02-13,
2013-02-14,1.0099999904632568
2013-02-15,0.9599999785423279
2013-02-19,
2013-02-20,0.9800000190734863
2013-02-21,0.9900000095367432
2013-02-22,
2013-02-25,0.9399999976158142
2013-02-26,
2013-02-27,
2013-02-28,0.8999999761581421
2013-03-01,0.9200000166893005
2013-03-04,
2013-03-05,0.9300000071525574
2013-03-06,0.8899999856948853
2013-03-07,0.8999999761581421
2013-03-08,
2013-03-11,0.8799999952316284
2013-03-12,
2013-03-13,
2013-03-14,0.8799999952316284
2013-03-15,0.8600000143051147
2013-03-18,0.8199999928474426
2013-03-19,0.8600000143051147
2013-03-20,0.8999999761581421
2013-03-21,0.8999999761581421
2013-03-22,
2013-03-25,
2013-03-26,0.8600000143051147
2013-03-27,
2013-03-28,0.9300000071525574
2013-04-01,0.9300000071525574
2013-04-02,0.8399999737739563
2013-04-03,
2013-04-04,0.8100000023841858
2013-04-05,0.8500000238418579
2013-04-08,0.8199999928474426
2013-04-09,0.800000011920929
2013-04-10,0.800000011920929
2013-04-11,
2013-04-12,0.75
2013-04-15,0.75
2013-04-16,0.8199999928474426
2013-04-17,0.75
2013-04-18,0.75
2013-04-19,0.7099999785423279
2013-04-22,0.6800000071525574
2013-04-23,0.7099999785423279
2013-04-24,0.6399999856948853
2013-04-25,0.699999988079071
2013-04-26,0.7699999809265137
2013-04-29,
2013-04-30,0.9200000166893005
2013-05-01,
2013-05-02,0.9900000095367432
2013-05-03,0.8999999761581421
2013-05-06,0.8100000023841858
2013-05-07,
2013-05-08,
2013-05-09,
2013-05-10,0.75
2013-05-13,0.7599999904632568
2013-05-14,
2013-05-15,0.8999999761581421
2013-05-16,
2013-05-17,0.8899999856948853
2013-05-20,0.8199999928474426
2013-05-21,
2013-05-22,
2013-05-23,0.7699999809265137
2013-05-24,0.7099999785423279
2013-05-28,0.7200000286102295
2013-05-29,
2013-05-30,0.7900000214576721
2013-05-31,0.8600000143051147
2013-06-03,0.9399999976158142
2013-06-04,1.0299999713897705
2013-06-05,1.059999942779541
2013-06-06,1.0299999713897705
2013-06-07,0.9300000071525574
2013-06-10,
2013-06-11,0.9200000166893005
2013-06-12,0.8299999833106995
2013-06-13,0.8999999761581421
2013-06-14,
2013-06-17,0.8399999737739563
2013-06-18,0.8399999737739563
2013-06-19,0.8299999833106995
2013-06-20,0.7799999713897705
2013-06-21,0.8199999928474426
2013-06-24,
2013-06-25,
2013-06-26,
2013-06-27,0.8600000143051147
2013-06-28,
2013-07-01,0.8999999761581421
2013-07-02,0.8999999761581421
2013-07-03,
2013-07-05,
2013-07-08,0.8700000047683716
2013-07-09,0.8799999952316284
2013-07-10,0.8700000047683716
2013-07-11,
2013-07-12,0.9300000071525574
2013-07-15,0.9300000071525574
2013-07-16,0.9300000071525574
2013-07-17,
2013-07-18,
2013-07-19,
2013-07-22,0.9300000071525574
2013-07-23,
2013-07-24,0.9300000071525574
2013-07-25,
2013-07-26,
2013-07-29,0.9300000071525574
2013-07-30,
2013-07-31,0.9300000071525574
2013-08-01,0.9300000071525574
2013-08-02,0.9300000071525574
2013-08-05,
2013-08-06,0.9300000071525574
2013-08-07,0.9300000071525574
2013-08-08,
2013-08-09,0.9300000071525574
2013-08-12,0.9300000071525574
2013-08-13,0.9300000071525574
2013-08-14,
2013-08-15,
2013-08-16,
2013-08-19,
2013-08-20,0.9300000071525574
2013-08-21,0.9300000071525574
2013-08-22,0.9300000071525574
2013-08-23,0.9300000071525574
2013-08-26,
2013-08-27,
2013-08-28,
2013-08-29,0.9300000071525574
2013-08-30,0.9300000071525574
2013-09-03,0.9300000071525574
2013-09-04,
2013-09-05,0.9300000071525574
2013-09-06,0.7400000095367432
2013-09-09,
2013-09-10,0.8199999928474426
2013-09-11,0.8799999952316284
2013-09-12,0.8799999952316284
2013-09-13,
2013-09-16,0.8100000023841858
2013-09-17,0.8100000023841858
2013-09-18,0.800000011920929
2013-09-19,0.800000011920929
2013-09-20,0.800000011920929
2013-09-23,
2013-09-24,
2013-09-25,0.800000011920929
2013-09-26,0.800000011920929
2013-09-27,0.800000011920929
2013-09-30,
2013-10-01,
2013-10-02,0.7699999809265137
2013-10-03,0.800000011920929
2013-10-04,0.800000011920929
2013-10-07,0.7799999713897705
2013-10-08,0.7799999713897705
2013-10-09,
2013-10-10,0.75
2013-10-11,0.75
2013-10-14,
2013-10-15,0.7200000286102295
2013-10-16,
2013-10-17,
2013-10-18,
2013-10-21,0.699999988079071
2013-10-22,0.699999988079071
2013-10-23,
2013-10-24,0.75
2013-10-25,0.75
2013-10-28,0.75
2013-10-29,0.75
2013-10-30,0.75
2013-10-31,0.75
2013-11-01,
2013-11-04,
2013-11-05,
2013-11-06,0.699999988079071
2013-11-07,0.7099999785423279
2013-11-08,
2013-11-11,
2013-11-12,
2013-11-13,
2013-11-14,0.7099999785423279
2013-11-15,
2013-11-18,0.6899999976158142
2013-11-19,0.7200000286102295
2013-11-20,0.7099999785423279
2013-11-21,0.7099999785423279
2013-11-22,0.7099999785423279
2013-11-25,
2013-11-26,
2013-11-27,
2013-11-29,
2013-12-02,
2013-12-03,
2013-12-04,0.7200000286102295
2013-12-05,0.7200000286102295
2013-12-06,0.7200000286102295
2013-12-09,0.7099999785423279
2013-12-10,
2013-12-11,0.6899999976158142
2013-12-12,
2013-12-13,0.6899999976158142
2013-12-16,0.7200000286102295
2013-12-17,0.7200000286102295
2013-12-18,
2013-12-19,
2013-12-20,0.7200000286102295
2013-12-23,
2013-12-24,
2013-12-26,
2013-12-27,
2013-12-30,0.7799999713897705
2013-12-31,0.7799999713897705
2014-01-02,0.7699999809265137
2014-01-03,0.7400000095367432
2014-01-06,0.7699999809265137
2014-01-07,
2014-01-08,
2014-01-09,0.7300000190734863
2014-01-10,
2014-01-13,
2014-01-14,0.75
2014-01-15,0.75
2014-01-16,
2014-01-17,0.7799999713897705
2014-01-21,0.7900000214576721
2014-01-22,0.7900000214576721
2014-01-23,
2014-01-24,0.7699999809265137
2014-01-27,0.800000011920929
2014-01-28,0.800000011920929
2014-01-29,
2014-01-30,
2014-01-31,0.7300000190734863
2014-02-03,
2014-02-04,0.7599999904632568
2014-02-05,
2014-02-06,0.75
2014-02-07,0.7699999809265137
2014-02-10,
2014-02-11,0.7400000095367432
2014-02-12,
2014-02-13,
2014-02-14,0.7400000095367432
2014-02-18,0.7200000286102295
2014-02-19,0.7200000286102295
2014-02-20,0.6899999976158142
2014-02-21,0.6899999976158142
2014-02-24,0.6899999976158142
2014-02-25,
2014-02-26,0.6700000166893005
2014-02-27,0.6600000262260437
2014-02-28,0.6600000262260437
2014-03-03,0.6600000262260437
2014-03-04,0.6600000262260437
2014-03-05,
2014-03-06,0.6600000262260437
2014-03-07,0.6600000262260437
2014-03-10,
2014-03-11,0.6600000262260437
2014-03-12,0.6700000166893005
2014-03-13,
2014-03-14,
2014-03-17,
2014-03-18,0.6600000262260437
2014-03-19,0.6299999952316284
2014-03-20,0.6299999952316284
2014-03-21,0.6299999952316284
2014-03-24,
2014-03-25,
2014-03-26,0.6000000238418579
2014-03-27,0.6000000238418579
2014-03-28,0.6000000238418579
2014-03-31,0.6299999952316284
2014-04-01,0.6299999952316284
2014-04-02,
2014-04-03,
2014-04-04,
2014-04-07,0.6299999952316284
2014-04-08,
2014-04-09,
2014-04-10,0.5699999928474426
2014-04-11,0.5699999928474426
2014-04-14,0.5699999928474426
2014-04-15,
2014-04-16,0.6100000143051147
2014-04-17,
2014-04-21,
2014-04-22,0.5799999833106995
2014-04-23,0.5799999833106995
2014-04-24,0.5600000023841858
2014-04-25,0.5799999833106995
2014-04-28,0.6000000238418579
2014-04-29,
2014-04-30,0.6299999952316284
2014-05-01,0.6299999952316284
2014-05-02,0.6299999952316284
2014-05-05,0.6299999952316284
2014-05-06,0.6000000238418579
2014-05-07,0.6000000238418579
2014-05-08,0.5699999928474426
2014-05-09,
2014-05-12,0.5799999833106995
2014-05-13,0.5799999833106995
2014-05-14,
2014-05-15,
2014-05-16,
2014-05-19,
2014-05-20,
2014-05-21,
2014-05-22,
2014-05-23,
2014-05-27,
2014-05-28,
2014-05-29,
2014-05-30,
2014-06-02,
2014-06-03,0.8999999761581421
2014-06-04,
2014-06-05,
2014-06-06,
2014-06-09,0.8600000143051147
2014-06-10,
2014-06-11,
2014-06-12,
2014-06-13,
2014-06-16,0.7699999809265137
2014-06-17,0.7599999904632568
2014-06-18,0.7599999904632568
2014-06-19,0.7900000214576721
2014-06-20,0.8199999928474426
2014-06-23,0.8600000143051147
2014-06-24,0.8999999761581421
2014-06-25,0.8999999761581421
2014-06-26,
2014-06-27,0.8299999833106995
2014-06-30,0.8199999928474426
2014-07-01,0.8199999928474426
2014-07-02,0.800000011920929
2014-07-03,0.800000011920929
2014-07-07,0.8100000023841858
2014-07-08,
2014-07-09,0.7699999809265137
2014-07-10,0.800000011920929
2014-07-11,
2014-07-14,56.16899871826172
2014-07-15,0.75
2014-07-16,56.44499969482422
2014-07-17,0.75
2014-07-18,55.36899948120117
2014-07-21,55.70399856567383
2014-07-22,55.55400085449219
2014-07-23,55.97200012207031
2014-07-24,56.012001037597656
2014-07-25,0.800000011920929
2014-07-28,56.28900146484375
2014-07-29,0.800000011920929
2014-07-30,0.7900000214576721
2014-07-31,0.7599999904632568
2014-08-01,59.665000915527344
2014-08-04,59.141998291015625
2014-08-05,59.37699890136719
2014-08-06,0.7200000286102295
2014-08-07,60.393001556396484
2014-08-08,60.00199890136719
2014-08-11,0.7699999809265137
2014-08-12,0.7799999713897705
2014-08-13,61.41600036621094
2014-08-14,61.981998443603516
2014-08-15,0.7900000214576721
2014-08-18,61.1870002746582
2014-08-19,62.01100158691406
2014-08-20,62.513999938964844
2014-08-21,0.7799999713897705
2014-08-22,0.7799999713897705
2014-08-25,0.800000011920929
2014-08-26,0.8100000023841858
2014-08-27,0.8199999928474426
2014-08-28,62.222999572753906
2014-08-29,62.40399932861328
2014-09-02,0.8399999737739563
2014-09-03,63.22600173950195
2014-09-04,62.630001068115234
2014-09-05,1.0
2014-09-08,1.0499999523162842
2014-09-09,63.89799880981445
2014-09-10,62.75600051879883
2014-09-11,63.23400115966797
2014-09-12,63.63600158691406
2014-09-15,62.78799819946289
2014-09-16,62.935001373291016
2014-09-17,62.86899948120117
2014-09-18,62.7859992980957
2014-09-19,62.849998474121094
2014-09-22,61.99100112915039
2014-09-23,61.73400115966797
2014-09-24,61.48699951171875
2014-09-25,62.194000244140625
2014-09-26,61.185001373291016
2014-09-29,
2014-09-30,63.654998779296875
2014-10-01,63.694000244140625
2014-10-02,63.029998779296875
2014-10-03,63.029998779296875
2014-10-06,64.92900085449219
2014-10-07,63.70399856567383
2014-10-08,62.492000579833984
2014-10-09,63.06800079345703
2014-10-10,61.15999984741211
2014-10-13,60.80699920654297
2014-10-14,60.72700119018555
2014-10-15,3.2100000381469727
2014-10-16,2.9000000953674316
2014-10-17,2.890000104904175
2014-10-20,3.180000066757202
2014-10-21,3.25
2014-10-22,3.0899999141693115
2014-10-23,65.15499877929688
2014-10-24,3.119999885559082
2014-10-27,3.109999895095825
2014-10-28,2.9600000381469727
2014-10-29,2.819999933242798
2014-10-30,2.680000066757202
2014-10-31,2.700000047683716
2014-11-03,2.700000047683716
2014-11-04,72.30899810791016
2014-11-05,71.9749984741211
2014-11-06,2.759999990463257
2014-11-07,2.5199999809265137
2014-11-10,2.640000104904175
2014-11-11,74.59100341796875
2014-11-12,3.0399999618530273
2014-11-13,75.47599792480469
2014-11-14,3.6700000762939453
2014-11-17,3.5999999046325684
2014-11-18,75.26499938964844
2014-11-19,75.08999633789062
2014-11-20,74.83699798583984
2014-11-21,75.32499694824219
2014-11-24,3.7100000381469727
2014-11-25,3.7799999713897705
2014-11-26,76.86499786376953
2014-11-28,76.97699737548828
2014-12-01,77.90699768066406
2014-12-02,77.53399658203125
2014-12-03,78.27999877929688
2014-12-04,78.38899993896484
2014-12-05,78.41000366210938
2014-12-08,79.62300109863281
2014-12-09,3.859999895095825
2014-12-10,79.1729965209961
2014-12-11,3.8499999046325684
2014-12-12,79.45600128173828
2014-12-15,78.96399688720703
2014-12-16,4.059999942779541
2014-12-17,76.48899841308594
2014-12-18,4.0
2014-12-19,80.23200225830078
2014-12-22,81.43499755859375
2014-12-23,82.53099822998047
2014-12-24,82.53099822998047
2014-12-26,82.53099822998047
2014-12-29,85.05500030517578
2014-12-30,84.02300262451172
2014-12-31,84.02300262451172
2015-01-02,84.70600128173828
2015-01-05,84.66100311279297
2015-01-06,83.40699768066406
2015-01-07,83.89900207519531
2015-01-08,88.90899658203125
2015-01-09,89.2030029296875
2015-01-12,88.04499816894531
2015-01-13,89.11599731445312
2015-01-14,89.55500030517578
2015-01-15,90.49600219726562
2015-01-16,89.76200103759766
2015-01-20,92.73400115966797
2015-01-21,93.40599822998047
2015-01-22,90.86000061035156
2015-01-23,94.8030014038086
2015-01-26,96.78800201416016
2015-01-27,2.7300000190734863
2015-01-28,3.0
2015-01-29,3.200000047683716
2015-01-30,3.0399999618530273
2015-02-02,3.190000057220459
2015-02-03,3.190000057220459
2015-02-04,3.3399999141693115
2015-02-05,3.6700000762939453
2015-02-06,3.6700000762939453
2015-02-09,93.09500122070312
2015-02-10,3.3299999237060547
2015-02-11,91.97200012207031
2015-02-12,3.0299999713897705
2015-02-13,3.0199999809265137
2015-02-17,90.70999908447266
2015-02-18,91.15299987792969
2015-02-19,3.319999933242798
2015-02-20,3.319999933242798
2015-02-23,3.25
2015-02-24,96.53600311279297
2015-02-25,98.67500305175781
2015-02-26,96.9540023803711
2015-02-27,97.3219985961914
2015-03-02,3.930000066757202
2015-03-03,95.06400299072266
2015-03-04,4.25
2015-03-05,4.460000038146973
2015-03-06,98.97000122070312
2015-03-09,4.0
2015-03-10,4.199999809265137
2015-03-11,4.349999904632568
2015-03-12,100.40699768066406
2015-03-13,100.02200317382812
2015-03-16,4.5
2015-03-17,98.8949966430664
2015-03-18,98.27200317382812
2015-03-19,4.5
2015-03-20,97.91799926757812
2015-03-23,96.0
2015-03-24,95.85099792480469
2015-03-25,
2015-03-26,4.5
2015-03-27,
2015-03-30,
2015-03-31,4.5
2015-04-01,4.679999828338623
2015-04-02,
2015-04-06,5.130000114440918
2015-04-07,4.880000114440918
2015-04-08,
2015-04-09,
2015-04-10,
2015-04-13,
2015-04-14,
2015-04-15,98.7969970703125
2015-04-16,
2015-04-17,
2015-04-20,
2015-04-21,4.610000133514404
2015-04-22,
2015-04-23,
2015-04-24,
2015-04-27,
2015-04-28,
2015-04-29,
2015-04-30,
2015-05-01,
2015-05-04,
2015-05-05,
2015-05-06,3.859999895095825
2015-05-07,
2015-05-08,
2015-05-11,
2015-05-12,
2015-05-13,
2015-05-14,3.609999895095825
2015-05-15,3.7899999618530273
2015-05-18,3.7899999618530273
2015-05-19,3.9000000953674316
2015-05-20,
2015-05-21,3.9000000953674316
2015-05-22,3.9000000953674316
2015-05-26,3.9000000953674316
2015-05-27,
2015-05-28,3.9000000953674316
2015-05-29,3.9000000953674316
2015-06-01,3.9000000953674316
2015-06-02,
2015-06-03,3.75
2015-06-04,3.890000104904175
2015-06-05,3.890000104904175
2015-06-08,3.799999952316284
2015-06-09,
2015-06-10,
2015-06-11,
2015-06-12,
2015-06-15,
2015-06-16,
2015-06-17,4.0
2015-06-18,3.799999952316284
2015-06-19,3.7200000286102295
2015-06-22,
2015-06-23,3.75
2015-06-24,3.75
2015-06-25,
2015-06-26,
2015-06-29,
2015-06-30,
2015-07-01,
2015-07-02,3.6500000953674316
2015-07-06,
2015-07-07,
2015-07-08,3.8299999237060547
2015-07-09,
2015-07-10,
2015-07-13,4.190000057220459
2015-07-14,
2015-07-15,
2015-07-16,
2015-07-17,
2015-07-20,3.990000009536743
2015-07-21,
2015-07-22,4.019999980926514
2015-07-23,3.819999933242798
2015-07-24,
2015-07-27,89.51300048828125
2015-07-28,89.2229995727539
2015-07-29,
2015-07-30,
2015-07-31,
2015-08-03,
2015-08-04,
2015-08-05,
2015-08-06,
2015-08-07,
2015-08-10,
2015-08-11,
2015-08-12,
2015-08-13,
2015-08-14,
2015-08-17,
2015-08-18,
2015-08-19,
2015-08-20,
2015-08-21,
2015-08-24,
2015-08-25,3.5999999046325684
2015-08-26,2.7100000381469727
2015-08-27,2.7100000381469727
2015-08-28,2.7100000381469727
2015-08-31,2.8399999141693115
2015-09-01,2.9800000190734863
2015-09-02,3.119999885559082
2015-09-03,3.2699999809265137
2015-09-04,3.430000066757202
2015-09-08,
2015-09-09,
2015-09-10,3.7899999618530273
2015-09-11,3.7899999618530273
2015-09-14,3.609999895095825
2015-09-15,3.609999895095825
2015-09-16,3.609999895095825
2015-09-17,
2015-09-18,3.609999895095825
2015-09-21,
2015-09-22,3.5999999046325684
2015-09-23,
2015-09-24,
2015-09-25,
2015-09-28,3.609999895095825
2015-09-29,
2015-09-30,
2015-10-01,
2015-10-02,3.440000057220459
2015-10-05,3.5999999046325684
2015-10-06,
2015-10-07,3.5999999046325684
2015-10-08,
2015-10-09,3.4200000762939453
2015-10-12,
2015-10-13,
2015-10-14,
2015-10-15,3.440000057220459
2015-10-16,3.440000057220459
2015-10-19,
2015-10-20,
2015-10-21,3.440000057220459
2015-10-22,3.440000057220459
2015-10-23,
2015-10-26,
2015-10-27,3.5799999237060547
2015-10-28,3.5799999237060547
2015-10-29,
2015-10-30,3.5799999237060547
2015-11-02,
2015-11-03,
2015-11-04,
2015-11-05,3.2100000381469727
2015-11-06,3.200000047683716
2015-11-09,
2015-11-10,3.5
2015-11-11,3.3299999237060547
2015-11-12,
2015-11-13,
2015-11-16,74.76699829101562
2015-11-17,3.5899999141693115
2015-11-18,75.68399810791016
2015-11-19,3.259999990463257
2015-11-20,77.56700134277344
2015-11-23,
2015-11-24,
2015-11-25,
2015-11-27,
2015-11-30,
2015-12-01,
2015-12-02,
2015-12-03,
2015-12-04,
2015-12-07,
2015-12-08,
2015-12-09,
2015-12-10,3.140000104904175
2015-12-11,
2015-12-14,
2015-12-15,
2015-12-16,
2015-12-17,
2015-12-18,
2015-12-21,
2015-12-22,
2015-12-23,3.130000114440918
2015-12-24,
2015-12-28,
2015-12-29,3.130000114440918
2015-12-30,3.130000114440918
2015-12-31,3.130000114440918
2016-01-04,3.130000114440918
2016-01-05,3.130000114440918
2016-01-06,3.2799999713897705
2016-01-07,3.119999885559082
2016-01-08,3.2699999809265137
2016-01-11,3.2699999809265137
2016-01-12,3.2699999809265137
2016-01-13,2.9600000381469727
2016-01-14,3.0999999046325684
2016-01-15,75.48300170898438
2016-01-19,76.08599853515625
2016-01-20,2.809999942779541
2016-01-21,2.809999942779541
2016-01-22,2.809999942779541
2016-01-25,2.809999942779541
2016-01-26,2.809999942779541
2016-01-27,2.809999942779541
2016-01-28,2.809999942779541
2016-01-29,
2016-02-01,2.809999942779541
2016-02-02,2.890000104904175
2016-02-03,
2016-02-04,2.75
2016-02-05,2.880000114440918
2016-02-08,2.880000114440918
2016-02-09,2.880000114440918
2016-02-10,2.880000114440918
2016-02-11,2.990000009536743
2016-02-12,
2016-02-16,2.890000104904175
2016-02-17,2.890000104904175
2016-02-18,2.890000104904175
2016-02-19,76.0999984741211
2016-02-22,77.2249984741211
2016-02-23,2.890000104904175
2016-02-24,2.890000104904175
2016-02-25,84.73600006103516
2016-02-26,3.0199999809265137
2016-02-29,81.91100311279297
2016-03-01,84.23200225830078
2016-03-02,2.869999885559082
2016-03-03,2.869999885559082
2016-03-04,2.7300000190734863
2016-03-07,2.5999999046325684
2016-03-08,2.5999999046325684
2016-03-09,85.04499816894531
2016-03-10,85.23500061035156
2016-03-11,2.5999999046325684
2016-03-14,
2016-03-15,
2016-03-16,
2016-03-17,
2016-03-18,
2016-03-21,
2016-03-22,
2016-03-23,
2016-03-24,
2016-03-28,
2016-03-29,
2016-03-30,
2016-03-31,
2016-04-01,
2016-04-04,
2016-04-05,
2016-04-06,
2016-04-07,
2016-04-08,
2016-04-11,
2016-04-12,
2016-04-13,
2016-04-14,82.22100067138672
2016-04-15,81.3239974975586
2016-04-18,81.0199966430664
2016-04-19,2.130000114440918
2016-04-20,78.38700103759766
2016-04-21,79.20700073242188
2016-04-22,78.62200164794922
2016-04-25,78.24199676513672
2016-04-26,2.130000114440918
2016-04-27,2.130000114440918
2016-04-28,2.130000114440918
2016-04-29,2.130000114440918
2016-05-02,2.130000114440918
2016-05-03,2.130000114440918
2016-05-04,2.130000114440918
2016-05-05,2.130000114440918
2016-05-06,2.130000114440918
2016-05-09,2.2300000190734863
2016-05-10,2.3399999141693115
2016-05-11,2.450000047683716
2016-05-12,2.569999933242798
2016-05-13,2.450000047683716
2016-05-16,2.3299999237060547
2016-05-17,
2016-05-18,
2016-05-19,
2016-05-20,2.109999895095825
2016-05-23,
2016-05-24,2.009999990463257
2016-05-25,1.9199999570846558
2016-05-26,
2016-05-27,2.0
2016-05-31,
2016-06-01,
2016-06-02,
2016-06-03,
2016-06-06,
2016-06-07,2.0
2016-06-08,
2016-06-09,2.0
2016-06-10,2.0
2016-06-13,74.74400329589844
2016-06-14,74.23400115966797
2016-06-15,73.54299926757812
2016-06-16,2.0999999046325684
2016-06-17,2.0999999046325684
2016-06-20,2.0999999046325684
2016-06-21,71.84300231933594
2016-06-22,71.85299682617188
2016-06-23,2.0999999046325684
2016-06-24,
2016-06-27,
2016-06-28,
2016-06-29,
2016-06-30,
2016-07-01,
2016-07-05,
2016-07-06,
2016-07-07,
2016-07-08,
2016-07-11,
2016-07-12,
2016-07-13,
2016-07-14,
2016-07-15,1.9500000476837158
2016-07-18,1.8600000143051147
2016-07-19,
2016-07-20,
2016-07-21,
2016-07-22,
2016-07-25,
2016-07-26,
2016-07-27,
2016-07-28,
2016-07-29,
2016-08-01,1.809999942779541
2016-08-02,1.7999999523162842
2016-08-03,1.7999999523162842
2016-08-04,1.7999999523162842
2016-08-05,1.7999999523162842
2016-08-08,1.7999999523162842
2016-08-09,1.7999999523162842
2016-08-10,1.8899999856948853
2016-08-11,1.8899999856948853
2016-08-12,1.7999999523162842
2016-08-15,1.7999999523162842
2016-08-16,1.7999999523162842
2016-08-17,
2016-08-18,1.7100000381469727
2016-08-19,1.7100000381469727
2016-08-22,1.7100000381469727
2016-08-23,
2016-08-24,1.7799999713897705
2016-08-25,
2016-08-26,1.7799999713897705
2016-08-29,1.7799999713897705
2016-08-30,
2016-08-31,
2016-09-01,1.7799999713897705
2016-09-02,1.7799999713897705
2016-09-06,
2016-09-07,1.7999999523162842
2016-09-08,1.809999942779541
2016-09-09,1.8600000143051147
2016-09-12,
2016-09-13,
2016-09-14,
2016-09-15,
2016-09-16,
2016-09-19,1.8600000143051147
2016-09-20,
2016-09-21,
2016-09-22,1.8600000143051147
2016-09-23,
2016-09-26,1.8600000143051147
2016-09-27,
2016-09-28,
2016-09-29,
2016-09-30,1.8200000524520874
2016-10-03,
2016-10-04,
2016-10-05,
2016-10-06,
2016-10-07,
2016-10-10,
2016-10-11,
2016-10-12,
2016-10-13,1.8600000143051147
2016-10-14,
2016-10-17,1.8600000143051147
2016-10-18,
2016-10-19,
2016-10-20,
2016-10-21,1.850000023841858
2016-10-24,
2016-10-25,
2016-10-26,
2016-10-27,
2016-10-28,
2016-10-31,
2016-11-01,
2016-11-02,
2016-11-03,
2016-11-04,
2016-11-07,
2016-11-08,
2016-11-09,
2016-11-10,
2016-11-11,1.7799999713897705
2016-11-14,1.7799999713897705
2016-11-15,1.7799999713897705
2016-11-16,1.7799999713897705
2016-11-17,1.7799999713897705
2016-11-18,1.7799999713897705
2016-11-21,1.7799999713897705
2016-11-22,1.7799999713897705
2016-11-23,1.7799999713897705
2016-11-25,1.7799999713897705
2016-11-28,1.7799999713897705
2016-11-29,1.7799999713897705
2016-11-30,
2016-12-01,1.7799999713897705
2016-12-02,
2016-12-05,
2016-12-06,1.7799999713897705
2016-12-07,1.7799999713897705
2016-12-08,1.7799999713897705
2016-12-09,1.7799999713897705
2016-12-12,1.7799999713897705
2016-12-13,
2016-12-14,1.7799999713897705
2016-12-15,
2016-12-16,
2016-12-19,
2016-12-20,
2016-12-21,
2016-12-22,1.7799999713897705
2016-12-23,1.7799999713897705
2016-12-27,1.7799999713897705
2016-12-28,1.7799999713897705
2016-12-29,
2016-12-30,
2017-01-03,
2017-01-04,
2017-01-05,1.7799999713897705
2017-01-06,
2017-01-09,1.7799999713897705
2017-01-10,1.7799999713897705
2017-01-11,1.7799999713897705
2017-01-12,1.7799999713897705
2017-01-13,1.7799999713897705
2017-01-17,1.7799999713897705
2017-01-18,1.7799999713897705
2017-01-19,1.7799999713897705
2017-01-20,1.7799999713897705
2017-01-23,1.7799999713897705
2017-01-24,1.7799999713897705
2017-01-25,1.7799999713897705
2017-01-26,1.7799999713897705
2017-01-27,1.7799999713897705
2017-01-30,1.7799999713897705
2017-01-31,1.7799999713897705
2017-02-01,1.7799999713897705
2017-02-02,1.7799999713897705
2017-02-03,1.7799999713897705
2017-02-06,1.7799999713897705
2017-02-07,1.7799999713897705
2017-02-08,1.7799999713897705
2017-02-09,1.7799999713897705
2017-02-10,1.7799999713897705
2017-02-13,1.7799999713897705
2017-02-14,1.7799999713897705
2017-02-15,1.7799999713897705
2017-02-16,1.7799999713897705
2017-02-17,1.7799999713897705
2017-02-21,1.7799999713897705
2017-02-22,1.7799999713897705
2017-02-23,1.7799999713897705
2017-02-24,1.7799999713897705
2017-02-27,1.7799999713897705
2017-02-28,1.7799999713897705
2017-03-01,1.7799999713897705
2017-03-02,1.7799999713897705
2017-03-03,1.7799999713897705
2017-03-06,1.7799999713897705
2017-03-07,1.7799999713897705
2017-03-08,1.7799999713897705
2017-03-09,1.7799999713897705
2017-03-10,1.7799999713897705
2017-03-13,1.7799999713897705
2017-03-14,1.7799999713897705
2017-03-15,1.7799999713897705
2017-03-16,1.7799999713897705
2017-03-17,1.7799999713897705
2017-03-20,1.7799999713897705
2017-03-21,1.7799999713897705
2017-03-22,1.7799999713897705
2017-03-23,1.7799999713897705
2017-03-24,1.7799999713897705
