,FAT
2017-10-23,11.319999694824219
2017-10-24,11.0
2017-10-25,11.100000381469727
2017-10-26,11.5
2017-10-27,11.670000076293945
2017-10-30,10.779999732971191
2017-10-31,10.880000114440918
2017-11-01,10.75
2017-11-02,10.800000190734863
2017-11-03,10.25
2017-11-06,9.270000457763672
2017-11-07,8.899999618530273
2017-11-08,8.770000457763672
2017-11-09,9.289999961853027
2017-11-10,9.5
2017-11-13,9.199999809265137
2017-11-14,9.380000114440918
2017-11-15,9.555000305175781
2017-11-16,9.40999984741211
2017-11-17,9.279999732971191
2017-11-20,9.140000343322754
2017-11-21,9.760000228881836
2017-11-22,10.199999809265137
2017-11-24,10.152000427246094
2017-11-27,9.819999694824219
2017-11-28,9.850000381469727
2017-11-29,9.760000228881836
2017-11-30,9.390000343322754
2017-12-01,9.289999961853027
2017-12-04,9.40999984741211
2017-12-05,9.210000038146973
2017-12-06,9.0
2017-12-07,9.069999694824219
2017-12-08,8.779999732971191
2017-12-11,8.760000228881836
2017-12-12,8.779999732971191
2017-12-13,8.75
2017-12-14,8.65999984741211
2017-12-15,7.670000076293945
2017-12-18,8.100000381469727
2017-12-19,7.900000095367432
2017-12-20,7.519999980926514
2017-12-21,8.050000190734863
2017-12-22,8.079999923706055
2017-12-26,7.800000190734863
2017-12-27,8.75
2017-12-28,9.010000228881836
2017-12-29,8.920000076293945
2018-01-02,9.329999923706055
2018-01-03,9.34000015258789
2018-01-04,10.100000381469727
2018-01-05,9.600000381469727
2018-01-08,9.710000038146973
2018-01-09,10.010000228881836
2018-01-10,9.939000129699707
2018-01-11,10.0
2018-01-12,9.6899995803833
2018-01-16,9.569999694824219
2018-01-17,9.039999961853027
2018-01-18,9.057999610900879
2018-01-19,8.84000015258789
2018-01-22,8.722999572753906
2018-01-23,8.5600004196167
2018-01-24,8.770000457763672
2018-01-25,8.800000190734863
2018-01-26,8.5
2018-01-29,8.279999732971191
2018-01-30,8.449999809265137
2018-01-31,8.119999885559082
2018-02-01,8.180000305175781
2018-02-02,8.180000305175781
2018-02-05,8.520000457763672
2018-02-06,8.390000343322754
2018-02-07,8.149999618530273
2018-02-08,8.289999961853027
2018-02-09,8.0
2018-02-12,8.25
2018-02-13,8.449000358581543
2018-02-14,8.069999694824219
