,FIII
2020-09-21,9.850000381469727
2020-09-22,9.90999984741211
2020-09-23,9.890000343322754
2020-09-24,9.859999656677246
2020-09-25,9.84000015258789
2020-09-28,9.850000381469727
2020-09-29,9.949999809265137
2020-09-30,9.940999984741211
2020-10-01,9.899999618530273
2020-10-02,9.800000190734863
2020-10-05,9.779999732971191
2020-10-06,9.75
2020-10-07,9.729999542236328
2020-10-08,9.710000038146973
2020-10-09,9.71500015258789
2020-10-12,9.71500015258789
2020-10-13,9.710000038146973
2020-10-14,9.729999542236328
2020-10-15,9.789999961853027
2020-10-16,9.850000381469727
2020-10-19,9.829999923706055
2020-10-20,9.789999961853027
2020-10-21,9.75
2020-10-22,9.710000038146973
2020-10-23,9.710000038146973
2020-10-26,9.699999809265137
2020-10-27,9.75
2020-10-28,9.699999809265137
2020-10-29,9.699999809265137
2020-10-30,9.670000076293945
2020-11-02,9.720000267028809
2020-11-03,9.75
2020-11-04,9.729999542236328
2020-11-05,9.720000267028809
2020-11-06,9.789999961853027
2020-11-09,9.770000457763672
2020-11-10,9.760000228881836
2020-11-11,9.720000267028809
2020-11-12,9.739999771118164
2020-11-13,9.739999771118164
2020-11-16,9.770000457763672
2020-11-17,9.770000457763672
2020-11-18,9.800000190734863
2020-11-19,10.850000381469727
2020-11-20,10.550000190734863
2020-11-23,11.140000343322754
2020-11-24,11.0
2020-11-25,11.15999984741211
2020-11-27,11.6899995803833
2020-11-30,12.020000457763672
2020-12-01,11.0
2020-12-02,10.699999809265137
2020-12-03,11.140000343322754
2020-12-04,11.600000381469727
2020-12-07,11.699999809265137
2020-12-08,11.430000305175781
2020-12-09,11.699999809265137
2020-12-10,11.729999542236328
2020-12-11,12.489999771118164
2020-12-14,12.300000190734863
2020-12-15,11.449999809265137
2020-12-16,11.359999656677246
2020-12-17,11.0
2020-12-18,11.300000190734863
2020-12-21,12.0
2020-12-22,12.449999809265137
2020-12-23,14.199999809265137
2020-12-24,14.0
2020-12-28,14.100000381469727
2020-12-29,13.699999809265137
2020-12-30,13.619999885559082
2020-12-31,13.539999961853027
2021-01-04,14.100000381469727
2021-01-05,14.109999656677246
2021-01-06,13.760000228881836
2021-01-07,14.489999771118164
2021-01-08,13.800000190734863
2021-01-11,13.520000457763672
2021-01-12,13.270000457763672
2021-01-13,13.329999923706055
2021-01-14,13.720000267028809
2021-01-15,13.25
2021-01-19,13.229999542236328
2021-01-20,12.960000038146973
2021-01-21,12.800000190734863
2021-01-22,13.130000114440918
2021-01-25,12.800000190734863
2021-01-26,13.729999542236328
2021-01-27,12.850000381469727
2021-01-28,12.579999923706055
2021-01-29,12.239999771118164
2021-02-01,12.800000190734863
2021-02-02,12.710000038146973
2021-02-03,12.710000038146973
2021-02-04,12.5
2021-02-05,12.65999984741211
2021-02-08,12.149999618530273
2021-02-09,12.369999885559082
2021-02-10,12.0
2021-02-11,11.90999984741211
2021-02-12,12.079999923706055
2021-02-16,12.010000228881836
2021-02-17,12.260000228881836
2021-02-18,11.869999885559082
2021-02-19,11.600000381469727
2021-02-22,11.420000076293945
2021-02-23,10.850000381469727
2021-02-24,10.899999618530273
2021-02-25,10.600000381469727
2021-02-26,10.460000038146973
2021-03-01,10.770000457763672
2021-03-02,10.430000305175781
2021-03-03,10.180000305175781
2021-03-04,10.460000038146973
2021-03-05,10.300000190734863
2021-03-08,10.199999809265137
2021-03-09,10.430000305175781
2021-03-10,10.260000228881836
2021-03-11,10.5
2021-03-12,10.390000343322754
2021-03-15,10.270000457763672
2021-03-16,10.25
2021-03-17,10.260000228881836
2021-03-18,10.239999771118164
2021-03-19,10.1899995803833
2021-03-22,10.229999542236328
2021-03-23,10.09000015258789
2021-03-24,10.010000228881836
2021-03-25,9.9399995803833
2021-03-26,10.199999809265137
2021-03-29,9.970000267028809
2021-03-30,9.960000038146973
2021-03-31,9.970000267028809
2021-04-01,10.09000015258789
2021-04-05,10.050000190734863
2021-04-06,10.029999732971191
2021-04-07,10.050000190734863
2021-04-08,10.069999694824219
2021-04-09,10.020000457763672
2021-04-12,10.0
2021-04-13,9.970000267028809
2021-04-14,9.979999542236328
2021-04-15,9.970000267028809
2021-04-16,9.930000305175781
2021-04-19,9.850000381469727
2021-04-20,9.84000015258789
2021-04-21,9.859999656677246
2021-04-22,9.859999656677246
2021-04-23,9.920000076293945
2021-04-26,9.920000076293945
2021-04-27,9.930000305175781
2021-04-28,9.90999984741211
2021-04-29,9.949999809265137
2021-04-30,9.899999618530273
2021-05-03,9.920000076293945
2021-05-04,9.9399995803833
2021-05-05,9.920000076293945
2021-05-06,9.90999984741211
2021-05-07,9.920000076293945
2021-05-10,9.949999809265137
2021-05-11,9.920000076293945
2021-05-12,9.920000076293945
2021-05-13,9.90999984741211
2021-05-14,9.890000343322754
