,BICK
2010-04-13,30.030000686645508
2010-04-14,30.649999618530273
2010-04-15,30.399999618530273
2010-04-16,29.450000762939453
2010-04-19,29.299999237060547
2010-04-20,29.81999969482422
2010-04-21,29.770000457763672
2010-04-22,30.059999465942383
2010-04-23,30.110000610351562
2010-04-26,30.25
2010-04-27,29.459999084472656
2010-04-28,29.5
2010-04-29,29.940000534057617
2010-04-30,29.75
2010-05-03,29.829999923706055
2010-05-04,28.68000030517578
2010-05-05,28.299999237060547
2010-05-06,26.670000076293945
2010-05-07,26.8700008392334
2010-05-10,29.040000915527344
2010-05-11,28.559999465942383
2010-05-12,28.860000610351562
2010-05-13,28.610000610351562
2010-05-14,28.079999923706055
2010-05-17,27.690000534057617
2010-05-18,27.239999771118164
2010-05-19,26.700000762939453
2010-05-20,25.760000228881836
2010-05-21,25.950000762939453
2010-05-24,26.31999969482422
2010-05-25,25.809999465942383
2010-05-26,25.850000381469727
2010-05-27,27.260000228881836
2010-05-28,27.299999237060547
2010-06-01,26.700000762939453
2010-06-02,27.360000610351562
2010-06-03,26.889999389648438
2010-06-04,26.68000030517578
2010-06-07,26.299999237060547
2010-06-08,26.40999984741211
2010-06-09,26.420000076293945
2010-06-10,27.110000610351562
2010-06-11,27.360000610351562
2010-06-14,27.729999542236328
2010-06-15,28.260000228881836
2010-06-16,28.219999313354492
2010-06-17,28.40999984741211
2010-06-18,28.420000076293945
2010-06-21,29.059999465942383
2010-06-22,28.489999771118164
2010-06-23,28.68000030517578
2010-06-24,28.18000030517578
2010-06-25,28.1299991607666
2010-06-28,28.020000457763672
2010-06-29,27.0
2010-06-30,27.049999237060547
2010-07-01,27.0
2010-07-02,26.989999771118164
2010-07-06,27.059999465942383
2010-07-07,27.440000534057617
2010-07-08,27.690000534057617
2010-07-09,28.18000030517578
2010-07-12,28.110000610351562
2010-07-13,28.200000762939453
2010-07-14,28.200000762939453
2010-07-15,27.780000686645508
2010-07-16,27.040000915527344
2010-07-19,27.260000228881836
2010-07-20,27.760000228881836
2010-07-21,27.84000015258789
2010-07-22,28.559999465942383
2010-07-23,28.899999618530273
2010-07-26,29.100000381469727
2010-07-27,29.079999923706055
2010-07-28,28.829999923706055
2010-07-29,28.979999542236328
2010-07-30,29.1200008392334
2010-08-02,29.969999313354492
2010-08-03,29.670000076293945
2010-08-04,29.850000381469727
2010-08-05,29.549999237060547
2010-08-06,29.5
2010-08-09,29.690000534057617
2010-08-10,29.309999465942383
2010-08-11,28.389999389648438
2010-08-12,28.440000534057617
2010-08-13,28.649999618530273
2010-08-16,28.760000228881836
2010-08-17,29.0
2010-08-18,29.209999084472656
2010-08-19,28.979999542236328
2010-08-20,28.979999542236328
2010-08-23,28.610000610351562
2010-08-24,28.1200008392334
2010-08-25,27.84000015258789
2010-08-26,27.93000030517578
2010-08-27,28.420000076293945
2010-08-30,28.06999969482422
2010-08-31,28.190000534057617
2010-09-01,29.170000076293945
2010-09-02,29.15999984741211
2010-09-03,29.360000610351562
2010-09-07,29.270000457763672
2010-09-08,29.40999984741211
