,BIDU
2005-08-05,12.253999710083008
2005-08-08,11.550000190734863
2005-08-09,9.609999656677246
2005-08-10,9.175000190734863
2005-08-11,9.789999961853027
2005-08-12,9.5
2005-08-15,9.300000190734863
2005-08-16,9.151000022888184
2005-08-17,8.581000328063965
2005-08-18,8.248000144958496
2005-08-19,7.954999923706055
2005-08-22,7.269000053405762
2005-08-23,8.199999809265137
2005-08-24,7.78000020980835
2005-08-25,7.900000095367432
2005-08-26,7.888000011444092
2005-08-29,7.860000133514404
2005-08-30,8.100000381469727
2005-08-31,8.100000381469727
2005-09-01,7.892000198364258
2005-09-02,7.802000045776367
2005-09-06,7.78000020980835
2005-09-07,8.258000373840332
2005-09-08,8.354000091552734
2005-09-09,9.630000114440918
2005-09-12,11.225000381469727
2005-09-13,11.359000205993652
2005-09-14,8.131999969482422
2005-09-15,8.199999809265137
2005-09-16,7.835000038146973
2005-09-19,7.953000068664551
2005-09-20,8.050000190734863
2005-09-21,8.029999732971191
2005-09-22,7.919000148773193
2005-09-23,7.914999961853027
2005-09-26,7.728000164031982
2005-09-27,7.25
2005-09-28,6.571000099182129
2005-09-29,6.5
2005-09-30,6.4019999504089355
2005-10-03,6.611000061035156
2005-10-04,7.039000034332275
2005-10-05,6.829999923706055
2005-10-06,6.826000213623047
2005-10-07,6.71999979019165
2005-10-10,6.545000076293945
2005-10-11,6.525000095367432
2005-10-12,6.360000133514404
2005-10-13,6.2220001220703125
2005-10-14,6.7270002365112305
2005-10-17,6.659999847412109
2005-10-18,6.736999988555908
2005-10-19,6.579999923706055
2005-10-20,6.599999904632568
2005-10-21,7.0
2005-10-24,8.098999977111816
2005-10-25,7.980999946594238
2005-10-26,8.104999542236328
2005-10-27,7.034999847412109
2005-10-28,6.809000015258789
2005-10-31,6.943999767303467
2005-11-01,6.869999885559082
2005-11-02,6.849999904632568
2005-11-03,6.824999809265137
2005-11-04,6.829999923706055
2005-11-07,7.260000228881836
2005-11-08,7.178999900817871
2005-11-09,6.999000072479248
2005-11-10,7.043000221252441
2005-11-11,7.005000114440918
2005-11-14,7.0
2005-11-15,6.881999969482422
2005-11-16,6.949999809265137
2005-11-17,7.317999839782715
2005-11-18,7.0920000076293945
2005-11-21,7.159999847412109
2005-11-22,7.4720001220703125
2005-11-23,8.048999786376953
2005-11-25,8.376999855041504
2005-11-28,7.8460001945495605
2005-11-29,7.638999938964844
2005-11-30,7.797999858856201
2005-12-01,7.9720001220703125
2005-12-02,7.889999866485596
2005-12-05,7.800000190734863
2005-12-06,7.817999839782715
2005-12-07,7.76800012588501
2005-12-08,7.7220001220703125
2005-12-09,7.584000110626221
2005-12-12,7.586999893188477
2005-12-13,7.418000221252441
2005-12-14,6.940000057220459
2005-12-15,6.885000228881836
2005-12-16,6.571000099182129
2005-12-19,6.6539998054504395
2005-12-20,6.50600004196167
2005-12-21,6.448999881744385
2005-12-22,6.4720001220703125
2005-12-23,6.675000190734863
2005-12-27,6.539999961853027
2005-12-28,6.4770002365112305
2005-12-29,6.364999771118164
2005-12-30,6.291999816894531
2006-01-03,6.349999904632568
2006-01-04,6.630000114440918
2006-01-05,6.619999885559082
2006-01-06,6.584000110626221
2006-01-09,6.61299991607666
2006-01-10,6.668000221252441
2006-01-11,6.534999847412109
2006-01-12,6.465000152587891
2006-01-13,6.552999973297119
2006-01-17,6.473999977111816
2006-01-18,6.25
2006-01-19,6.230000019073486
2006-01-20,6.085999965667725
2006-01-23,5.630000114440918
2006-01-24,5.642000198364258
2006-01-25,5.25
2006-01-26,5.185999870300293
2006-01-27,5.171999931335449
2006-01-30,5.250999927520752
2006-01-31,5.451000213623047
2006-02-01,5.10099983215332
2006-02-02,4.90500020980835
2006-02-03,4.611999988555908
2006-02-06,4.563000202178955
2006-02-07,4.514999866485596
2006-02-08,4.921000003814697
2006-02-09,4.932000160217285
2006-02-10,4.849999904632568
2006-02-13,4.915999889373779
2006-02-14,4.89300012588501
2006-02-15,4.925000190734863
2006-02-16,4.901000022888184
2006-02-17,5.00600004196167
2006-02-21,5.169000148773193
2006-02-22,5.4730000495910645
2006-02-23,5.230000019073486
2006-02-24,5.285999774932861
2006-02-27,5.429999828338623
2006-02-28,5.142000198364258
2006-03-01,5.124000072479248
2006-03-02,5.260000228881836
2006-03-03,5.2210001945495605
2006-03-06,5.375999927520752
2006-03-07,5.341000080108643
2006-03-08,5.14900016784668
2006-03-09,4.831999778747559
2006-03-10,4.909999847412109
2006-03-13,4.966000080108643
2006-03-14,4.869999885559082
2006-03-15,4.849999904632568
2006-03-16,4.831999778747559
2006-03-17,4.9019999504089355
2006-03-20,5.078000068664551
2006-03-21,4.940000057220459
2006-03-22,5.099999904632568
2006-03-23,5.059999942779541
2006-03-24,5.019999980926514
2006-03-27,5.210999965667725
2006-03-28,5.110000133514404
2006-03-29,5.446000099182129
2006-03-30,5.800000190734863
2006-03-31,5.60699987411499
2006-04-03,5.489999771118164
2006-04-04,5.572999954223633
2006-04-05,5.550000190734863
2006-04-06,5.7270002365112305
2006-04-07,5.739999771118164
2006-04-10,5.914000034332275
2006-04-11,5.558000087738037
2006-04-12,5.679999828338623
2006-04-13,5.745999813079834
2006-04-17,5.679999828338623
2006-04-18,5.755000114440918
2006-04-19,6.132999897003174
2006-04-20,6.059999942779541
2006-04-21,6.050000190734863
2006-04-24,6.005000114440918
2006-04-25,5.913000106811523
2006-04-26,5.815000057220459
2006-04-27,5.728000164031982
2006-04-28,5.796000003814697
2006-05-01,5.926000118255615
2006-05-02,5.894000053405762
2006-05-03,6.0
2006-05-04,6.329999923706055
2006-05-05,6.289000034332275
2006-05-08,6.367000102996826
2006-05-09,6.138000011444092
2006-05-10,8.39799976348877
2006-05-11,8.151000022888184
2006-05-12,7.85099983215332
2006-05-15,8.4350004196167
2006-05-16,8.267000198364258
2006-05-17,8.399999618530273
2006-05-18,7.803999900817871
2006-05-19,8.199999809265137
2006-05-22,7.883999824523926
2006-05-23,8.241000175476074
2006-05-24,8.39799976348877
2006-05-25,7.933000087738037
2006-05-26,7.945000171661377
2006-05-30,7.765999794006348
2006-05-31,7.7820000648498535
2006-06-01,8.343000411987305
