,FNK
2011-04-20,20.31999969482422
2011-04-21,20.389999389648438
2011-04-25,20.34000015258789
2011-04-26,20.34000015258789
2011-04-27,20.65999984741211
2011-04-28,20.739999771118164
2011-04-29,20.739999771118164
2011-05-02,20.739999771118164
2011-05-03,20.510000228881836
2011-05-04,20.479999542236328
2011-05-05,20.479999542236328
2011-05-06,20.479999542236328
2011-05-09,20.6200008392334
2011-05-10,20.799999237060547
2011-05-11,20.530000686645508
2011-05-12,20.81999969482422
2011-05-13,20.75
2011-05-16,20.530000686645508
2011-05-17,20.25
2011-05-18,20.389999389648438
2011-05-19,20.56999969482422
2011-05-20,20.420000076293945
2011-05-23,20.200000762939453
2011-05-24,20.010000228881836
2011-05-25,20.010000228881836
2011-05-26,20.260000228881836
2011-05-27,20.450000762939453
2011-05-31,20.579999923706055
2011-06-01,20.190000534057617
2011-06-02,20.190000534057617
2011-06-03,19.850000381469727
2011-06-06,19.850000381469727
2011-06-07,19.670000076293945
2011-06-08,19.56999969482422
2011-06-09,19.670000076293945
2011-06-10,19.670000076293945
2011-06-13,19.31999969482422
2011-06-14,19.31999969482422
2011-06-15,19.6200008392334
2011-06-16,19.389999389648438
2011-06-17,19.510000228881836
2011-06-20,19.6299991607666
2011-06-21,19.8799991607666
2011-06-22,19.850000381469727
2011-06-23,19.719999313354492
2011-06-24,19.6200008392334
2011-06-27,19.610000610351562
2011-06-28,19.610000610351562
2011-06-29,20.06999969482422
2011-06-30,20.219999313354492
2011-07-01,20.450000762939453
2011-07-05,20.479999542236328
2011-07-06,20.59000015258789
2011-07-07,20.809999465942383
2011-07-08,20.56999969482422
2011-07-11,20.56999969482422
2011-07-12,20.290000915527344
2011-07-13,20.299999237060547
2011-07-14,20.200000762939453
2011-07-15,20.200000762939453
2011-07-18,19.709999084472656
2011-07-19,19.709999084472656
2011-07-20,20.079999923706055
2011-07-21,20.079999923706055
2011-07-22,20.309999465942383
2011-07-25,20.229999542236328
2011-07-26,20.059999465942383
2011-07-27,19.5
2011-07-28,19.5
2011-07-29,19.5
2011-08-01,19.079999923706055
2011-08-02,18.739999771118164
2011-08-03,18.329999923706055
2011-08-04,17.549999237060547
2011-08-05,17.420000076293945
2011-08-08,16.34000015258789
2011-08-09,16.420000076293945
2011-08-10,16.31999969482422
2011-08-11,16.950000762939453
2011-08-12,16.969999313354492
2011-08-15,17.479999542236328
2011-08-16,17.280000686645508
2011-08-17,17.280000686645508
2011-08-18,17.1299991607666
2011-08-19,17.1299991607666
2011-08-22,16.1200008392334
2011-08-23,16.1200008392334
2011-08-24,16.84000015258789
2011-08-25,16.639999389648438
2011-08-26,16.829999923706055
2011-08-29,17.420000076293945
2011-08-30,17.670000076293945
2011-08-31,17.90999984741211
2011-09-01,17.600000381469727
2011-09-02,17.600000381469727
2011-09-06,16.450000762939453
2011-09-07,17.329999923706055
2011-09-08,17.219999313354492
2011-09-09,17.219999313354492
2011-09-12,16.479999542236328
2011-09-13,16.479999542236328
2011-09-14,16.479999542236328
2011-09-15,17.639999389648438
2011-09-16,17.65999984741211
2011-09-19,17.65999984741211
2011-09-20,17.65999984741211
2011-09-21,16.729999542236328
2011-09-22,15.890000343322754
2011-09-23,16.040000915527344
2011-09-26,16.079999923706055
2011-09-27,16.079999923706055
2011-09-28,16.350000381469727
2011-09-29,16.239999771118164
2011-09-30,16.219999313354492
2011-10-03,16.219999313354492
2011-10-04,15.350000381469727
2011-10-05,16.170000076293945
2011-10-06,16.68000030517578
2011-10-07,16.649999618530273
2011-10-10,17.049999237060547
2011-10-11,17.049999237060547
2011-10-12,17.049999237060547
2011-10-13,17.149999618530273
2011-10-14,17.149999618530273
2011-10-17,17.149999618530273
2011-10-18,17.610000610351562
2011-10-19,17.43000030517578
2011-10-20,17.219999313354492
2011-10-21,17.219999313354492
2011-10-24,18.639999389648438
2011-10-25,18.149999618530273
2011-10-26,18.309999465942383
2011-10-27,19.530000686645508
2011-10-28,19.3700008392334
2011-10-31,18.719999313354492
2011-11-01,18.209999084472656
2011-11-02,18.489999771118164
2011-11-03,18.950000762939453
2011-11-04,18.81999969482422
2011-11-07,19.049999237060547
2011-11-08,19.360000610351562
2011-11-09,18.450000762939453
2011-11-10,18.600000381469727
2011-11-11,19.209999084472656
2011-11-14,18.889999389648438
2011-11-15,19.1299991607666
2011-11-16,18.81999969482422
2011-11-17,18.309999465942383
2011-11-18,18.389999389648438
2011-11-21,17.829999923706055
2011-11-22,17.829999923706055
2011-11-23,17.829999923706055
2011-11-25,17.829999923706055
2011-11-28,17.75
2011-11-29,17.799999237060547
2011-11-30,18.729999542236328
2011-12-01,18.850000381469727
2011-12-02,18.799999237060547
2011-12-05,19.239999771118164
2011-12-06,19.020000457763672
2011-12-07,18.969999313354492
2011-12-08,18.459999084472656
2011-12-09,18.81999969482422
2011-12-12,18.399999618530273
2011-12-13,18.440000534057617
2011-12-14,17.790000915527344
2011-12-15,17.979999542236328
2011-12-16,18.079999923706055
2011-12-19,17.920000076293945
2011-12-20,18.489999771118164
2011-12-21,18.5
2011-12-22,18.65999984741211
2011-12-23,18.8799991607666
2011-12-27,18.950000762939453
2011-12-28,18.350000381469727
2011-12-29,18.709999084472656
2011-12-30,18.709999084472656
2012-01-03,19.040000915527344
2012-01-04,18.920000076293945
2012-01-05,19.059999465942383
2012-01-06,19.059999465942383
2012-01-09,19.15999984741211
2012-01-10,19.34000015258789
2012-01-11,19.299999237060547
2012-01-12,19.450000762939453
2012-01-13,19.219999313354492
2012-01-17,19.329999923706055
2012-01-18,19.520000457763672
2012-01-19,19.729999542236328
2012-01-20,19.84000015258789
2012-01-23,19.899999618530273
2012-01-24,20.049999237060547
2012-01-25,20.209999084472656
2012-01-26,19.989999771118164
