,AKUS
2020-06-26,22.0
2020-06-29,22.3700008392334
2020-06-30,22.5
2020-07-01,21.829999923706055
2020-07-02,21.149999618530273
2020-07-06,21.459999084472656
2020-07-07,21.549999237060547
2020-07-08,21.739999771118164
2020-07-09,22.25
2020-07-10,22.299999237060547
2020-07-13,22.489999771118164
2020-07-14,21.6200008392334
2020-07-15,21.700000762939453
2020-07-16,20.719999313354492
2020-07-17,21.1200008392334
2020-07-20,21.170000076293945
2020-07-21,21.780000686645508
2020-07-22,19.770000457763672
2020-07-23,20.040000915527344
2020-07-24,19.299999237060547
2020-07-27,19.989999771118164
2020-07-28,19.68000030517578
2020-07-29,20.299999237060547
2020-07-30,19.81999969482422
2020-07-31,19.549999237060547
2020-08-03,20.34000015258789
2020-08-04,20.510000228881836
2020-08-05,21.149999618530273
2020-08-06,20.329999923706055
2020-08-07,20.559999465942383
2020-08-10,20.610000610351562
2020-08-11,20.3799991607666
2020-08-12,20.3700008392334
2020-08-13,20.5
2020-08-14,20.329999923706055
2020-08-17,20.889999389648438
2020-08-18,20.479999542236328
2020-08-19,20.860000610351562
2020-08-20,21.209999084472656
2020-08-21,22.030000686645508
2020-08-24,22.389999389648438
2020-08-25,22.469999313354492
2020-08-26,22.350000381469727
2020-08-27,21.469999313354492
2020-08-28,22.600000381469727
2020-08-31,22.420000076293945
2020-09-01,24.170000076293945
2020-09-02,24.729999542236328
2020-09-03,23.979999542236328
2020-09-04,22.760000228881836
2020-09-08,25.200000762939453
2020-09-09,26.34000015258789
2020-09-10,25.190000534057617
2020-09-11,25.829999923706055
2020-09-14,26.920000076293945
2020-09-15,25.5
2020-09-16,24.0
2020-09-17,23.3799991607666
2020-09-18,26.34000015258789
2020-09-21,25.6299991607666
2020-09-22,26.709999084472656
2020-09-23,23.649999618530273
2020-09-24,22.950000762939453
2020-09-25,24.329999923706055
2020-09-28,23.329999923706055
2020-09-29,23.1200008392334
2020-09-30,22.8700008392334
2020-10-01,22.450000762939453
2020-10-02,21.34000015258789
2020-10-05,20.0
2020-10-06,19.600000381469727
2020-10-07,17.989999771118164
2020-10-08,17.649999618530273
2020-10-09,17.030000686645508
2020-10-12,17.8700008392334
2020-10-13,19.139999389648438
2020-10-14,17.360000610351562
2020-10-15,18.420000076293945
2020-10-16,19.989999771118164
2020-10-19,19.579999923706055
2020-10-20,19.270000457763672
2020-10-21,17.729999542236328
2020-10-22,18.889999389648438
2020-10-23,19.700000762939453
2020-10-26,19.299999237060547
2020-10-27,19.899999618530273
2020-10-28,18.389999389648438
2020-10-29,17.600000381469727
2020-10-30,19.40999984741211
2020-11-02,19.889999389648438
2020-11-03,20.200000762939453
2020-11-04,20.43000030517578
2020-11-05,20.510000228881836
2020-11-06,19.18000030517578
2020-11-09,19.0
2020-11-10,18.93000030517578
2020-11-11,19.690000534057617
2020-11-12,18.5
2020-11-13,18.520000457763672
2020-11-16,19.75
2020-11-17,19.670000076293945
2020-11-18,18.510000228881836
2020-11-19,19.479999542236328
2020-11-20,19.09000015258789
2020-11-23,19.1200008392334
2020-11-24,18.860000610351562
2020-11-25,19.360000610351562
2020-11-27,20.709999084472656
2020-11-30,20.68000030517578
2020-12-01,20.75
2020-12-02,20.670000076293945
2020-12-03,20.200000762939453
2020-12-04,19.739999771118164
2020-12-07,20.219999313354492
2020-12-08,19.899999618530273
2020-12-09,19.90999984741211
2020-12-10,19.110000610351562
2020-12-11,18.489999771118164
2020-12-14,19.1200008392334
2020-12-15,19.729999542236328
2020-12-16,18.959999084472656
2020-12-17,19.799999237060547
2020-12-18,18.520000457763672
2020-12-21,19.540000915527344
2020-12-22,22.440000534057617
2020-12-23,22.389999389648438
2020-12-24,20.760000228881836
2020-12-28,20.18000030517578
2020-12-29,19.31999969482422
2020-12-30,19.059999465942383
2020-12-31,19.829999923706055
2021-01-04,19.43000030517578
2021-01-05,18.899999618530273
2021-01-06,18.790000915527344
2021-01-07,18.940000534057617
2021-01-08,19.1200008392334
2021-01-11,18.979999542236328
2021-01-12,18.25
2021-01-13,17.450000762939453
2021-01-14,17.65999984741211
2021-01-15,17.760000228881836
2021-01-19,17.700000762939453
2021-01-20,17.43000030517578
2021-01-21,16.93000030517578
