,ACGLP
2016-09-23,24.920000076293945
2016-09-26,24.93000030517578
2016-09-27,25.0
2016-09-28,25.0
2016-09-29,24.920000076293945
2016-09-30,24.979999542236328
2016-10-03,24.93000030517578
2016-10-04,24.969999313354492
2016-10-05,24.899999618530273
2016-10-06,24.729999542236328
2016-10-07,24.709999084472656
2016-10-10,24.65999984741211
2016-10-11,24.350000381469727
2016-10-12,24.469999313354492
2016-10-13,24.399999618530273
2016-10-14,24.520000457763672
2016-10-17,24.56999969482422
2016-10-18,24.610000610351562
2016-10-19,24.670000076293945
2016-10-20,24.670000076293945
2016-10-21,24.700000762939453
2016-10-24,24.649999618530273
2016-10-25,24.809999465942383
2016-10-26,24.799999237060547
2016-10-27,24.649999618530273
2016-10-28,24.520000457763672
2016-10-31,24.3799991607666
2016-11-01,23.950000762939453
2016-11-02,23.770000457763672
2016-11-03,23.40999984741211
2016-11-04,23.389999389648438
2016-11-07,23.5
2016-11-08,23.489999771118164
2016-11-09,23.100000381469727
2016-11-10,21.739999771118164
2016-11-11,21.709999084472656
2016-11-14,20.709999084472656
2016-11-15,21.469999313354492
2016-11-16,21.940000534057617
2016-11-17,21.920000076293945
2016-11-18,21.889999389648438
2016-11-21,21.8799991607666
2016-11-22,22.100000381469727
2016-11-23,22.059999465942383
2016-11-25,22.06999969482422
2016-11-28,21.8700008392334
2016-11-29,21.790000915527344
2016-11-30,21.649999618530273
2016-12-01,21.31999969482422
2016-12-02,21.34000015258789
2016-12-05,21.15999984741211
2016-12-06,21.200000762939453
2016-12-07,21.299999237060547
2016-12-08,21.200000762939453
2016-12-09,21.170000076293945
2016-12-12,20.889999389648438
2016-12-13,20.549999237060547
2016-12-14,20.459999084472656
2016-12-15,20.5
2016-12-16,20.56999969482422
2016-12-19,20.799999237060547
2016-12-20,20.950000762939453
2016-12-21,21.15999984741211
2016-12-22,21.34000015258789
2016-12-23,21.299999237060547
2016-12-27,21.25
2016-12-28,21.229999542236328
2016-12-29,21.1299991607666
2016-12-30,21.1299991607666
2017-01-03,21.5
2017-01-04,22.0
2017-01-05,22.049999237060547
2017-01-06,22.110000610351562
2017-01-09,22.149999618530273
2017-01-10,22.139999389648438
2017-01-11,22.25
2017-01-12,22.25
2017-01-13,22.25
2017-01-17,22.229999542236328
2017-01-18,22.200000762939453
2017-01-19,21.979999542236328
2017-01-20,22.200000762939453
2017-01-23,22.18000030517578
2017-01-24,22.18000030517578
2017-01-25,21.940000534057617
2017-01-26,21.979999542236328
2017-01-27,22.049999237060547
2017-01-30,22.059999465942383
2017-01-31,22.030000686645508
2017-02-01,22.06999969482422
2017-02-02,22.139999389648438
2017-02-03,22.170000076293945
2017-02-06,22.190000534057617
2017-02-07,22.270000457763672
2017-02-08,22.3700008392334
2017-02-09,22.329999923706055
2017-02-10,22.34000015258789
2017-02-13,22.360000610351562
2017-02-14,22.290000915527344
2017-02-15,22.290000915527344
2017-02-16,22.219999313354492
2017-02-17,22.239999771118164
2017-02-21,22.239999771118164
2017-02-22,22.25
2017-02-23,22.34000015258789
2017-02-24,22.479999542236328
2017-02-27,22.600000381469727
2017-02-28,22.5
2017-03-01,22.440000534057617
2017-03-02,22.440000534057617
2017-03-03,22.420000076293945
2017-03-06,22.420000076293945
2017-03-07,22.389999389648438
2017-03-08,22.190000534057617
2017-03-09,22.020000457763672
2017-03-10,22.059999465942383
2017-03-13,21.809999465942383
2017-03-14,21.770000457763672
2017-03-15,22.049999237060547
2017-03-16,22.079999923706055
2017-03-17,22.079999923706055
2017-03-20,22.06999969482422
2017-03-21,21.989999771118164
2017-03-22,22.100000381469727
2017-03-23,22.170000076293945
2017-03-24,22.260000228881836
2017-03-27,22.280000686645508
2017-03-28,22.34000015258789
2017-03-29,22.389999389648438
2017-03-30,22.520000457763672
2017-03-31,22.639999389648438
2017-04-03,22.969999313354492
2017-04-04,22.940000534057617
2017-04-05,22.899999618530273
2017-04-06,22.950000762939453
2017-04-07,22.93000030517578
2017-04-10,22.989999771118164
2017-04-11,23.0
2017-04-12,23.059999465942383
2017-04-13,23.139999389648438
2017-04-17,23.049999237060547
2017-04-18,22.979999542236328
2017-04-19,22.940000534057617
2017-04-20,22.969999313354492
2017-04-21,23.049999237060547
2017-04-24,23.079999923706055
2017-04-25,23.030000686645508
2017-04-26,23.1200008392334
2017-04-27,23.100000381469727
2017-04-28,23.100000381469727
2017-05-01,23.1299991607666
2017-05-02,23.139999389648438
2017-05-03,23.229999542236328
2017-05-04,23.06999969482422
2017-05-05,23.06999969482422
2017-05-08,23.209999084472656
2017-05-09,23.25
2017-05-10,23.270000457763672
2017-05-11,23.450000762939453
2017-05-12,23.690000534057617
2017-05-15,23.850000381469727
2017-05-16,23.799999237060547
2017-05-17,23.799999237060547
2017-05-18,23.709999084472656
2017-05-19,23.75
2017-05-22,23.770000457763672
2017-05-23,23.799999237060547
2017-05-24,23.790000915527344
2017-05-25,23.809999465942383
2017-05-26,23.84000015258789
2017-05-30,23.93000030517578
2017-05-31,23.969999313354492
2017-06-01,24.010000228881836
2017-06-02,24.1200008392334
2017-06-05,24.110000610351562
2017-06-06,24.100000381469727
2017-06-07,24.15999984741211
2017-06-08,24.1200008392334
2017-06-09,24.1299991607666
2017-06-12,24.1299991607666
2017-06-13,23.895000457763672
2017-06-14,23.989999771118164
2017-06-15,23.950000762939453
2017-06-16,23.959999084472656
2017-06-19,24.170000076293945
2017-06-20,24.149999618530273
2017-06-21,24.209999084472656
2017-06-22,24.200000762939453
2017-06-23,24.290000915527344
2017-06-26,24.450000762939453
2017-06-27,24.59000015258789
2017-06-28,24.469999313354492
2017-06-29,24.290000915527344
2017-06-30,24.3700008392334
2017-07-03,24.389999389648438
2017-07-05,24.530000686645508
2017-07-06,24.549999237060547
2017-07-07,24.549999237060547
2017-07-10,24.40999984741211
2017-07-11,24.360000610351562
2017-07-12,24.239999771118164
2017-07-13,24.350000381469727
2017-07-14,24.3799991607666
2017-07-17,24.399999618530273
2017-07-18,24.399999618530273
2017-07-19,24.440000534057617
2017-07-20,24.479999542236328
2017-07-21,24.559999465942383
2017-07-24,24.530000686645508
2017-07-25,24.3700008392334
2017-07-26,24.549999237060547
2017-07-27,24.541000366210938
2017-07-28,24.520000457763672
2017-07-31,24.6200008392334
2017-08-01,24.489999771118164
2017-08-02,24.5
