,APEI
2007-11-09,35.91999816894531
2007-11-12,33.20000076293945
2007-11-13,35.11000061035156
2007-11-14,35.04999923706055
2007-11-15,34.0
2007-11-16,33.7400016784668
2007-11-19,34.04999923706055
2007-11-20,35.45000076293945
2007-11-21,35.72999954223633
2007-11-23,36.4900016784668
2007-11-26,38.68000030517578
2007-11-27,38.5
2007-11-28,38.75
2007-11-29,40.650001525878906
2007-11-30,42.310001373291016
2007-12-03,42.599998474121094
2007-12-04,42.0
2007-12-05,42.79999923706055
2007-12-06,43.279998779296875
2007-12-07,42.84000015258789
2007-12-10,39.25
2007-12-11,40.0
2007-12-12,40.45000076293945
2007-12-13,39.959999084472656
2007-12-14,42.97999954223633
2007-12-17,40.040000915527344
2007-12-18,40.0
2007-12-19,40.619998931884766
2007-12-20,39.79999923706055
2007-12-21,40.0
2007-12-24,44.0
2007-12-26,46.0
2007-12-27,42.650001525878906
2007-12-28,40.88999938964844
2007-12-31,41.779998779296875
2008-01-02,40.279998779296875
2008-01-03,40.400001525878906
2008-01-04,40.0
2008-01-07,40.0
2008-01-08,39.91999816894531
2008-01-09,42.709999084472656
2008-01-10,42.9900016784668
2008-01-11,42.029998779296875
2008-01-14,43.9900016784668
2008-01-15,42.29999923706055
2008-01-16,43.91999816894531
2008-01-17,42.470001220703125
2008-01-18,40.0099983215332
2008-01-22,41.439998626708984
2008-01-23,44.09000015258789
2008-01-24,40.400001525878906
2008-01-25,38.83000183105469
2008-01-28,39.68000030517578
2008-01-29,41.0
2008-01-30,39.779998779296875
2008-01-31,39.40999984741211
2008-02-01,40.0
2008-02-04,40.529998779296875
2008-02-05,39.0
2008-02-06,38.09000015258789
2008-02-07,38.13999938964844
2008-02-08,37.95000076293945
2008-02-11,35.630001068115234
2008-02-12,35.689998626708984
2008-02-13,36.16999816894531
2008-02-14,36.220001220703125
2008-02-15,36.0
2008-02-19,35.88999938964844
2008-02-20,35.45000076293945
2008-02-21,35.310001373291016
2008-02-22,35.209999084472656
2008-02-25,34.0
2008-02-26,34.43000030517578
2008-02-27,35.5
2008-02-28,34.93000030517578
2008-02-29,33.33000183105469
2008-03-03,31.469999313354492
2008-03-04,33.119998931884766
2008-03-05,30.899999618530273
2008-03-06,29.5
2008-03-07,29.489999771118164
2008-03-10,29.989999771118164
2008-03-11,30.389999389648438
2008-03-12,29.200000762939453
2008-03-13,30.84000015258789
2008-03-14,29.489999771118164
2008-03-17,28.3700008392334
2008-03-18,29.020000457763672
2008-03-19,28.0
2008-03-20,28.389999389648438
2008-03-24,32.119998931884766
2008-03-25,31.200000762939453
2008-03-26,31.469999313354492
2008-03-27,30.290000915527344
2008-03-28,29.739999771118164
2008-03-31,30.3700008392334
2008-04-01,31.549999237060547
2008-04-02,32.029998779296875
2008-04-03,32.41999816894531
2008-04-04,33.4900016784668
2008-04-07,33.18000030517578
2008-04-08,33.5099983215332
2008-04-09,34.2599983215332
2008-04-10,34.709999084472656
2008-04-11,32.93000030517578
2008-04-14,32.61000061035156
2008-04-15,33.560001373291016
2008-04-16,33.38999938964844
2008-04-17,32.36000061035156
2008-04-18,33.09000015258789
2008-04-21,31.5
2008-04-22,30.709999084472656
2008-04-23,29.989999771118164
2008-04-24,30.799999237060547
2008-04-25,30.690000534057617
2008-04-28,30.979999542236328
2008-04-29,30.3799991607666
2008-04-30,32.209999084472656
2008-05-01,32.90999984741211
2008-05-02,33.79999923706055
2008-05-05,34.86000061035156
2008-05-06,35.560001373291016
2008-05-07,34.63999938964844
2008-05-08,34.810001373291016
2008-05-09,35.869998931884766
2008-05-12,36.939998626708984
2008-05-13,37.5
2008-05-14,37.900001525878906
2008-05-15,38.099998474121094
2008-05-16,37.689998626708984
2008-05-19,37.720001220703125
2008-05-20,36.459999084472656
2008-05-21,35.04999923706055
2008-05-22,35.720001220703125
2008-05-23,35.68000030517578
2008-05-27,37.34000015258789
2008-05-28,39.65999984741211
2008-05-29,39.349998474121094
2008-05-30,37.09000015258789
2008-06-02,36.439998626708984
2008-06-03,35.70000076293945
2008-06-04,35.65999984741211
2008-06-05,37.5
2008-06-06,36.4900016784668
2008-06-09,34.630001068115234
2008-06-10,35.11000061035156
2008-06-11,35.040000915527344
2008-06-12,37.29999923706055
2008-06-13,38.08000183105469
2008-06-16,38.65999984741211
2008-06-17,39.40999984741211
2008-06-18,40.52000045776367
2008-06-19,40.06999969482422
2008-06-20,40.029998779296875
2008-06-23,39.5
2008-06-24,38.84000015258789
2008-06-25,39.95000076293945
2008-06-26,38.5
2008-06-27,38.560001373291016
2008-06-30,39.040000915527344
2008-07-01,40.4900016784668
2008-07-02,40.689998626708984
2008-07-03,41.97999954223633
2008-07-07,40.31999969482422
2008-07-08,40.11000061035156
2008-07-09,39.08000183105469
2008-07-10,41.459999084472656
2008-07-11,38.220001220703125
2008-07-14,37.0
