,CSSEP
2018-06-27,24.899999618530273
2018-06-28,24.72100067138672
2018-06-29,25.0
2018-07-02,24.600000381469727
2018-07-03,25.0
2018-07-05,24.899999618530273
2018-07-06,24.746999740600586
2018-07-09,24.950000762939453
2018-07-10,24.850000381469727
2018-07-11,25.0
2018-07-12,25.0
2018-07-13,25.0
2018-07-16,25.049999237060547
2018-07-17,25.049999237060547
2018-07-18,24.993000030517578
2018-07-19,25.176000595092773
2018-07-20,25.149999618530273
2018-07-23,25.05500030517578
2018-07-24,24.90999984741211
2018-07-25,24.920000076293945
2018-07-26,24.972000122070312
2018-07-27,25.049999237060547
2018-07-30,25.23900032043457
2018-07-31,25.450000762939453
2018-08-01,25.416000366210938
2018-08-02,25.25
2018-08-03,25.200000762939453
2018-08-06,24.950000762939453
2018-08-07,25.25
2018-08-08,25.049999237060547
2018-08-09,25.219999313354492
2018-08-10,24.899999618530273
2018-08-13,25.0
2018-08-14,24.920000076293945
2018-08-15,24.899999618530273
2018-08-16,24.899999618530273
2018-08-17,24.899999618530273
2018-08-20,24.959999084472656
2018-08-21,25.631000518798828
2018-08-22,25.631000518798828
2018-08-23,25.631000518798828
2018-08-24,25.600000381469727
2018-08-27,25.149999618530273
2018-08-28,25.139999389648438
2018-08-29,25.1200008392334
2018-08-30,25.149999618530273
2018-08-31,25.020000457763672
2018-09-04,25.190000534057617
2018-09-05,25.499000549316406
2018-09-06,25.360000610351562
2018-09-07,25.58300018310547
2018-09-10,25.399999618530273
2018-09-11,25.298999786376953
2018-09-12,25.299999237060547
2018-09-13,25.666000366210938
2018-09-14,25.666000366210938
2018-09-17,25.57900047302246
2018-09-18,25.72800064086914
2018-09-19,25.864999771118164
2018-09-20,26.0
2018-09-21,25.309999465942383
2018-09-24,26.399999618530273
2018-09-25,26.094999313354492
2018-09-26,26.489999771118164
2018-09-27,26.405000686645508
2018-09-28,25.851999282836914
2018-10-01,25.948999404907227
2018-10-02,25.700000762939453
2018-10-03,25.200000762939453
2018-10-04,25.200000762939453
2018-10-05,25.200000762939453
2018-10-08,25.200000762939453
2018-10-09,25.200000762939453
2018-10-10,26.079999923706055
2018-10-11,25.416000366210938
2018-10-12,25.44700050354004
2018-10-15,25.44700050354004
2018-10-16,25.56399917602539
2018-10-17,25.600000381469727
2018-10-18,25.697999954223633
2018-10-19,25.697999954223633
2018-10-22,26.07200050354004
2018-10-23,25.93899917602539
2018-10-24,25.93899917602539
2018-10-25,25.93899917602539
2018-10-26,25.9060001373291
2018-10-29,25.049999237060547
2018-10-30,25.139999389648438
2018-10-31,25.639999389648438
2018-11-01,25.59000015258789
2018-11-02,25.420000076293945
2018-11-05,25.270999908447266
2018-11-06,25.270999908447266
2018-11-07,25.25
2018-11-08,25.1200008392334
2018-11-09,25.375999450683594
2018-11-12,25.3700008392334
2018-11-13,25.1200008392334
2018-11-14,25.06999969482422
2018-11-15,24.799999237060547
2018-11-16,24.82200050354004
2018-11-19,24.774999618530273
2018-11-20,24.700000762939453
2018-11-21,24.73200035095215
2018-11-23,24.729999542236328
2018-11-26,24.850000381469727
2018-11-27,24.950000762939453
2018-11-28,24.979000091552734
2018-11-29,24.75
2018-11-30,24.993999481201172
2018-12-03,25.0
2018-12-04,25.016000747680664
2018-12-06,24.899999618530273
2018-12-07,24.843000411987305
2018-12-10,24.940000534057617
2018-12-11,24.867000579833984
2018-12-12,25.0
2018-12-13,24.777999877929688
2018-12-14,24.94099998474121
2018-12-17,24.82900047302246
2018-12-18,24.969999313354492
2018-12-19,24.78700065612793
2018-12-20,24.573999404907227
2018-12-21,24.75
2018-12-24,24.948999404907227
2018-12-26,24.958999633789062
2018-12-27,24.999000549316406
2018-12-28,24.8799991607666
2018-12-31,24.5
2019-01-02,24.10099983215332
2019-01-03,24.020000457763672
2019-01-04,24.829999923706055
2019-01-07,24.40999984741211
2019-01-08,24.75
2019-01-09,24.760000228881836
2019-01-10,24.87299919128418
2019-01-11,24.950000762939453
2019-01-14,24.87700080871582
2019-01-15,24.81599998474121
2019-01-16,24.809999465942383
2019-01-17,24.950000762939453
2019-01-18,24.989999771118164
2019-01-22,24.899999618530273
2019-01-23,24.902999877929688
2019-01-24,24.766000747680664
2019-01-25,24.950000762939453
2019-01-28,24.8799991607666
2019-01-29,25.0
2019-01-30,24.75
2019-01-31,24.979999542236328
2019-02-01,24.90999984741211
2019-02-04,24.86400032043457
2019-02-05,24.860000610351562
2019-02-06,25.0
2019-02-07,25.0
2019-02-08,25.06800079345703
2019-02-11,24.829999923706055
2019-02-12,24.780000686645508
2019-02-13,24.790000915527344
2019-02-14,24.81999969482422
2019-02-15,25.799999237060547
2019-02-19,25.091999053955078
2019-02-20,24.989999771118164
2019-02-21,24.954999923706055
2019-02-22,24.979000091552734
2019-02-25,24.950000762939453
2019-02-26,25.549999237060547
2019-02-27,24.760000228881836
2019-02-28,24.715999603271484
2019-03-01,24.950000762939453
2019-03-04,24.75
2019-03-05,24.5
2019-03-06,24.450000762939453
2019-03-07,24.09000015258789
2019-03-08,24.159000396728516
2019-03-11,24.52199935913086
2019-03-12,24.75
2019-03-13,24.642000198364258
2019-03-14,24.649999618530273
2019-03-15,24.649999618530273
