,BSML
2019-09-27,25.030000686645508
2019-09-30,25.030000686645508
2019-10-01,25.030000686645508
2019-10-02,25.030000686645508
2019-10-03,25.030000686645508
2019-10-04,25.034000396728516
2019-10-07,25.034000396728516
2019-10-08,25.034000396728516
2019-10-09,25.079999923706055
2019-10-10,25.100000381469727
2019-10-11,25.100000381469727
2019-10-14,25.100000381469727
2019-10-15,25.06399917602539
2019-10-16,25.079999923706055
2019-10-17,25.079999923706055
2019-10-18,25.079999923706055
2019-10-21,25.049999237060547
2019-10-22,25.049999237060547
2019-10-23,25.042999267578125
2019-10-24,25.059999465942383
2019-10-25,25.014999389648438
2019-10-28,25.014999389648438
2019-10-29,25.049999237060547
2019-10-30,25.049999237060547
2019-10-31,25.079999923706055
2019-11-01,25.079999923706055
2019-11-04,25.06999969482422
2019-11-05,25.06999969482422
2019-11-06,25.079999923706055
2019-11-07,25.042999267578125
2019-11-08,25.042999267578125
2019-11-11,25.042999267578125
2019-11-12,25.06399917602539
2019-11-13,25.06399917602539
2019-11-14,25.06399917602539
2019-11-15,25.06399917602539
2019-11-18,25.05500030517578
2019-11-19,25.06999969482422
2019-11-20,25.06999969482422
2019-11-21,25.05500030517578
2019-11-22,25.05500030517578
2019-11-25,25.065000534057617
2019-11-26,25.059999465942383
2019-11-27,25.065000534057617
2019-11-29,25.065000534057617
2019-12-02,25.09000015258789
2019-12-03,25.09000015258789
2019-12-04,25.09000015258789
2019-12-05,25.059999465942383
2019-12-06,25.075000762939453
2019-12-09,25.075000762939453
2019-12-10,25.084999084472656
2019-12-11,25.110000610351562
2019-12-12,25.110000610351562
2019-12-13,25.084999084472656
2019-12-16,25.084999084472656
2019-12-17,25.104999542236328
2019-12-18,25.110000610351562
2019-12-19,25.110000610351562
2019-12-20,25.100000381469727
2019-12-23,25.06999969482422
2019-12-24,25.06999969482422
2019-12-26,25.06999969482422
2019-12-27,25.094999313354492
2019-12-30,25.100000381469727
2019-12-31,25.110000610351562
2020-01-02,25.100000381469727
2020-01-03,25.100000381469727
