,BAND
2017-11-09,20.0
2017-11-10,21.190000534057617
2017-11-13,20.299999237060547
2017-11-14,20.09000015258789
2017-11-15,20.040000915527344
2017-11-16,20.0
2017-11-17,18.15999984741211
2017-11-20,19.1299991607666
2017-11-21,20.049999237060547
2017-11-22,21.219999313354492
2017-11-24,21.059999465942383
2017-11-27,20.719999313354492
2017-11-28,20.43000030517578
2017-11-29,20.670000076293945
2017-11-30,21.84000015258789
2017-12-01,22.219999313354492
2017-12-04,22.3700008392334
2017-12-05,22.700000762939453
2017-12-06,22.549999237060547
2017-12-07,21.530000686645508
2017-12-08,21.149999618530273
2017-12-11,20.649999618530273
2017-12-12,20.25
2017-12-13,21.549999237060547
2017-12-14,22.1200008392334
2017-12-15,21.489999771118164
2017-12-18,22.860000610351562
2017-12-19,22.6299991607666
2017-12-20,22.969999313354492
2017-12-21,23.059999465942383
2017-12-22,23.049999237060547
2017-12-26,23.030000686645508
2017-12-27,24.06999969482422
2017-12-28,24.3799991607666
2017-12-29,23.1200008392334
2018-01-02,23.239999771118164
2018-01-03,23.530000686645508
2018-01-04,23.440000534057617
2018-01-05,23.479999542236328
2018-01-08,23.5
2018-01-09,23.299999237060547
2018-01-10,23.229999542236328
2018-01-11,23.059999465942383
2018-01-12,23.010000228881836
2018-01-16,23.1299991607666
2018-01-17,23.049999237060547
2018-01-18,23.079999923706055
2018-01-19,23.309999465942383
2018-01-22,23.1299991607666
2018-01-23,23.049999237060547
2018-01-24,22.809999465942383
2018-01-25,22.700000762939453
2018-01-26,22.729999542236328
2018-01-29,23.510000228881836
2018-01-30,23.940000534057617
2018-01-31,23.34000015258789
2018-02-01,23.610000610351562
2018-02-02,22.520000457763672
2018-02-05,21.760000228881836
2018-02-06,21.100000381469727
2018-02-07,20.739999771118164
2018-02-08,21.030000686645508
2018-02-09,21.030000686645508
2018-02-12,21.350000381469727
2018-02-13,19.8799991607666
2018-02-14,22.209999084472656
2018-02-15,22.31999969482422
2018-02-16,22.290000915527344
2018-02-20,23.90999984741211
2018-02-21,24.09000015258789
2018-02-22,26.989999771118164
2018-02-23,26.809999465942383
2018-02-26,27.510000228881836
2018-02-27,27.450000762939453
2018-02-28,27.450000762939453
2018-03-01,27.25
2018-03-02,27.0
2018-03-05,27.239999771118164
2018-03-06,28.729999542236328
2018-03-07,28.639999389648438
2018-03-08,28.84000015258789
2018-03-09,28.829999923706055
2018-03-12,28.600000381469727
2018-03-13,28.579999923706055
2018-03-14,28.389999389648438
2018-03-15,29.489999771118164
2018-03-16,29.049999237060547
2018-03-19,29.020000457763672
2018-03-20,31.940000534057617
2018-03-21,32.099998474121094
2018-03-22,32.15999984741211
2018-03-23,31.93000030517578
2018-03-26,31.93000030517578
2018-03-27,31.469999313354492
2018-03-28,32.09000015258789
2018-03-29,32.65999984741211
2018-04-02,32.54999923706055
2018-04-03,31.68000030517578
2018-04-04,31.5
2018-04-05,31.100000381469727
2018-04-06,30.329999923706055
2018-04-09,31.100000381469727
2018-04-10,32.43000030517578
2018-04-11,31.719999313354492
2018-04-12,31.739999771118164
2018-04-13,31.889999389648438
2018-04-16,31.90999984741211
2018-04-17,32.150001525878906
2018-04-18,31.790000915527344
2018-04-19,30.829999923706055
2018-04-20,30.56999969482422
2018-04-23,31.889999389648438
2018-04-24,31.889999389648438
2018-04-25,31.899999618530273
2018-04-26,32.0
2018-04-27,32.16999816894531
2018-04-30,32.45000076293945
2018-05-01,32.15999984741211
2018-05-02,35.060001373291016
2018-05-03,35.119998931884766
2018-05-04,35.599998474121094
2018-05-07,35.400001525878906
2018-05-08,36.650001525878906
2018-05-09,34.209999084472656
2018-05-10,34.790000915527344
2018-05-11,34.81999969482422
2018-05-14,34.349998474121094
2018-05-15,34.619998931884766
2018-05-16,34.81999969482422
2018-05-17,34.720001220703125
2018-05-18,34.5099983215332
2018-05-21,34.88999938964844
2018-05-22,35.58000183105469
2018-05-23,35.31999969482422
2018-05-24,35.5099983215332
2018-05-25,35.15999984741211
2018-05-29,35.15999984741211
2018-05-30,35.220001220703125
2018-05-31,37.310001373291016
2018-06-01,39.45000076293945
2018-06-04,38.97999954223633
2018-06-05,40.5099983215332
2018-06-06,40.83000183105469
2018-06-07,39.34000015258789
2018-06-08,39.90999984741211
2018-06-11,39.689998626708984
2018-06-12,39.20000076293945
2018-06-13,39.16999816894531
2018-06-14,39.470001220703125
2018-06-15,39.439998626708984
2018-06-18,39.869998931884766
2018-06-19,39.939998626708984
2018-06-20,39.93000030517578
2018-06-21,39.58000183105469
2018-06-22,39.5099983215332
2018-06-25,37.959999084472656
2018-06-26,37.79999923706055
2018-06-27,37.22999954223633
2018-06-28,37.97999954223633
2018-06-29,37.97999954223633
2018-07-02,36.650001525878906
2018-07-03,37.13999938964844
2018-07-05,38.25
2018-07-06,38.630001068115234
2018-07-09,37.130001068115234
2018-07-10,36.06999969482422
2018-07-11,35.400001525878906
2018-07-12,35.7599983215332
2018-07-13,36.0
2018-07-16,36.02000045776367
2018-07-17,35.349998474121094
2018-07-18,35.7599983215332
2018-07-19,36.20000076293945
2018-07-20,36.630001068115234
2018-07-23,37.130001068115234
2018-07-24,36.880001068115234
2018-07-25,37.52000045776367
2018-07-26,37.119998931884766
2018-07-27,36.58000183105469
2018-07-30,35.060001373291016
2018-07-31,35.040000915527344
2018-08-01,39.36000061035156
2018-08-02,39.2400016784668
2018-08-03,39.04999923706055
2018-08-06,39.119998931884766
2018-08-07,40.38999938964844
2018-08-08,43.70000076293945
2018-08-09,43.150001525878906
2018-08-10,44.4900016784668
2018-08-13,43.650001525878906
2018-08-14,44.15999984741211
2018-08-15,44.18000030517578
2018-08-16,44.0099983215332
2018-08-17,44.75
2018-08-20,44.93000030517578
2018-08-21,44.97999954223633
2018-08-22,44.95000076293945
2018-08-23,45.0
2018-08-24,45.130001068115234
2018-08-27,45.119998931884766
2018-08-28,45.16999816894531
2018-08-29,45.220001220703125
2018-08-30,45.15999984741211
2018-08-31,45.560001373291016
2018-09-04,51.08000183105469
2018-09-05,49.90999984741211
2018-09-06,50.76499938964844
2018-09-07,52.04999923706055
2018-09-10,52.86000061035156
2018-09-11,52.88999938964844
2018-09-12,54.06999969482422
2018-09-13,54.560001373291016
2018-09-14,55.220001220703125
2018-09-17,53.54999923706055
2018-09-18,55.25
2018-09-19,53.0
2018-09-20,52.689998626708984
2018-09-21,52.40999984741211
2018-09-24,52.630001068115234
2018-09-25,53.779998779296875
2018-09-26,53.63999938964844
2018-09-27,53.540000915527344
2018-09-28,53.56999969482422
2018-10-01,53.400001525878906
2018-10-02,52.959999084472656
2018-10-03,54.0099983215332
2018-10-04,54.20000076293945
2018-10-05,54.66999816894531
2018-10-08,54.189998626708984
2018-10-09,54.83000183105469
2018-10-10,49.709999084472656
2018-10-11,49.18000030517578
2018-10-12,49.38999938964844
2018-10-15,49.63999938964844
2018-10-16,51.81999969482422
2018-10-17,51.650001525878906
2018-10-18,51.5
2018-10-19,50.150001525878906
2018-10-22,50.290000915527344
2018-10-23,49.529998779296875
2018-10-24,48.119998931884766
2018-10-25,50.25
2018-10-26,49.02000045776367
2018-10-29,48.869998931884766
2018-10-30,49.56999969482422
2018-10-31,53.36000061035156
2018-11-01,55.63999938964844
2018-11-02,53.619998931884766
2018-11-05,49.849998474121094
2018-11-06,49.119998931884766
2018-11-07,49.2400016784668
2018-11-08,48.79999923706055
2018-11-09,48.31999969482422
2018-11-12,47.310001373291016
2018-11-13,47.5
2018-11-14,47.290000915527344
2018-11-15,48.13999938964844
2018-11-16,47.47999954223633
2018-11-19,43.400001525878906
2018-11-20,41.2400016784668
2018-11-21,43.91999816894531
2018-11-23,44.08000183105469
2018-11-26,44.20000076293945
2018-11-27,43.61000061035156
2018-11-28,44.97999954223633
2018-11-29,44.66999816894531
2018-11-30,46.65999984741211
2018-12-03,45.7599983215332
2018-12-04,44.11000061035156
2018-12-06,44.790000915527344
2018-12-07,44.40999984741211
2018-12-10,45.9900016784668
2018-12-11,45.189998626708984
2018-12-12,45.720001220703125
2018-12-13,44.83000183105469
2018-12-14,43.900001525878906
2018-12-17,41.349998474121094
2018-12-18,39.77000045776367
2018-12-19,39.369998931884766
2018-12-20,38.439998626708984
2018-12-21,35.22999954223633
2018-12-24,35.459999084472656
2018-12-26,37.959999084472656
2018-12-27,39.060001373291016
2018-12-28,39.099998474121094
2018-12-31,40.75
2019-01-02,41.31999969482422
2019-01-03,39.56999969482422
2019-01-04,41.27000045776367
2019-01-07,41.689998626708984
2019-01-08,42.15999984741211
2019-01-09,41.959999084472656
2019-01-10,41.65999984741211
2019-01-11,41.61000061035156
2019-01-14,40.77000045776367
2019-01-15,41.86000061035156
2019-01-16,41.70000076293945
2019-01-17,42.54999923706055
2019-01-18,44.0
2019-01-22,43.029998779296875
2019-01-23,43.08000183105469
2019-01-24,44.20000076293945
2019-01-25,45.72999954223633
2019-01-28,44.83000183105469
2019-01-29,43.68000030517578
2019-01-30,44.36000061035156
2019-01-31,46.099998474121094
2019-02-01,46.95000076293945
2019-02-04,47.43000030517578
2019-02-05,48.099998474121094
2019-02-06,48.04999923706055
2019-02-07,47.599998474121094
2019-02-08,49.119998931884766
2019-02-11,47.47999954223633
2019-02-12,47.470001220703125
2019-02-13,48.540000915527344
2019-02-14,47.349998474121094
2019-02-15,51.13999938964844
2019-02-19,51.599998474121094
2019-02-20,51.56999969482422
2019-02-21,52.25
2019-02-22,53.959999084472656
2019-02-25,53.310001373291016
2019-02-26,52.95000076293945
2019-02-27,53.70000076293945
2019-02-28,55.720001220703125
2019-03-01,57.86000061035156
2019-03-04,56.959999084472656
2019-03-05,57.70000076293945
2019-03-06,55.20000076293945
2019-03-07,61.20000076293945
2019-03-08,62.150001525878906
2019-03-11,63.279998779296875
2019-03-12,65.19999694824219
2019-03-13,65.44999694824219
2019-03-14,66.58000183105469
2019-03-15,67.56999969482422
