,FMIVU
2021-03-18,9.960000038146973
2021-03-19,9.949999809265137
2021-03-22,9.949999809265137
2021-03-23,9.920000076293945
2021-03-24,9.920000076293945
2021-03-25,9.920000076293945
2021-03-26,10.0
2021-03-29,9.960000038146973
2021-03-30,9.954999923706055
2021-03-31,9.899999618530273
2021-04-01,10.0
2021-04-05,10.0
2021-04-06,10.039999961853027
2021-04-07,10.005000114440918
2021-04-08,10.005000114440918
2021-04-09,10.0600004196167
2021-04-12,10.140000343322754
2021-04-13,10.100000381469727
2021-04-14,10.074999809265137
2021-04-15,10.050000190734863
2021-04-16,10.010000228881836
2021-04-19,10.010000228881836
2021-04-20,10.029999732971191
2021-04-21,10.0
2021-04-22,10.0
2021-04-23,10.029999732971191
2021-04-26,10.015999794006348
2021-04-27,10.015999794006348
2021-04-28,10.050000190734863
2021-04-29,10.0
2021-04-30,10.0
2021-05-03,10.010000228881836
2021-05-04,10.003999710083008
2021-05-05,10.003999710083008
2021-05-06,10.010000228881836
2021-05-07,10.0
2021-05-10,10.0
2021-05-11,9.970000267028809
2021-05-12,9.960000038146973
2021-05-13,9.960000038146973
2021-05-14,9.979999542236328
