,AMAL
2018-08-09,16.5
2018-08-10,16.399999618530273
2018-08-13,16.5
2018-08-14,16.5
2018-08-15,16.43000030517578
2018-08-16,16.43000030517578
2018-08-17,16.420000076293945
2018-08-20,16.489999771118164
2018-08-21,16.639999389648438
2018-08-22,17.040000915527344
2018-08-23,17.690000534057617
2018-08-24,17.700000762939453
2018-08-27,17.299999237060547
2018-08-28,17.700000762939453
2018-08-29,17.59000015258789
2018-08-30,17.399999618530273
2018-08-31,17.440000534057617
2018-09-04,17.75
2018-09-05,17.959999084472656
2018-09-06,19.100000381469727
2018-09-07,18.979999542236328
2018-09-10,18.950000762939453
2018-09-11,18.899999618530273
2018-09-12,18.850000381469727
2018-09-13,18.90999984741211
2018-09-14,18.760000228881836
2018-09-17,18.889999389648438
2018-09-18,18.65999984741211
2018-09-19,18.639999389648438
2018-09-20,18.100000381469727
2018-09-21,18.59000015258789
2018-09-24,18.75
2018-09-25,18.860000610351562
2018-09-26,19.139999389648438
2018-09-27,19.399999618530273
2018-09-28,19.290000915527344
2018-10-01,19.459999084472656
2018-10-02,19.0
2018-10-03,19.700000762939453
2018-10-04,19.510000228881836
2018-10-05,19.40999984741211
2018-10-08,19.719999313354492
2018-10-09,19.65999984741211
2018-10-10,19.600000381469727
2018-10-11,19.510000228881836
2018-10-12,19.68000030517578
2018-10-15,19.989999771118164
2018-10-16,20.059999465942383
2018-10-17,20.229999542236328
2018-10-18,20.280000686645508
2018-10-19,19.790000915527344
2018-10-22,19.610000610351562
2018-10-23,19.190000534057617
2018-10-24,18.920000076293945
2018-10-25,19.3700008392334
2018-10-26,19.200000762939453
2018-10-29,18.770000457763672
2018-10-30,19.25
2018-10-31,19.399999618530273
2018-11-01,19.6299991607666
2018-11-02,19.75
2018-11-05,19.969999313354492
2018-11-06,21.209999084472656
2018-11-07,20.15999984741211
2018-11-08,21.020000457763672
2018-11-09,20.969999313354492
2018-11-12,21.68000030517578
2018-11-13,22.420000076293945
2018-11-14,19.81999969482422
2018-11-15,19.81999969482422
2018-11-16,19.93000030517578
2018-11-19,19.90999984741211
2018-11-20,19.889999389648438
2018-11-21,19.8799991607666
2018-11-23,20.149999618530273
2018-11-26,20.649999618530273
2018-11-27,20.399999618530273
2018-11-28,20.549999237060547
2018-11-29,20.829999923706055
2018-11-30,21.360000610351562
2018-12-03,20.719999313354492
2018-12-04,20.020000457763672
2018-12-06,20.170000076293945
2018-12-07,19.739999771118164
2018-12-10,19.84000015258789
2018-12-11,19.84000015258789
2018-12-12,19.809999465942383
2018-12-13,18.59000015258789
2018-12-14,18.5
2018-12-17,18.549999237060547
2018-12-18,18.219999313354492
