,ACET
2018-01-26,118.16000366210938
2018-01-29,113.61000061035156
2018-01-30,110.18000030517578
2018-01-31,113.54000091552734
2018-02-01,117.25
2018-02-02,119.27999877929688
2018-02-05,118.58000183105469
2018-02-06,112.55999755859375
2018-02-07,113.54000091552734
2018-02-08,115.5
2018-02-09,119.0
2018-02-12,126.69999694824219
2018-02-13,127.75
2018-02-14,126.62999725341797
2018-02-15,127.54000091552734
2018-02-16,131.32000732421875
2018-02-20,136.5
2018-02-21,137.8300018310547
2018-02-22,137.5500030517578
2018-02-23,145.9499969482422
2018-02-26,144.1999969482422
2018-02-27,138.25
2018-02-28,136.5
2018-03-01,128.58999633789062
2018-03-02,124.11000061035156
2018-03-05,123.41000366210938
2018-03-06,120.4000015258789
2018-03-07,119.06999969482422
2018-03-08,113.26000213623047
2018-03-09,111.30000305175781
2018-03-12,111.30000305175781
2018-03-13,108.1500015258789
2018-03-14,105.55999755859375
2018-03-15,104.44000244140625
2018-03-16,104.6500015258789
2018-03-19,105.48999786376953
2018-03-20,104.16000366210938
2018-03-21,102.9000015258789
2018-03-22,92.26000213623047
2018-03-23,82.45999908447266
2018-03-26,76.6500015258789
2018-03-27,78.68000030517578
2018-03-28,73.91999816894531
2018-03-29,67.05999755859375
2018-04-02,59.9900016784668
2018-04-03,61.95000076293945
2018-04-04,61.529998779296875
2018-04-05,66.98999786376953
2018-04-06,59.43000030517578
2018-04-09,56.209999084472656
2018-04-10,65.66000366210938
2018-04-11,66.5
2018-04-12,64.26000213623047
2018-04-13,62.790000915527344
2018-04-16,60.060001373291016
2018-04-17,58.869998931884766
2018-04-18,63.630001068115234
2018-04-19,61.529998779296875
2018-04-20,61.38999938964844
2018-04-23,62.439998626708984
2018-04-24,59.709999084472656
2018-04-25,59.9900016784668
2018-04-26,60.40999984741211
2018-04-27,62.22999954223633
2018-04-30,63.0
2018-05-01,67.62000274658203
2018-05-02,71.26000213623047
2018-05-03,68.25
2018-05-04,67.12999725341797
2018-05-07,68.04000091552734
2018-05-08,67.55000305175781
2018-05-09,75.94999694824219
2018-05-10,78.61000061035156
2018-05-11,83.72000122070312
2018-05-14,79.58999633789062
2018-05-15,79.80000305175781
2018-05-16,70.94499969482422
2018-05-17,64.26000213623047
2018-05-18,64.68000030517578
2018-05-21,61.529998779296875
2018-05-22,61.25
2018-05-23,63.90999984741211
2018-05-24,63.209999084472656
2018-05-25,63.97999954223633
2018-05-29,67.19999694824219
2018-05-30,68.52999877929688
2018-05-31,68.52999877929688
2018-06-01,69.37000274658203
2018-06-04,68.5999984741211
2018-06-05,69.37000274658203
2018-06-06,69.0199966430664
2018-06-07,67.69000244140625
2018-06-08,68.5999984741211
2018-06-11,70.9800033569336
2018-06-12,71.4000015258789
2018-06-13,73.77999877929688
