,BENEU
2021-01-05,10.300000190734863
2021-01-06,10.347999572753906
2021-01-07,10.5
2021-01-08,10.5600004196167
2021-01-11,10.600000381469727
2021-01-12,10.600000381469727
2021-01-13,10.569999694824219
2021-01-14,10.550000190734863
2021-01-15,10.529999732971191
2021-01-19,10.579999923706055
2021-01-20,10.59000015258789
2021-01-21,10.600000381469727
2021-01-22,10.614999771118164
2021-01-25,10.619999885559082
2021-01-26,10.569999694824219
2021-01-27,10.5
2021-01-28,10.699999809265137
2021-01-29,10.770000457763672
2021-02-01,10.850000381469727
2021-02-02,10.949999809265137
2021-02-03,11.039999961853027
2021-02-04,11.130000114440918
2021-02-05,11.1899995803833
2021-02-08,11.010000228881836
2021-02-09,11.029999732971191
2021-02-10,11.3100004196167
2021-02-11,11.25
2021-02-12,11.1850004196167
2021-02-16,11.1899995803833
2021-02-17,11.25
2021-02-18,11.100000381469727
2021-02-19,11.0
2021-02-22,11.050000190734863
2021-02-23,11.100000381469727
2021-02-24,11.170000076293945
2021-02-25,11.039999961853027
2021-02-26,11.020000457763672
2021-03-01,10.90999984741211
2021-03-02,10.819999694824219
2021-03-03,10.760000228881836
2021-03-04,10.65999984741211
2021-03-05,10.579999923706055
2021-03-08,10.800000190734863
2021-03-09,10.989999771118164
2021-03-10,10.770000457763672
2021-03-11,10.5600004196167
2021-03-12,10.616000175476074
2021-03-15,10.6899995803833
2021-03-16,10.75
2021-03-17,10.649999618530273
2021-03-18,10.67300033569336
2021-03-19,10.510000228881836
2021-03-22,10.510000228881836
2021-03-23,10.449999809265137
2021-03-24,10.496000289916992
2021-03-25,10.40999984741211
2021-03-26,10.699999809265137
2021-03-29,10.59000015258789
2021-03-30,10.59000015258789
2021-03-31,10.5
2021-04-01,10.5
2021-04-05,10.572999954223633
2021-04-06,10.571999549865723
2021-04-07,10.569999694824219
2021-04-08,10.739999771118164
2021-04-09,10.739999771118164
2021-04-12,10.579999923706055
2021-04-13,10.619999885559082
2021-04-14,10.6899995803833
2021-04-15,10.720000267028809
2021-04-16,10.720000267028809
2021-04-19,10.696000099182129
2021-04-20,10.59000015258789
2021-04-21,10.59000015258789
2021-04-22,10.689000129699707
2021-04-23,10.652999877929688
2021-04-26,10.619999885559082
2021-04-27,10.623000144958496
2021-04-28,10.630000114440918
2021-04-29,10.630000114440918
2021-04-30,10.630000114440918
2021-05-03,10.628999710083008
2021-05-04,10.628999710083008
2021-05-05,10.609999656677246
2021-05-06,10.609999656677246
2021-05-07,10.600000381469727
2021-05-10,10.640000343322754
2021-05-11,10.5
2021-05-12,10.449999809265137
2021-05-13,10.430000305175781
2021-05-14,10.430000305175781
