,ASPS
2009-08-06,7.0
2009-08-07,16.0
2009-08-10,12.199999809265137
2009-08-11,11.90999984741211
2009-08-12,10.899999618530273
2009-08-13,10.65999984741211
2009-08-14,10.100000381469727
2009-08-17,10.270000457763672
2009-08-18,12.539999961853027
2009-08-19,11.680000305175781
2009-08-20,12.760000228881836
2009-08-21,13.4399995803833
2009-08-24,14.039999961853027
2009-08-25,14.510000228881836
2009-08-26,14.199999809265137
2009-08-27,14.329999923706055
2009-08-28,14.390000343322754
2009-08-31,14.350000381469727
2009-09-01,13.890000343322754
2009-09-02,13.600000381469727
2009-09-03,13.640000343322754
2009-09-04,13.619999885559082
2009-09-08,13.619999885559082
2009-09-09,13.579999923706055
2009-09-10,13.569999694824219
2009-09-11,13.680000305175781
2009-09-14,13.600000381469727
2009-09-15,13.65999984741211
2009-09-16,13.6899995803833
2009-09-17,13.90999984741211
2009-09-18,14.0
2009-09-21,14.050000190734863
2009-09-22,14.149999618530273
2009-09-23,14.220000267028809
2009-09-24,14.010000228881836
2009-09-25,14.0
2009-09-28,13.899999618530273
2009-09-29,14.329999923706055
2009-09-30,14.4399995803833
2009-10-01,14.630000114440918
2009-10-02,14.710000038146973
2009-10-05,14.600000381469727
2009-10-06,14.550000190734863
2009-10-07,14.569999694824219
2009-10-08,14.479999542236328
2009-10-09,14.710000038146973
2009-10-12,14.619999885559082
2009-10-13,14.779999732971191
2009-10-14,14.899999618530273
2009-10-15,15.829999923706055
2009-10-16,16.079999923706055
2009-10-19,16.1299991607666
2009-10-20,16.399999618530273
2009-10-21,16.56999969482422
2009-10-22,16.610000610351562
2009-10-23,16.459999084472656
2009-10-26,16.049999237060547
2009-10-27,15.100000381469727
2009-10-28,14.850000381469727
2009-10-29,14.920000076293945
2009-10-30,15.25
2009-11-02,14.760000228881836
2009-11-03,14.5600004196167
2009-11-04,14.40999984741211
2009-11-05,14.850000381469727
2009-11-06,15.210000038146973
2009-11-09,16.700000762939453
2009-11-10,16.950000762939453
2009-11-11,17.09000015258789
2009-11-12,17.149999618530273
2009-11-13,17.15999984741211
2009-11-16,17.270000457763672
2009-11-17,17.260000228881836
2009-11-18,16.8799991607666
2009-11-19,16.889999389648438
2009-11-20,16.600000381469727
2009-11-23,16.5
2009-11-24,16.450000762939453
2009-11-25,16.450000762939453
2009-11-27,16.399999618530273
2009-11-30,16.139999389648438
2009-12-01,15.699999809265137
2009-12-02,15.449999809265137
2009-12-03,15.739999771118164
2009-12-04,15.779999732971191
2009-12-07,15.75
2009-12-08,16.260000228881836
2009-12-09,16.219999313354492
2009-12-10,16.530000686645508
2009-12-11,16.75
2009-12-14,18.280000686645508
2009-12-15,18.079999923706055
2009-12-16,17.81999969482422
2009-12-17,17.889999389648438
2009-12-18,18.030000686645508
2009-12-21,18.1200008392334
2009-12-22,18.90999984741211
2009-12-23,18.979999542236328
2009-12-24,19.200000762939453
2009-12-28,20.0
2009-12-29,21.209999084472656
2009-12-30,20.8700008392334
2009-12-31,20.989999771118164
2010-01-04,21.18000030517578
2010-01-05,21.950000762939453
2010-01-06,23.239999771118164
2010-01-07,23.350000381469727
2010-01-08,23.43000030517578
2010-01-11,23.510000228881836
2010-01-12,23.850000381469727
2010-01-13,23.0
2010-01-14,22.8700008392334
2010-01-15,22.1299991607666
2010-01-19,22.850000381469727
2010-01-20,23.399999618530273
2010-01-21,22.760000228881836
2010-01-22,21.940000534057617
2010-01-25,22.010000228881836
2010-01-26,21.3799991607666
2010-01-27,21.1299991607666
2010-01-28,22.31999969482422
2010-01-29,22.950000762939453
2010-02-01,22.799999237060547
2010-02-02,23.270000457763672
2010-02-03,23.100000381469727
2010-02-04,22.299999237060547
2010-02-05,22.549999237060547
2010-02-08,22.31999969482422
2010-02-09,22.68000030517578
2010-02-10,23.540000915527344
2010-02-11,24.920000076293945
2010-02-12,24.5
2010-02-16,26.6299991607666
2010-02-17,26.25
2010-02-18,26.6200008392334
2010-02-19,26.549999237060547
2010-02-22,25.760000228881836
2010-02-23,25.760000228881836
2010-02-24,26.049999237060547
2010-02-25,25.719999313354492
2010-02-26,25.8700008392334
2010-03-01,26.0
2010-03-02,25.5
2010-03-03,25.799999237060547
2010-03-04,26.760000228881836
2010-03-05,26.639999389648438
2010-03-08,26.81999969482422
2010-03-09,26.65999984741211
2010-03-10,27.020000457763672
