,ENLV
2014-07-31,336.0
2014-08-01,276.0
2014-08-04,289.6000061035156
2014-08-05,292.0
2014-08-06,298.3999938964844
2014-08-07,302.79998779296875
2014-08-08,309.6000061035156
2014-08-11,308.0
2014-08-12,302.0
2014-08-13,297.20001220703125
2014-08-14,292.0
2014-08-15,292.3999938964844
2014-08-18,297.20001220703125
2014-08-19,293.6000061035156
2014-08-20,300.0
2014-08-21,303.6000061035156
2014-08-22,307.20001220703125
2014-08-25,347.20001220703125
2014-08-26,371.6000061035156
2014-08-27,391.6000061035156
2014-08-28,391.6000061035156
2014-08-29,369.6000061035156
2014-09-02,348.3999938964844
2014-09-03,354.79998779296875
2014-09-04,338.0
2014-09-05,342.0
2014-09-08,356.0
2014-09-09,364.79998779296875
2014-09-10,345.6000061035156
2014-09-11,352.0
2014-09-12,352.0
2014-09-15,344.0
2014-09-16,340.0
2014-09-17,344.0
2014-09-18,343.20001220703125
2014-09-19,347.6000061035156
2014-09-22,329.6000061035156
2014-09-23,326.3999938964844
2014-09-24,313.6000061035156
2014-09-25,316.3999938964844
2014-09-26,302.79998779296875
2014-09-29,308.0
2014-09-30,290.79998779296875
2014-10-01,297.20001220703125
2014-10-02,281.20001220703125
2014-10-03,280.3999938964844
2014-10-06,280.79998779296875
2014-10-07,296.0
2014-10-08,290.0
2014-10-09,266.79998779296875
2014-10-10,246.0
2014-10-13,240.8000030517578
2014-10-14,220.39999389648438
2014-10-15,210.0
2014-10-16,228.0
2014-10-17,230.39999389648438
2014-10-20,241.60000610351562
2014-10-21,253.60000610351562
2014-10-22,241.1999969482422
2014-10-23,225.1999969482422
2014-10-24,235.1999969482422
2014-10-27,236.0
2014-10-28,244.8000030517578
2014-10-29,246.39999389648438
2014-10-30,222.0
2014-10-31,220.0
2014-11-03,216.0
2014-11-04,220.39999389648438
2014-11-05,223.60000610351562
2014-11-06,208.0
2014-11-07,214.0
2014-11-10,212.0
2014-11-11,210.0
2014-11-12,210.0
2014-11-13,206.0
2014-11-14,204.0
2014-11-17,199.1999969482422
2014-11-18,188.39999389648438
2014-11-19,186.0
2014-11-20,189.1999969482422
2014-11-21,182.0
2014-11-24,181.1999969482422
2014-11-25,188.0
2014-11-26,238.0
2014-11-28,276.0
2014-12-01,311.20001220703125
2014-12-02,293.6000061035156
2014-12-03,302.0
2014-12-04,294.3999938964844
2014-12-05,287.20001220703125
2014-12-08,282.3999938964844
2014-12-09,268.3999938964844
2014-12-10,287.6000061035156
2014-12-11,290.0
2014-12-12,268.3999938964844
2014-12-15,264.3599853515625
2014-12-16,261.6000061035156
2014-12-17,264.2799987792969
2014-12-18,246.8000030517578
2014-12-19,261.20001220703125
2014-12-22,249.60000610351562
2014-12-23,264.0
2014-12-24,250.0
2014-12-26,238.52000427246094
2014-12-29,228.39999389648438
2014-12-30,241.1999969482422
2014-12-31,255.60000610351562
2015-01-02,264.20001220703125
2015-01-05,269.20001220703125
2015-01-06,272.79998779296875
2015-01-07,280.3999938964844
2015-01-08,308.0
2015-01-09,312.79998779296875
2015-01-12,312.0
2015-01-13,328.0
2015-01-14,318.79998779296875
2015-01-15,320.3999938964844
2015-01-16,312.3999938964844
2015-01-20,302.79998779296875
2015-01-21,310.3999938964844
2015-01-22,321.6000061035156
2015-01-23,324.79998779296875
2015-01-26,338.0
2015-01-27,337.20001220703125
2015-01-28,338.79998779296875
2015-01-29,331.20001220703125
2015-01-30,326.0
2015-02-02,334.79998779296875
2015-02-03,303.20001220703125
2015-02-04,305.6000061035156
2015-02-05,317.6000061035156
2015-02-06,302.79998779296875
2015-02-09,297.20001220703125
2015-02-10,282.0
2015-02-11,282.79998779296875
2015-02-12,285.0
2015-02-13,286.79998779296875
2015-02-17,258.3999938964844
2015-02-18,266.3999938964844
2015-02-19,269.3999938964844
2015-02-20,276.3999938964844
2015-02-23,268.79998779296875
2015-02-24,268.3999938964844
2015-02-25,266.0
2015-02-26,272.0
2015-02-27,271.20001220703125
2015-03-02,276.3999938964844
2015-03-03,280.79998779296875
2015-03-04,283.6000061035156
2015-03-05,295.20001220703125
2015-03-06,281.20001220703125
2015-03-09,296.79998779296875
2015-03-10,284.0
2015-03-11,291.6000061035156
2015-03-12,276.0
2015-03-13,260.3999938964844
2015-03-16,265.6000061035156
2015-03-17,263.20001220703125
2015-03-18,256.79998779296875
2015-03-19,252.0
2015-03-20,252.0
2015-03-23,240.0
2015-03-24,241.1999969482422
2015-03-25,240.39999389648438
2015-03-26,238.0
2015-03-27,240.8000030517578
2015-03-30,239.1999969482422
2015-03-31,240.0
2015-04-01,240.0
2015-04-02,241.1999969482422
2015-04-06,246.39999389648438
2015-04-07,240.0
2015-04-08,240.39999389648438
2015-04-09,287.20001220703125
2015-04-10,280.0
2015-04-13,274.3999938964844
2015-04-14,271.20001220703125
2015-04-15,276.0
2015-04-16,269.20001220703125
2015-04-17,258.79998779296875
2015-04-20,250.39999389648438
2015-04-21,256.3999938964844
2015-04-22,254.8000030517578
2015-04-23,256.3999938964844
2015-04-24,256.0
2015-04-27,249.60000610351562
2015-04-28,233.1999969482422
2015-04-29,228.0
2015-04-30,228.0
2015-05-01,224.0
2015-05-04,217.1999969482422
2015-05-05,218.0
2015-05-06,229.60000610351562
2015-05-07,230.0
2015-05-08,230.0
2015-05-11,234.39999389648438
2015-05-12,245.60000610351562
2015-05-13,238.39999389648438
2015-05-14,239.60000610351562
2015-05-15,238.0
2015-05-18,228.39999389648438
2015-05-19,226.0
2015-05-20,220.0
2015-05-21,224.0
2015-05-22,222.8000030517578
2015-05-26,231.1999969482422
2015-05-27,214.0
2015-05-28,214.39999389648438
2015-05-29,230.0
2015-06-01,221.1999969482422
2015-06-02,236.0
2015-06-03,232.0
2015-06-04,241.60000610351562
2015-06-05,232.8000030517578
2015-06-08,237.1999969482422
2015-06-09,234.39999389648438
2015-06-10,234.39999389648438
2015-06-11,229.60000610351562
2015-06-12,230.39999389648438
2015-06-15,269.6000061035156
2015-06-16,252.0
2015-06-17,258.3999938964844
2015-06-18,277.6000061035156
2015-06-19,282.0
2015-06-22,292.0
2015-06-23,292.0
2015-06-24,325.6000061035156
2015-06-25,320.3999938964844
2015-06-26,284.79998779296875
2015-06-29,266.3999938964844
2015-06-30,275.6000061035156
2015-07-01,275.20001220703125
2015-07-02,275.3999938964844
2015-07-06,266.20001220703125
2015-07-07,268.0
2015-07-08,250.8000030517578
2015-07-09,263.20001220703125
2015-07-10,253.1999969482422
2015-07-13,278.0
2015-07-14,259.20001220703125
2015-07-15,264.3999938964844
2015-07-16,260.79998779296875
2015-07-17,268.3999938964844
2015-07-20,268.79998779296875
2015-07-21,266.79998779296875
2015-07-22,263.6000061035156
2015-07-23,265.20001220703125
2015-07-24,267.20001220703125
2015-07-27,282.79998779296875
2015-07-28,278.79998779296875
