,COMM
2013-10-25,14.989999771118164
2013-10-28,14.880000114440918
2013-10-29,15.25
2013-10-30,15.430000305175781
2013-10-31,15.279999732971191
2013-11-01,15.579999923706055
2013-11-04,15.289999961853027
2013-11-05,15.010000228881836
2013-11-06,15.0
2013-11-07,14.970000267028809
2013-11-08,15.270000457763672
2013-11-11,16.139999389648438
2013-11-12,15.75
2013-11-13,15.819999694824219
2013-11-14,15.800000190734863
2013-11-15,15.789999961853027
2013-11-18,15.670000076293945
2013-11-19,15.34000015258789
2013-11-20,15.130000114440918
2013-11-21,15.180000305175781
2013-11-22,15.5
2013-11-25,15.4399995803833
2013-11-26,15.460000038146973
2013-11-27,16.190000534057617
2013-11-29,16.09000015258789
2013-12-02,16.739999771118164
2013-12-03,16.959999084472656
2013-12-04,17.020000457763672
2013-12-05,16.809999465942383
2013-12-06,17.049999237060547
2013-12-09,17.350000381469727
2013-12-10,17.3700008392334
2013-12-11,17.360000610351562
2013-12-12,17.329999923706055
2013-12-13,17.399999618530273
2013-12-16,17.59000015258789
2013-12-17,17.68000030517578
2013-12-18,17.799999237060547
2013-12-19,17.489999771118164
2013-12-20,17.84000015258789
2013-12-23,18.049999237060547
2013-12-24,18.030000686645508
2013-12-26,18.100000381469727
2013-12-27,18.280000686645508
2013-12-30,18.479999542236328
2013-12-31,18.93000030517578
2014-01-02,18.770000457763672
2014-01-03,19.190000534057617
2014-01-06,19.299999237060547
2014-01-07,19.030000686645508
2014-01-08,18.989999771118164
2014-01-09,18.93000030517578
2014-01-10,18.670000076293945
2014-01-13,18.350000381469727
2014-01-14,17.959999084472656
2014-01-15,18.43000030517578
2014-01-16,18.68000030517578
2014-01-17,18.299999237060547
2014-01-21,18.25
2014-01-22,18.3700008392334
2014-01-23,17.8799991607666
2014-01-24,17.809999465942383
2014-01-27,17.309999465942383
2014-01-28,17.610000610351562
2014-01-29,17.34000015258789
2014-01-30,17.510000228881836
2014-01-31,17.93000030517578
2014-02-03,18.0
2014-02-04,18.260000228881836
2014-02-05,18.5
2014-02-06,18.459999084472656
2014-02-07,18.209999084472656
2014-02-10,18.579999923706055
2014-02-11,18.889999389648438
2014-02-12,18.600000381469727
2014-02-13,18.770000457763672
2014-02-14,18.809999465942383
2014-02-18,19.020000457763672
2014-02-19,18.940000534057617
2014-02-20,18.969999313354492
2014-02-21,21.920000076293945
2014-02-24,22.920000076293945
2014-02-25,23.0
2014-02-26,23.360000610351562
2014-02-27,23.6299991607666
2014-02-28,24.219999313354492
2014-03-03,24.239999771118164
2014-03-04,24.1299991607666
2014-03-05,24.049999237060547
2014-03-06,23.489999771118164
2014-03-07,22.899999618530273
2014-03-10,22.709999084472656
2014-03-11,21.989999771118164
2014-03-12,21.31999969482422
2014-03-13,21.950000762939453
2014-03-14,21.690000534057617
2014-03-17,21.68000030517578
2014-03-18,22.020000457763672
2014-03-19,22.079999923706055
2014-03-20,22.1299991607666
2014-03-21,24.3700008392334
2014-03-24,24.43000030517578
2014-03-25,24.489999771118164
2014-03-26,23.850000381469727
2014-03-27,23.100000381469727
2014-03-28,22.940000534057617
2014-03-31,24.68000030517578
2014-04-01,25.360000610351562
2014-04-02,25.709999084472656
2014-04-03,24.889999389648438
2014-04-04,24.68000030517578
2014-04-07,24.389999389648438
2014-04-08,24.440000534057617
2014-04-09,24.81999969482422
2014-04-10,23.719999313354492
2014-04-11,23.510000228881836
2014-04-14,23.829999923706055
2014-04-15,23.68000030517578
2014-04-16,24.389999389648438
2014-04-17,24.809999465942383
2014-04-21,25.309999465942383
2014-04-22,25.020000457763672
2014-04-23,25.389999389648438
2014-04-24,25.1299991607666
2014-04-25,24.649999618530273
2014-04-28,24.510000228881836
2014-04-29,25.34000015258789
2014-04-30,26.68000030517578
2014-05-01,27.68000030517578
2014-05-02,27.84000015258789
2014-05-05,27.31999969482422
2014-05-06,26.8799991607666
2014-05-07,26.030000686645508
2014-05-08,25.690000534057617
2014-05-09,25.479999542236328
2014-05-12,25.399999618530273
2014-05-13,25.020000457763672
2014-05-14,24.950000762939453
2014-05-15,24.920000076293945
2014-05-16,24.40999984741211
2014-05-19,24.790000915527344
2014-05-20,25.270000457763672
2014-05-21,25.899999618530273
2014-05-22,26.440000534057617
2014-05-23,26.440000534057617
2014-05-27,26.489999771118164
2014-05-28,26.780000686645508
2014-05-29,27.0
2014-05-30,26.440000534057617
2014-06-02,24.899999618530273
2014-06-03,24.520000457763672
2014-06-04,24.8799991607666
2014-06-05,24.399999618530273
2014-06-06,24.889999389648438
2014-06-09,25.010000228881836
2014-06-10,24.850000381469727
2014-06-11,24.6299991607666
2014-06-12,23.6299991607666
2014-06-13,23.1200008392334
2014-06-16,23.209999084472656
2014-06-17,23.200000762939453
2014-06-18,23.350000381469727
