,BLNK
2009-12-21,2525.0
2009-12-22,2525.0
2009-12-23,2525.0
2009-12-24,2525.0
2009-12-28,1475.0
2009-12-29,1950.0
2009-12-30,2125.0
2009-12-31,2250.0
2010-01-04,2250.0
2010-01-05,2250.0
2010-01-06,2250.0
2010-01-07,2250.0
2010-01-08,2250.0
2010-01-11,2500.0
2010-01-12,2500.0
2010-01-13,2500.0
2010-01-14,2500.0
2010-01-15,2450.0
2010-01-19,2450.0
2010-01-20,2450.0
2010-01-21,2450.0
2010-01-22,2450.0
2010-01-25,2450.0
2010-01-26,2625.0
2010-01-27,2675.0
2010-01-28,2675.0
2010-01-29,2675.0
2010-02-01,2675.0
2010-02-02,2675.0
2010-02-03,2550.0
2010-02-04,2625.0
2010-02-05,2675.0
2010-02-08,2675.0
2010-02-09,2675.0
2010-02-10,2625.0
2010-02-11,2700.0
2010-02-12,2700.0
2010-02-16,2625.0
2010-02-17,2625.0
2010-02-18,2625.0
2010-02-19,2625.0
2010-02-22,2650.0
2010-02-23,2625.0
2010-02-24,2625.0
2010-02-25,2625.0
2010-02-26,2525.0
2010-03-01,2625.0
2010-03-02,2525.0
2010-03-03,2525.0
2010-03-04,2375.0
2010-03-05,2375.0
2010-03-08,2375.0
2010-03-09,2525.0
2010-03-10,2650.0
2010-03-11,2500.0
2010-03-12,2250.0
2010-03-15,2750.0
2010-03-16,2525.0
2010-03-17,2625.0
2010-03-18,2525.0
2010-03-19,2375.0
2010-03-22,2375.0
2010-03-23,2375.0
2010-03-24,2375.0
2010-03-25,2425.0
2010-03-26,2525.0
2010-03-29,1625.0
2010-03-30,2000.0
2010-03-31,2000.0
2010-04-01,2000.0
2010-04-05,187.5
2010-04-06,132.5
2010-04-07,162.5
2010-04-08,162.5
2010-04-09,1625.0
2010-04-12,1650.0
2010-04-13,1325.0
2010-04-14,1327.5
2010-04-15,1275.0
2010-04-16,1275.0
2010-04-19,1275.0
2010-04-20,1325.0
2010-04-21,1375.0
2010-04-22,1425.0
2010-04-23,1500.0
2010-04-26,1500.0
2010-04-27,1650.0
2010-04-28,1825.0
2010-04-29,1875.0
2010-04-30,2487.5
2010-05-03,2350.0
2010-05-04,2400.0
2010-05-05,2487.5
2010-05-06,2487.5
2010-05-07,2250.0
2010-05-10,2375.0
2010-05-11,2125.0
2010-05-12,2125.0
2010-05-13,2125.0
2010-05-14,2375.0
2010-05-17,2375.0
2010-05-18,2525.0
2010-05-19,2525.0
2010-05-20,2400.0
2010-05-21,2150.0
2010-05-24,2500.0
2010-05-25,2150.0
2010-05-26,2150.0
2010-05-27,2150.0
2010-05-28,2475.0
2010-06-01,2525.0
2010-06-02,2150.0
2010-06-03,2150.0
2010-06-04,2000.0
2010-06-07,2000.0
2010-06-08,2125.0
2010-06-09,2125.0
2010-06-10,2025.0
2010-06-11,2025.0
2010-06-14,2025.0
2010-06-15,1800.0
2010-06-16,2025.0
2010-06-17,2400.0
2010-06-18,2400.0
2010-06-21,2375.0
2010-06-22,2000.0
2010-06-23,2125.0
2010-06-24,2225.0
2010-06-25,2150.0
2010-06-28,2250.0
2010-06-29,2250.0
2010-06-30,2125.0
2010-07-01,2225.0
2010-07-02,2250.0
2010-07-06,1875.0
2010-07-07,1775.0
2010-07-08,1950.0
2010-07-09,2250.0
2010-07-12,2150.0
2010-07-13,1900.0
2010-07-14,2250.0
2010-07-15,2200.0
2010-07-16,2150.0
2010-07-19,2125.0
2010-07-20,2125.0
2010-07-21,1800.0
2010-07-22,2075.0
2010-07-23,2100.0
2010-07-26,2250.0
2010-07-27,2250.0
2010-07-28,2200.0
2010-07-29,2600.0
2010-07-30,3500.0
2010-08-02,3375.0
2010-08-03,3127.5
2010-08-04,2550.0
2010-08-05,2375.0
2010-08-06,2150.0
2010-08-09,2575.0
2010-08-10,2400.0
2010-08-11,2375.0
2010-08-12,2375.0
2010-08-13,2525.0
2010-08-16,2575.0
2010-08-17,2500.0
2010-08-18,2625.0
2010-08-19,2800.0
2010-08-20,3025.0
2010-08-23,2725.0
2010-08-24,2500.0
2010-08-25,2550.0
2010-08-26,2525.0
2010-08-27,2375.0
2010-08-30,2325.0
2010-08-31,2375.0
2010-09-01,2375.0
2010-09-02,2225.0
2010-09-03,2075.0
2010-09-07,2075.0
2010-09-08,2100.0
2010-09-09,2150.0
2010-09-10,2175.0
2010-09-13,2000.0
2010-09-14,2075.0
2010-09-15,1875.0
2010-09-16,1900.0
2010-09-17,1750.0
2010-09-20,1800.0
2010-09-21,1950.0
2010-09-22,1800.0
2010-09-23,1875.0
2010-09-24,1775.0
2010-09-27,1750.0
2010-09-28,1750.0
2010-09-29,1800.0
2010-09-30,1700.0
2010-10-01,1725.0
2010-10-04,1725.0
2010-10-05,1625.0
2010-10-06,1400.0
2010-10-07,1400.0
2010-10-08,1375.0
2010-10-11,1500.0
2010-10-12,1500.0
2010-10-13,1375.0
2010-10-14,1400.0
2010-10-15,1375.0
2010-10-18,1450.0
2010-10-19,1400.0
2010-10-20,1375.0
2010-10-21,1375.0
2010-10-22,1375.0
2010-10-25,1275.0
2010-10-26,1375.0
2010-10-27,1475.0
2010-10-28,1400.0
2010-10-29,1475.0
2010-11-01,1375.0
2010-11-02,1350.0
2010-11-03,1350.0
2010-11-04,1350.0
2010-11-05,1125.0
