,FMB
2014-05-15,50.150001525878906
2014-05-16,50.16999816894531
2014-05-19,49.9900016784668
2014-05-20,50.0099983215332
2014-05-21,49.9900016784668
2014-05-22,49.97999954223633
2014-05-23,50.040000915527344
2014-05-27,50.02000045776367
2014-05-28,50.02000045776367
2014-05-29,50.0
2014-05-30,50.02000045776367
2014-06-02,49.959999084472656
2014-06-03,49.95000076293945
2014-06-04,49.849998474121094
2014-06-05,49.7599983215332
2014-06-06,49.900001525878906
2014-06-09,49.959999084472656
2014-06-10,49.70000076293945
2014-06-11,49.722999572753906
2014-06-12,49.70000076293945
2014-06-13,49.70000076293945
2014-06-16,50.099998474121094
2014-06-17,50.13999938964844
2014-06-18,50.00899887084961
2014-06-19,49.630001068115234
2014-06-20,49.56999969482422
2014-06-23,49.630001068115234
2014-06-24,49.689998626708984
2014-06-25,49.689998626708984
2014-06-26,50.099998474121094
2014-06-27,50.099998474121094
2014-06-30,50.0
2014-07-01,50.0
2014-07-02,49.650001525878906
2014-07-03,50.0099983215332
2014-07-07,50.0099983215332
2014-07-08,50.0099983215332
2014-07-09,49.52000045776367
2014-07-10,49.52000045776367
2014-07-11,49.66999816894531
2014-07-14,49.66999816894531
2014-07-15,49.66999816894531
2014-07-16,49.66999816894531
2014-07-17,49.880001068115234
2014-07-18,49.95000076293945
2014-07-21,49.915000915527344
2014-07-22,49.93000030517578
2014-07-23,49.93000030517578
2014-07-24,49.93000030517578
2014-07-25,49.93000030517578
2014-07-28,49.93000030517578
2014-07-29,49.95000076293945
2014-07-30,49.97999954223633
2014-07-31,49.97999954223633
2014-08-01,50.099998474121094
2014-08-04,50.0
2014-08-05,50.0099983215332
2014-08-06,50.0099983215332
2014-08-07,50.30500030517578
2014-08-08,50.30500030517578
2014-08-11,50.119998931884766
2014-08-12,50.16999816894531
2014-08-13,50.16999816894531
2014-08-14,50.130001068115234
2014-08-15,50.45000076293945
2014-08-18,50.310001373291016
2014-08-19,50.2599983215332
2014-08-20,50.33000183105469
2014-08-21,50.209999084472656
2014-08-22,50.290000915527344
2014-08-25,50.36000061035156
2014-08-26,50.36000061035156
2014-08-27,50.47999954223633
2014-08-28,50.47999954223633
2014-08-29,50.47999954223633
2014-09-02,50.47999954223633
2014-09-03,50.47999954223633
2014-09-04,50.47999954223633
2014-09-05,50.369998931884766
2014-09-08,50.459999084472656
2014-09-09,50.46500015258789
2014-09-10,50.54999923706055
2014-09-11,50.400001525878906
2014-09-12,50.39899826049805
2014-09-15,50.29999923706055
2014-09-16,50.279998779296875
2014-09-17,50.42900085449219
2014-09-18,50.42900085449219
2014-09-19,50.42900085449219
2014-09-22,50.494998931884766
2014-09-23,50.494998931884766
2014-09-24,50.349998474121094
2014-09-25,50.349998474121094
2014-09-26,50.369998931884766
2014-09-29,50.38999938964844
2014-09-30,50.529998779296875
2014-10-01,50.54999923706055
2014-10-02,50.5
2014-10-03,50.470001220703125
2014-10-06,50.54999923706055
2014-10-07,50.61000061035156
2014-10-08,50.70000076293945
2014-10-09,50.88999938964844
2014-10-10,51.02000045776367
2014-10-13,51.119998931884766
2014-10-14,51.119998931884766
2014-10-15,51.45000076293945
2014-10-16,51.47999954223633
2014-10-17,51.5099983215332
2014-10-20,51.5099983215332
2014-10-21,51.5
2014-10-22,51.540000915527344
2014-10-23,51.540000915527344
2014-10-24,51.540000915527344
2014-10-27,51.470001220703125
2014-10-28,51.50299835205078
2014-10-29,51.5
2014-10-30,51.66999816894531
2014-10-31,51.540000915527344
2014-11-03,51.11000061035156
2014-11-04,50.92100143432617
2014-11-05,50.92100143432617
2014-11-06,50.88999938964844
2014-11-07,51.138999938964844
2014-11-10,51.2400016784668
2014-11-11,50.91999816894531
2014-11-12,51.099998474121094
2014-11-13,50.9900016784668
2014-11-14,51.040000915527344
2014-11-17,51.0099983215332
2014-11-18,51.04999923706055
2014-11-19,51.04999923706055
2014-11-20,50.9900016784668
2014-11-21,50.9900016784668
2014-11-24,51.02000045776367
2014-11-25,51.029998779296875
2014-11-26,51.077999114990234
2014-11-28,51.077999114990234
2014-12-01,51.08000183105469
2014-12-02,51.005001068115234
2014-12-03,51.20000076293945
2014-12-04,51.14899826049805
2014-12-05,51.13999938964844
2014-12-08,51.13999938964844
2014-12-09,51.38999938964844
2014-12-10,51.45000076293945
2014-12-11,51.36000061035156
2014-12-12,51.58000183105469
2014-12-15,51.369998931884766
2014-12-16,51.630001068115234
2014-12-17,51.34000015258789
2014-12-18,51.41999816894531
2014-12-19,51.54800033569336
2014-12-22,51.45000076293945
2014-12-23,51.45000076293945
2014-12-24,51.24100112915039
2014-12-26,51.16999816894531
2014-12-29,51.426998138427734
2014-12-30,51.38999938964844
2014-12-31,51.38999938964844
2015-01-02,51.33000183105469
2015-01-05,51.720001220703125
2015-01-06,51.814998626708984
2015-01-07,51.849998474121094
2015-01-08,51.775001525878906
2015-01-09,51.80699920654297
2015-01-12,51.7400016784668
2015-01-13,51.83000183105469
2015-01-14,52.06999969482422
2015-01-15,52.16999816894531
2015-01-16,52.20000076293945
2015-01-20,52.220001220703125
2015-01-21,52.0
2015-01-22,52.04999923706055
2015-01-23,52.04999923706055
2015-01-26,52.04999923706055
2015-01-27,52.0620002746582
2015-01-28,52.470001220703125
2015-01-29,52.314998626708984
2015-01-30,52.36000061035156
2015-02-02,52.400001525878906
2015-02-03,52.150001525878906
2015-02-04,52.25
2015-02-05,52.275001525878906
2015-02-06,51.790000915527344
2015-02-09,52.053001403808594
2015-02-10,52.029998779296875
2015-02-11,52.040000915527344
2015-02-12,52.0
2015-02-13,51.97100067138672
2015-02-17,51.97100067138672
2015-02-18,52.03300094604492
2015-02-19,51.849998474121094
2015-02-20,51.77000045776367
2015-02-23,51.75
2015-02-24,52.082000732421875
2015-02-25,52.0
2015-02-26,51.77000045776367
2015-02-27,51.880001068115234
2015-03-02,51.70000076293945
2015-03-03,51.79999923706055
2015-03-04,51.8120002746582
2015-03-05,51.849998474121094
2015-03-06,51.52199935913086
2015-03-09,51.61000061035156
2015-03-10,51.74300003051758
2015-03-11,51.79999923706055
2015-03-12,51.83000183105469
2015-03-13,51.849998474121094
2015-03-16,51.779998779296875
2015-03-17,51.959999084472656
2015-03-18,51.970001220703125
2015-03-19,52.369998931884766
2015-03-20,52.334999084472656
2015-03-23,52.334999084472656
2015-03-24,52.279998779296875
2015-03-25,52.145999908447266
2015-03-26,52.042999267578125
2015-03-27,51.959999084472656
2015-03-30,51.939998626708984
