,BFRA
2018-02-14,12.180000305175781
2018-02-15,12.600000381469727
2018-02-16,14.229999542236328
2018-02-20,15.25
2018-02-21,15.279999732971191
2018-02-22,14.449999809265137
2018-02-23,14.329999923706055
2018-02-26,14.800000190734863
2018-02-27,14.029999732971191
2018-02-28,14.100000381469727
2018-03-01,13.539999961853027
2018-03-02,13.387999534606934
2018-03-05,13.739999771118164
2018-03-06,14.869999885559082
2018-03-07,14.619999885559082
2018-03-08,15.149999618530273
2018-03-09,15.880000114440918
2018-03-12,16.6200008392334
2018-03-13,17.8700008392334
2018-03-14,16.729999542236328
2018-03-15,17.15999984741211
2018-03-16,17.200000762939453
2018-03-19,16.924999237060547
2018-03-20,17.0
2018-03-21,17.0
2018-03-22,15.572999954223633
2018-03-23,14.875
2018-03-26,15.07699966430664
2018-03-27,15.130000114440918
2018-03-28,14.319999694824219
2018-03-29,16.520000457763672
2018-04-02,15.699999809265137
2018-04-03,14.319999694824219
2018-04-04,15.300000190734863
2018-04-05,13.800000190734863
2018-04-06,13.699999809265137
2018-04-09,13.760000228881836
2018-04-10,13.760000228881836
2018-04-11,13.600000381469727
2018-04-12,14.199999809265137
2018-04-13,14.32699966430664
2018-04-16,13.899999618530273
2018-04-17,14.079999923706055
2018-04-18,14.079999923706055
2018-04-19,14.0
2018-04-20,14.0
2018-04-23,14.104999542236328
2018-04-24,14.104999542236328
2018-04-25,13.920000076293945
2018-04-26,13.699999809265137
2018-04-27,13.59000015258789
2018-04-30,13.100000381469727
2018-05-01,12.89799976348877
2018-05-02,12.89799976348877
2018-05-03,13.1899995803833
2018-05-04,13.1899995803833
2018-05-07,14.329999923706055
2018-05-08,13.720000267028809
2018-05-09,13.8100004196167
2018-05-10,13.621999740600586
2018-05-11,14.069999694824219
2018-05-14,13.510000228881836
2018-05-15,13.609999656677246
2018-05-16,13.670000076293945
2018-05-17,13.9399995803833
2018-05-18,13.609999656677246
2018-05-21,13.73799991607666
2018-05-22,13.430000305175781
2018-05-23,13.289999961853027
2018-05-24,13.0
2018-05-25,12.720000267028809
2018-05-29,12.720000267028809
2018-05-30,14.260000228881836
2018-05-31,13.15999984741211
2018-06-01,12.899999618530273
2018-06-04,13.039999961853027
2018-06-05,13.039999961853027
2018-06-06,13.039999961853027
2018-06-07,13.116999626159668
2018-06-08,13.942000389099121
2018-06-11,13.75
2018-06-12,13.220000267028809
2018-06-13,13.25
2018-06-14,13.491999626159668
2018-06-15,13.069999694824219
2018-06-18,13.255000114440918
2018-06-19,13.350000381469727
2018-06-20,13.201000213623047
2018-06-21,13.25
2018-06-22,13.02299976348877
2018-06-25,12.970000267028809
2018-06-26,12.949999809265137
2018-06-27,12.430000305175781
2018-06-28,11.678999900817871
2018-06-29,12.149999618530273
2018-07-02,12.614999771118164
2018-07-03,12.614999771118164
2018-07-05,12.989999771118164
2018-07-06,13.029999732971191
2018-07-09,13.260000228881836
2018-07-10,13.100000381469727
2018-07-11,13.100000381469727
2018-07-12,12.829999923706055
2018-07-13,12.800000190734863
2018-07-16,12.800000190734863
2018-07-17,12.682999610900879
2018-07-18,13.0
2018-07-19,13.0
2018-07-20,12.989999771118164
2018-07-23,13.0
2018-07-24,13.0
2018-07-25,13.399999618530273
2018-07-26,13.4399995803833
2018-07-27,13.649999618530273
2018-07-30,13.399999618530273
2018-07-31,13.649999618530273
2018-08-01,13.699999809265137
2018-08-02,13.635000228881836
2018-08-03,13.635000228881836
2018-08-06,13.635000228881836
2018-08-07,13.729999542236328
2018-08-08,13.729999542236328
2018-08-09,13.729999542236328
2018-08-10,13.116999626159668
2018-08-13,13.045000076293945
2018-08-14,13.050000190734863
2018-08-15,13.100000381469727
2018-08-16,13.100000381469727
2018-08-17,13.380000114440918
2018-08-20,13.829999923706055
2018-08-21,14.064000129699707
2018-08-22,14.09000015258789
2018-08-23,14.010000228881836
2018-08-24,14.170000076293945
2018-08-27,14.5
2018-08-28,14.489999771118164
2018-08-29,15.050000190734863
2018-08-30,14.899999618530273
2018-08-31,14.319999694824219
2018-09-04,14.1899995803833
2018-09-05,13.739999771118164
2018-09-06,13.729999542236328
2018-09-07,13.649999618530273
2018-09-10,13.550000190734863
2018-09-11,13.699999809265137
2018-09-12,13.779999732971191
2018-09-13,13.399999618530273
2018-09-14,13.699999809265137
2018-09-17,13.82800006866455
2018-09-18,13.649999618530273
2018-09-19,13.630000114440918
2018-09-20,13.8100004196167
2018-09-21,13.899999618530273
2018-09-24,13.944999694824219
2018-09-25,13.850000381469727
2018-09-26,13.8100004196167
2018-09-27,13.8100004196167
2018-09-28,13.593000411987305
2018-10-01,13.649999618530273
2018-10-02,13.52400016784668
2018-10-03,13.520000457763672
2018-10-04,13.567000389099121
2018-10-05,13.567000389099121
2018-10-08,13.229999542236328
2018-10-09,13.229999542236328
2018-10-10,13.5
2018-10-11,13.300000190734863
2018-10-12,13.300000190734863
2018-10-15,13.300000190734863
2018-10-16,13.300000190734863
2018-10-17,13.300000190734863
2018-10-18,13.300000190734863
2018-10-19,13.199999809265137
2018-10-22,13.199999809265137
2018-10-23,12.710000038146973
2018-10-24,12.25
2018-10-25,12.25
2018-10-26,12.25
2018-10-29,12.493000030517578
2018-10-30,12.493000030517578
2018-10-31,12.489999771118164
2018-11-01,12.59000015258789
