,DISCA
2005-07-08,7.818089008331299
2005-07-11,7.843637943267822
2005-07-12,8.252427101135254
2005-07-13,8.12468147277832
2005-07-14,8.12468147277832
2005-07-15,8.022482872009277
2005-07-18,7.613694190979004
2005-07-19,7.634133815765381
2005-07-20,7.588144779205322
2005-07-21,7.710782051086426
2005-07-22,7.6596832275390625
2005-07-25,7.179356098175049
2005-07-26,7.153807163238525
2005-07-27,7.153807163238525
2005-07-28,7.281552791595459
2005-07-29,7.291772842407227
2005-08-01,7.174245834350586
2005-08-02,7.143587112426758
2005-08-03,7.271334171295166
2005-08-04,7.235565185546875
2005-08-05,7.204905033111572
2005-08-08,7.179356098175049
2005-08-09,7.138476848602295
2005-08-10,7.210014820098877
2005-08-11,7.455288887023926
2005-08-12,7.506387233734131
2005-08-15,7.736330986022949
2005-08-16,7.7669901847839355
2005-08-17,7.7158918380737305
2005-08-18,7.675013065338135
2005-08-19,7.77209997177124
2005-08-22,7.920286178588867
2005-08-23,8.012264251708984
2005-08-24,8.088912010192871
2005-08-25,8.048032760620117
2005-08-26,7.961164951324463
2005-08-29,7.8589677810668945
2005-08-30,7.828309059143066
2005-08-31,7.736330986022949
2005-09-01,7.746551036834717
2005-09-02,7.741440773010254
2005-09-06,7.77209997177124
2005-09-07,7.777210235595703
2005-09-08,7.7158918380737305
2005-09-09,7.664793014526367
2005-09-12,7.649463176727295
2005-09-13,7.583034992218018
2005-09-14,7.623913764953613
2005-09-15,7.664793014526367
2005-09-16,7.664793014526367
2005-09-19,7.690341949462891
2005-09-20,7.685232162475586
2005-09-21,7.557486057281494
2005-09-22,7.5114970207214355
2005-09-23,7.4757280349731445
2005-09-26,7.450179100036621
2005-09-27,7.445068836212158
2005-09-28,7.363310813903809
2005-09-29,7.281552791595459
2005-09-30,7.373530864715576
2005-10-03,7.424630165100098
2005-10-04,7.164027214050293
2005-10-05,7.102707862854004
2005-10-06,7.056718826293945
2005-10-07,7.143587112426758
2005-10-10,7.138476848602295
2005-10-11,7.179356098175049
2005-10-12,7.164027214050293
2005-10-13,7.281552791595459
2005-10-14,7.4041900634765625
2005-10-17,7.271334171295166
2005-10-18,7.24067497253418
2005-10-19,7.15891695022583
2005-10-20,7.092488765716553
2005-10-21,7.194685935974121
2005-10-24,7.276443958282471
2005-10-25,7.174245834350586
2005-10-26,7.143587112426758
2005-10-27,7.020949840545654
2005-10-28,7.250894069671631
2005-10-31,7.199796199798584
2005-11-01,7.266223907470703
2005-11-02,7.347981929779053
2005-11-03,7.2560038566589355
2005-11-04,7.210014820098877
2005-11-07,7.230454921722412
2005-11-08,7.3326520919799805
2005-11-09,7.327541828155518
2005-11-10,7.557486057281494
2005-11-11,7.797648906707764
2005-11-14,7.8231987953186035
2005-11-15,7.8231987953186035
2005-11-16,7.664793014526367
2005-11-17,7.608584880828857
2005-11-18,7.7874298095703125
2005-11-21,7.9713850021362305
2005-11-22,8.048032760620117
2005-11-23,8.078692436218262
2005-11-25,8.09402084350586
2005-11-28,8.048032760620117
2005-11-29,8.048032760620117
2005-11-30,7.976494789123535
2005-12-01,7.991824150085449
2005-12-02,7.9713850021362305
2005-12-05,7.915175914764404
2005-12-06,7.721002101898193
2005-12-07,7.812979221343994
2005-12-08,7.915175914764404
2005-12-09,7.9100661277771
2005-12-12,8.07358169555664
2005-12-13,8.165559768676758
2005-12-14,8.175779342651367
2005-12-15,7.945835113525391
2005-12-16,8.201329231262207
2005-12-19,7.986713886260986
2005-12-20,7.915175914764404
2005-12-21,7.838528156280518
2005-12-22,7.807868957519531
2005-12-23,7.879406929016113
2005-12-27,7.8231987953186035
2005-12-28,7.77209997177124
2005-12-29,7.792540073394775
2005-12-30,7.741440773010254
2006-01-03,7.7158918380737305
2006-01-04,7.818089008331299
2006-01-05,7.818089008331299
2006-01-06,7.843637943267822
2006-01-09,7.818089008331299
2006-01-10,7.833417892456055
2006-01-11,7.807868957519531
2006-01-12,7.797648906707764
2006-01-13,7.777210235595703
2006-01-17,7.899847030639648
2006-01-18,7.899847030639648
2006-01-19,7.925395965576172
2006-01-20,7.828309059143066
2006-01-23,7.874297142028809
2006-01-24,7.874297142028809
2006-01-25,7.833417892456055
2006-01-26,7.869187831878662
2006-01-27,7.925395965576172
2006-01-30,7.843637943267822
2006-01-31,7.746551036834717
2006-02-01,7.664793014526367
2006-02-02,7.450179100036621
2006-02-03,7.445068836212158
2006-02-06,7.434848785400391
2006-02-07,7.378641128540039
2006-02-08,7.639244079589844
2006-02-09,7.562595844268799
2006-02-10,7.409299850463867
2006-02-13,7.3990797996521
2006-02-14,7.383750915527344
2006-02-15,7.3990797996521
2006-02-16,7.491057872772217
2006-02-17,7.41441011428833
2006-02-21,7.393970012664795
2006-02-22,7.424630165100098
2006-02-23,7.419519901275635
2006-02-24,7.3684210777282715
2006-02-27,7.583034992218018
2006-02-28,7.460399150848389
