,CUEN
2008-10-27,50625.0
2008-10-28,50625.0
2008-10-29,50625.0
2008-10-30,50625.0
2008-10-31,50625.0
2008-11-03,50625.0
2008-11-04,50625.0
2008-11-05,50625.0
2008-11-06,50625.0
2008-11-07,50625.0
2008-11-10,50625.0
2008-11-11,50625.0
2008-11-12,50625.0
2008-11-13,50625.0
2008-11-14,50625.0
2008-11-17,67500.0
2008-11-18,67500.0
2008-11-19,67500.0
2008-11-20,67500.0
2008-11-21,67500.0
2008-11-24,67500.0
2008-11-25,67500.0
2008-11-26,67500.0
2008-11-28,67500.0
2008-12-01,67500.0
2008-12-02,67500.0
2008-12-03,67500.0
2008-12-04,67500.0
2008-12-05,67500.0
2008-12-08,67500.0
2008-12-09,67500.0
2008-12-10,67500.0
2008-12-11,67500.0
2008-12-12,67500.0
2008-12-15,67500.0
2008-12-16,67500.0
2008-12-17,67500.0
2008-12-18,33750.0
2008-12-19,33750.0
2008-12-22,33750.0
2008-12-23,33750.0
2008-12-24,33750.0
2008-12-26,33750.0
2008-12-29,33750.0
2008-12-30,33750.0
2008-12-31,33750.0
2009-01-02,33750.0
2009-01-05,33750.0
2009-01-06,33750.0
2009-01-07,33750.0
2009-01-08,33750.0
2009-01-09,33750.0
2009-01-12,33750.0
2009-01-13,33750.0
2009-01-14,33750.0
2009-01-15,33750.0
2009-01-16,33750.0
2009-01-20,33750.0
2009-01-21,33750.0
2009-01-22,33750.0
2009-01-23,33750.0
2009-01-26,33750.0
2009-01-27,33750.0
2009-01-28,33750.0
2009-01-29,33750.0
2009-01-30,33750.0
2009-02-02,33750.0
2009-02-03,33750.0
2009-02-04,33750.0
2009-02-05,33750.0
2009-02-06,33750.0
2009-02-09,33750.0
2009-02-10,33750.0
2009-02-11,33750.0
2009-02-12,33750.0
2009-02-13,33750.0
2009-02-17,33750.0
2009-02-18,33750.0
2009-02-19,33750.0
2009-02-20,33750.0
2009-02-23,33750.0
2009-02-24,33750.0
2009-02-25,33750.0
2009-02-26,16875.0
2009-02-27,16875.0
2009-03-02,16875.0
2009-03-03,16875.0
2009-03-04,16875.0
2009-03-05,16875.0
2009-03-06,16875.0
2009-03-09,16875.0
2009-03-10,16875.0
2009-03-11,16875.0
2009-03-12,16875.0
2009-03-13,16875.0
2009-03-16,16875.0
2009-03-17,16875.0
2009-03-18,16875.0
2009-03-19,16875.0
2009-03-20,16875.0
2009-03-23,16875.0
2009-03-24,16875.0
2009-03-25,16875.0
2009-03-26,16875.0
2009-03-27,16875.0
2009-03-30,16875.0
2009-03-31,16875.0
2009-04-01,16875.0
2009-04-02,16875.0
2009-04-03,16875.0
2009-04-06,8437.5
2009-04-07,8437.5
2009-04-08,8437.5
2009-04-09,8437.5
2009-04-13,8437.5
2009-04-14,8437.5
2009-04-15,8437.5
2009-04-16,8437.5
2009-04-17,8437.5
2009-04-20,8437.5
2009-04-21,8437.5
2009-04-22,8437.5
2009-04-23,5062.5
2009-04-24,5062.5
2009-04-27,5062.5
2009-04-28,5062.5
2009-04-29,5062.5
2009-04-30,5062.5
2009-05-01,5062.5
2009-05-04,5062.5
2009-05-05,5062.5
2009-05-06,5062.5
2009-05-07,5062.5
2009-05-08,5062.5
2009-05-11,5062.5
2009-05-12,5062.5
2009-05-13,5062.5
2009-05-14,5062.5
2009-05-15,5062.5
2009-05-18,5062.5
2009-05-19,5062.5
2009-05-20,5062.5
2009-05-21,5062.5
2009-05-22,5062.5
2009-05-26,5062.5
2009-05-27,5062.5
2009-05-28,5062.5
2009-05-29,5062.5
2009-06-01,5062.5
2009-06-02,5062.5
2009-06-03,5062.5
2009-06-04,5062.5
2009-06-05,5062.5
2009-06-08,5062.5
2009-06-09,5062.5
2009-06-10,5062.5
2009-06-11,5062.5
2009-06-12,5062.5
2009-06-15,5062.5
2009-06-16,5062.5
2009-06-17,5062.5
2009-06-18,5062.5
2009-06-19,5062.5
2009-06-22,5062.5
2009-06-23,5062.5
2009-06-24,5062.5
2009-06-25,5062.5
2009-06-26,5062.5
2009-06-29,5062.5
2009-06-30,5062.5
2009-07-01,5062.5
2009-07-02,5062.5
2009-07-06,5062.5
2009-07-07,5062.5
2009-07-08,5062.5
2009-07-09,5062.5
2009-07-10,5062.5
2009-07-13,5062.5
2009-07-14,5062.5
2009-07-15,5062.5
2009-07-16,5062.5
2009-07-17,5062.5
2009-07-20,5062.5
2009-07-21,5062.5
2009-07-22,16875.0
2009-07-23,2812.5
2009-07-24,2812.5
2009-07-27,2812.5
2009-07-28,2812.5
2009-07-29,2812.5
2009-07-30,2812.5
2009-07-31,2812.5
2009-08-03,2812.5
2009-08-04,2812.5
2009-08-05,2812.5
2009-08-06,2812.5
2009-08-07,2812.5
2009-08-10,2812.5
2009-08-11,2812.5
2009-08-12,2812.5
2009-08-13,2812.5
2009-08-14,2812.5
2009-08-17,2812.5
2009-08-18,2812.5
2009-08-19,2812.5
2009-08-20,2812.5
2009-08-21,2812.5
2009-08-24,2812.5
2009-08-25,2812.5
2009-08-26,2812.5
2009-08-27,2812.5
2009-08-28,2812.5
2009-08-31,2812.5
2009-09-01,2812.5
2009-09-02,2812.5
2009-09-03,2812.5
2009-09-04,2812.5
2009-09-08,2812.5
2009-09-09,2812.5
2009-09-10,2812.5
2009-09-11,2812.5
2009-09-14,2812.5
2009-09-15,2812.5
2009-09-16,2812.5
2009-09-17,2812.5
2009-09-18,2812.5
2009-09-21,2812.5
2009-09-22,2812.5
2009-09-23,2812.5
2009-09-24,2812.5
2009-09-25,2812.5
2009-09-28,2812.5
2009-09-29,5625.0
2009-09-30,5625.0
2009-10-01,5625.0
2009-10-02,5625.0
2009-10-05,5625.0
2009-10-06,5625.0
2009-10-07,5625.0
2009-10-08,5625.0
2009-10-09,5625.0
2009-10-12,5625.0
2009-10-13,5625.0
2009-10-14,5625.0
2009-10-15,5625.0
2009-10-16,5625.0
2009-10-19,5625.0
2009-10-20,5625.0
2009-10-21,5625.0
2009-10-22,5625.0
2009-10-23,5625.0
2009-10-26,5625.0
2009-10-27,5625.0
2009-10-28,5625.0
2009-10-29,5625.0
2009-10-30,5625.0
2009-11-02,5625.0
2009-11-03,5625.0
2009-11-04,5625.0
2009-11-05,5625.0
2009-11-06,5625.0
2009-11-09,5625.0
2009-11-10,5625.0
2009-11-11,5625.0
2009-11-12,5625.0
2009-11-13,5625.0
2009-11-16,5625.0
2009-11-17,5625.0
2009-11-18,5625.0
2009-11-19,5625.0
2009-11-20,5625.0
2009-11-23,5625.0
2009-11-24,5625.0
2009-11-25,5625.0
2009-11-27,5625.0
2009-11-30,5625.0
2009-12-01,5625.0
2009-12-02,5625.0
2009-12-03,5625.0
2009-12-04,5625.0
2009-12-07,5625.0
2009-12-08,5625.0
2009-12-09,5625.0
2009-12-10,5625.0
2009-12-11,5625.0
2009-12-14,5625.0
2009-12-15,5625.0
2009-12-16,5625.0
2009-12-17,5625.0
2009-12-18,5625.0
2009-12-21,5625.0
2009-12-22,5625.0
2009-12-23,5625.0
2009-12-24,5625.0
2009-12-28,5625.0
2009-12-29,5625.0
2009-12-30,5625.0
2009-12-31,5625.0
2010-01-04,5625.0
2010-01-05,5625.0
2010-01-06,5625.0
2010-01-07,5625.0
2010-01-08,5625.0
2010-01-11,5625.0
2010-01-12,5625.0
2010-01-13,5625.0
2010-01-14,5625.0
2010-01-15,5625.0
2010-01-19,5625.0
2010-01-20,5625.0
2010-01-21,5625.0
2010-01-22,5625.0
2010-01-25,5625.0
2010-01-26,5625.0
2010-01-27,28406.25
2010-01-28,28406.25
2010-01-29,28406.25
2010-02-01,56812.5
2010-02-02,56812.5
2010-02-03,56812.5
2010-02-04,56812.5
2010-02-05,56812.5
2010-02-08,56812.5
2010-02-09,56812.5
2010-02-10,56812.5
2010-02-11,56812.5
2010-02-12,56812.5
2010-02-16,56812.5
2010-02-17,104062.5
2010-02-18,104062.5
2010-02-19,104062.5
2010-02-22,104062.5
2010-02-23,104062.5
2010-02-24,104062.5
2010-02-25,104062.5
2010-02-26,104062.5
2010-03-01,104062.5
2010-03-02,104062.5
2010-03-03,104062.5
2010-03-04,104062.5
2010-03-05,104062.5
2010-03-08,104062.5
2010-03-09,104062.5
2010-03-10,104062.5
2010-03-11,91687.5
2010-03-12,91687.5
2010-03-15,91687.5
2010-03-16,91687.5
2010-03-17,91687.5
2010-03-18,91687.5
2010-03-19,91687.5
2010-03-22,91687.5
2010-03-23,91687.5
2010-03-24,91687.5
2010-03-25,91687.5
2010-03-26,91687.5
2010-03-29,91687.5
2010-03-30,91687.5
2010-03-31,91687.5
2010-04-01,91687.5
2010-04-05,91687.5
2010-04-06,91687.5
2010-04-07,91687.5
2010-04-08,91687.5
2010-04-09,91687.5
2010-04-12,91687.5
2010-04-13,91687.5
2010-04-14,91687.5
2010-04-15,91687.5
2010-04-16,91687.5
2010-04-19,91687.5
2010-04-20,91687.5
2010-04-21,91687.5
2010-04-22,91687.5
2010-04-23,91687.5
2010-04-26,91687.5
2010-04-27,91687.5
2010-04-28,91687.5
2010-04-29,91687.5
2010-04-30,91687.5
2010-05-03,91687.5
2010-05-04,91687.5
2010-05-05,91687.5
2010-05-06,91687.5
2010-05-07,91687.5
2010-05-10,91687.5
2010-05-11,91687.5
2010-05-12,91687.5
2010-05-13,91687.5
