,CALB
2018-02-07,23.75
2018-02-08,23.510000228881836
2018-02-09,23.649999618530273
2018-02-12,23.579999923706055
2018-02-13,23.649999618530273
2018-02-14,23.5
2018-02-15,23.5
2018-02-16,23.5
2018-02-20,23.25
2018-02-21,22.799999237060547
2018-02-22,22.75
2018-02-23,22.649999618530273
2018-02-26,22.700000762939453
2018-02-27,22.149999618530273
2018-02-28,22.149999618530273
2018-03-01,22.549999237060547
2018-03-02,22.25
2018-03-05,22.299999237060547
2018-03-06,22.360000610351562
2018-03-07,22.549999237060547
2018-03-08,22.75
2018-03-09,22.75
2018-03-12,22.950000762939453
2018-03-13,22.899999618530273
2018-03-14,22.899999618530273
2018-03-15,22.899999618530273
2018-03-16,22.899999618530273
2018-03-19,22.899999618530273
2018-03-20,22.75
2018-03-21,22.75
2018-03-22,22.649999618530273
2018-03-23,22.850000381469727
2018-03-26,22.5
2018-03-27,22.5
2018-03-28,22.049999237060547
2018-03-29,21.989999771118164
2018-04-02,21.5
2018-04-03,21.5
2018-04-04,21.010000228881836
2018-04-05,21.479999542236328
2018-04-06,21.479999542236328
2018-04-09,21.500999450683594
2018-04-10,21.5
2018-04-11,21.674999237060547
2018-04-12,22.25
2018-04-13,22.25
2018-04-16,22.25
2018-04-17,22.350000381469727
2018-04-18,22.350000381469727
2018-04-19,22.350000381469727
2018-04-20,22.399999618530273
2018-04-23,22.5
2018-04-24,22.450000762939453
2018-04-25,22.698999404907227
2018-04-26,22.950000762939453
2018-04-27,23.0
2018-04-30,23.0
2018-05-01,23.0
2018-05-02,23.049999237060547
2018-05-03,22.75
2018-05-04,23.0
2018-05-07,22.600000381469727
2018-05-08,22.0
2018-05-09,21.700000762939453
2018-05-10,22.700000762939453
2018-05-11,22.0
2018-05-14,22.0
2018-05-15,21.989999771118164
2018-05-16,22.049999237060547
2018-05-17,22.049999237060547
2018-05-18,21.75
2018-05-21,21.049999237060547
2018-05-22,21.170000076293945
2018-05-23,21.5
2018-05-24,21.260000228881836
2018-05-25,21.260000228881836
2018-05-29,21.25
2018-05-30,21.25
2018-05-31,21.25
2018-06-01,21.25
2018-06-04,21.25
2018-06-05,21.25
