,CHCO
1987-06-26,10.351448059082031
1987-06-29,10.351448059082031
1987-06-30,10.351448059082031
1987-07-01,10.351448059082031
1987-07-02,10.351448059082031
1987-07-06,10.351448059082031
1987-07-07,10.351448059082031
1987-07-08,10.351448059082031
1987-07-09,10.351448059082031
1987-07-10,10.351448059082031
1987-07-13,10.351448059082031
1987-07-14,10.351448059082031
1987-07-15,10.351448059082031
1987-07-16,10.351448059082031
1987-07-17,10.351448059082031
1987-07-20,10.351448059082031
1987-07-21,10.351448059082031
1987-07-22,10.351448059082031
1987-07-23,10.351448059082031
1987-07-24,10.351448059082031
1987-07-27,10.351448059082031
1987-07-28,10.351448059082031
1987-07-29,10.351448059082031
1987-07-30,10.351448059082031
1987-07-31,10.351448059082031
1987-08-03,11.353200912475586
1987-08-04,11.353200912475586
1987-08-05,11.353200912475586
1987-08-06,11.353200912475586
1987-08-07,11.353200912475586
1987-08-10,12.354954719543457
1987-08-11,12.354954719543457
1987-08-12,12.354954719543457
1987-08-13,12.354954719543457
1987-08-14,12.354954719543457
1987-08-17,12.354954719543457
1987-08-18,12.354954719543457
1987-08-19,12.354954719543457
1987-08-20,12.354954719543457
1987-08-21,12.354954719543457
1987-08-24,12.354954719543457
1987-08-25,13.02278995513916
1987-08-26,13.02278995513916
1987-08-27,13.02278995513916
1987-08-28,13.02278995513916
1987-08-31,13.02278995513916
1987-09-01,13.02278995513916
1987-09-02,13.02278995513916
1987-09-03,13.02278995513916
1987-09-04,13.02278995513916
1987-09-08,13.02278995513916
1987-09-09,15.360214233398438
1987-09-10,15.360214233398438
1987-09-11,13.690625190734863
1987-09-14,13.690625190734863
1987-09-15,15.02629566192627
1987-09-16,15.02629566192627
1987-09-17,15.02629566192627
1987-09-18,15.02629566192627
1987-09-21,15.02629566192627
1987-09-22,15.02629566192627
1987-09-23,15.02629566192627
1987-09-24,15.02629566192627
1987-09-25,15.02629566192627
1987-09-28,15.02629566192627
1987-09-29,15.694130897521973
1987-09-30,15.360214233398438
1987-10-01,15.360214233398438
1987-10-02,23.040321350097656
1987-10-05,16.02804946899414
1987-10-06,16.02804946899414
1987-10-07,16.02804946899414
1987-10-08,16.02804946899414
1987-10-09,16.02804946899414
1987-10-12,16.02804946899414
1987-10-13,16.02804946899414
1987-10-14,12.521912574768066
1987-10-15,12.521912574768066
1987-10-16,12.521912574768066
1987-10-19,12.521912574768066
1987-10-20,12.521912574768066
