,ARLP
1999-08-17,4.703125
1999-08-18,4.6875
1999-08-19,4.6875
1999-08-20,4.71875
1999-08-23,4.65625
1999-08-24,4.625
1999-08-25,4.453125
1999-08-26,4.4375
1999-08-27,4.3125
1999-08-30,4.15625
1999-08-31,4.15625
1999-09-01,4.0
1999-09-02,3.859375
1999-09-03,3.953125
1999-09-07,3.75
1999-09-08,3.890625
1999-09-09,3.6875
1999-09-10,3.90625
1999-09-13,3.75
1999-09-14,3.6875
1999-09-15,3.65625
1999-09-16,3.6875
1999-09-17,3.75
1999-09-20,3.59375
1999-09-21,3.515625
1999-09-22,3.46875
1999-09-23,3.4375
1999-09-24,3.5
1999-09-27,3.5
1999-09-28,3.5
1999-09-29,3.53125
1999-09-30,3.59375
1999-10-01,3.40625
1999-10-04,3.34375
1999-10-05,3.46875
1999-10-06,3.40625
1999-10-07,3.515625
1999-10-08,3.4375
1999-10-11,3.5
1999-10-12,3.484375
1999-10-13,3.46875
1999-10-14,3.40625
1999-10-15,3.3125
1999-10-18,3.5
1999-10-19,3.5
1999-10-20,3.546875
1999-10-21,3.53125
1999-10-22,3.53125
1999-10-25,3.6875
1999-10-26,3.625
1999-10-27,3.5
1999-10-28,3.40625
1999-10-29,3.375
1999-11-01,3.359375
1999-11-02,3.296875
1999-11-03,3.25
1999-11-04,3.28125
1999-11-05,3.265625
1999-11-08,3.125
1999-11-09,3.0625
1999-11-10,3.03125
1999-11-11,3.0625
1999-11-12,3.15625
1999-11-15,3.078125
1999-11-16,3.125
1999-11-17,3.25
1999-11-18,3.3125
1999-11-19,3.625
1999-11-22,3.59375
1999-11-23,3.375
1999-11-24,3.25
1999-11-26,3.21875
1999-11-29,3.234375
1999-11-30,3.125
1999-12-01,3.25
1999-12-02,3.34375
1999-12-03,3.375
1999-12-06,3.3125
1999-12-07,3.25
1999-12-08,3.1875
1999-12-09,3.1875
1999-12-10,3.328125
1999-12-13,3.21875
1999-12-14,3.203125
1999-12-15,3.21875
1999-12-16,3.234375
1999-12-17,3.21875
1999-12-20,3.140625
1999-12-21,3.1875
1999-12-22,3.21875
1999-12-23,3.109375
1999-12-27,3.125
1999-12-28,3.1875
1999-12-29,3.0625
1999-12-30,3.0625
1999-12-31,3.0625
2000-01-03,3.390625
2000-01-04,3.390625
2000-01-05,3.375
2000-01-06,3.28125
2000-01-07,3.21875
2000-01-10,3.15625
2000-01-11,3.21875
2000-01-12,3.1875
2000-01-13,3.25
2000-01-14,3.328125
2000-01-18,3.34375
2000-01-19,3.34375
2000-01-20,3.359375
2000-01-21,3.40625
2000-01-24,3.46875
2000-01-25,3.453125
2000-01-26,3.4375
2000-01-27,3.5
2000-01-28,3.5
2000-01-31,3.484375
2000-02-01,3.53125
2000-02-02,3.4375
2000-02-03,3.3125
2000-02-04,3.375
2000-02-07,3.375
2000-02-08,3.375
2000-02-09,3.40625
2000-02-10,3.34375
2000-02-11,3.4375
2000-02-14,3.328125
2000-02-15,3.375
2000-02-16,3.3125
2000-02-17,3.296875
2000-02-18,3.3125
2000-02-22,3.21875
2000-02-23,3.1875
2000-02-24,3.3125
2000-02-25,3.15625
2000-02-28,3.15625
2000-02-29,3.125
2000-03-01,3.109375
2000-03-02,3.203125
2000-03-03,3.25
2000-03-06,3.1875
2000-03-07,3.171875
2000-03-08,3.15625
2000-03-09,3.140625
2000-03-10,3.1875
2000-03-13,3.1875
2000-03-14,3.1875
2000-03-15,3.171875
2000-03-16,3.1875
2000-03-17,3.234375
2000-03-20,3.1875
2000-03-21,3.15625
2000-03-22,3.25
2000-03-23,3.21875
2000-03-24,3.25
2000-03-27,3.25
2000-03-28,3.1875
2000-03-29,3.15625
2000-03-30,3.171875
2000-03-31,3.171875
2000-04-03,3.171875
2000-04-04,3.234375
2000-04-05,3.28125
2000-04-06,3.3125
2000-04-07,3.328125
2000-04-10,3.359375
2000-04-11,3.40625
2000-04-12,3.40625
2000-04-13,3.421875
2000-04-14,3.3125
2000-04-17,3.25
2000-04-18,3.25
2000-04-19,3.21875
2000-04-20,3.234375
2000-04-24,3.375
2000-04-25,3.375
2000-04-26,3.4375
2000-04-27,3.3125
2000-04-28,3.265625
2000-05-01,3.375
2000-05-02,3.296875
2000-05-03,3.34375
2000-05-04,3.34375
2000-05-05,3.421875
2000-05-08,3.390625
2000-05-09,3.375
2000-05-10,3.375
2000-05-11,3.4375
2000-05-12,3.5
2000-05-15,3.4375
2000-05-16,3.515625
2000-05-17,3.53125
2000-05-18,3.4375
2000-05-19,3.421875
2000-05-22,3.40625
2000-05-23,3.34375
2000-05-24,3.40625
2000-05-25,3.4375
2000-05-26,3.5625
2000-05-30,3.4375
2000-05-31,3.46875
2000-06-01,3.59375
2000-06-02,3.59375
2000-06-05,3.5625
2000-06-06,3.5
2000-06-07,3.65625
2000-06-08,3.671875
2000-06-09,3.5
2000-06-12,3.65625
2000-06-13,3.625
2000-06-14,3.671875
2000-06-15,3.625
2000-06-16,3.671875
2000-06-19,3.546875
2000-06-20,3.5
2000-06-21,3.578125
2000-06-22,3.59375
2000-06-23,3.5625
2000-06-26,3.515625
2000-06-27,3.609375
2000-06-28,3.703125
2000-06-29,3.625
2000-06-30,3.78125
2000-07-03,3.78125
2000-07-05,3.6875
2000-07-06,3.71875
2000-07-07,3.78125
2000-07-10,3.796875
2000-07-11,3.890625
2000-07-12,4.0
2000-07-13,3.9375
2000-07-14,4.03125
2000-07-17,4.125
2000-07-18,4.0
2000-07-19,4.0625
2000-07-20,4.140625
2000-07-21,4.125
2000-07-24,4.0
2000-07-25,3.8125
2000-07-26,3.796875
2000-07-27,3.8125
2000-07-28,3.71875
2000-07-31,3.765625
2000-08-01,3.75
2000-08-02,3.75
2000-08-03,3.59375
2000-08-04,3.71875
2000-08-07,3.75
2000-08-08,3.75
2000-08-09,3.734375
2000-08-10,3.8125
2000-08-11,3.71875
2000-08-14,3.6875
2000-08-15,3.78125
2000-08-16,3.8125
2000-08-17,3.796875
2000-08-18,3.796875
2000-08-21,3.75
2000-08-22,3.875
2000-08-23,3.875
2000-08-24,3.765625
2000-08-25,3.734375
2000-08-28,3.8125
2000-08-29,3.796875
2000-08-30,3.8125
2000-08-31,3.8125
2000-09-01,3.9375
2000-09-05,3.9375
2000-09-06,3.953125
2000-09-07,3.875
2000-09-08,3.90625
2000-09-11,3.9375
2000-09-12,4.015625
2000-09-13,4.0625
2000-09-14,4.28125
2000-09-15,4.234375
2000-09-18,4.25
2000-09-19,4.140625
2000-09-20,4.21875
2000-09-21,4.15625
2000-09-22,4.234375
2000-09-25,4.21875
2000-09-26,4.1875
2000-09-27,4.21875
2000-09-28,4.265625
2000-09-29,4.1875
2000-10-02,4.265625
2000-10-03,4.25
2000-10-04,4.15625
2000-10-05,4.0625
2000-10-06,4.0
2000-10-09,4.28125
2000-10-10,4.1875
2000-10-11,4.15625
2000-10-12,4.015625
2000-10-13,4.015625
2000-10-16,4.09375
2000-10-17,4.03125
2000-10-18,4.109375
2000-10-19,4.09375
2000-10-20,4.09375
2000-10-23,4.125
2000-10-24,4.15625
2000-10-25,4.171875
2000-10-26,4.109375
2000-10-27,4.125
2000-10-30,4.207030773162842
2000-10-31,4.1875
2000-11-01,4.140625
2000-11-02,4.25
2000-11-03,4.1875
2000-11-06,4.140625
2000-11-07,4.1875
2000-11-08,4.21875
2000-11-09,4.203125
2000-11-10,4.15625
2000-11-13,4.03125
2000-11-14,3.953125
2000-11-15,4.0625
2000-11-16,4.0625
2000-11-17,4.0
2000-11-20,3.96875
2000-11-21,3.96875
2000-11-22,4.125
2000-11-24,4.21875
2000-11-27,4.21875
2000-11-28,4.125
2000-11-29,4.125
2000-11-30,4.125
2000-12-01,3.96875
2000-12-04,4.0625
2000-12-05,4.0625
2000-12-06,4.0625
2000-12-07,3.875
2000-12-08,4.0
2000-12-11,3.90625
2000-12-12,3.953125
2000-12-13,3.828125
2000-12-14,3.90625
2000-12-15,3.9375
2000-12-18,3.9375
2000-12-19,4.03125
2000-12-20,4.171875
2000-12-21,4.21875
2000-12-22,4.015625
2000-12-26,4.25
2000-12-27,4.25
2000-12-28,4.515625
2000-12-29,4.5
2001-01-02,4.34375
2001-01-03,4.375
2001-01-04,4.3125
2001-01-05,4.375
2001-01-08,4.375
2001-01-09,4.46875
2001-01-10,4.53125
2001-01-11,4.5625
2001-01-12,4.53125
2001-01-16,4.5625
2001-01-17,4.6875
2001-01-18,4.59375
2001-01-19,4.5625
2001-01-22,4.5625
2001-01-23,4.671875
2001-01-24,4.71875
2001-01-25,4.625
2001-01-26,4.78125
2001-01-29,4.6875
2001-01-30,4.671875
2001-01-31,4.625
2001-02-01,4.75
2001-02-02,4.75
2001-02-05,4.78125
2001-02-06,4.8125
2001-02-07,4.703125
2001-02-08,4.78125
2001-02-09,4.6875
2001-02-12,4.78125
2001-02-13,4.75
2001-02-14,4.859375
2001-02-15,4.75
2001-02-16,4.78125
2001-02-20,4.9375
2001-02-21,4.875
2001-02-22,4.796875
2001-02-23,4.75
2001-02-26,4.75
2001-02-27,4.734375
2001-02-28,4.75
2001-03-01,4.734375
2001-03-02,4.71875
2001-03-05,4.71875
2001-03-06,4.6875
2001-03-07,4.75
2001-03-08,4.984375
2001-03-09,4.90625
2001-03-12,4.765625
2001-03-13,4.8125
2001-03-14,4.734375
2001-03-15,4.703125
2001-03-16,4.71875
2001-03-19,4.75
2001-03-20,4.796875
2001-03-21,4.84375
2001-03-22,4.90625
2001-03-23,4.980469226837158
2001-03-26,4.953125
2001-03-27,4.828125
2001-03-28,5.125
2001-03-29,5.5
2001-03-30,5.453125
2001-04-02,5.5
2001-04-03,5.34375
2001-04-04,5.515625
2001-04-05,5.546875
2001-04-06,5.28125
2001-04-09,5.582499980926514
2001-04-10,5.53249979019165
2001-04-11,5.537499904632568
2001-04-12,5.525000095367432
2001-04-16,5.5625
2001-04-17,5.6875
2001-04-18,5.894999980926514
2001-04-19,5.742499828338623
2001-04-20,5.744999885559082
2001-04-23,5.574999809265137
2001-04-24,5.775000095367432
2001-04-25,5.712500095367432
2001-04-26,5.664999961853027
2001-04-27,5.702499866485596
2001-04-30,5.760000228881836
2001-05-01,5.797500133514404
2001-05-02,5.4375
2001-05-03,5.375
2001-05-04,5.537499904632568
2001-05-07,5.612500190734863
2001-05-08,5.724999904632568
2001-05-09,5.900000095367432
2001-05-10,5.764999866485596
2001-05-11,5.797500133514404
2001-05-14,5.767499923706055
2001-05-15,5.897500038146973
2001-05-16,6.014999866485596
2001-05-17,6.125
2001-05-18,6.25
2001-05-21,6.460000038146973
2001-05-22,6.275000095367432
2001-05-23,6.007500171661377
2001-05-24,5.887499809265137
2001-05-25,6.079999923706055
2001-05-29,6.09499979019165
2001-05-30,5.817500114440918
2001-05-31,5.942500114440918
2001-06-01,6.0
2001-06-04,6.007500171661377
2001-06-05,5.974999904632568
2001-06-06,6.042500019073486
2001-06-07,6.0
2001-06-08,5.925000190734863
2001-06-11,5.710000038146973
2001-06-12,5.525000095367432
2001-06-13,5.627500057220459
2001-06-14,5.650000095367432
2001-06-15,5.769999980926514
2001-06-18,5.752500057220459
2001-06-19,5.802499771118164
2001-06-20,5.315000057220459
2001-06-21,5.409999847412109
2001-06-22,5.34499979019165
2001-06-25,5.5
2001-06-26,5.487500190734863
2001-06-27,5.492499828338623
2001-06-28,5.570000171661377
2001-06-29,5.684999942779541
2001-07-02,5.849999904632568
2001-07-03,6.0
2001-07-05,6.065000057220459
2001-07-06,6.037499904632568
2001-07-09,5.974999904632568
2001-07-10,5.912499904632568
2001-07-11,6.054999828338623
2001-07-12,6.050000190734863
2001-07-13,6.005000114440918
2001-07-16,5.974999904632568
2001-07-17,5.737500190734863
2001-07-18,5.625
2001-07-19,5.474999904632568
2001-07-20,5.487500190734863
2001-07-23,5.462500095367432
2001-07-24,5.510000228881836
2001-07-25,5.672500133514404
2001-07-26,5.947500228881836
2001-07-27,5.75
2001-07-30,5.875
2001-07-31,5.817500114440918
2001-08-01,5.744999885559082
2001-08-02,5.5
2001-08-03,5.5625
2001-08-06,5.542500019073486
2001-08-07,5.554999828338623
2001-08-08,5.692500114440918
2001-08-09,5.75
2001-08-10,5.757500171661377
2001-08-13,5.755000114440918
2001-08-14,5.875
2001-08-15,5.864999771118164
2001-08-16,5.965000152587891
2001-08-17,5.889999866485596
2001-08-20,5.974999904632568
2001-08-21,6.0
2001-08-22,6.099999904632568
2001-08-23,6.09250020980835
2001-08-24,6.0625
2001-08-27,6.070000171661377
2001-08-28,6.059999942779541
2001-08-29,6.074999809265137
2001-08-30,6.085000038146973
2001-08-31,6.074999809265137
2001-09-04,6.125
2001-09-05,6.1875
2001-09-06,5.860000133514404
2001-09-07,5.857500076293945
2001-09-10,6.0
2001-09-17,6.059999942779541
2001-09-18,6.25
2001-09-19,5.994999885559082
2001-09-20,5.625
2001-09-21,5.795000076293945
2001-09-24,5.974999904632568
2001-09-25,5.755000114440918
2001-09-26,5.690000057220459
2001-09-27,5.75
2001-09-28,5.875
2001-10-01,5.900000095367432
2001-10-02,6.025000095367432
2001-10-03,6.037499904632568
2001-10-04,6.050000190734863
2001-10-05,6.0625
2001-10-08,6.087500095367432
2001-10-09,6.412499904632568
2001-10-10,6.307499885559082
2001-10-11,6.150000095367432
2001-10-12,6.125
2001-10-15,6.0625
2001-10-16,6.090000152587891
2001-10-17,6.125
2001-10-18,5.962500095367432
2001-10-19,6.050000190734863
2001-10-22,5.887499809265137
2001-10-23,5.974999904632568
2001-10-24,6.025000095367432
2001-10-25,6.047500133514404
2001-10-26,6.402500152587891
2001-10-29,6.527500152587891
2001-10-30,6.349999904632568
2001-10-31,6.244999885559082
2001-11-01,6.300000190734863
2001-11-02,6.315000057220459
2001-11-05,6.337500095367432
2001-11-06,6.457499980926514
2001-11-07,6.375
2001-11-08,6.375
2001-11-09,6.474999904632568
2001-11-12,6.352499961853027
2001-11-13,6.440000057220459
2001-11-14,6.5
2001-11-15,6.25
2001-11-16,6.03000020980835
2001-11-19,6.0
2001-11-20,6.054999828338623
2001-11-21,6.360000133514404
2001-11-23,6.3125
2001-11-26,6.130000114440918
2001-11-27,6.337500095367432
2001-11-28,6.139999866485596
2001-11-29,6.0
2001-11-30,6.050000190734863
2001-12-03,6.152500152587891
2001-12-04,6.300000190734863
2001-12-05,6.237500190734863
2001-12-06,6.137499809265137
2001-12-07,6.244999885559082
2001-12-10,6.255000114440918
2001-12-11,6.300000190734863
2001-12-12,6.309999942779541
2001-12-13,6.1875
2001-12-14,6.117499828338623
2001-12-17,6.275000095367432
2001-12-18,6.412499904632568
2001-12-19,6.349999904632568
2001-12-20,6.492499828338623
2001-12-21,6.550000190734863
2001-12-24,6.574999809265137
2001-12-26,6.599999904632568
2001-12-27,6.722499847412109
2001-12-28,6.787499904632568
2001-12-31,6.775000095367432
2002-01-02,6.875
2002-01-03,6.764999866485596
2002-01-04,6.849999904632568
2002-01-07,6.9375
2002-01-08,7.0
2002-01-09,6.9375
2002-01-10,6.644999980926514
2002-01-11,6.512499809265137
2002-01-14,6.547500133514404
2002-01-15,6.75
2002-01-16,6.650000095367432
2002-01-17,6.737500190734863
2002-01-18,6.775000095367432
2002-01-22,6.6875
2002-01-23,6.690000057220459
2002-01-24,6.787499904632568
2002-01-25,6.702499866485596
2002-01-28,6.724999904632568
2002-01-29,6.699999809265137
2002-01-30,6.672500133514404
2002-01-31,6.184999942779541
2002-02-01,6.197500228881836
2002-02-04,6.284999847412109
2002-02-05,6.0
2002-02-06,5.53000020980835
2002-02-07,5.65500020980835
2002-02-08,5.824999809265137
2002-02-11,5.912499904632568
2002-02-12,6.107500076293945
2002-02-13,6.005000114440918
2002-02-14,5.912499904632568
2002-02-15,6.125
2002-02-19,5.949999809265137
2002-02-20,5.994999885559082
2002-02-21,5.889999866485596
2002-02-22,5.949999809265137
2002-02-25,6.050000190734863
2002-02-26,5.912499904632568
2002-02-27,5.875
2002-02-28,5.920000076293945
2002-03-01,6.125
2002-03-04,5.982500076293945
2002-03-05,6.097499847412109
2002-03-06,6.037499904632568
2002-03-07,6.042500019073486
2002-03-08,6.130000114440918
