,EZGO
2021-01-26,18.110000610351562
2021-01-27,9.100000381469727
2021-01-28,8.25
2021-01-29,8.039999961853027
2021-02-01,9.09000015258789
2021-02-02,8.210000038146973
2021-02-03,8.550000190734863
2021-02-04,8.520000457763672
2021-02-05,8.399999618530273
2021-02-08,9.199999809265137
2021-02-09,11.140000343322754
2021-02-10,10.09000015258789
2021-02-11,9.65999984741211
2021-02-12,9.979999542236328
2021-02-16,9.729999542236328
2021-02-17,9.289999961853027
2021-02-18,8.670000076293945
2021-02-19,9.069999694824219
2021-02-22,8.350000381469727
2021-02-23,7.349999904632568
2021-02-24,7.989999771118164
2021-02-25,7.619999885559082
2021-02-26,7.449999809265137
2021-03-01,7.5
2021-03-02,7.570000171661377
2021-03-03,7.239999771118164
2021-03-04,6.25
2021-03-05,6.510000228881836
2021-03-08,6.300000190734863
2021-03-09,6.650000095367432
2021-03-10,6.599999904632568
2021-03-11,7.179999828338623
2021-03-12,7.199999809265137
2021-03-15,7.25
2021-03-16,6.699999809265137
2021-03-17,6.960000038146973
2021-03-18,6.760000228881836
2021-03-19,6.75
2021-03-22,6.699999809265137
2021-03-23,6.210000038146973
2021-03-24,5.78000020980835
2021-03-25,5.75
2021-03-26,5.789999961853027
2021-03-29,5.989999771118164
2021-03-30,5.789999961853027
2021-03-31,5.909999847412109
2021-04-01,6.260000228881836
2021-04-05,7.320000171661377
2021-04-06,7.179999828338623
2021-04-07,7.21999979019165
2021-04-08,7.119999885559082
2021-04-09,7.099999904632568
2021-04-12,6.630000114440918
2021-04-13,6.230000019073486
2021-04-14,5.940000057220459
2021-04-15,6.0
2021-04-16,6.070000171661377
2021-04-19,6.0
2021-04-20,5.75
2021-04-21,5.954999923706055
2021-04-22,6.150000095367432
2021-04-23,6.099999904632568
2021-04-26,6.010000228881836
2021-04-27,6.059999942779541
2021-04-28,5.929999828338623
2021-04-29,5.940000057220459
2021-04-30,5.849999904632568
2021-05-03,5.630000114440918
2021-05-04,5.71999979019165
2021-05-05,5.800000190734863
2021-05-06,5.559999942779541
2021-05-07,5.179999828338623
2021-05-10,4.78000020980835
2021-05-11,4.800000190734863
2021-05-12,4.599999904632568
2021-05-13,4.630000114440918
2021-05-14,4.659999847412109
