,BSJL
2014-09-17,25.1200008392334
2014-09-18,25.1299991607666
2014-09-19,25.190000534057617
2014-09-22,25.15999984741211
2014-09-23,25.149999618530273
2014-09-24,25.155000686645508
2014-09-25,24.81999969482422
2014-09-26,24.989999771118164
2014-09-29,24.809999465942383
2014-09-30,24.809999465942383
2014-10-01,24.89299964904785
2014-10-02,24.969999313354492
2014-10-03,25.02400016784668
2014-10-06,25.083999633789062
2014-10-07,25.1200008392334
2014-10-08,25.055999755859375
2014-10-09,24.90999984741211
2014-10-10,24.899999618530273
2014-10-13,24.860000610351562
2014-10-14,24.81999969482422
2014-10-15,24.6299991607666
2014-10-16,24.709999084472656
2014-10-17,24.8700008392334
2014-10-20,25.100000381469727
2014-10-21,25.280000686645508
2014-10-22,25.25
2014-10-23,25.440000534057617
2014-10-24,25.31999969482422
2014-10-27,25.31999969482422
2014-10-28,25.34000015258789
2014-10-29,25.360000610351562
2014-10-30,25.450000762939453
2014-10-31,25.489999771118164
2014-11-03,25.30500030517578
2014-11-04,25.280000686645508
2014-11-05,25.260000228881836
2014-11-06,25.17799949645996
2014-11-07,25.280000686645508
2014-11-10,25.238000869750977
2014-11-11,25.25
2014-11-12,25.229000091552734
2014-11-13,25.18000030517578
2014-11-14,25.148000717163086
2014-11-17,25.110000610351562
2014-11-18,25.030000686645508
2014-11-19,25.049999237060547
2014-11-20,25.030000686645508
2014-11-21,25.030000686645508
2014-11-24,25.030000686645508
2014-11-25,25.030000686645508
2014-11-26,25.100000381469727
2014-11-28,24.8700008392334
2014-12-01,24.799999237060547
2014-12-02,24.670000076293945
2014-12-03,24.679000854492188
2014-12-04,24.639999389648438
2014-12-05,24.600000381469727
2014-12-08,24.559999465942383
2014-12-09,24.40999984741211
2014-12-10,24.198999404907227
2014-12-11,24.209999084472656
2014-12-12,23.972000122070312
2014-12-15,23.979999542236328
2014-12-16,23.899999618530273
2014-12-17,24.049999237060547
2014-12-18,23.959999084472656
2014-12-19,24.389999389648438
2014-12-22,24.43600082397461
2014-12-23,24.464000701904297
2014-12-24,24.559999465942383
2014-12-26,24.579999923706055
2014-12-29,24.389999389648438
2014-12-30,24.440000534057617
2014-12-31,24.420000076293945
2015-01-02,24.489999771118164
2015-01-05,24.295000076293945
2015-01-06,24.200000762939453
2015-01-07,24.399999618530273
2015-01-08,24.43600082397461
2015-01-09,24.514999389648438
2015-01-12,24.540000915527344
2015-01-13,24.520000457763672
2015-01-14,24.489999771118164
2015-01-15,24.420000076293945
2015-01-16,24.520000457763672
2015-01-20,24.51799964904785
2015-01-21,24.55900001525879
2015-01-22,24.56999969482422
2015-01-23,24.6200008392334
2015-01-26,24.639999389648438
2015-01-27,24.663999557495117
2015-01-28,24.559999465942383
2015-01-29,24.75
2015-01-30,24.670000076293945
2015-02-02,24.75
2015-02-03,24.80900001525879
2015-02-04,24.540000915527344
2015-02-05,24.70800018310547
2015-02-06,25.020000457763672
2015-02-09,24.90999984741211
2015-02-10,24.899999618530273
2015-02-11,24.93000030517578
2015-02-12,24.930999755859375
2015-02-13,24.99799919128418
2015-02-17,24.802000045776367
2015-02-18,25.020000457763672
2015-02-19,25.07200050354004
2015-02-20,25.059999465942383
2015-02-23,25.079999923706055
2015-02-24,25.09000015258789
2015-02-25,25.06999969482422
2015-02-26,25.06999969482422
2015-02-27,25.190000534057617
2015-03-02,25.1200008392334
2015-03-03,25.1200008392334
2015-03-04,25.079999923706055
2015-03-05,25.097999572753906
2015-03-06,25.010000228881836
2015-03-09,24.799999237060547
2015-03-10,24.860000610351562
2015-03-11,24.81999969482422
2015-03-12,24.959999084472656
2015-03-13,24.899999618530273
2015-03-16,24.729999542236328
2015-03-17,24.829999923706055
2015-03-18,24.875
2015-03-19,24.822999954223633
2015-03-20,24.989999771118164
2015-03-23,24.950000762939453
2015-03-24,24.91699981689453
2015-03-25,24.889999389648438
2015-03-26,24.979999542236328
2015-03-27,24.979000091552734
2015-03-30,25.030000686645508
2015-03-31,25.02199935913086
2015-04-01,25.0
2015-04-02,24.91200065612793
2015-04-06,24.860000610351562
2015-04-07,25.049999237060547
2015-04-08,25.110000610351562
2015-04-09,25.15999984741211
2015-04-10,25.219999313354492
2015-04-13,25.149999618530273
2015-04-14,25.132999420166016
2015-04-15,25.149999618530273
2015-04-16,25.190000534057617
2015-04-17,25.15999984741211
2015-04-20,25.201000213623047
2015-04-21,25.229999542236328
2015-04-22,25.18000030517578
2015-04-23,25.18600082397461
2015-04-24,25.139999389648438
2015-04-27,25.219999313354492
2015-04-28,25.20800018310547
2015-04-29,25.195999145507812
2015-04-30,25.170000076293945
2015-05-01,25.07699966430664
2015-05-04,25.1299991607666
2015-05-05,25.149999618530273
2015-05-06,25.040000915527344
2015-05-07,25.049999237060547
2015-05-08,25.079999923706055
2015-05-11,25.06999969482422
2015-05-12,25.110000610351562
2015-05-13,24.990999221801758
2015-05-14,25.139999389648438
2015-05-15,25.149999618530273
2015-05-18,25.170000076293945
2015-05-19,25.110000610351562
2015-05-20,25.059999465942383
2015-05-21,25.100000381469727
2015-05-22,25.149999618530273
2015-05-26,25.15999984741211
2015-05-27,25.149999618530273
2015-05-28,25.1299991607666
2015-05-29,25.149999618530273
2015-06-01,25.1200008392334
2015-06-02,25.059999465942383
2015-06-03,25.076000213623047
2015-06-04,25.0
2015-06-05,24.91900062561035
2015-06-08,24.889999389648438
2015-06-09,24.8700008392334
2015-06-10,24.895999908447266
2015-06-11,24.88800048828125
2015-06-12,24.860000610351562
2015-06-15,24.8700008392334
2015-06-16,24.757999420166016
2015-06-17,24.84000015258789
2015-06-18,24.920000076293945
2015-06-19,24.944000244140625
2015-06-22,25.0049991607666
2015-06-23,24.93000030517578
2015-06-24,24.920000076293945
2015-06-25,24.9060001373291
2015-06-26,24.770000457763672
2015-06-29,24.67799949645996
2015-06-30,24.770000457763672
2015-07-01,24.60300064086914
2015-07-02,24.75
2015-07-06,24.700000762939453
2015-07-07,24.600000381469727
2015-07-08,24.540000915527344
2015-07-09,24.65999984741211
2015-07-10,24.69700050354004
2015-07-13,24.739999771118164
2015-07-14,24.729999542236328
2015-07-15,24.760000228881836
2015-07-16,24.79400062561035
2015-07-17,24.709999084472656
2015-07-20,24.68000030517578
2015-07-21,24.670000076293945
2015-07-22,24.530000686645508
2015-07-23,24.559999465942383
2015-07-24,24.520999908447266
2015-07-27,24.549999237060547
2015-07-28,24.520000457763672
2015-07-29,24.670000076293945
2015-07-30,24.690000534057617
2015-07-31,24.690000534057617
2015-08-03,24.510000228881836
2015-08-04,24.549999237060547
2015-08-05,24.520000457763672
2015-08-06,24.40999984741211
2015-08-07,24.3700008392334
2015-08-10,24.510000228881836
2015-08-11,24.368000030517578
2015-08-12,24.309999465942383
2015-08-13,24.299999237060547
2015-08-14,24.3799991607666
2015-08-17,24.3799991607666
2015-08-18,24.309999465942383
2015-08-19,24.290000915527344
2015-08-20,24.163000106811523
2015-08-21,24.09000015258789
2015-08-24,23.847000122070312
2015-08-25,24.3700008392334
2015-08-26,24.3700008392334
2015-08-27,23.84000015258789
2015-08-28,24.200000762939453
2015-08-31,24.170000076293945
2015-09-01,23.993999481201172
2015-09-02,24.05500030517578
2015-09-03,24.139999389648438
2015-09-04,24.1200008392334
2015-09-08,24.270999908447266
2015-09-09,24.280000686645508
2015-09-10,24.25
2015-09-11,24.270000457763672
2015-09-14,24.299999237060547
2015-09-15,24.30500030517578
2015-09-16,24.229999542236328
2015-09-17,24.18899917602539
2015-09-18,24.110000610351562
2015-09-21,24.059999465942383
2015-09-22,23.969999313354492
2015-09-23,23.989999771118164
2015-09-24,23.881999969482422
2015-09-25,23.82900047302246
2015-09-28,23.530000686645508
2015-09-29,23.54400062561035
2015-09-30,23.5
2015-10-01,23.284000396728516
2015-10-02,23.350000381469727
2015-10-05,23.510000228881836
2015-10-06,23.579999923706055
2015-10-07,23.729999542236328
2015-10-08,23.850000381469727
2015-10-09,23.84000015258789
2015-10-12,23.899999618530273
2015-10-13,23.829999923706055
2015-10-14,23.799999237060547
2015-10-15,23.93000030517578
2015-10-16,24.0
2015-10-19,24.06999969482422
2015-10-20,24.128999710083008
2015-10-21,24.049999237060547
2015-10-22,24.110000610351562
2015-10-23,24.18000030517578
2015-10-26,24.138999938964844
2015-10-27,24.149999618530273
2015-10-28,24.17799949645996
2015-10-29,24.208999633789062
2015-10-30,24.139999389648438
2015-11-02,24.174999237060547
2015-11-03,24.200000762939453
2015-11-04,24.145000457763672
2015-11-05,24.139999389648438
2015-11-06,24.042999267578125
2015-11-09,24.0
2015-11-10,23.940000534057617
2015-11-11,23.899999618530273
2015-11-12,23.76799964904785
2015-11-13,23.670000076293945
2015-11-16,23.739999771118164
2015-11-17,23.75
2015-11-18,23.7549991607666
2015-11-19,23.606000900268555
2015-11-20,23.600000381469727
2015-11-23,23.639999389648438
2015-11-24,23.601999282836914
2015-11-25,23.649999618530273
2015-11-27,23.639999389648438
2015-11-30,23.709999084472656
2015-12-01,23.655000686645508
2015-12-02,23.68400001525879
2015-12-03,23.649999618530273
2015-12-04,23.579999923706055
2015-12-07,23.408000946044922
2015-12-08,23.329999923706055
2015-12-09,23.2810001373291
2015-12-10,23.211999893188477
2015-12-11,22.790000915527344
2015-12-14,22.649999618530273
2015-12-15,22.93899917602539
2015-12-16,23.198999404907227
2015-12-17,22.732999801635742
2015-12-18,22.8700008392334
