,BCBP
2003-10-15,9.803635597229004
2003-10-16,9.803635597229004
2003-10-17,9.803635597229004
2003-10-20,9.803635597229004
2003-10-21,9.803635597229004
2003-10-22,9.803635597229004
2003-10-23,9.890909194946289
2003-10-24,9.890909194946289
2003-10-27,9.832727432250977
2003-10-28,10.181818008422852
2003-10-29,10.181818008422852
2003-10-30,10.18239974975586
2003-10-31,11.199999809265137
2003-11-03,11.199999809265137
2003-11-04,11.359999656677246
2003-11-05,11.359999656677246
2003-11-06,11.359999656677246
2003-11-07,11.520000457763672
2003-11-10,11.039999961853027
2003-11-11,12.0
2003-11-12,11.84000015258789
2003-11-13,12.0
2003-11-14,11.84000015258789
2003-11-17,12.319999694824219
2003-11-18,11.84000015258789
2003-11-19,11.84000015258789
2003-11-20,11.84000015258789
2003-11-21,11.904000282287598
2003-11-24,11.904000282287598
2003-11-25,12.15999984741211
2003-11-26,12.15999984741211
2003-11-28,12.15999984741211
2003-12-01,12.15999984741211
2003-12-02,12.800000190734863
2003-12-03,13.119999885559082
2003-12-04,14.015999794006348
2003-12-05,12.479999542236328
2003-12-08,14.079999923706055
2003-12-09,14.079999923706055
2003-12-10,12.800000190734863
2003-12-11,12.960000038146973
2003-12-12,12.960000038146973
2003-12-15,12.479999542236328
2003-12-16,12.0
2003-12-17,12.0
2003-12-18,12.0
2003-12-19,12.0
2003-12-22,12.0
2003-12-23,12.0
2003-12-24,12.319999694824219
2003-12-26,12.319999694824219
2003-12-29,12.319999694824219
2003-12-30,14.079999923706055
2003-12-31,14.079999923706055
2004-01-02,13.4399995803833
2004-01-05,14.720000267028809
2004-01-06,14.720000267028809
2004-01-07,14.720000267028809
2004-01-08,15.039999961853027
2004-01-09,15.199999809265137
2004-01-12,14.5600004196167
2004-01-13,14.5600004196167
2004-01-14,14.5600004196167
2004-01-15,14.5600004196167
2004-01-16,13.4399995803833
2004-01-20,13.4399995803833
2004-01-21,13.4399995803833
2004-01-22,14.399999618530273
2004-01-23,14.399999618530273
2004-01-26,14.399999618530273
2004-01-27,15.039999961853027
2004-01-28,15.039999961853027
2004-01-29,13.4399995803833
2004-01-30,13.4399995803833
2004-02-02,14.079999923706055
2004-02-03,14.079999923706055
2004-02-04,14.079999923706055
2004-02-05,14.079999923706055
2004-02-06,14.079999923706055
2004-02-09,14.399999618530273
2004-02-10,14.399999618530273
2004-02-11,14.079999923706055
2004-02-12,14.5600004196167
2004-02-13,14.079999923706055
2004-02-17,14.079999923706055
2004-02-18,14.079999923706055
2004-02-19,14.079999923706055
2004-02-20,14.079999923706055
2004-02-23,14.079999923706055
2004-02-24,13.503999710083008
2004-02-25,13.503999710083008
2004-02-26,14.239999771118164
2004-02-27,17.920000076293945
2004-03-01,17.920000076293945
2004-03-02,15.359999656677246
2004-03-03,15.359999656677246
2004-03-04,16.0
2004-03-05,16.0
2004-03-08,15.359999656677246
2004-03-09,16.639999389648438
2004-03-10,16.31999969482422
2004-03-11,16.31999969482422
2004-03-12,16.639999389648438
2004-03-15,17.600000381469727
2004-03-16,16.31999969482422
2004-03-17,17.280000686645508
2004-03-18,16.799999237060547
2004-03-19,16.639999389648438
2004-03-22,17.280000686645508
2004-03-23,17.280000686645508
2004-03-24,17.280000686645508
2004-03-25,17.600000381469727
2004-03-26,17.280000686645508
2004-03-29,17.600000381469727
2004-03-30,17.600000381469727
2004-03-31,17.280000686645508
2004-04-01,17.580799102783203
2004-04-02,17.580799102783203
2004-04-05,17.580799102783203
2004-04-06,17.280000686645508
2004-04-07,17.280000686645508
2004-04-08,17.440000534057617
2004-04-12,17.440000534057617
2004-04-13,17.440000534057617
2004-04-14,16.639999389648438
2004-04-15,16.639999389648438
2004-04-16,15.680000305175781
2004-04-19,15.680000305175781
2004-04-20,14.944000244140625
2004-04-21,14.399999618530273
2004-04-22,14.079999923706055
2004-04-23,14.079999923706055
2004-04-26,14.079999923706055
2004-04-27,13.920000076293945
2004-04-28,13.920000076293945
2004-04-29,14.079999923706055
2004-04-30,14.079999923706055
2004-05-03,14.079999923706055
2004-05-04,16.639999389648438
2004-05-05,16.639999389648438
2004-05-06,16.639999389648438
