,EEMA
2012-02-09,55.0
2012-02-10,53.790000915527344
2012-02-13,53.790000915527344
2012-02-14,53.790000915527344
2012-02-15,53.790000915527344
2012-02-16,53.790000915527344
2012-02-17,56.58000183105469
2012-02-21,56.58000183105469
2012-02-22,55.189998626708984
2012-02-23,55.310001373291016
2012-02-24,55.119998931884766
2012-02-27,54.4900016784668
2012-02-28,54.939998626708984
2012-02-29,54.939998626708984
2012-03-01,54.939998626708984
2012-03-02,55.720001220703125
2012-03-05,55.0099983215332
2012-03-06,55.0099983215332
2012-03-07,53.34000015258789
2012-03-08,53.34000015258789
2012-03-09,55.099998474121094
2012-03-12,54.31999969482422
2012-03-13,54.31999969482422
2012-03-14,54.31999969482422
2012-03-15,54.31999969482422
2012-03-16,55.16999816894531
2012-03-19,54.72999954223633
2012-03-20,53.959999084472656
2012-03-21,54.45000076293945
2012-03-22,53.79999923706055
2012-03-23,53.81999969482422
2012-03-26,54.439998626708984
2012-03-27,54.439998626708984
2012-03-28,53.790000915527344
2012-03-29,53.790000915527344
2012-03-30,53.790000915527344
2012-04-02,53.790000915527344
2012-04-03,53.790000915527344
2012-04-04,53.790000915527344
2012-04-05,53.790000915527344
2012-04-09,53.790000915527344
2012-04-10,52.63999938964844
2012-04-11,52.63999938964844
2012-04-12,54.43000030517578
2012-04-13,53.84000015258789
2012-04-16,53.5
2012-04-17,53.5
2012-04-18,53.83000183105469
2012-04-19,53.77000045776367
2012-04-20,53.86000061035156
2012-04-23,52.939998626708984
2012-04-24,53.130001068115234
2012-04-25,53.56999969482422
2012-04-26,53.939998626708984
2012-04-27,53.970001220703125
2012-04-30,53.84000015258789
2012-05-01,54.56999969482422
2012-05-02,54.279998779296875
2012-05-03,54.2400016784668
2012-05-04,53.470001220703125
2012-05-07,53.720001220703125
2012-05-08,52.7400016784668
2012-05-09,51.5
2012-05-10,51.849998474121094
2012-05-11,51.27000045776367
2012-05-14,50.52000045776367
2012-05-15,50.18000030517578
2012-05-16,48.86000061035156
2012-05-17,48.86000061035156
2012-05-18,47.849998474121094
2012-05-21,48.95000076293945
2012-05-22,49.15999984741211
2012-05-23,48.08000183105469
2012-05-24,48.040000915527344
2012-05-25,47.65999984741211
2012-05-29,48.9900016784668
2012-05-30,48.689998626708984
2012-05-31,48.970001220703125
2012-06-01,47.59000015258789
2012-06-04,47.470001220703125
2012-06-05,47.810001373291016
2012-06-06,49.25
2012-06-07,49.689998626708984
2012-06-08,49.27000045776367
2012-06-11,49.16999816894531
2012-06-12,49.720001220703125
2012-06-13,49.61000061035156
2012-06-14,49.529998779296875
2012-06-15,50.08000183105469
2012-06-18,50.72999954223633
2012-06-19,51.290000915527344
2012-06-20,51.27000045776367
2012-06-21,49.04999923706055
2012-06-22,48.75
2012-06-25,47.72999954223633
2012-06-26,48.2400016784668
2012-06-27,48.599998474121094
2012-06-28,48.45000076293945
2012-06-29,50.20000076293945
2012-07-02,50.099998474121094
2012-07-03,51.189998626708984
2012-07-05,50.720001220703125
2012-07-06,49.9900016784668
2012-07-09,49.599998474121094
2012-07-10,49.61000061035156
2012-07-11,49.439998626708984
2012-07-12,48.720001220703125
2012-07-13,49.45000076293945
2012-07-16,49.209999084472656
2012-07-17,49.099998474121094
2012-07-18,48.97999954223633
2012-07-19,49.810001373291016
2012-07-20,48.90999984741211
2012-07-23,48.08000183105469
2012-07-24,47.52000045776367
2012-07-25,47.52000045776367
2012-07-26,47.52000045776367
2012-07-27,49.369998931884766
2012-07-30,49.880001068115234
2012-07-31,50.36000061035156
2012-08-01,50.36000061035156
2012-08-02,49.38999938964844
2012-08-03,50.7400016784668
2012-08-06,51.0099983215332
2012-08-07,51.279998779296875
2012-08-08,51.25
2012-08-09,51.72999954223633
2012-08-10,51.63999938964844
2012-08-13,51.220001220703125
2012-08-14,51.599998474121094
2012-08-15,51.20000076293945
2012-08-16,51.369998931884766
2012-08-17,51.16999816894531
2012-08-20,51.279998779296875
2012-08-21,51.5
2012-08-22,51.5
2012-08-23,51.5
2012-08-24,50.619998931884766
2012-08-27,50.5
2012-08-28,50.150001525878906
2012-08-29,50.31999969482422
2012-08-30,49.83000183105469
2012-08-31,49.83000183105469
2012-09-04,50.029998779296875
2012-09-05,49.619998931884766
2012-09-06,49.619998931884766
2012-09-07,49.619998931884766
2012-09-10,49.619998931884766
2012-09-11,49.619998931884766
2012-09-12,51.90999984741211
2012-09-13,51.90999984741211
2012-09-14,54.02000045776367
2012-09-17,54.0
2012-09-18,53.4900016784668
2012-09-19,53.7400016784668
2012-09-20,52.810001373291016
2012-09-21,53.619998931884766
2012-09-24,53.349998474121094
2012-09-25,53.540000915527344
2012-09-26,52.43000030517578
2012-09-27,53.709999084472656
2012-09-28,53.54999923706055
2012-10-01,54.13999938964844
2012-10-02,54.13999938964844
2012-10-03,53.7599983215332
2012-10-04,54.2599983215332
2012-10-05,54.560001373291016
2012-10-08,54.560001373291016
2012-10-09,53.470001220703125
2012-10-10,52.97999954223633
2012-10-11,52.97999954223633
2012-10-12,53.34000015258789
2012-10-15,53.400001525878906
2012-10-16,53.400001525878906
2012-10-17,54.56999969482422
2012-10-18,54.38999938964844
2012-10-19,54.38999938964844
2012-10-22,54.029998779296875
2012-10-23,53.20000076293945
2012-10-24,53.4900016784668
2012-10-25,53.869998931884766
2012-10-26,53.5
2012-10-31,53.5
2012-11-01,54.34000015258789
2012-11-02,54.310001373291016
2012-11-05,54.310001373291016
2012-11-06,54.310001373291016
2012-11-07,54.310001373291016
2012-11-08,54.310001373291016
2012-11-09,53.470001220703125
2012-11-12,53.470001220703125
2012-11-13,53.470001220703125
2012-11-14,53.470001220703125
2012-11-15,52.689998626708984
2012-11-16,52.400001525878906
2012-11-19,53.38999938964844
2012-11-20,53.25
2012-11-21,53.25
2012-11-23,54.54999923706055
2012-11-26,54.720001220703125
2012-11-27,54.68000030517578
2012-11-28,54.54999923706055
2012-11-29,54.93000030517578
2012-11-30,55.150001525878906
2012-12-03,55.27000045776367
2012-12-04,55.310001373291016
2012-12-05,55.97999954223633
2012-12-06,56.029998779296875
2012-12-07,56.25
2012-12-10,56.650001525878906
2012-12-11,57.04999923706055
2012-12-12,57.04999923706055
2012-12-13,57.04999923706055
2012-12-14,56.95000076293945
2012-12-17,57.119998931884766
2012-12-18,56.689998626708984
2012-12-19,56.630001068115234
2012-12-20,56.900001525878906
2012-12-21,56.029998779296875
2012-12-24,56.439998626708984
2012-12-26,56.439998626708984
2012-12-27,56.130001068115234
2012-12-28,57.130001068115234
2012-12-31,57.59000015258789
2013-01-02,59.31999969482422
2013-01-03,58.84000015258789
2013-01-04,58.7400016784668
2013-01-07,58.11000061035156
2013-01-08,57.709999084472656
2013-01-09,58.18000030517578
2013-01-10,58.59000015258789
2013-01-11,58.2599983215332
2013-01-14,58.11000061035156
2013-01-15,58.08000183105469
2013-01-16,57.70000076293945
2013-01-17,58.25
2013-01-18,58.470001220703125
2013-01-22,58.08000183105469
2013-01-23,57.65999984741211
2013-01-24,57.29999923706055
2013-01-25,56.83000183105469
2013-01-28,56.65999984741211
2013-01-29,57.68000030517578
2013-01-30,57.599998474121094
2013-01-31,57.31999969482422
2013-02-01,57.4900016784668
