,BSCE
2018-10-18,24.790000915527344
2018-10-19,24.81999969482422
2018-10-22,24.760000228881836
2018-10-23,24.760000228881836
2018-10-24,24.760000228881836
2018-10-25,24.81999969482422
2018-10-26,24.81999969482422
2018-10-29,24.81999969482422
2018-10-30,24.81999969482422
2018-10-31,24.81999969482422
2018-11-01,24.770000457763672
2018-11-02,24.770000457763672
2018-11-05,24.770000457763672
2018-11-06,24.770000457763672
2018-11-07,24.860000610351562
2018-11-08,24.860000610351562
2018-11-09,24.860000610351562
2018-11-12,24.850000381469727
2018-11-13,24.850000381469727
2018-11-14,24.90999984741211
2018-11-15,24.90999984741211
2018-11-16,24.90999984741211
2018-11-19,24.90999984741211
2018-11-20,24.90999984741211
2018-11-21,24.610000610351562
2018-11-23,24.610000610351562
2018-11-26,24.610000610351562
2018-11-27,24.610000610351562
2018-11-28,24.65999984741211
2018-11-29,24.65999984741211
2018-11-30,24.639999389648438
2018-12-03,24.639999389648438
2018-12-04,24.709999084472656
2018-12-06,24.65999984741211
2018-12-07,24.729999542236328
2018-12-10,24.68000030517578
2018-12-11,24.68000030517578
2018-12-12,24.729999542236328
2018-12-13,24.770000457763672
2018-12-14,24.780000686645508
2018-12-17,24.809999465942383
2018-12-18,24.850000381469727
2018-12-19,24.84000015258789
2018-12-20,24.860000610351562
2018-12-21,24.809999465942383
2018-12-24,24.690000534057617
2018-12-26,24.690000534057617
2018-12-27,24.75
2018-12-28,24.780000686645508
2018-12-31,24.780000686645508
2019-01-02,24.790000915527344
2019-01-03,24.850000381469727
2019-01-04,24.889999389648438
2019-01-07,24.920000076293945
2019-01-08,24.920000076293945
2019-01-09,25.020000457763672
2019-01-10,24.959999084472656
2019-01-11,24.979999542236328
2019-01-14,24.969999313354492
2019-01-15,25.0
2019-01-16,25.049999237060547
2019-01-17,25.06999969482422
2019-01-18,25.110000610351562
2019-01-22,25.040000915527344
2019-01-23,25.079999923706055
2019-01-24,25.079999923706055
2019-01-25,25.170000076293945
2019-01-28,25.1200008392334
2019-01-29,25.149999618530273
2019-01-30,25.200000762939453
2019-01-31,25.260000228881836
2019-02-01,25.309999465942383
2019-02-04,25.290000915527344
2019-02-05,25.350000381469727
2019-02-06,25.329999923706055
2019-02-07,25.329999923706055
2019-02-08,25.309999465942383
2019-02-11,25.290000915527344
2019-02-12,25.329999923706055
2019-02-13,25.34000015258789
2019-02-14,25.3799991607666
2019-02-15,25.3799991607666
2019-02-19,25.299999237060547
2019-02-20,25.270000457763672
2019-02-21,25.299999237060547
2019-02-22,25.34000015258789
2019-02-25,25.3700008392334
2019-02-26,25.389999389648438
2019-02-27,25.389999389648438
2019-02-28,25.3799991607666
2019-03-01,25.389999389648438
2019-03-04,25.420000076293945
2019-03-05,25.40999984741211
2019-03-06,25.420000076293945
2019-03-07,25.43000030517578
2019-03-08,25.440000534057617
2019-03-11,25.450000762939453
2019-03-12,25.489999771118164
2019-03-13,25.479999542236328
2019-03-14,25.5
2019-03-15,25.540000915527344
2019-03-18,25.450000762939453
2019-03-19,25.5
2019-03-20,25.549999237060547
2019-03-21,25.540000915527344
2019-03-22,25.530000686645508
2019-03-25,25.600000381469727
2019-03-26,25.610000610351562
2019-03-27,25.520000457763672
2019-03-28,25.530000686645508
2019-03-29,25.600000381469727
2019-04-01,25.56999969482422
2019-04-02,25.579999923706055
2019-04-03,25.610000610351562
2019-04-04,25.6299991607666
2019-04-05,25.610000610351562
2019-04-08,25.600000381469727
2019-04-09,25.6200008392334
