,EPHYU
2021-01-08,10.539999961853027
2021-01-11,10.529999732971191
2021-01-12,10.680000305175781
2021-01-13,10.6899995803833
2021-01-14,10.850000381469727
2021-01-15,10.869999885559082
2021-01-19,10.90999984741211
2021-01-20,10.819999694824219
2021-01-21,10.970000267028809
2021-01-22,10.970000267028809
2021-01-25,10.920000076293945
2021-01-26,10.800000190734863
2021-01-27,10.649999618530273
2021-01-28,10.630000114440918
2021-01-29,10.670000076293945
2021-02-01,10.850000381469727
2021-02-02,10.949999809265137
2021-02-03,10.859999656677246
2021-02-04,10.890000343322754
2021-02-05,10.800000190734863
2021-02-08,10.84000015258789
2021-02-09,10.819999694824219
2021-02-10,10.84000015258789
2021-02-11,10.760000228881836
2021-02-12,10.75
2021-02-16,10.729999542236328
2021-02-17,10.779999732971191
2021-02-18,10.739999771118164
2021-02-19,10.720000267028809
2021-02-22,10.8100004196167
2021-02-23,10.640000343322754
2021-02-24,10.640000343322754
2021-02-25,10.449999809265137
2021-02-26,10.380000114440918
2021-03-01,10.479999542236328
2021-03-02,10.260000228881836
2021-03-03,10.300000190734863
2021-03-04,10.229999542236328
2021-03-05,10.199999809265137
2021-03-08,10.15999984741211
2021-03-09,10.170000076293945
2021-03-10,10.25
2021-03-11,10.359999656677246
2021-03-12,10.199999809265137
2021-03-15,10.1850004196167
2021-03-16,10.029999732971191
2021-03-17,10.119999885559082
2021-03-18,10.130000114440918
2021-03-19,10.100000381469727
2021-03-22,10.15999984741211
2021-03-23,10.050000190734863
2021-03-24,9.899999618530273
2021-03-25,9.949999809265137
2021-03-26,10.020000457763672
2021-03-29,9.979999542236328
2021-03-30,10.039999961853027
2021-03-31,10.029999732971191
2021-04-01,10.079999923706055
2021-04-05,10.069999694824219
2021-04-06,10.09000015258789
2021-04-07,10.050000190734863
2021-04-08,10.050000190734863
2021-04-09,10.098999977111816
2021-04-12,10.199999809265137
2021-04-13,9.90999984741211
2021-04-14,10.069999694824219
2021-04-15,10.079999923706055
2021-04-16,10.116999626159668
2021-04-19,10.069999694824219
2021-04-20,10.050000190734863
2021-04-21,10.085000038146973
2021-04-22,10.0
2021-04-23,9.989999771118164
2021-04-26,9.970000267028809
2021-04-27,10.039999961853027
2021-04-28,9.960000038146973
2021-04-29,10.020000457763672
2021-04-30,10.050000190734863
2021-05-03,10.0
2021-05-04,10.0
2021-05-05,10.050000190734863
2021-05-06,10.020000457763672
2021-05-07,10.029999732971191
2021-05-10,9.989999771118164
2021-05-11,10.02400016784668
2021-05-12,10.020999908447266
2021-05-13,9.989999771118164
2021-05-14,10.029999732971191
