,EIGR
2014-01-30,122.69999694824219
2014-01-31,127.05000305175781
2014-02-03,120.0
2014-02-04,112.5
2014-02-05,115.5
2014-02-06,117.9000015258789
2014-02-07,112.94999694824219
2014-02-10,112.6500015258789
2014-02-11,115.3499984741211
2014-02-12,113.4000015258789
2014-02-13,114.0
2014-02-14,113.25
2014-02-18,112.5
2014-02-19,112.5
2014-02-20,113.4000015258789
2014-02-21,113.55000305175781
2014-02-24,142.5
2014-02-25,161.85000610351562
2014-02-26,171.14999389648438
2014-02-27,188.10000610351562
2014-02-28,169.5
2014-03-03,162.60000610351562
2014-03-04,177.4499969482422
2014-03-05,169.5
2014-03-06,173.10000610351562
2014-03-07,172.5
2014-03-10,173.85000610351562
2014-03-11,184.0500030517578
2014-03-12,203.10000610351562
2014-03-13,219.89999389648438
2014-03-14,237.60000610351562
2014-03-17,212.85000610351562
2014-03-18,204.3000030517578
2014-03-19,188.6999969482422
2014-03-20,198.0
2014-03-21,196.64999389648438
2014-03-24,175.1999969482422
2014-03-25,182.25
2014-03-26,171.89999389648438
2014-03-27,183.60000610351562
2014-03-28,168.89999389648438
2014-03-31,178.8000030517578
2014-04-01,172.1999969482422
2014-04-02,166.0500030517578
2014-04-03,145.5
2014-04-04,149.6999969482422
2014-04-07,138.14999389648438
2014-04-08,157.35000610351562
2014-04-09,159.75
2014-04-10,178.0500030517578
2014-04-11,185.6999969482422
2014-04-14,181.35000610351562
2014-04-15,175.1999969482422
2014-04-16,172.5
2014-04-17,179.10000610351562
2014-04-21,187.9499969482422
2014-04-22,186.3000030517578
2014-04-23,176.39999389648438
2014-04-24,178.1999969482422
2014-04-25,174.0
2014-04-28,171.4499969482422
2014-04-29,176.25
2014-04-30,176.25
2014-05-01,173.5500030517578
2014-05-02,171.3000030517578
2014-05-05,171.0
2014-05-06,157.8000030517578
2014-05-07,151.0500030517578
2014-05-08,145.5
2014-05-09,154.5
2014-05-12,170.39999389648438
2014-05-13,158.5500030517578
2014-05-14,150.89999389648438
2014-05-15,144.3000030517578
2014-05-16,143.25
2014-05-19,146.39999389648438
2014-05-20,143.6999969482422
2014-05-21,133.9499969482422
2014-05-22,130.9499969482422
2014-05-23,135.89999389648438
2014-05-27,137.6999969482422
2014-05-28,138.89999389648438
2014-05-29,135.4499969482422
2014-05-30,133.9499969482422
2014-06-02,123.5999984741211
2014-06-03,118.5
2014-06-04,140.25
2014-06-05,138.75
2014-06-06,135.60000610351562
2014-06-09,136.8000030517578
2014-06-10,137.25
2014-06-11,159.4499969482422
2014-06-12,162.75
2014-06-13,168.4499969482422
2014-06-16,195.0
2014-06-17,217.0500030517578
2014-06-18,212.85000610351562
2014-06-19,216.0
2014-06-20,210.4499969482422
2014-06-23,212.6999969482422
2014-06-24,214.1999969482422
2014-06-25,212.6999969482422
2014-06-26,213.60000610351562
2014-06-27,225.0
2014-06-30,240.3000030517578
2014-07-01,240.60000610351562
2014-07-02,244.1999969482422
2014-07-03,244.8000030517578
2014-07-07,220.8000030517578
2014-07-08,230.5500030517578
2014-07-09,228.4499969482422
2014-07-10,216.75
2014-07-11,191.5500030517578
2014-07-14,182.10000610351562
2014-07-15,176.85000610351562
2014-07-16,167.5500030517578
2014-07-17,167.39999389648438
2014-07-18,197.10000610351562
2014-07-21,211.35000610351562
2014-07-22,217.0500030517578
2014-07-23,195.0
2014-07-24,199.5
2014-07-25,188.6999969482422
2014-07-28,188.10000610351562
2014-07-29,198.4499969482422
2014-07-30,194.39999389648438
2014-07-31,185.25
2014-08-01,189.60000610351562
2014-08-04,175.8000030517578
2014-08-05,167.85000610351562
2014-08-06,158.10000610351562
2014-08-07,172.5
2014-08-08,163.5
2014-08-11,154.35000610351562
2014-08-12,144.75
2014-08-13,147.75
2014-08-14,159.4499969482422
2014-08-15,157.9499969482422
2014-08-18,175.8000030517578
2014-08-19,174.89999389648438
2014-08-20,173.39999389648438
2014-08-21,169.35000610351562
2014-08-22,171.4499969482422
2014-08-25,172.0500030517578
2014-08-26,171.60000610351562
2014-08-27,178.1999969482422
2014-08-28,176.10000610351562
2014-08-29,172.9499969482422
