,ATXI
2017-06-27,8.25
2017-06-28,7.920000076293945
2017-06-29,7.880000114440918
2017-06-30,7.949999809265137
2017-07-03,8.0
2017-07-05,8.0
2017-07-06,7.800000190734863
2017-07-07,7.619999885559082
2017-07-10,7.409999847412109
2017-07-11,7.150000095367432
2017-07-12,7.690000057220459
2017-07-13,7.519999980926514
2017-07-14,7.730000019073486
2017-07-17,7.449999809265137
2017-07-18,7.28000020980835
2017-07-19,7.269999980926514
2017-07-20,7.340000152587891
2017-07-21,7.190000057220459
2017-07-24,7.179999828338623
2017-07-25,7.010000228881836
2017-07-26,7.039999961853027
2017-07-27,6.980000019073486
2017-07-28,7.019999980926514
2017-07-31,6.679999828338623
2017-08-01,6.849999904632568
2017-08-02,6.769999980926514
2017-08-03,6.980000019073486
2017-08-04,6.699999809265137
2017-08-07,6.699999809265137
2017-08-08,6.769999980926514
2017-08-09,6.590000152587891
2017-08-10,6.619999885559082
2017-08-11,6.829999923706055
2017-08-14,6.769999980926514
2017-08-15,6.289999961853027
2017-08-16,6.769999980926514
2017-08-17,6.679999828338623
2017-08-18,6.550000190734863
2017-08-21,6.420000076293945
2017-08-22,6.420000076293945
2017-08-23,6.599999904632568
2017-08-24,6.5
2017-08-25,6.389999866485596
2017-08-28,6.25
2017-08-29,6.0
2017-08-30,6.25
2017-08-31,5.855000019073486
2017-09-01,6.0
2017-09-05,6.0
2017-09-06,5.980000019073486
2017-09-07,6.0
2017-09-08,6.119999885559082
2017-09-11,5.960000038146973
2017-09-12,5.980000019073486
2017-09-13,6.03000020980835
2017-09-14,5.789999961853027
2017-09-15,5.510000228881836
2017-09-18,5.550000190734863
2017-09-19,5.539999961853027
2017-09-20,5.550000190734863
2017-09-21,5.539999961853027
2017-09-22,5.449999809265137
2017-09-25,5.079999923706055
2017-09-26,5.130000114440918
2017-09-27,5.239999771118164
2017-09-28,5.190000057220459
2017-09-29,5.53000020980835
2017-10-02,5.53000020980835
2017-10-03,5.610000133514404
