,BCYC
2019-05-23,12.0
2019-05-24,13.050000190734863
2019-05-28,12.279999732971191
2019-05-29,12.34000015258789
2019-05-30,11.930000305175781
2019-05-31,11.6899995803833
2019-06-03,11.199999809265137
2019-06-04,11.699999809265137
2019-06-05,11.319999694824219
2019-06-06,11.600000381469727
2019-06-07,11.75
2019-06-10,11.899999618530273
2019-06-11,11.899999618530273
2019-06-12,11.930000305175781
2019-06-13,12.399999618530273
2019-06-14,13.100000381469727
2019-06-17,13.239999771118164
2019-06-18,14.569999694824219
2019-06-19,14.630000114440918
2019-06-20,14.1899995803833
2019-06-21,11.640000343322754
2019-06-24,11.369999885559082
2019-06-25,10.649999618530273
2019-06-26,10.479999542236328
2019-06-27,10.3100004196167
2019-06-28,10.0600004196167
2019-07-01,9.899999618530273
2019-07-02,9.75
2019-07-03,9.109999656677246
2019-07-05,9.0
2019-07-08,8.90999984741211
2019-07-09,9.0
2019-07-10,9.0
2019-07-11,8.640000343322754
2019-07-12,7.789999961853027
2019-07-15,8.260000228881836
2019-07-16,8.770000457763672
2019-07-17,8.979999542236328
2019-07-18,9.0
2019-07-19,9.149999618530273
2019-07-22,8.9399995803833
2019-07-23,8.520000457763672
2019-07-24,8.40999984741211
2019-07-25,9.0
2019-07-26,8.449999809265137
2019-07-29,8.789999961853027
2019-07-30,8.100000381469727
2019-07-31,8.26099967956543
2019-08-01,8.380000114440918
2019-08-02,8.0
2019-08-05,8.0
2019-08-06,7.363999843597412
2019-08-07,7.260000228881836
2019-08-08,7.489999771118164
2019-08-09,7.690000057220459
2019-08-12,7.5
2019-08-13,7.650000095367432
2019-08-14,6.900000095367432
2019-08-15,7.53000020980835
2019-08-16,7.669000148773193
2019-08-19,7.800000190734863
2019-08-20,7.63100004196167
2019-08-21,7.199999809265137
2019-08-22,7.0
2019-08-23,7.03000020980835
2019-08-26,7.688000202178955
2019-08-27,6.953000068664551
2019-08-28,6.736000061035156
2019-08-29,7.289999961853027
2019-08-30,7.340000152587891
2019-09-03,7.119999885559082
2019-09-04,7.019999980926514
2019-09-05,7.099999904632568
2019-09-06,6.78000020980835
2019-09-09,7.150000095367432
2019-09-10,7.03000020980835
2019-09-11,8.970000267028809
2019-09-12,9.130000114440918
2019-09-13,9.75
2019-09-16,10.15999984741211
2019-09-17,11.800000190734863
2019-09-18,12.010000228881836
2019-09-19,10.100000381469727
