,DHHC
2021-03-29,9.75
2021-03-30,9.75
2021-03-31,9.760000228881836
2021-04-01,9.75
2021-04-05,9.805000305175781
2021-04-06,9.75
2021-04-07,9.84000015258789
2021-04-08,9.979999542236328
2021-04-09,9.979999542236328
2021-04-12,9.979999542236328
2021-04-13,9.850000381469727
2021-04-14,9.850000381469727
2021-04-15,9.850000381469727
2021-04-16,9.819999694824219
2021-04-19,9.850000381469727
2021-04-20,9.899999618530273
2021-04-21,9.850000381469727
2021-04-22,9.791999816894531
2021-04-23,9.800000190734863
2021-04-26,9.680000305175781
2021-04-27,9.760000228881836
2021-04-28,9.760000228881836
2021-04-29,9.760000228881836
2021-04-30,9.75
2021-05-03,9.770000457763672
2021-05-04,9.789999961853027
2021-05-05,9.75
2021-05-06,9.739999771118164
2021-05-07,9.739999771118164
2021-05-10,9.779999732971191
2021-05-11,9.75
2021-05-12,9.75
2021-05-13,9.75
2021-05-14,9.75
