,CUE
2018-01-02,11.630000114440918
2018-01-03,12.75
2018-01-04,13.75
2018-01-05,15.0
2018-01-08,14.600000381469727
2018-01-09,14.989999771118164
2018-01-10,14.760000228881836
2018-01-11,15.210000038146973
2018-01-12,15.5
2018-01-16,15.529999732971191
2018-01-17,15.369999885559082
2018-01-18,14.65999984741211
2018-01-19,14.449999809265137
2018-01-22,15.479999542236328
2018-01-23,15.600000381469727
2018-01-24,15.699999809265137
2018-01-25,15.829999923706055
2018-01-26,15.489999771118164
2018-01-29,15.550000190734863
2018-01-30,15.079999923706055
2018-01-31,15.149999618530273
2018-02-01,14.949999809265137
2018-02-02,14.949999809265137
2018-02-05,14.739999771118164
2018-02-06,14.420000076293945
2018-02-07,14.489999771118164
2018-02-08,14.15999984741211
2018-02-09,14.180000305175781
2018-02-12,13.6899995803833
2018-02-13,13.760000228881836
2018-02-14,14.350000381469727
2018-02-15,14.34000015258789
2018-02-16,14.899999618530273
2018-02-20,14.720000267028809
2018-02-21,15.239999771118164
2018-02-22,15.020000457763672
2018-02-23,15.0
2018-02-26,15.239999771118164
2018-02-27,15.109999656677246
2018-02-28,15.149999618530273
2018-03-01,14.8100004196167
2018-03-02,15.100000381469727
2018-03-05,16.139999389648438
2018-03-06,16.399999618530273
2018-03-07,16.299999237060547
2018-03-08,17.25
2018-03-09,16.889999389648438
2018-03-12,16.690000534057617
2018-03-13,17.010000228881836
2018-03-14,17.09000015258789
2018-03-15,17.09000015258789
2018-03-16,16.649999618530273
2018-03-19,16.690000534057617
2018-03-20,16.559999465942383
2018-03-21,16.940000534057617
2018-03-22,16.469999313354492
2018-03-23,15.930000305175781
2018-03-26,14.899999618530273
2018-03-27,13.539999961853027
2018-03-28,13.84000015258789
2018-03-29,14.050000190734863
2018-04-02,13.90999984741211
2018-04-03,14.0
2018-04-04,13.619999885559082
2018-04-05,13.869999885559082
2018-04-06,12.859999656677246
2018-04-09,13.65999984741211
2018-04-10,13.529999732971191
2018-04-11,13.399999618530273
2018-04-12,13.800000190734863
2018-04-13,14.0
2018-04-16,14.130000114440918
2018-04-17,13.819999694824219
2018-04-18,13.770000457763672
2018-04-19,13.3100004196167
2018-04-20,13.359999656677246
2018-04-23,13.550000190734863
2018-04-24,13.430000305175781
2018-04-25,13.449999809265137
2018-04-26,13.3100004196167
2018-04-27,11.970000267028809
2018-04-30,11.039999961853027
2018-05-01,10.930000305175781
2018-05-02,11.489999771118164
2018-05-03,11.569999694824219
2018-05-04,11.949999809265137
2018-05-07,12.15999984741211
2018-05-08,11.989999771118164
2018-05-09,12.029999732971191
2018-05-10,13.470000267028809
2018-05-11,14.3100004196167
2018-05-14,14.319999694824219
2018-05-15,14.220000267028809
2018-05-16,14.3100004196167
2018-05-17,14.199999809265137
2018-05-18,14.399999618530273
2018-05-21,14.279999732971191
2018-05-22,14.050000190734863
2018-05-23,13.699999809265137
2018-05-24,13.1899995803833
2018-05-25,13.670000076293945
2018-05-29,13.329999923706055
2018-05-30,13.0600004196167
2018-05-31,12.8100004196167
2018-06-01,13.600000381469727
2018-06-04,13.170000076293945
2018-06-05,13.1899995803833
2018-06-06,13.600000381469727
2018-06-07,13.649999618530273
2018-06-08,14.220000267028809
2018-06-11,14.479999542236328
2018-06-12,14.239999771118164
2018-06-13,13.970000267028809
2018-06-14,13.84000015258789
2018-06-15,13.25
2018-06-18,12.880000114440918
2018-06-19,13.010000228881836
2018-06-20,12.239999771118164
2018-06-21,12.4399995803833
2018-06-22,12.569999694824219
2018-06-25,12.899999618530273
2018-06-26,12.970000267028809
2018-06-27,12.619999885559082
2018-06-28,12.15999984741211
2018-06-29,11.859999656677246
2018-07-02,11.75
2018-07-03,11.800000190734863
2018-07-05,11.770000457763672
2018-07-06,11.760000228881836
2018-07-09,11.779999732971191
2018-07-10,11.25
2018-07-11,11.260000228881836
2018-07-12,11.890000343322754
2018-07-13,11.829999923706055
2018-07-16,11.619999885559082
2018-07-17,11.279999732971191
2018-07-18,11.149999618530273
2018-07-19,11.069999694824219
2018-07-20,11.220000267028809
2018-07-23,11.539999961853027
2018-07-24,11.859999656677246
2018-07-25,10.920000076293945
2018-07-26,10.90999984741211
2018-07-27,10.119999885559082
2018-07-30,9.4399995803833
2018-07-31,9.0600004196167
2018-08-01,9.539999961853027
2018-08-02,8.670000076293945
2018-08-03,8.600000381469727
2018-08-06,8.65999984741211
2018-08-07,8.329999923706055
2018-08-08,8.40999984741211
2018-08-09,8.359999656677246
2018-08-10,8.319999694824219
2018-08-13,8.15999984741211
2018-08-14,8.260000228881836
2018-08-15,7.920000076293945
2018-08-16,8.140000343322754
2018-08-17,7.909999847412109
2018-08-20,8.09000015258789
2018-08-21,9.029999732971191
2018-08-22,9.199999809265137
2018-08-23,8.350000381469727
2018-08-24,8.579999923706055
2018-08-27,8.640000343322754
2018-08-28,8.609999656677246
2018-08-29,8.550000190734863
2018-08-30,9.029999732971191
2018-08-31,9.619999885559082
2018-09-04,9.34000015258789
2018-09-05,9.529999732971191
2018-09-06,9.239999771118164
2018-09-07,9.239999771118164
2018-09-10,9.390000343322754
2018-09-11,9.399999618530273
2018-09-12,9.260000228881836
2018-09-13,9.050000190734863
2018-09-14,9.050000190734863
2018-09-17,9.09000015258789
2018-09-18,9.15999984741211
2018-09-19,9.25
2018-09-20,9.1899995803833
2018-09-21,9.1899995803833
2018-09-24,9.149999618530273
2018-09-25,9.029999732971191
