,ALLK
2018-07-19,31.25
2018-07-20,35.04999923706055
2018-07-23,36.290000915527344
2018-07-24,38.119998931884766
2018-07-25,39.29999923706055
2018-07-26,39.970001220703125
2018-07-27,39.790000915527344
2018-07-30,40.0
2018-07-31,40.77000045776367
2018-08-01,40.95000076293945
2018-08-02,41.36000061035156
2018-08-03,41.02000045776367
2018-08-06,39.689998626708984
2018-08-07,39.849998474121094
2018-08-08,36.779998779296875
2018-08-09,37.27000045776367
2018-08-10,38.91999816894531
2018-08-13,39.310001373291016
2018-08-14,40.06999969482422
2018-08-15,37.79999923706055
2018-08-16,38.810001373291016
2018-08-17,38.90999984741211
2018-08-20,40.380001068115234
2018-08-21,39.54999923706055
2018-08-22,39.2400016784668
2018-08-23,39.0
2018-08-24,38.90999984741211
2018-08-27,38.90999984741211
2018-08-28,40.06999969482422
2018-08-29,40.09000015258789
2018-08-30,38.459999084472656
2018-08-31,38.84000015258789
2018-09-04,39.93000030517578
2018-09-05,42.22999954223633
2018-09-06,43.0
2018-09-07,46.599998474121094
2018-09-10,42.95000076293945
2018-09-11,42.77000045776367
2018-09-12,44.470001220703125
2018-09-13,44.4900016784668
2018-09-14,44.43000030517578
2018-09-17,43.9900016784668
2018-09-18,44.900001525878906
2018-09-19,45.279998779296875
2018-09-20,45.040000915527344
2018-09-21,47.63999938964844
2018-09-24,46.72999954223633
2018-09-25,46.540000915527344
2018-09-26,46.209999084472656
2018-09-27,45.56999969482422
2018-09-28,44.9900016784668
2018-10-01,41.31999969482422
2018-10-02,42.25
2018-10-03,38.4900016784668
2018-10-04,31.59000015258789
2018-10-05,33.349998474121094
2018-10-08,32.16999816894531
2018-10-09,35.279998779296875
2018-10-10,34.06999969482422
2018-10-11,34.27000045776367
2018-10-12,33.630001068115234
2018-10-15,33.849998474121094
2018-10-16,37.400001525878906
2018-10-17,40.099998474121094
2018-10-18,42.459999084472656
2018-10-19,43.11000061035156
2018-10-22,44.540000915527344
2018-10-23,46.189998626708984
2018-10-24,43.9900016784668
2018-10-25,48.36000061035156
2018-10-26,46.790000915527344
2018-10-29,46.0099983215332
2018-10-30,47.130001068115234
2018-10-31,48.349998474121094
2018-11-01,50.11000061035156
2018-11-02,51.849998474121094
2018-11-05,53.2400016784668
2018-11-06,55.0
2018-11-07,57.29999923706055
2018-11-08,57.33000183105469
2018-11-09,53.16999816894531
2018-11-12,55.83000183105469
2018-11-13,56.970001220703125
2018-11-14,54.08000183105469
2018-11-15,55.91999816894531
2018-11-16,58.9900016784668
2018-11-19,55.31999969482422
2018-11-20,54.130001068115234
2018-11-21,53.040000915527344
2018-11-23,55.7400016784668
2018-11-26,55.90999984741211
2018-11-27,54.59000015258789
2018-11-28,59.029998779296875
2018-11-29,61.380001068115234
2018-11-30,58.90999984741211
2018-12-03,59.90999984741211
2018-12-04,59.16999816894531
2018-12-06,60.7599983215332
2018-12-07,62.630001068115234
2018-12-10,62.650001525878906
2018-12-11,61.5099983215332
2018-12-12,61.7599983215332
2018-12-13,59.939998626708984
2018-12-14,60.70000076293945
2018-12-17,56.65999984741211
2018-12-18,55.81999969482422
2018-12-19,47.16999816894531
2018-12-20,50.2400016784668
2018-12-21,47.77000045776367
2018-12-24,48.7599983215332
2018-12-26,52.93000030517578
2018-12-27,51.849998474121094
2018-12-28,52.439998626708984
2018-12-31,52.27000045776367
2019-01-02,51.9900016784668
2019-01-03,49.34000015258789
2019-01-04,47.2599983215332
2019-01-07,43.54999923706055
2019-01-08,43.09000015258789
2019-01-09,45.0
2019-01-10,46.91999816894531
2019-01-11,47.54999923706055
2019-01-14,46.150001525878906
2019-01-15,43.619998931884766
2019-01-16,42.75
2019-01-17,42.09000015258789
2019-01-18,42.459999084472656
2019-01-22,41.150001525878906
2019-01-23,42.84000015258789
2019-01-24,43.13999938964844
