,CNTB
2021-03-19,18.489999771118164
2021-03-22,18.610000610351562
2021-03-23,16.770000457763672
2021-03-24,15.930000305175781
2021-03-25,15.960000038146973
2021-03-26,15.899999618530273
2021-03-29,16.65999984741211
2021-03-30,16.31999969482422
2021-03-31,18.5
2021-04-01,17.850000381469727
2021-04-05,17.899999618530273
2021-04-06,17.510000228881836
2021-04-07,17.06999969482422
2021-04-08,16.399999618530273
2021-04-09,17.0
2021-04-12,17.049999237060547
2021-04-13,16.950000762939453
2021-04-14,17.450000762939453
2021-04-15,17.299999237060547
2021-04-16,17.270000457763672
2021-04-19,17.239999771118164
2021-04-20,17.079999923706055
2021-04-21,17.09000015258789
2021-04-22,17.110000610351562
2021-04-23,16.1200008392334
2021-04-26,16.530000686645508
2021-04-27,16.06999969482422
2021-04-28,16.049999237060547
2021-04-29,15.539999961853027
2021-04-30,16.270000457763672
2021-05-03,16.309999465942383
2021-05-04,16.15999984741211
2021-05-05,16.81999969482422
2021-05-06,16.100000381469727
2021-05-07,15.529999732971191
2021-05-10,15.270000457763672
2021-05-11,14.430000305175781
2021-05-12,15.399999618530273
2021-05-13,15.5
2021-05-14,16.40999984741211
