,DWEQ
2019-12-27,25.104000091552734
2019-12-30,24.93199920654297
2019-12-31,25.049999237060547
2020-01-02,25.107999801635742
2020-01-03,25.145000457763672
2020-01-06,25.211999893188477
2020-01-07,25.299999237060547
2020-01-08,25.360000610351562
2020-01-09,25.56800079345703
2020-01-10,25.520999908447266
2020-01-13,25.850000381469727
2020-01-14,25.700000762939453
2020-01-15,25.770000457763672
2020-01-16,25.770000457763672
2020-01-17,26.100000381469727
2020-01-21,26.15999984741211
2020-01-22,26.350000381469727
2020-01-23,26.420000076293945
2020-01-24,26.35300064086914
2020-01-27,26.110000610351562
2020-01-28,26.375
2020-01-29,26.375
2020-01-30,26.52199935913086
2020-01-31,26.1299991607666
2020-02-03,26.360000610351562
2020-02-04,26.672000885009766
2020-02-05,26.530000686645508
2020-02-06,26.485000610351562
2020-02-07,26.382999420166016
2020-02-10,26.628999710083008
2020-02-11,26.628999710083008
2020-02-12,26.959999084472656
2020-02-13,27.110000610351562
2020-02-14,27.3799991607666
2020-02-18,27.427000045776367
2020-02-19,27.427000045776367
2020-02-20,27.344999313354492
2020-02-21,27.344999313354492
2020-02-24,26.273000717163086
2020-02-25,25.48699951171875
2020-02-26,25.48699951171875
2020-02-27,24.40399932861328
2020-02-28,24.017000198364258
2020-03-02,25.04599952697754
2020-03-03,24.599000930786133
2020-03-04,25.655000686645508
2020-03-05,25.03700065612793
2020-03-06,24.506999969482422
2020-03-09,22.756999969482422
2020-03-10,22.920000076293945
2020-03-11,22.222000122070312
2020-03-12,20.2189998626709
2020-03-13,21.298999786376953
2020-03-16,18.621999740600586
2020-03-17,19.173999786376953
2020-03-18,18.79400062561035
2020-03-19,19.149999618530273
2020-03-20,18.73699951171875
2020-03-23,18.489999771118164
2020-03-24,18.649999618530273
2020-03-25,18.649999618530273
2020-03-26,18.524999618530273
2020-03-27,18.475000381469727
2020-03-30,18.4950008392334
2020-03-31,18.53499984741211
2020-04-01,18.489999771118164
2020-04-02,18.444000244140625
2020-04-03,18.444000244140625
2020-04-06,18.514999389648438
2020-04-07,18.485000610351562
2020-04-08,18.485000610351562
2020-04-09,18.485000610351562
2020-04-13,18.479999542236328
2020-04-14,18.454999923706055
2020-04-15,18.47800064086914
2020-04-16,18.47800064086914
2020-04-17,18.468000411987305
2020-04-20,18.479999542236328
2020-04-21,18.530000686645508
2020-04-22,18.530000686645508
2020-04-23,18.530000686645508
2020-04-24,18.5049991607666
2020-04-27,18.524999618530273
2020-04-28,18.524999618530273
2020-04-29,18.46500015258789
2020-04-30,18.44700050354004
2020-05-01,18.23699951171875
2020-05-04,18.381000518798828
2020-05-05,18.381000518798828
2020-05-06,18.64699935913086
2020-05-07,18.64699935913086
2020-05-08,18.64699935913086
2020-05-11,18.99799919128418
2020-05-12,18.72800064086914
2020-05-13,18.426000595092773
2020-05-14,18.530000686645508
2020-05-15,18.530000686645508
2020-05-18,19.110000610351562
2020-05-19,19.011999130249023
2020-05-20,19.155000686645508
2020-05-21,19.097999572753906
2020-05-22,19.207000732421875
2020-05-26,19.082000732421875
2020-05-27,19.055999755859375
2020-05-28,19.198999404907227
2020-05-29,19.65999984741211
2020-06-01,19.625
2020-06-02,19.81999969482422
2020-06-03,20.040000915527344
2020-06-04,19.676000595092773
2020-06-05,20.020000457763672
2020-06-08,20.072999954223633
2020-06-09,19.95599937438965
2020-06-10,20.209999084472656
2020-06-11,19.1299991607666
2020-06-12,19.273000717163086
2020-06-15,19.559999465942383
2020-06-16,19.889999389648438
2020-06-17,20.049999237060547
2020-06-18,20.05500030517578
2020-06-19,20.070999145507812
2020-06-22,20.070999145507812
2020-06-23,20.4950008392334
2020-06-24,20.4950008392334
2020-06-25,20.20599937438965
2020-06-26,19.93899917602539
2020-06-29,20.062000274658203
2020-06-30,20.413000106811523
2020-07-01,20.670000076293945
2020-07-02,20.790000915527344
2020-07-06,21.052000045776367
2020-07-07,20.87299919128418
2020-07-08,21.170000076293945
2020-07-09,21.360000610351562
2020-07-10,21.219999313354492
2020-07-13,20.64900016784668
2020-07-14,21.024999618530273
2020-07-15,21.29800033569336
2020-07-16,21.18000030517578
2020-07-17,21.417999267578125
2020-07-20,21.84000015258789
2020-07-21,21.742000579833984
2020-07-22,21.924999237060547
2020-07-23,21.600000381469727
2020-07-24,21.43899917602539
2020-07-27,21.69499969482422
2020-07-28,21.427000045776367
2020-07-29,21.957000732421875
2020-07-30,22.197999954223633
2020-07-31,22.229999542236328
2020-08-03,22.743000030517578
2020-08-04,22.881999969482422
2020-08-05,23.100000381469727
2020-08-06,23.100000381469727
2020-08-07,23.190000534057617
2020-08-10,22.993000030517578
2020-08-11,22.55500030517578
