,CSML
2017-05-16,25.18000030517578
2017-05-17,24.459999084472656
2017-05-18,24.510000228881836
2017-05-19,24.663999557495117
2017-05-22,24.780000686645508
2017-05-23,24.899999618530273
2017-05-24,24.8700008392334
2017-05-25,24.889999389648438
2017-05-26,24.860000610351562
2017-05-30,24.707000732421875
2017-05-31,24.68000030517578
2017-06-01,25.08300018310547
2017-06-02,25.360000610351562
2017-06-05,25.139999389648438
2017-06-06,25.020000457763672
2017-06-07,25.020000457763672
2017-06-08,25.488000869750977
2017-06-09,25.690000534057617
2017-06-12,25.6299991607666
2017-06-13,25.790000915527344
2017-06-14,25.6200008392334
2017-06-15,25.479999542236328
2017-06-16,25.31999969482422
2017-06-19,25.489999771118164
2017-06-20,25.235000610351562
2017-06-21,25.0
2017-06-22,25.010000228881836
2017-06-23,25.209999084472656
2017-06-26,25.3799991607666
2017-06-27,25.170000076293945
2017-06-28,25.59600067138672
2017-06-29,25.474000930786133
2017-06-30,25.489999771118164
2017-07-03,25.6299991607666
2017-07-05,25.559999465942383
2017-07-06,25.270000457763672
2017-07-07,25.579999923706055
2017-07-10,25.479999542236328
2017-07-11,25.450000762939453
2017-07-12,25.6200008392334
2017-07-13,25.700000762939453
2017-07-14,25.719999313354492
2017-07-17,25.799999237060547
2017-07-18,25.739999771118164
2017-07-19,25.969999313354492
2017-07-20,25.9689998626709
2017-07-21,25.729999542236328
2017-07-24,25.770000457763672
2017-07-25,26.030000686645508
2017-07-26,25.84000015258789
2017-07-27,25.719999313354492
2017-07-28,25.459999084472656
2017-07-31,25.5
2017-08-01,25.59000015258789
2017-08-02,25.31999969482422
2017-08-03,25.08300018310547
2017-08-04,25.260000228881836
2017-08-07,25.219999313354492
2017-08-08,25.110000610351562
2017-08-09,24.690000534057617
2017-08-10,24.450000762939453
2017-08-11,24.39299964904785
2017-08-14,24.799999237060547
2017-08-15,24.600000381469727
2017-08-16,24.56999969482422
2017-08-17,24.09000015258789
2017-08-18,24.06999969482422
2017-08-21,24.030000686645508
2017-08-22,24.219999313354492
2017-08-23,24.18000030517578
2017-08-24,24.260000228881836
2017-08-25,24.420000076293945
2017-08-28,24.450000762939453
2017-08-29,24.530000686645508
2017-08-30,24.635000228881836
2017-08-31,24.860000610351562
2017-09-01,25.0
2017-09-05,24.489999771118164
2017-09-06,24.59000015258789
2017-09-07,24.354000091552734
2017-09-08,24.479999542236328
2017-09-11,24.8799991607666
2017-09-12,25.1299991607666
2017-09-13,25.229999542236328
2017-09-14,25.100000381469727
2017-09-15,25.329999923706055
2017-09-18,25.469999313354492
2017-09-19,25.489999771118164
2017-09-20,25.674999237060547
2017-09-21,25.722999572753906
2017-09-22,25.93000030517578
2017-09-25,25.96299934387207
2017-09-26,26.200000762939453
2017-09-27,26.65999984741211
2017-09-28,26.739999771118164
2017-09-29,26.84000015258789
2017-10-02,27.34000015258789
2017-10-03,27.34000015258789
2017-10-04,27.200000762939453
2017-10-05,27.350000381469727
2017-10-06,27.350000381469727
2017-10-09,27.277999877929688
2017-10-10,27.3700008392334
2017-10-11,27.440000534057617
2017-10-12,27.510000228881836
2017-10-13,27.489999771118164
2017-10-16,27.510000228881836
2017-10-17,27.40999984741211
2017-10-18,27.59000015258789
2017-10-19,27.610000610351562
2017-10-20,27.719999313354492
2017-10-23,27.59000015258789
2017-10-24,27.700000762939453
2017-10-25,27.6200008392334
2017-10-26,27.790000915527344
2017-10-27,27.889999389648438
2017-10-30,27.520000457763672
2017-10-31,27.760000228881836
2017-11-01,27.489999771118164
2017-11-02,27.600000381469727
2017-11-03,27.3700008392334
2017-11-06,27.3799991607666
2017-11-07,26.989999771118164
2017-11-08,27.010000228881836
2017-11-09,27.020000457763672
2017-11-10,27.020000457763672
2017-11-13,26.989999771118164
2017-11-14,26.93000030517578
2017-11-15,26.790000915527344
2017-11-16,27.260000228881836
2017-11-17,27.38800048828125
2017-11-20,27.729999542236328
2017-11-21,28.010000228881836
2017-11-22,27.8799991607666
2017-11-24,27.90999984741211
2017-11-27,27.829999923706055
2017-11-28,28.260000228881836
2017-11-29,28.5
2017-11-30,28.34000015258789
2017-12-01,28.09000015258789
2017-12-04,28.219999313354492
2017-12-05,27.989999771118164
2017-12-06,27.790000915527344
2017-12-07,27.950000762939453
2017-12-08,27.799999237060547
2017-12-11,27.850000381469727
2017-12-12,27.780000686645508
2017-12-13,27.850000381469727
2017-12-14,27.540000915527344
2017-12-15,28.1299991607666
2017-12-18,28.530000686645508
2017-12-19,28.299999237060547
2017-12-20,28.440000534057617
2017-12-21,28.579999923706055
2017-12-22,28.350000381469727
2017-12-26,28.31999969482422
2017-12-27,28.25
2017-12-28,28.309999465942383
2017-12-29,28.049999237060547
2018-01-02,28.260000228881836
2018-01-03,28.309999465942383
2018-01-04,28.43000030517578
2018-01-05,28.559999465942383
2018-01-08,28.68000030517578
2018-01-09,28.520000457763672
2018-01-10,28.540000915527344
2018-01-11,29.1299991607666
2018-01-12,29.260000228881836
2018-01-16,28.920000076293945
2018-01-17,29.31999969482422
2018-01-18,29.020000457763672
2018-01-19,29.450000762939453
2018-01-22,29.3700008392334
2018-01-23,29.3799991607666
2018-01-24,29.219999313354492
2018-01-25,29.18000030517578
2018-01-26,29.25
2018-01-29,29.030000686645508
2018-01-30,28.760000228881836
2018-01-31,28.540000915527344
2018-02-01,28.690000534057617
2018-02-02,28.040000915527344
2018-02-05,26.90999984741211
2018-02-06,27.229999542236328
2018-02-07,27.299999237060547
2018-02-08,26.700000762939453
2018-02-09,26.959999084472656
2018-02-12,26.979999542236328
2018-02-13,27.209999084472656
2018-02-14,27.68000030517578
2018-02-15,27.940000534057617
2018-02-16,28.02199935913086
2018-02-20,27.84000015258789
2018-02-21,28.040000915527344
2018-02-22,27.899999618530273
2018-02-23,28.149999618530273
