,FLMN
2017-10-30,9.579999923706055
2017-10-31,9.579999923706055
2017-11-01,9.579999923706055
2017-11-02,9.579999923706055
2017-11-03,9.579999923706055
2017-11-06,9.579999923706055
2017-11-07,9.579999923706055
2017-11-08,9.579999923706055
2017-11-09,9.579999923706055
2017-11-10,9.579999923706055
2017-11-13,9.600000381469727
2017-11-14,9.600000381469727
2017-11-15,9.600000381469727
2017-11-16,9.600000381469727
2017-11-17,9.600000381469727
2017-11-20,9.600000381469727
2017-11-21,9.600000381469727
2017-11-22,9.600000381469727
2017-11-24,9.600000381469727
2017-11-27,9.600000381469727
2017-11-28,9.600000381469727
2017-11-29,9.600000381469727
2017-11-30,9.600000381469727
2017-12-01,9.600000381469727
2017-12-04,9.600000381469727
2017-12-05,9.600000381469727
2017-12-06,9.600000381469727
2017-12-07,9.600000381469727
2017-12-08,9.600000381469727
2017-12-11,9.600000381469727
2017-12-12,9.600000381469727
2017-12-13,9.600000381469727
2017-12-14,9.600000381469727
2017-12-15,9.600000381469727
2017-12-18,9.600000381469727
2017-12-19,9.600000381469727
2017-12-20,9.600000381469727
2017-12-21,9.600000381469727
2017-12-22,9.600000381469727
2017-12-26,9.600000381469727
2017-12-27,9.600000381469727
2017-12-28,9.600000381469727
2017-12-29,9.600000381469727
2018-01-02,9.600000381469727
2018-01-03,9.600000381469727
2018-01-04,9.600000381469727
2018-01-05,9.649999618530273
2018-01-08,9.649999618530273
2018-01-09,9.699999809265137
2018-01-10,9.699999809265137
2018-01-11,9.649999618530273
2018-01-12,9.649999618530273
2018-01-16,9.649999618530273
2018-01-17,9.649999618530273
2018-01-18,9.649999618530273
2018-01-19,9.699999809265137
2018-01-22,9.699999809265137
2018-01-23,9.699999809265137
2018-01-24,9.630000114440918
2018-01-25,9.630000114440918
2018-01-26,9.630000114440918
2018-01-29,9.630000114440918
2018-01-30,9.630000114440918
2018-01-31,9.619999885559082
2018-02-01,9.75
2018-02-02,9.789999961853027
2018-02-05,9.789999961853027
2018-02-06,9.800000190734863
2018-02-07,9.600000381469727
2018-02-08,9.619999885559082
2018-02-09,9.619999885559082
2018-02-12,9.630000114440918
2018-02-13,9.630000114440918
2018-02-14,9.699999809265137
2018-02-15,9.619999885559082
2018-02-16,9.623000144958496
2018-02-20,9.619999885559082
2018-02-21,9.619999885559082
2018-02-22,9.619999885559082
2018-02-23,9.619999885559082
2018-02-26,9.619999885559082
2018-02-27,9.619999885559082
2018-02-28,9.619999885559082
2018-03-01,9.654000282287598
2018-03-02,9.630000114440918
2018-03-05,9.630000114440918
2018-03-06,9.630000114440918
2018-03-07,9.630000114440918
2018-03-08,9.619999885559082
2018-03-09,9.619999885559082
2018-03-12,9.619999885559082
2018-03-13,9.619999885559082
2018-03-14,9.619999885559082
2018-03-15,9.619999885559082
2018-03-16,9.619999885559082
2018-03-19,9.600000381469727
2018-03-20,9.619999885559082
2018-03-21,9.619999885559082
2018-03-22,9.640000343322754
2018-03-23,9.619999885559082
2018-03-26,9.619999885559082
2018-03-27,9.619999885559082
2018-03-28,9.619999885559082
2018-03-29,9.619999885559082
2018-04-02,9.619999885559082
2018-04-03,9.619999885559082
2018-04-04,9.619999885559082
2018-04-05,9.619999885559082
