,ACAC
2020-12-21,10.25
2020-12-22,10.210000038146973
2020-12-23,9.961000442504883
2020-12-24,10.050000190734863
2020-12-28,10.279999732971191
2020-12-29,10.699999809265137
2020-12-30,10.390000343322754
2020-12-31,10.300000190734863
2021-01-04,10.25
2021-01-05,10.390000343322754
2021-01-06,10.300000190734863
2021-01-07,10.420000076293945
2021-01-08,10.510000228881836
2021-01-11,10.550000190734863
2021-01-12,10.569999694824219
2021-01-13,10.600000381469727
2021-01-14,10.760000228881836
2021-01-15,10.930000305175781
2021-01-19,11.199999809265137
2021-01-20,11.119999885559082
2021-01-21,11.34000015258789
2021-01-22,11.149999618530273
2021-01-25,11.09000015258789
2021-01-26,10.930000305175781
2021-01-27,10.75
2021-01-28,11.0
2021-01-29,10.970000267028809
2021-02-01,11.40999984741211
2021-02-02,11.779999732971191
2021-02-03,11.25
2021-02-04,10.869999885559082
2021-02-05,10.75
2021-02-08,11.130000114440918
2021-02-09,11.260000228881836
2021-02-10,11.239999771118164
2021-02-11,11.0
2021-02-12,10.920000076293945
2021-02-16,10.579999923706055
2021-02-17,10.819999694824219
2021-02-18,10.779999732971191
2021-02-19,10.710000038146973
2021-02-22,10.6899995803833
2021-02-23,10.40999984741211
2021-02-24,10.300000190734863
2021-02-25,10.40999984741211
2021-02-26,10.149999618530273
2021-03-01,10.149999618530273
2021-03-02,10.220000267028809
2021-03-03,9.970000267028809
2021-03-04,10.010000228881836
2021-03-05,10.180000305175781
2021-03-08,10.119999885559082
2021-03-09,10.069999694824219
2021-03-10,10.0600004196167
2021-03-11,10.520000457763672
2021-03-12,10.449999809265137
2021-03-15,10.25
2021-03-16,10.260000228881836
2021-03-17,10.069999694824219
2021-03-18,10.100000381469727
2021-03-19,10.100000381469727
2021-03-22,10.140000343322754
2021-03-23,9.9399995803833
2021-03-24,10.0
2021-03-25,9.930000305175781
2021-03-26,9.880000114440918
2021-03-29,9.920000076293945
2021-03-30,9.890000343322754
2021-03-31,9.930000305175781
2021-04-01,9.930000305175781
2021-04-05,9.970000267028809
2021-04-06,9.954999923706055
2021-04-07,9.949999809265137
2021-04-08,9.949999809265137
2021-04-09,9.970000267028809
2021-04-12,9.960000038146973
2021-04-13,9.960000038146973
2021-04-14,9.9350004196167
2021-04-15,9.930000305175781
2021-04-16,9.899999618530273
2021-04-19,9.90999984741211
2021-04-20,9.899999618530273
2021-04-21,9.899999618530273
2021-04-22,9.949999809265137
2021-04-23,9.989999771118164
2021-04-26,10.020000457763672
2021-04-27,10.0
2021-04-28,10.0
2021-04-29,10.100000381469727
2021-04-30,10.0
2021-05-03,10.0
2021-05-04,9.960000038146973
2021-05-05,9.960000038146973
2021-05-06,9.960000038146973
2021-05-07,9.949999809265137
2021-05-10,9.970000267028809
2021-05-11,9.949999809265137
2021-05-12,9.930000305175781
2021-05-13,9.989999771118164
2021-05-14,9.960000038146973
