,CHCI
2004-12-14,117.25
2004-12-15,120.95999908447266
2004-12-16,123.55000305175781
2004-12-17,126.13999938964844
2004-12-20,132.92999267578125
2004-12-21,134.75
2004-12-22,145.17999267578125
2004-12-23,145.52999877929688
2004-12-27,141.82000732421875
2004-12-28,146.86000061035156
2004-12-29,146.64999389648438
2004-12-30,144.27000427246094
2004-12-31,153.7899932861328
2005-01-03,156.10000610351562
2005-01-04,150.85000610351562
2005-01-05,142.4499969482422
2005-01-06,138.0399932861328
2005-01-07,134.88999938964844
2005-01-10,142.10000610351562
2005-01-11,140.0
2005-01-12,138.38999938964844
2005-01-13,138.8800048828125
2005-01-14,144.41000366210938
2005-01-18,151.75999450683594
2005-01-19,158.89999389648438
2005-01-20,157.5
2005-01-21,160.92999267578125
2005-01-24,160.3699951171875
2005-01-25,158.5500030517578
2005-01-26,168.0
2005-01-27,170.10000610351562
2005-01-28,168.6999969482422
2005-01-31,167.64999389648438
2005-02-01,166.60000610351562
2005-02-02,169.67999267578125
2005-02-03,175.49000549316406
2005-02-04,183.0500030517578
2005-02-07,173.74000549316406
2005-02-08,173.38999938964844
2005-02-09,175.35000610351562
2005-02-10,178.85000610351562
2005-02-11,160.44000244140625
2005-02-14,168.0
2005-02-15,162.9600067138672
2005-02-16,171.42999267578125
2005-02-17,187.32000732421875
2005-02-18,187.4600067138672
2005-02-22,192.5
2005-02-23,194.4600067138672
2005-02-24,182.35000610351562
2005-02-25,193.1999969482422
2005-02-28,207.89999389648438
2005-03-01,203.0
2005-03-02,182.91000366210938
2005-03-03,179.69000244140625
2005-03-04,189.6999969482422
2005-03-07,195.86000061035156
2005-03-08,189.55999755859375
2005-03-09,181.64999389648438
2005-03-10,174.3000030517578
2005-03-11,172.75999450683594
2005-03-14,153.3699951171875
2005-03-15,165.89999389648438
2005-03-16,162.1199951171875
2005-03-17,156.8000030517578
2005-03-18,161.55999755859375
2005-03-21,154.77000427246094
2005-03-22,153.16000366210938
2005-03-23,147.2100067138672
2005-03-24,155.25999450683594
2005-03-28,156.58999633789062
2005-03-29,149.1699981689453
2005-03-30,149.02999877929688
2005-03-31,149.02999877929688
2005-04-01,142.3800048828125
2005-04-04,141.67999267578125
2005-04-05,141.1199951171875
2005-04-06,137.5500030517578
2005-04-07,140.0
2005-04-08,136.77999877929688
2005-04-11,135.30999755859375
2005-04-12,159.60000610351562
2005-04-13,165.69000244140625
2005-04-14,156.72999572753906
2005-04-15,151.89999389648438
2005-04-18,149.10000610351562
2005-04-19,157.5
2005-04-20,147.55999755859375
2005-04-21,154.0
2005-04-22,155.0500030517578
2005-04-25,156.94000244140625
2005-04-26,162.19000244140625
2005-04-27,165.1999969482422
2005-04-28,165.41000366210938
2005-04-29,165.8300018310547
2005-05-02,169.25999450683594
2005-05-03,170.10000610351562
2005-05-04,177.8000030517578
2005-05-05,185.85000610351562
2005-05-06,184.10000610351562
2005-05-09,183.0500030517578
2005-05-10,182.0
2005-05-11,182.35000610351562
2005-05-12,180.32000732421875
2005-05-13,169.39999389648438
2005-05-16,171.85000610351562
2005-05-17,173.25
2005-05-18,173.9499969482422
2005-05-19,172.27000427246094
2005-05-20,172.5500030517578
2005-05-23,171.7100067138672
2005-05-24,162.75
2005-05-25,158.05999755859375
2005-05-26,162.3300018310547
2005-05-27,164.14999389648438
2005-05-31,163.8000030517578
2005-06-01,169.0500030517578
2005-06-02,171.5
2005-06-03,172.89999389648438
2005-06-06,175.27999877929688
2005-06-07,176.75
2005-06-08,175.4199981689453
2005-06-09,173.52999877929688
2005-06-10,170.1699981689453
2005-06-13,168.27999877929688
2005-06-14,165.27000427246094
2005-06-15,167.3699951171875
2005-06-16,167.92999267578125
2005-06-17,176.39999389648438
2005-06-20,175.35000610351562
2005-06-21,175.49000549316406
2005-06-22,176.0500030517578
2005-06-23,170.1699981689453
2005-06-24,164.7100067138672
2005-06-27,164.57000732421875
2005-06-28,168.97999572753906
2005-06-29,167.08999633789062
2005-06-30,169.5399932861328
2005-07-01,169.39999389648438
2005-07-05,170.02999877929688
2005-07-06,169.39999389648438
2005-07-07,178.5
2005-07-08,191.30999755859375
2005-07-11,194.25
2005-07-12,194.38999938964844
2005-07-13,193.6199951171875
2005-07-14,193.97000122070312
2005-07-15,194.60000610351562
2005-07-18,189.0
2005-07-19,183.25999450683594
2005-07-20,189.0
2005-07-21,184.66000366210938
2005-07-22,185.5
2005-07-25,182.97999572753906
2005-07-26,183.39999389648438
2005-07-27,182.6999969482422
2005-07-28,196.91000366210938
2005-07-29,197.25999450683594
2005-08-01,205.72999572753906
2005-08-02,186.33999633789062
2005-08-03,186.27000427246094
2005-08-04,185.2899932861328
2005-08-05,170.4499969482422
2005-08-08,160.72000122070312
2005-08-09,165.6199951171875
2005-08-10,166.74000549316406
2005-08-11,166.74000549316406
2005-08-12,163.94000244140625
2005-08-15,163.02999877929688
2005-08-16,161.6300048828125
2005-08-17,156.10000610351562
2005-08-18,157.0800018310547
2005-08-19,154.0
2005-08-22,156.52000427246094
2005-08-23,154.6999969482422
2005-08-24,156.8699951171875
2005-08-25,146.3000030517578
2005-08-26,146.92999267578125
2005-08-29,145.8800048828125
2005-08-30,144.5500030517578
2005-08-31,149.10000610351562
2005-09-01,151.89999389648438
2005-09-02,148.88999938964844
2005-09-06,151.1999969482422
2005-09-07,150.5
2005-09-08,144.27000427246094
2005-09-09,143.5
2005-09-12,145.32000732421875
2005-09-13,142.94000244140625
2005-09-14,140.91000366210938
2005-09-15,142.10000610351562
2005-09-16,140.2100067138672
2005-09-19,136.85000610351562
2005-09-20,129.63999938964844
2005-09-21,129.0800018310547
2005-09-22,135.52000427246094
2005-09-23,134.88999938964844
2005-09-26,132.22999572753906
2005-09-27,130.89999389648438
2005-09-28,128.52000427246094
2005-09-29,135.1699981689453
2005-09-30,139.44000244140625
2005-10-03,135.66000366210938
2005-10-04,133.6300048828125
2005-10-05,125.6500015258789
2005-10-06,121.66000366210938
2005-10-07,120.75
2005-10-10,109.33999633789062
2005-10-11,117.5999984741211
2005-10-12,114.0999984741211
2005-10-13,111.2300033569336
2005-10-14,112.91000366210938
2005-10-17,120.88999938964844
2005-10-18,118.08999633789062
2005-10-19,121.80000305175781
2005-10-20,122.91999816894531
2005-10-21,122.91999816894531
2005-10-24,124.52999877929688
2005-10-25,119.55999755859375
2005-10-26,117.31999969482422
2005-10-27,109.69000244140625
2005-10-28,113.88999938964844
2005-10-31,116.19999694824219
2005-11-01,115.01000213623047
2005-11-02,117.45999908447266
2005-11-03,124.38999938964844
2005-11-04,122.91999816894531
2005-11-07,124.87999725341797
2005-11-08,117.94999694824219
2005-11-09,115.77999877929688
2005-11-10,114.23999786376953
2005-11-11,112.9800033569336
2005-11-14,112.55999755859375
2005-11-15,108.70999908447266
2005-11-16,109.19999694824219
2005-11-17,113.19000244140625
2005-11-18,111.58000183105469
2005-11-21,113.05000305175781
2005-11-22,114.94000244140625
2005-11-23,114.87000274658203
2005-11-25,113.75
2005-11-28,110.80999755859375
2005-11-29,108.5
2005-11-30,107.58999633789062
2005-12-01,110.45999908447266
2005-12-02,109.33999633789062
2005-12-05,98.27999877929688
2005-12-06,95.76000213623047
2005-12-07,95.12999725341797
2005-12-08,100.5199966430664
2005-12-09,99.19000244140625
2005-12-12,99.88999938964844
2005-12-13,99.88999938964844
2005-12-14,104.86000061035156
2005-12-15,101.36000061035156
2005-12-16,104.93000030517578
2005-12-19,102.41000366210938
2005-12-20,103.18000030517578
2005-12-21,101.08000183105469
2005-12-22,101.5
2005-12-23,100.66000366210938
2005-12-27,100.16999816894531
2005-12-28,99.26000213623047
2005-12-29,99.4000015258789
2005-12-30,98.7699966430664
2006-01-03,101.98999786376953
2006-01-04,98.3499984741211
2006-01-05,100.30999755859375
2006-01-06,99.26000213623047
2006-01-09,100.94000244140625
2006-01-10,101.01000213623047
2006-01-11,100.44999694824219
2006-01-12,98.20999908447266
2006-01-13,96.5999984741211
2006-01-17,97.79000091552734
2006-01-18,98.0
2006-01-19,96.5999984741211
2006-01-20,94.63999938964844
2006-01-23,92.12000274658203
2006-01-24,90.72000122070312
2006-01-25,88.76000213623047
2006-01-26,91.83999633789062
2006-01-27,91.62999725341797
2006-01-30,90.08999633789062
2006-01-31,76.93000030517578
2006-02-01,76.37000274658203
2006-02-02,75.38999938964844
2006-02-03,74.41000366210938
2006-02-06,74.33999633789062
2006-02-07,72.44999694824219
2006-02-08,71.4000015258789
2006-02-09,69.6500015258789
2006-02-10,67.83000183105469
2006-02-13,68.18000030517578
2006-02-14,70.27999877929688
2006-02-15,72.80000305175781
2006-02-16,71.4000015258789
2006-02-17,70.0
2006-02-21,66.91999816894531
2006-02-22,67.62000274658203
2006-02-23,68.04000091552734
2006-02-24,68.87999725341797
2006-02-27,67.9000015258789
2006-02-28,65.44999694824219
2006-03-01,66.5
2006-03-02,65.44999694824219
2006-03-03,65.02999877929688
2006-03-06,65.5199966430664
2006-03-07,63.279998779296875
2006-03-08,62.15999984741211
2006-03-09,62.369998931884766
2006-03-10,63.630001068115234
2006-03-13,65.16999816894531
2006-03-14,67.33999633789062
2006-03-15,66.5
2006-03-16,69.0199966430664
2006-03-17,72.80000305175781
2006-03-20,72.80000305175781
2006-03-21,71.26000213623047
2006-03-22,72.02999877929688
2006-03-23,76.2300033569336
2006-03-24,76.37000274658203
2006-03-27,78.47000122070312
2006-03-28,78.12000274658203
2006-03-29,79.58999633789062
2006-03-30,78.75
2006-03-31,77.06999969482422
2006-04-03,75.52999877929688
2006-04-04,74.9000015258789
2006-04-05,79.44999694824219
2006-04-06,78.19000244140625
2006-04-07,77.27999877929688
2006-04-10,78.81999969482422
2006-04-11,77.06999969482422
2006-04-12,75.5999984741211
2006-04-13,75.38999938964844
2006-04-17,71.95999908447266
2006-04-18,73.36000061035156
2006-04-19,72.37999725341797
2006-04-20,71.47000122070312
2006-04-21,72.44999694824219
2006-04-24,71.05000305175781
2006-04-25,70.0
2006-04-26,69.37000274658203
2006-04-27,66.5
2006-04-28,65.23999786376953
2006-05-01,65.94000244140625
2006-05-02,65.7300033569336
2006-05-03,64.54000091552734
2006-05-04,66.01000213623047
2006-05-05,68.5999984741211
2006-05-08,65.30999755859375
2006-05-09,63.70000076293945
2006-05-10,64.33000183105469
2006-05-11,61.11000061035156
2006-05-12,57.61000061035156
2006-05-15,56.279998779296875
2006-05-16,56.560001373291016
2006-05-17,55.58000183105469
2006-05-18,55.790000915527344
2006-05-19,53.900001525878906
2006-05-22,53.130001068115234
2006-05-23,50.470001220703125
2006-05-24,51.029998779296875
2006-05-25,50.400001525878906
2006-05-26,49.90999984741211
2006-05-30,49.4900016784668
2006-05-31,49.13999938964844
2006-06-01,49.97999954223633
2006-06-02,50.189998626708984
2006-06-05,48.5099983215332
2006-06-06,45.220001220703125
2006-06-07,44.380001068115234
2006-06-08,42.77000045776367
2006-06-09,43.119998931884766
2006-06-12,41.29999923706055
2006-06-13,40.18000030517578
2006-06-14,39.900001525878906
2006-06-15,41.650001525878906
2006-06-16,40.25
2006-06-19,39.7599983215332
2006-06-20,39.900001525878906
2006-06-21,40.880001068115234
2006-06-22,40.599998474121094
2006-06-23,41.650001525878906
2006-06-26,42.279998779296875
2006-06-27,40.38999938964844
2006-06-28,38.709999084472656
2006-06-29,42.0
2006-06-30,44.310001373291016
2006-07-03,44.029998779296875
2006-07-05,41.58000183105469
2006-07-06,42.13999938964844
2006-07-07,49.349998474121094
2006-07-10,47.599998474121094
2006-07-11,48.15999984741211
