,ECOW
2019-05-06,24.959999084472656
2019-05-07,24.690000534057617
2019-05-08,24.690000534057617
2019-05-09,24.360000610351562
2019-05-10,24.360000610351562
2019-05-13,24.360000610351562
2019-05-14,24.360000610351562
2019-05-15,24.360000610351562
2019-05-16,24.360000610351562
2019-05-17,23.67099952697754
2019-05-20,23.67099952697754
2019-05-21,23.67099952697754
2019-05-22,23.67099952697754
2019-05-23,23.67099952697754
2019-05-24,23.67099952697754
2019-05-28,23.67099952697754
2019-05-29,23.67099952697754
2019-05-30,23.67099952697754
2019-05-31,23.67099952697754
2019-06-03,23.67099952697754
2019-06-04,24.350000381469727
2019-06-05,24.350000381469727
2019-06-06,24.350000381469727
2019-06-07,24.350000381469727
2019-06-10,24.350000381469727
2019-06-11,24.350000381469727
2019-06-12,24.350000381469727
2019-06-13,24.350000381469727
2019-06-14,24.350000381469727
2019-06-17,24.350000381469727
2019-06-18,24.350000381469727
2019-06-19,24.350000381469727
2019-06-20,24.350000381469727
2019-06-21,24.350000381469727
2019-06-24,24.350000381469727
2019-06-25,24.350000381469727
2019-06-26,25.040000915527344
2019-06-27,25.040000915527344
2019-06-28,25.040000915527344
2019-07-01,25.040000915527344
2019-07-02,25.040000915527344
2019-07-03,25.040000915527344
2019-07-05,25.040000915527344
2019-07-08,25.15999984741211
2019-07-09,25.15999984741211
2019-07-10,25.15999984741211
2019-07-11,25.15999984741211
2019-07-12,25.15999984741211
2019-07-15,25.15999984741211
2019-07-16,25.15999984741211
2019-07-17,25.15999984741211
2019-07-18,25.15999984741211
2019-07-19,25.15999984741211
2019-07-22,25.219999313354492
2019-07-23,25.24799919128418
2019-07-24,25.24799919128418
2019-07-25,25.139999389648438
2019-07-26,25.051000595092773
2019-07-29,25.038999557495117
2019-07-30,24.899999618530273
2019-07-31,24.739999771118164
2019-08-01,24.270000457763672
2019-08-02,23.97100067138672
2019-08-05,23.260000228881836
2019-08-06,23.59000015258789
2019-08-07,23.559999465942383
2019-08-08,23.687999725341797
2019-08-09,23.469999313354492
2019-08-12,23.281999588012695
2019-08-13,23.520000457763672
2019-08-14,22.889999389648438
2019-08-15,22.860000610351562
2019-08-16,23.049999237060547
2019-08-19,23.054000854492188
2019-08-20,23.190000534057617
2019-08-21,23.190000534057617
2019-08-22,23.09000015258789
2019-08-23,22.84000015258789
2019-08-26,22.790000915527344
2019-08-27,22.739999771118164
2019-08-28,22.739999771118164
2019-08-29,22.739999771118164
2019-08-30,23.190000534057617
2019-09-03,23.239999771118164
2019-09-04,23.239999771118164
2019-09-05,24.059999465942383
2019-09-06,24.1299991607666
2019-09-09,24.18000030517578
2019-09-10,24.20199966430664
2019-09-11,24.422000885009766
2019-09-12,24.422000885009766
2019-09-13,24.422000885009766
2019-09-16,24.422000885009766
2019-09-17,24.700000762939453
2019-09-18,24.493999481201172
2019-09-19,24.489999771118164
2019-09-20,24.489999771118164
2019-09-23,24.489999771118164
2019-09-24,23.8799991607666
2019-09-25,23.8799991607666
2019-09-26,24.030000686645508
2019-09-27,23.780000686645508
2019-09-30,23.899999618530273
2019-10-01,23.75
2019-10-02,23.559999465942383
2019-10-03,23.559999465942383
2019-10-04,23.81999969482422
2019-10-07,23.780000686645508
2019-10-08,23.6299991607666
2019-10-09,23.6200008392334
2019-10-10,23.850000381469727
2019-10-11,24.260000228881836
2019-10-14,24.040000915527344
2019-10-15,24.040000915527344
2019-10-16,24.040000915527344
2019-10-17,24.209999084472656
2019-10-18,24.209999084472656
2019-10-21,24.209999084472656
2019-10-22,24.209999084472656
2019-10-23,24.209999084472656
2019-10-24,24.209999084472656
2019-10-25,24.209999084472656
2019-10-28,24.940000534057617
2019-10-29,24.940000534057617
2019-10-30,24.940000534057617
2019-10-31,24.940000534057617
2019-11-01,24.940000534057617
2019-11-04,25.323999404907227
2019-11-05,25.323999404907227
2019-11-06,25.420000076293945
2019-11-07,25.420000076293945
2019-11-08,25.420000076293945
2019-11-11,25.420000076293945
2019-11-12,25.420000076293945
2019-11-13,25.420000076293945
2019-11-14,24.969999313354492
2019-11-15,24.969999313354492
2019-11-18,24.969999313354492
2019-11-19,25.030000686645508
2019-11-20,25.025999069213867
2019-11-21,25.07900047302246
2019-11-22,25.07900047302246
2019-11-25,25.26799964904785
2019-11-26,25.07200050354004
2019-11-27,25.040000915527344
2019-11-29,24.809999465942383
2019-12-02,24.799999237060547
2019-12-03,24.799999237060547
2019-12-04,24.989999771118164
2019-12-05,25.100000381469727
2019-12-06,25.100000381469727
2019-12-09,25.249000549316406
2019-12-10,25.270000457763672
2019-12-11,25.270000457763672
2019-12-12,25.270000457763672
2019-12-13,26.0
2019-12-16,26.0
2019-12-17,26.0
2019-12-18,26.389999389648438
2019-12-19,26.466999053955078
2019-12-20,26.459999084472656
2019-12-23,26.459999084472656
2019-12-24,25.15999984741211
2019-12-26,25.326000213623047
2019-12-27,25.326000213623047
2019-12-30,25.399999618530273
2019-12-31,25.399999618530273
2020-01-02,26.0
2020-01-03,26.0
2020-01-06,25.549999237060547
2020-01-07,25.441999435424805
2020-01-08,25.441999435424805
2020-01-09,25.441999435424805
2020-01-10,25.780000686645508
2020-01-13,25.780000686645508
2020-01-14,25.780000686645508
2020-01-15,25.780000686645508
2020-01-16,25.856000900268555
2020-01-17,25.856000900268555
2020-01-21,25.829999923706055
2020-01-22,25.59000015258789
2020-01-23,25.290000915527344
2020-01-24,25.04400062561035
2020-01-27,24.197999954223633
2020-01-28,24.424999237060547
2020-01-29,24.430999755859375
2020-01-30,24.0
2020-01-31,23.517000198364258
2020-02-03,23.660999298095703
2020-02-04,24.142000198364258
2020-02-05,24.31999969482422
2020-02-06,24.18000030517578
2020-02-07,24.18000030517578
2020-02-10,23.799999237060547
2020-02-11,23.799999237060547
2020-02-12,24.559999465942383
2020-02-13,24.450000762939453
2020-02-14,24.31800079345703
2020-02-18,24.31800079345703
2020-02-19,24.31800079345703
2020-02-20,24.260000228881836
2020-02-21,24.260000228881836
2020-02-24,23.040000915527344
2020-02-25,22.756000518798828
2020-02-26,22.680999755859375
2020-02-27,22.680999755859375
2020-02-28,21.70400047302246
2020-03-02,22.22800064086914
2020-03-03,22.22800064086914
2020-03-04,22.468000411987305
2020-03-05,22.200000762939453
2020-03-06,21.459999084472656
2020-03-09,19.197999954223633
2020-03-10,20.268999099731445
2020-03-11,20.268999099731445
2020-03-12,17.250999450683594
2020-03-13,17.250999450683594
2020-03-16,16.268999099731445
2020-03-17,17.149999618530273
2020-03-18,15.529999732971191
2020-03-19,16.09000015258789
2020-03-20,16.09000015258789
2020-03-23,16.062999725341797
2020-03-24,16.736000061035156
2020-03-25,17.35700035095215
2020-03-26,17.996000289916992
2020-03-27,17.996000289916992
2020-03-30,17.996000289916992
2020-03-31,17.996000289916992
2020-04-01,16.784000396728516
2020-04-02,16.784000396728516
2020-04-03,16.784000396728516
2020-04-06,18.200000762939453
2020-04-07,18.283000946044922
2020-04-08,18.283000946044922
2020-04-09,18.474000930786133
2020-04-13,18.474000930786133
2020-04-14,18.81999969482422
2020-04-15,18.81999969482422
2020-04-16,18.81999969482422
2020-04-17,18.81999969482422
2020-04-20,18.81999969482422
2020-04-21,18.81999969482422
2020-04-22,18.81999969482422
2020-04-23,18.19499969482422
2020-04-24,17.959999084472656
2020-04-27,17.959999084472656
2020-04-28,18.554000854492188
2020-04-29,19.183000564575195
2020-04-30,19.183000564575195
2020-05-01,19.183000564575195
2020-05-04,18.47100067138672
2020-05-05,18.47100067138672
2020-05-06,18.47100067138672
2020-05-07,18.56999969482422
2020-05-08,18.56999969482422
2020-05-11,18.56999969482422
2020-05-12,18.73200035095215
2020-05-13,18.73200035095215
2020-05-14,18.73200035095215
2020-05-15,18.479999542236328
2020-05-18,19.305999755859375
2020-05-19,19.299999237060547
2020-05-20,19.299999237060547
2020-05-21,19.299999237060547
2020-05-22,19.299999237060547
2020-05-26,19.299999237060547
2020-05-27,19.5
2020-05-28,19.5
2020-05-29,19.65999984741211
2020-06-01,20.082000732421875
2020-06-02,20.082000732421875
2020-06-03,20.082000732421875
2020-06-04,20.082000732421875
2020-06-05,21.201000213623047
2020-06-08,21.489999771118164
2020-06-09,21.236000061035156
2020-06-10,21.190000534057617
2020-06-11,20.540000915527344
2020-06-12,20.448999404907227
2020-06-15,20.238000869750977
2020-06-16,20.444000244140625
2020-06-17,20.479999542236328
2020-06-18,20.451000213623047
2020-06-19,20.499000549316406
2020-06-22,20.437000274658203
2020-06-23,20.55900001525879
2020-06-24,20.55900001525879
2020-06-25,20.364999771118164
2020-06-26,20.364999771118164
2020-06-29,20.05699920654297
2020-06-30,19.899999618530273
2020-07-01,19.899999618530273
2020-07-02,19.899999618530273
2020-07-06,19.899999618530273
2020-07-07,19.899999618530273
2020-07-08,19.899999618530273
2020-07-09,19.899999618530273
2020-07-10,19.899999618530273
2020-07-13,20.7189998626709
2020-07-14,20.8799991607666
2020-07-15,20.871999740600586
2020-07-16,20.871999740600586
2020-07-17,20.790000915527344
2020-07-20,20.790000915527344
2020-07-21,20.790000915527344
2020-07-22,21.290000915527344
2020-07-23,21.152999877929688
2020-07-24,21.152999877929688
2020-07-27,21.152999877929688
2020-07-28,21.148000717163086
2020-07-29,21.31100082397461
2020-07-30,21.31100082397461
2020-07-31,20.829999923706055
2020-08-03,20.829999923706055
2020-08-04,21.025999069213867
2020-08-05,21.25
2020-08-06,21.25
2020-08-07,21.25
2020-08-10,21.04400062561035
2020-08-11,21.04400062561035
2020-08-12,21.329999923706055
2020-08-13,21.416000366210938
2020-08-14,21.416000366210938
2020-08-17,21.514999389648438
2020-08-18,21.514999389648438
2020-08-19,21.514999389648438
2020-08-20,21.514999389648438
2020-08-21,21.514999389648438
2020-08-24,21.514999389648438
2020-08-25,21.55699920654297
2020-08-26,21.555999755859375
2020-08-27,21.555999755859375
2020-08-28,21.555999755859375
2020-08-31,21.555999755859375
2020-09-01,21.650999069213867
2020-09-02,21.650999069213867
2020-09-03,21.40999984741211
2020-09-04,21.40999984741211
2020-09-08,21.184999465942383
2020-09-09,21.184999465942383
2020-09-10,21.450000762939453
2020-09-11,21.450000762939453
2020-09-14,21.670000076293945
2020-09-15,21.82200050354004
2020-09-16,21.850000381469727
2020-09-17,21.850000381469727
2020-09-18,21.55500030517578
2020-09-21,20.558000564575195
2020-09-22,20.3700008392334
2020-09-23,20.06999969482422
2020-09-24,19.899999618530273
2020-09-25,19.899999618530273
2020-09-28,19.940000534057617
2020-09-29,19.89900016784668
2020-09-30,19.89900016784668
2020-10-01,19.89900016784668
2020-10-02,20.010000228881836
2020-10-05,20.190000534057617
2020-10-06,20.18400001525879
2020-10-07,20.29199981689453
2020-10-08,20.489999771118164
2020-10-09,20.56100082397461
2020-10-12,20.56100082397461
2020-10-13,20.555999755859375
2020-10-14,20.555999755859375
2020-10-15,20.475000381469727
2020-10-16,20.489999771118164
2020-10-19,20.450000762939453
2020-10-20,20.68000030517578
2020-10-21,20.81100082397461
2020-10-22,20.81100082397461
2020-10-23,20.81100082397461
2020-10-26,20.649999618530273
2020-10-27,20.448999404907227
2020-10-28,19.738000869750977
2020-10-29,19.80900001525879
2020-10-30,19.6200008392334
2020-11-02,19.816999435424805
2020-11-03,20.183000564575195
2020-11-04,20.709999084472656
2020-11-05,20.709999084472656
2020-11-06,21.04800033569336
2020-11-09,21.04800033569336
2020-11-10,21.04800033569336
2020-11-11,21.04800033569336
2020-11-12,21.577999114990234
2020-11-13,21.577999114990234
2020-11-16,21.577999114990234
2020-11-17,21.577999114990234
2020-11-18,22.309999465942383
2020-11-19,22.309999465942383
2020-11-20,22.309999465942383
2020-11-23,22.5939998626709
2020-11-24,22.799999237060547
2020-11-25,22.847999572753906
2020-11-27,22.966999053955078
2020-11-30,22.375999450683594
2020-12-01,22.729999542236328
2020-12-02,22.913999557495117
2020-12-03,22.913999557495117
2020-12-04,23.28499984741211
2020-12-07,23.277000427246094
2020-12-08,23.447999954223633
2020-12-09,23.260000228881836
2020-12-10,23.575000762939453
2020-12-11,23.511999130249023
2020-12-14,23.55699920654297
2020-12-15,23.649999618530273
2020-12-16,23.889999389648438
2020-12-17,24.01300048828125
2020-12-18,24.01300048828125
2020-12-21,23.618000030517578
2020-12-22,23.299999237060547
2020-12-23,23.420000076293945
2020-12-24,23.56999969482422
2020-12-28,23.858999252319336
2020-12-29,23.909000396728516
2020-12-30,23.909000396728516
2020-12-31,23.833999633789062
2021-01-04,23.959999084472656
2021-01-05,24.37700080871582
2021-01-06,24.37700080871582
2021-01-07,24.37700080871582
2021-01-08,24.809999465942383
2021-01-11,24.65999984741211
2021-01-12,24.90999984741211
2021-01-13,25.128000259399414
2021-01-14,25.128000259399414
2021-01-15,24.94300079345703
2021-01-19,25.190000534057617
2021-01-20,25.339000701904297
2021-01-21,25.238000869750977
2021-01-22,24.91200065612793
2021-01-25,24.85700035095215
2021-01-26,24.889999389648438
2021-01-27,24.406999588012695
2021-01-28,24.641000747680664
2021-01-29,23.98200035095215
2021-02-01,23.98200035095215
2021-02-02,24.642000198364258
2021-02-03,24.760000228881836
2021-02-04,24.760000228881836
2021-02-05,25.034000396728516
2021-02-08,25.238000869750977
2021-02-09,25.238000869750977
2021-02-10,25.27899932861328
2021-02-11,25.27899932861328
2021-02-12,25.590999603271484
2021-02-16,25.700000762939453
2021-02-17,25.700000762939453
2021-02-18,25.465999603271484
