,AXSM
2015-11-19,8.739999771118164
2015-11-20,9.069999694824219
2015-11-23,9.0600004196167
2015-11-24,9.199999809265137
2015-11-25,8.819999694824219
2015-11-27,9.1899995803833
2015-11-30,8.829999923706055
2015-12-01,8.729999542236328
2015-12-02,8.789999961853027
2015-12-03,8.600000381469727
2015-12-04,8.600000381469727
2015-12-07,8.550000190734863
2015-12-08,8.6899995803833
2015-12-09,8.670000076293945
2015-12-10,8.579999923706055
2015-12-11,8.449999809265137
2015-12-14,8.25
2015-12-15,8.350000381469727
2015-12-16,8.282999992370605
2015-12-17,8.5
2015-12-18,9.109999656677246
2015-12-21,9.050000190734863
2015-12-22,9.149999618530273
2015-12-23,8.970000267028809
2015-12-24,8.670000076293945
2015-12-28,8.720000267028809
2015-12-29,9.210000038146973
2015-12-30,9.199999809265137
2015-12-31,9.270000457763672
2016-01-04,12.1899995803833
2016-01-05,14.979999542236328
2016-01-06,14.470000267028809
2016-01-07,12.449999809265137
2016-01-08,11.859999656677246
2016-01-11,11.970000267028809
2016-01-12,11.890000343322754
2016-01-13,10.220000267028809
2016-01-14,10.619999885559082
2016-01-15,13.0
2016-01-19,12.350000381469727
2016-01-20,12.15999984741211
2016-01-21,12.25
2016-01-22,12.470000267028809
2016-01-25,11.350000381469727
2016-01-26,11.59000015258789
2016-01-27,9.569999694824219
2016-01-28,9.029999732971191
2016-01-29,7.829999923706055
2016-02-01,7.710000038146973
2016-02-02,7.331999778747559
2016-02-03,7.320000171661377
2016-02-04,7.369999885559082
2016-02-05,7.210000038146973
2016-02-08,5.369999885559082
2016-02-09,6.300000190734863
2016-02-10,6.940000057220459
2016-02-11,6.849999904632568
2016-02-12,8.0
2016-02-16,8.25
2016-02-17,8.210000038146973
2016-02-18,8.390000343322754
2016-02-19,8.649999618530273
2016-02-22,8.649999618530273
2016-02-23,8.649999618530273
2016-02-24,8.380000114440918
2016-02-25,7.889999866485596
2016-02-26,8.399999618530273
2016-02-29,7.769999980926514
2016-03-01,8.180000305175781
2016-03-02,8.4399995803833
2016-03-03,8.300000190734863
2016-03-04,7.099999904632568
2016-03-07,7.25
2016-03-08,6.980000019073486
2016-03-09,7.019999980926514
2016-03-10,6.96999979019165
2016-03-11,7.139999866485596
2016-03-14,9.649999618530273
2016-03-15,10.199999809265137
2016-03-16,10.75
2016-03-17,8.970000267028809
2016-03-18,8.539999961853027
2016-03-21,8.699999809265137
2016-03-22,8.859999656677246
2016-03-23,9.0600004196167
2016-03-24,8.5
2016-03-28,8.149999618530273
2016-03-29,7.849999904632568
2016-03-30,8.699999809265137
2016-03-31,8.600000381469727
2016-04-01,8.949999809265137
2016-04-04,9.289999961853027
2016-04-05,9.300000190734863
2016-04-06,9.520000457763672
2016-04-07,9.869999885559082
2016-04-08,10.15999984741211
2016-04-11,9.329999923706055
2016-04-12,9.430000305175781
2016-04-13,9.789999961853027
2016-04-14,9.859999656677246
2016-04-15,9.84000015258789
2016-04-18,10.039999961853027
2016-04-19,10.010000228881836
2016-04-20,9.989999771118164
2016-04-21,10.020000457763672
2016-04-22,9.960000038146973
2016-04-25,9.920000076293945
2016-04-26,10.979999542236328
2016-04-27,12.4399995803833
2016-04-28,12.40999984741211
2016-04-29,11.449999809265137
2016-05-02,11.149999618530273
2016-05-03,10.569999694824219
2016-05-04,11.149999618530273
2016-05-05,11.199999809265137
2016-05-06,11.369999885559082
2016-05-09,11.079999923706055
2016-05-10,11.09000015258789
2016-05-11,11.180000305175781
2016-05-12,11.390000343322754
2016-05-13,10.649999618530273
2016-05-16,10.170000076293945
2016-05-17,10.470000267028809
2016-05-18,9.9399995803833
2016-05-19,10.020000457763672
2016-05-20,10.300000190734863
2016-05-23,10.300000190734863
2016-05-24,9.949999809265137
2016-05-25,8.989999771118164
2016-05-26,8.770000457763672
2016-05-27,8.020000457763672
2016-05-31,7.849999904632568
2016-06-01,7.78000020980835
2016-06-02,7.5
2016-06-03,7.659999847412109
2016-06-06,7.900000095367432
2016-06-07,8.079999923706055
2016-06-08,8.279999732971191
2016-06-09,8.1899995803833
2016-06-10,8.199999809265137
2016-06-13,6.989999771118164
2016-06-14,6.340000152587891
2016-06-15,6.650000095367432
2016-06-16,6.949999809265137
2016-06-17,6.340000152587891
2016-06-20,6.170000076293945
2016-06-21,6.679999828338623
2016-06-22,6.949999809265137
2016-06-23,7.40500020980835
2016-06-24,7.099999904632568
2016-06-27,7.650000095367432
2016-06-28,7.519999980926514
2016-06-29,7.46999979019165
2016-06-30,7.539999961853027
2016-07-01,7.46999979019165
2016-07-05,7.179999828338623
2016-07-06,7.260000228881836
2016-07-07,7.329999923706055
2016-07-08,7.670000076293945
2016-07-11,7.849999904632568
2016-07-12,8.180000305175781
2016-07-13,7.869999885559082
2016-07-14,7.710000038146973
2016-07-15,8.050000190734863
2016-07-18,8.069999694824219
2016-07-19,7.869999885559082
2016-07-20,8.0600004196167
2016-07-21,7.940000057220459
2016-07-22,7.760000228881836
2016-07-25,7.820000171661377
2016-07-26,7.789999961853027
2016-07-27,7.980000019073486
2016-07-28,7.960000038146973
2016-07-29,7.820000171661377
2016-08-01,7.789999961853027
2016-08-02,7.630000114440918
2016-08-03,7.730000019073486
2016-08-04,7.360000133514404
2016-08-05,7.690000057220459
2016-08-08,7.699999809265137
2016-08-09,7.610000133514404
2016-08-10,7.590000152587891
2016-08-11,7.239999771118164
2016-08-12,7.440000057220459
2016-08-15,7.010000228881836
2016-08-16,7.320000171661377
2016-08-17,7.289999961853027
2016-08-18,7.420000076293945
2016-08-19,7.539999961853027
2016-08-22,7.579999923706055
2016-08-23,7.510000228881836
2016-08-24,7.369999885559082
2016-08-25,7.440000057220459
2016-08-26,7.309999942779541
2016-08-29,7.349999904632568
2016-08-30,7.150000095367432
2016-08-31,7.239999771118164
2016-09-01,7.25
2016-09-02,7.269999980926514
2016-09-06,7.239999771118164
2016-09-07,7.489999771118164
2016-09-08,7.579999923706055
2016-09-09,7.269999980926514
2016-09-12,7.420000076293945
2016-09-13,7.130000114440918
2016-09-14,7.21999979019165
2016-09-15,7.340000152587891
2016-09-16,7.349999904632568
2016-09-19,7.489999771118164
2016-09-20,7.690000057220459
2016-09-21,7.730000019073486
2016-09-22,7.789999961853027
2016-09-23,7.610000133514404
2016-09-26,7.570000171661377
2016-09-27,7.670000076293945
2016-09-28,7.900000095367432
2016-09-29,7.690000057220459
2016-09-30,7.880000114440918
2016-10-03,8.270000457763672
2016-10-04,8.170000076293945
2016-10-05,8.329999923706055
2016-10-06,8.710000038146973
2016-10-07,8.220000267028809
2016-10-10,8.5
2016-10-11,8.170000076293945
2016-10-12,7.96999979019165
2016-10-13,7.46999979019165
2016-10-14,7.289999961853027
2016-10-17,7.21999979019165
2016-10-18,7.340000152587891
2016-10-19,7.110000133514404
2016-10-20,7.309999942779541
2016-10-21,7.400000095367432
2016-10-24,7.389999866485596
2016-10-25,7.079999923706055
2016-10-26,6.900000095367432
2016-10-27,7.059999942779541
2016-10-28,6.869999885559082
2016-10-31,6.699999809265137
2016-11-01,7.150000095367432
2016-11-02,6.400000095367432
2016-11-03,6.25
2016-11-04,6.349999904632568
2016-11-07,6.550000190734863
2016-11-08,6.599999904632568
2016-11-09,6.300000190734863
2016-11-10,6.599999904632568
2016-11-11,7.300000190734863
2016-11-14,7.5
2016-11-15,7.349999904632568
2016-11-16,7.349999904632568
2016-11-17,7.650000095367432
2016-11-18,7.599999904632568
2016-11-21,7.550000190734863
2016-11-22,7.349999904632568
2016-11-23,7.050000190734863
2016-11-25,7.300000190734863
2016-11-28,6.849999904632568
2016-11-29,6.900000095367432
2016-11-30,6.550000190734863
2016-12-01,6.25
2016-12-02,6.150000095367432
2016-12-05,6.25
2016-12-06,6.400000095367432
2016-12-07,6.400000095367432
2016-12-08,6.800000190734863
2016-12-09,6.699999809265137
2016-12-12,6.300000190734863
2016-12-13,6.25
2016-12-14,6.0
2016-12-15,6.099999904632568
2016-12-16,6.099999904632568
2016-12-19,6.400000095367432
2016-12-20,6.650000095367432
2016-12-21,6.800000190734863
2016-12-22,6.650000095367432
2016-12-23,6.849999904632568
2016-12-27,7.0
2016-12-28,6.849999904632568
2016-12-29,6.849999904632568
