,ARBG
2021-01-11,10.270000457763672
2021-01-12,10.449999809265137
2021-01-13,10.5
2021-01-14,10.449999809265137
2021-01-15,10.449999809265137
2021-01-19,10.369999885559082
2021-01-20,10.3100004196167
2021-01-21,10.305000305175781
2021-01-22,10.3100004196167
2021-01-25,10.25
2021-01-26,10.220000267028809
2021-01-27,10.100000381469727
2021-01-28,10.180000305175781
2021-01-29,10.130000114440918
2021-02-01,10.199999809265137
2021-02-02,10.229999542236328
2021-02-03,10.229999542236328
2021-02-04,10.380000114440918
2021-02-05,10.489999771118164
2021-02-08,10.430000305175781
2021-02-09,10.319999694824219
2021-02-10,10.390000343322754
2021-02-11,10.359999656677246
2021-02-12,10.449999809265137
2021-02-16,10.350000381469727
2021-02-17,10.350000381469727
2021-02-18,10.369999885559082
2021-02-19,10.470000267028809
2021-02-22,10.460000038146973
2021-02-23,10.350000381469727
2021-02-24,10.3100004196167
2021-02-25,10.300000190734863
2021-02-26,10.229999542236328
2021-03-01,10.220000267028809
2021-03-02,10.109999656677246
2021-03-03,10.170000076293945
2021-03-04,9.960000038146973
2021-03-05,10.050000190734863
2021-03-08,9.84000015258789
2021-03-09,9.770000457763672
2021-03-10,9.880000114440918
2021-03-11,9.869999885559082
2021-03-12,9.880000114440918
2021-03-15,9.899999618530273
2021-03-16,9.869999885559082
2021-03-17,9.930000305175781
2021-03-18,9.899999618530273
2021-03-19,9.850000381469727
2021-03-22,9.850000381469727
2021-03-23,9.699999809265137
2021-03-24,9.6899995803833
2021-03-25,9.789999961853027
2021-03-26,9.850000381469727
2021-03-29,9.6899995803833
2021-03-30,9.670000076293945
2021-03-31,9.649999618530273
2021-04-01,9.75
2021-04-05,9.75
2021-04-06,9.859999656677246
2021-04-07,9.850000381469727
2021-04-08,9.890000343322754
2021-04-09,9.90999984741211
2021-04-12,9.930000305175781
2021-04-13,9.88700008392334
2021-04-14,9.920000076293945
2021-04-15,9.890000343322754
2021-04-16,9.824000358581543
2021-04-19,9.829999923706055
2021-04-20,9.739999771118164
2021-04-21,9.739999771118164
2021-04-22,9.75
2021-04-23,9.75
2021-04-26,9.75
2021-04-27,9.789999961853027
2021-04-28,9.75
2021-04-29,9.800000190734863
2021-04-30,9.84000015258789
2021-05-03,9.8100004196167
2021-05-04,9.789999961853027
2021-05-05,9.770000457763672
2021-05-06,9.770000457763672
2021-05-07,9.710000038146973
2021-05-10,9.739999771118164
2021-05-11,9.779999732971191
2021-05-12,9.75
2021-05-13,9.75
2021-05-14,9.710000038146973
