,BUSE
1998-10-06,38.0
1998-10-07,38.0
1998-10-08,38.0
1998-10-09,37.0
1998-10-12,38.0
1998-10-13,38.5
1998-10-14,37.0
1998-10-15,37.0
1998-10-16,38.0
1998-10-19,38.0
1998-10-20,38.0
1998-10-21,38.0
1998-10-22,36.75
1998-10-23,38.0
1998-10-26,37.5
1998-10-27,37.5
1998-10-28,37.5
1998-10-29,37.5
1998-10-30,36.0
1998-11-02,37.5
1998-11-03,36.0
1998-11-04,37.5
1998-11-05,37.5
1998-11-06,37.25
1998-11-09,37.25
1998-11-10,37.25
1998-11-11,37.25
1998-11-12,36.5
1998-11-13,36.5
1998-11-16,37.25
1998-11-17,36.25
1998-11-18,36.25
1998-11-19,37.0
1998-11-20,37.0
1998-11-23,37.0
1998-11-24,36.25
1998-11-25,37.0
1998-11-27,37.0
1998-11-30,37.5
1998-12-01,37.5
1998-12-02,37.5
1998-12-03,37.5
1998-12-04,36.0
1998-12-07,36.0
1998-12-08,37.0
1998-12-09,37.0
1998-12-10,37.0
1998-12-11,36.5
1998-12-14,36.5
1998-12-15,36.375
1998-12-16,36.0
1998-12-17,36.5
1998-12-18,36.5
1998-12-21,36.0
1998-12-22,36.25
1998-12-23,36.0
1998-12-24,36.5
1998-12-28,36.0
1998-12-29,36.75
1998-12-30,36.25
1998-12-31,36.5
1999-01-04,36.75
1999-01-05,37.0
1999-01-06,37.5
1999-01-07,37.5
1999-01-08,37.5
1999-01-11,38.0
1999-01-12,37.0
1999-01-13,37.0
1999-01-14,36.0
1999-01-15,36.75
1999-01-19,36.5
1999-01-20,36.0
1999-01-21,37.5
1999-01-22,37.75
1999-01-25,36.5
1999-01-26,36.5
1999-01-27,37.25
1999-01-28,37.25
1999-01-29,37.5
1999-02-01,37.25
1999-02-02,37.5
1999-02-03,37.5
1999-02-04,37.0
1999-02-05,37.25
1999-02-08,37.625
1999-02-09,37.625
1999-02-10,36.75
1999-02-11,37.25
1999-02-12,36.75
1999-02-16,36.75
1999-02-17,36.25
1999-02-18,36.0
1999-02-19,36.25
1999-02-22,36.0
1999-02-23,37.125
1999-02-24,37.0
1999-02-25,37.0
1999-02-26,37.5
1999-03-01,37.0
1999-03-02,37.125
1999-03-03,37.5
1999-03-04,37.5
1999-03-05,37.0
1999-03-08,37.0
1999-03-09,36.25
1999-03-10,37.5
1999-03-11,37.5
1999-03-12,37.5
1999-03-15,37.5
1999-03-16,37.875
1999-03-17,37.875
1999-03-18,37.5
1999-03-19,37.875
1999-03-22,37.875
1999-03-23,37.5
1999-03-24,37.5
1999-03-25,37.875
1999-03-26,37.875
1999-03-29,37.875
1999-03-30,37.75
1999-03-31,38.0
1999-04-01,38.0
1999-04-05,38.0
1999-04-06,37.5
1999-04-07,37.875
1999-04-08,37.25
1999-04-09,37.75
1999-04-12,37.25
1999-04-13,37.25
1999-04-14,37.625
