,CSBR
2007-02-02,7.199999809265137
2007-02-05,7.199999809265137
2007-02-06,5.639999866485596
2007-02-07,3.5999999046325684
2007-02-08,3.0
2007-02-09,3.240000009536743
2007-02-12,4.800000190734863
2007-02-13,5.400000095367432
2007-02-14,7.199999809265137
2007-02-15,6.960000038146973
2007-02-16,6.480000019073486
2007-02-20,6.480000019073486
2007-02-21,6.480000019073486
2007-02-22,6.480000019073486
2007-02-23,6.239999771118164
2007-02-26,4.800000190734863
2007-02-27,4.800000190734863
2007-02-28,4.199999809265137
2007-03-01,3.5999999046325684
2007-03-02,4.800000190734863
2007-03-05,3.7200000286102295
2007-03-06,3.7200000286102295
2007-03-07,3.7200000286102295
2007-03-08,3.8399999141693115
2007-03-09,3.7200000286102295
2007-03-12,3.8399999141693115
2007-03-13,4.440000057220459
2007-03-14,4.079999923706055
2007-03-15,4.079999923706055
2007-03-16,4.440000057220459
2007-03-19,4.440000057220459
2007-03-20,5.159999847412109
2007-03-21,4.199999809265137
2007-03-22,4.199999809265137
2007-03-23,4.920000076293945
2007-03-26,4.920000076293945
2007-03-27,4.440000057220459
2007-03-28,4.199999809265137
2007-03-29,4.199999809265137
2007-03-30,4.320000171661377
2007-04-02,4.320000171661377
2007-04-03,4.199999809265137
2007-04-04,4.320000171661377
2007-04-05,4.320000171661377
2007-04-09,4.199999809265137
2007-04-10,4.320000171661377
2007-04-11,3.8399999141693115
2007-04-12,3.8399999141693115
2007-04-13,3.5999999046325684
2007-04-16,3.7200000286102295
2007-04-17,3.7200000286102295
2007-04-18,3.7200000286102295
2007-04-19,3.5999999046325684
2007-04-20,3.7200000286102295
2007-04-23,3.240000009536743
2007-04-24,3.240000009536743
2007-04-25,3.7200000286102295
2007-04-26,3.7200000286102295
2007-04-27,3.7200000286102295
2007-04-30,3.5999999046325684
2007-05-01,3.119999885559082
2007-05-02,3.119999885559082
2007-05-03,3.119999885559082
2007-05-04,3.119999885559082
2007-05-07,3.119999885559082
2007-05-08,3.5999999046325684
2007-05-09,3.5999999046325684
2007-05-10,4.800000190734863
2007-05-11,4.559999942779541
2007-05-14,3.5999999046325684
2007-05-15,3.5999999046325684
2007-05-16,3.4800000190734863
2007-05-17,3.4800000190734863
2007-05-18,3.4800000190734863
2007-05-21,6.119999885559082
2007-05-22,5.400000095367432
2007-05-23,5.400000095367432
2007-05-24,5.400000095367432
2007-05-25,5.400000095367432
2007-05-29,6.0
2007-05-30,7.199999809265137
2007-05-31,8.039999961853027
2007-06-01,8.399999618530273
2007-06-04,6.599999904632568
2007-06-05,7.199999809265137
2007-06-06,7.199999809265137
2007-06-07,7.199999809265137
2007-06-08,7.199999809265137
2007-06-11,7.440000057220459
2007-06-12,6.599999904632568
2007-06-13,6.599999904632568
2007-06-14,6.599999904632568
2007-06-15,7.199999809265137
2007-06-18,7.199999809265137
2007-06-19,6.599999904632568
2007-06-20,6.599999904632568
2007-06-21,6.480000019073486
2007-06-22,6.360000133514404
2007-06-25,6.360000133514404
2007-06-26,6.360000133514404
2007-06-27,6.599999904632568
2007-06-28,6.599999904632568
2007-06-29,6.360000133514404
2007-07-02,6.119999885559082
2007-07-03,6.119999885559082
2007-07-05,6.360000133514404
2007-07-06,6.360000133514404
2007-07-09,6.360000133514404
2007-07-10,6.71999979019165
2007-07-11,6.599999904632568
2007-07-12,6.599999904632568
2007-07-13,6.599999904632568
2007-07-16,6.0
2007-07-17,5.400000095367432
2007-07-18,6.0
2007-07-19,6.0
2007-07-20,6.0
2007-07-23,6.0
2007-07-24,6.0
2007-07-25,6.0
2007-07-26,6.599999904632568
2007-07-27,6.599999904632568
2007-07-30,5.400000095367432
2007-07-31,6.599999904632568
2007-08-01,6.599999904632568
2007-08-02,6.599999904632568
2007-08-03,6.0
2007-08-06,6.0
2007-08-07,6.239999771118164
2007-08-08,6.599999904632568
2007-08-09,6.71999979019165
2007-08-10,6.960000038146973
2007-08-13,6.960000038146973
2007-08-14,6.0
2007-08-15,6.0
2007-08-16,6.0
2007-08-17,6.599999904632568
2007-08-20,6.599999904632568
2007-08-21,6.480000019073486
2007-08-22,6.480000019073486
2007-08-23,6.480000019073486
2007-08-24,6.480000019073486
2007-08-27,6.599999904632568
2007-08-28,6.360000133514404
2007-08-29,6.360000133514404
2007-08-30,6.599999904632568
2007-08-31,6.599999904632568
2007-09-04,6.480000019073486
2007-09-05,6.599999904632568
2007-09-06,5.400000095367432
2007-09-07,6.960000038146973
2007-09-10,6.960000038146973
2007-09-11,6.960000038146973
2007-09-12,5.760000228881836
2007-09-13,5.400000095367432
2007-09-14,6.599999904632568
2007-09-17,6.599999904632568
2007-09-18,6.599999904632568
2007-09-19,6.599999904632568
2007-09-20,6.599999904632568
2007-09-21,7.199999809265137
2007-09-24,6.119999885559082
2007-09-25,6.360000133514404
2007-09-26,6.360000133514404
2007-09-27,7.199999809265137
2007-09-28,7.440000057220459
2007-10-01,7.800000190734863
2007-10-02,7.800000190734863
