,FLXN
2014-02-12,14.710000038146973
2014-02-13,14.649999618530273
2014-02-14,15.0600004196167
2014-02-18,15.0600004196167
2014-02-19,14.880000114440918
2014-02-20,14.899999618530273
2014-02-21,15.430000305175781
2014-02-24,15.199999809265137
2014-02-25,16.0
2014-02-26,16.010000228881836
2014-02-27,16.450000762939453
2014-02-28,18.399999618530273
2014-03-03,17.610000610351562
2014-03-04,18.040000915527344
2014-03-05,19.209999084472656
2014-03-06,19.34000015258789
2014-03-07,19.260000228881836
2014-03-10,19.219999313354492
2014-03-11,19.290000915527344
2014-03-12,19.700000762939453
2014-03-13,19.75
2014-03-14,18.510000228881836
2014-03-17,18.15999984741211
2014-03-18,18.979999542236328
2014-03-19,19.420000076293945
2014-03-20,19.5
2014-03-21,18.59000015258789
2014-03-24,17.959999084472656
2014-03-25,16.729999542236328
2014-03-26,16.43000030517578
2014-03-27,15.760000228881836
2014-03-28,15.8100004196167
2014-03-31,16.450000762939453
2014-04-01,16.93000030517578
2014-04-02,17.399999618530273
2014-04-03,17.6299991607666
2014-04-04,17.940000534057617
2014-04-07,17.25
2014-04-08,17.1200008392334
2014-04-09,16.979999542236328
2014-04-10,16.649999618530273
2014-04-11,15.149999618530273
2014-04-14,16.149999618530273
2014-04-15,15.079999923706055
2014-04-16,14.65999984741211
2014-04-17,14.529999732971191
2014-04-21,14.489999771118164
2014-04-22,14.75
2014-04-23,13.569999694824219
2014-04-24,13.380000114440918
2014-04-25,13.100000381469727
2014-04-28,12.720000267028809
2014-04-29,12.600000381469727
2014-04-30,11.850000381469727
2014-05-01,11.859999656677246
2014-05-02,11.880000114440918
2014-05-05,12.430000305175781
2014-05-06,12.140000343322754
2014-05-07,12.8100004196167
2014-05-08,12.390000343322754
2014-05-09,12.239999771118164
2014-05-12,12.40999984741211
2014-05-13,12.470000267028809
2014-05-14,12.449999809265137
2014-05-15,12.859999656677246
2014-05-16,12.600000381469727
2014-05-19,12.649999618530273
2014-05-20,12.640000343322754
2014-05-21,12.5600004196167
2014-05-22,12.529999732971191
2014-05-23,12.65999984741211
2014-05-27,12.989999771118164
2014-05-28,12.600000381469727
2014-05-29,12.539999961853027
2014-05-30,12.739999771118164
2014-06-02,12.630000114440918
2014-06-03,12.539999961853027
2014-06-04,12.579999923706055
2014-06-05,12.479999542236328
2014-06-06,12.449999809265137
2014-06-09,12.550000190734863
2014-06-10,12.59000015258789
2014-06-11,12.720000267028809
2014-06-12,12.8100004196167
2014-06-13,12.949999809265137
2014-06-16,13.029999732971191
2014-06-17,12.880000114440918
2014-06-18,14.90999984741211
2014-06-19,14.0600004196167
2014-06-20,13.880000114440918
2014-06-23,14.039999961853027
2014-06-24,13.550000190734863
2014-06-25,13.329999923706055
2014-06-26,13.199999809265137
2014-06-27,13.760000228881836
2014-06-30,13.479999542236328
2014-07-01,14.010000228881836
2014-07-02,14.020000457763672
2014-07-03,14.369999885559082
2014-07-07,13.65999984741211
2014-07-08,13.350000381469727
