,BENEW
2021-01-28,0.699999988079071
2021-01-29,0.5799999833106995
2021-02-01,0.8889999985694885
2021-02-02,0.699999988079071
2021-02-03,0.7599999904632568
2021-02-04,0.8799999952316284
2021-02-05,0.8199999928474426
2021-02-08,0.9399999976158142
2021-02-09,1.0299999713897705
2021-02-10,1.0800000429153442
2021-02-11,1.0800000429153442
2021-02-12,1.0149999856948853
2021-02-16,0.9200000166893005
2021-02-17,0.9900000095367432
2021-02-18,0.9679999947547913
2021-02-19,1.0499999523162842
2021-02-22,1.0199999809265137
2021-02-23,0.9200000166893005
2021-02-24,0.9399999976158142
2021-02-25,0.9100000262260437
2021-02-26,0.9049999713897705
2021-03-01,0.9200000166893005
2021-03-02,0.8100000023841858
2021-03-03,0.6899999976158142
2021-03-04,0.5899999737739563
2021-03-05,0.6399999856948853
2021-03-08,0.6499999761581421
2021-03-09,0.6000000238418579
2021-03-10,0.5809999704360962
2021-03-11,0.6600000262260437
2021-03-12,0.6110000014305115
2021-03-15,0.5899999737739563
2021-03-16,0.5759999752044678
2021-03-17,0.5400000214576721
2021-03-18,0.5
2021-03-19,0.5400000214576721
2021-03-22,0.550000011920929
2021-03-23,0.49799999594688416
2021-03-24,0.44999998807907104
2021-03-25,0.41999998688697815
2021-03-26,0.4699999988079071
2021-03-29,0.46000000834465027
2021-03-30,0.46000000834465027
2021-03-31,0.4699999988079071
2021-04-01,0.49000000953674316
2021-04-05,0.4950000047683716
2021-04-06,0.5
2021-04-07,0.5
2021-04-08,0.550000011920929
2021-04-09,0.5669999718666077
2021-04-12,0.5189999938011169
2021-04-13,0.5400000214576721
2021-04-14,0.5600000023841858
2021-04-15,0.5550000071525574
2021-04-16,0.5799999833106995
2021-04-19,0.5350000262260437
2021-04-20,0.4699999988079071
2021-04-21,0.4699999988079071
2021-04-22,0.5
2021-04-23,0.49900001287460327
2021-04-26,0.49799999594688416
2021-04-27,0.47699999809265137
2021-04-28,0.5099999904632568
2021-04-29,0.5099999904632568
2021-04-30,0.5400000214576721
2021-05-03,0.48100000619888306
2021-05-04,0.5
2021-05-05,0.4950000047683716
2021-05-06,0.5
2021-05-07,0.47999998927116394
2021-05-10,0.492000013589859
2021-05-11,0.47099998593330383
2021-05-12,0.44699999690055847
2021-05-13,0.4300000071525574
2021-05-14,0.4699999988079071
