,BOTZ
2016-09-13,14.760000228881836
2016-09-14,14.760000228881836
2016-09-15,14.760000228881836
2016-09-16,14.699999809265137
2016-09-19,14.84000015258789
2016-09-20,14.970000267028809
2016-09-21,14.970000267028809
2016-09-22,15.319999694824219
2016-09-23,15.270000457763672
2016-09-26,15.031000137329102
2016-09-27,15.210000038146973
2016-09-28,15.3100004196167
2016-09-29,15.260000228881836
2016-09-30,15.3100004196167
2016-10-03,15.256999969482422
2016-10-04,15.25
2016-10-05,15.390000343322754
2016-10-06,15.34000015258789
2016-10-07,15.350000381469727
2016-10-10,15.42199993133545
2016-10-11,15.300000190734863
2016-10-12,15.239999771118164
2016-10-13,15.119999885559082
2016-10-14,15.119999885559082
2016-10-17,15.170000076293945
2016-10-18,15.289999961853027
2016-10-19,15.260000228881836
2016-10-20,15.300000190734863
2016-10-21,15.300000190734863
2016-10-24,15.300000190734863
2016-10-25,15.170000076293945
2016-10-26,15.170000076293945
2016-10-27,15.0
2016-10-28,15.0600004196167
2016-10-31,15.020000457763672
2016-11-01,14.949999809265137
2016-11-02,14.8100004196167
2016-11-03,14.869999885559082
2016-11-04,14.819999694824219
2016-11-07,14.979999542236328
2016-11-08,15.050000190734863
2016-11-09,15.0600004196167
2016-11-10,15.1899995803833
2016-11-11,15.170000076293945
2016-11-14,15.229999542236328
2016-11-15,15.270000457763672
2016-11-16,15.093999862670898
2016-11-17,15.350000381469727
2016-11-18,15.130000114440918
2016-11-21,15.1850004196167
2016-11-22,15.159000396728516
2016-11-23,15.1899995803833
2016-11-25,15.199999809265137
2016-11-28,15.1899995803833
2016-11-29,15.199999809265137
2016-11-30,15.079999923706055
2016-12-01,14.899999618530273
2016-12-02,14.829999923706055
2016-12-05,14.996999740600586
2016-12-06,14.961000442504883
2016-12-07,15.130000114440918
2016-12-08,15.220000267028809
2016-12-09,15.199999809265137
2016-12-12,15.039999961853027
2016-12-13,15.149999618530273
2016-12-14,14.899999618530273
2016-12-15,14.930000305175781
2016-12-16,14.850000381469727
2016-12-19,14.949999809265137
2016-12-20,14.970000267028809
2016-12-21,14.949999809265137
2016-12-22,14.91100025177002
2016-12-23,14.947999954223633
2016-12-27,14.946999549865723
2016-12-28,14.989999771118164
2016-12-29,14.928000450134277
2016-12-30,15.0
2017-01-03,15.100000381469727
2017-01-04,15.319999694824219
2017-01-05,15.350000381469727
2017-01-06,15.369999885559082
2017-01-09,15.329999923706055
2017-01-10,15.390000343322754
2017-01-11,15.5
2017-01-12,15.539999961853027
2017-01-13,15.630000114440918
2017-01-17,15.520000457763672
2017-01-18,15.510000228881836
2017-01-19,15.579999923706055
2017-01-20,15.65999984741211
2017-01-23,15.779000282287598
2017-01-24,16.0
2017-01-25,16.3700008392334
2017-01-26,16.389999389648438
2017-01-27,16.33099937438965
2017-01-30,16.270000457763672
2017-01-31,16.315000534057617
2017-02-01,16.469999313354492
2017-02-02,16.389999389648438
2017-02-03,16.440000534057617
2017-02-06,16.350000381469727
2017-02-07,16.360000610351562
2017-02-08,16.360000610351562
2017-02-09,16.31999969482422
2017-02-10,16.43000030517578
2017-02-13,16.600000381469727
2017-02-14,16.6200008392334
2017-02-15,16.610000610351562
2017-02-16,16.600000381469727
2017-02-17,16.700000762939453
2017-02-21,16.7450008392334
2017-02-22,16.700000762939453
2017-02-23,16.764999389648438
2017-02-24,16.600000381469727
2017-02-27,16.6200008392334
2017-02-28,16.59000015258789
2017-03-01,16.858999252319336
2017-03-02,16.729999542236328
2017-03-03,16.71500015258789
2017-03-06,16.639999389648438
2017-03-07,16.577999114990234
2017-03-08,16.59000015258789
2017-03-09,16.575000762939453
2017-03-10,16.729999542236328
2017-03-13,16.989999771118164
2017-03-14,16.90999984741211
2017-03-15,17.059999465942383
2017-03-16,17.1200008392334
2017-03-17,17.270000457763672
2017-03-20,17.291000366210938
2017-03-21,17.1299991607666
2017-03-22,17.1299991607666
2017-03-23,17.229999542236328
2017-03-24,17.297000885009766
2017-03-27,17.31999969482422
2017-03-28,17.43000030517578
2017-03-29,17.434999465942383
2017-03-30,17.3799991607666
2017-03-31,17.363000869750977
2017-04-03,17.322999954223633
2017-04-04,17.229000091552734
2017-04-05,17.229999542236328
2017-04-06,17.110000610351562
2017-04-07,17.200000762939453
2017-04-10,17.1200008392334
2017-04-11,17.079999923706055
2017-04-12,17.0
2017-04-13,16.920000076293945
2017-04-17,17.030000686645508
2017-04-18,16.950000762939453
2017-04-19,17.200000762939453
2017-04-20,17.270000457763672
