,CHB
2020-09-25,15.239999771118164
2020-09-28,15.204999923706055
2020-09-29,15.34000015258789
2020-09-30,15.34000015258789
2020-10-01,15.657999992370605
2020-10-02,15.524999618530273
2020-10-05,15.805000305175781
2020-10-06,15.854999542236328
2020-10-07,15.944999694824219
2020-10-08,16.065000534057617
2020-10-09,16.270000457763672
2020-10-12,16.5049991607666
2020-10-13,16.545000076293945
2020-10-14,16.46500015258789
2020-10-15,16.09600067138672
2020-10-16,16.309999465942383
2020-10-19,15.847000122070312
2020-10-20,16.049999237060547
2020-10-21,16.225000381469727
2020-10-22,15.920000076293945
2020-10-23,15.364999771118164
2020-10-26,15.479000091552734
2020-10-27,15.760000228881836
2020-10-28,15.503000259399414
2020-10-29,15.930999755859375
2020-10-30,15.71399974822998
2020-11-02,15.463000297546387
2020-11-03,15.649999618530273
2020-11-04,16.017000198364258
2020-11-05,16.11400032043457
2020-11-06,15.6899995803833
2020-11-09,15.829000473022461
2020-11-10,15.505999565124512
2020-11-11,15.281000137329102
2020-11-12,15.364999771118164
2020-11-13,15.512999534606934
2020-11-16,15.65999984741211
2020-11-17,15.345000267028809
2020-11-18,15.199999809265137
2020-11-19,15.338000297546387
2020-11-20,15.506999969482422
2020-11-23,15.239999771118164
2020-11-24,15.074000358581543
2020-11-25,14.880000114440918
2020-11-27,14.920000076293945
2020-11-30,14.909000396728516
2020-12-01,15.178000450134277
2020-12-02,14.989999771118164
2020-12-03,15.303999900817871
2020-12-04,15.444999694824219
2020-12-07,15.345000267028809
2020-12-08,15.319999694824219
2020-12-09,14.892000198364258
2020-12-10,14.993000030517578
2020-12-11,14.758000373840332
2020-12-14,14.942000389099121
2020-12-15,15.371000289916992
2020-12-16,15.468000411987305
2020-12-17,15.904999732971191
2020-12-18,15.901000022888184
2020-12-21,16.1200008392334
2020-12-22,16.200000762939453
2020-12-23,16.065000534057617
2020-12-24,15.960000038146973
2020-12-28,16.1299991607666
2020-12-29,15.954999923706055
2020-12-30,16.270000457763672
2020-12-31,16.36199951171875
2021-01-04,16.33799934387207
2021-01-05,16.590999603271484
2021-01-06,16.683000564575195
2021-01-07,16.579999923706055
2021-01-08,16.893999099731445
2021-01-11,16.600000381469727
2021-01-12,16.899999618530273
2021-01-13,16.75
2021-01-14,17.030000686645508
2021-01-15,16.950000762939453
2021-01-19,17.2450008392334
2021-01-20,17.829999923706055
2021-01-21,17.969999313354492
2021-01-22,18.46500015258789
2021-01-25,18.65399932861328
2021-01-26,18.530000686645508
2021-01-27,17.850000381469727
2021-01-28,17.489999771118164
2021-01-29,17.3799991607666
2021-02-01,17.940000534057617
2021-02-02,18.3799991607666
2021-02-03,18.760000228881836
2021-02-04,18.610000610351562
2021-02-05,18.844999313354492
2021-02-08,19.200000762939453
2021-02-09,19.420000076293945
2021-02-10,19.829999923706055
2021-02-11,19.972999572753906
2021-02-12,20.03499984741211
2021-02-16,20.09000015258789
2021-02-17,19.979999542236328
2021-02-18,19.049999237060547
2021-02-19,18.950000762939453
2021-02-22,17.989999771118164
2021-02-23,18.152000427246094
2021-02-24,17.649999618530273
2021-02-25,17.263999938964844
2021-02-26,17.084999084472656
2021-03-01,17.46299934387207
2021-03-02,16.979999542236328
2021-03-03,16.760000228881836
2021-03-04,16.094999313354492
2021-03-05,16.06999969482422
2021-03-08,15.28499984741211
2021-03-09,15.524999618530273
2021-03-10,15.529999732971191
2021-03-11,16.110000610351562
2021-03-12,15.595000267028809
2021-03-15,15.437999725341797
2021-03-16,15.704000473022461
2021-03-17,15.859999656677246
2021-03-18,15.78499984741211
2021-03-19,15.821999549865723
2021-03-22,15.954999923706055
2021-03-23,15.779999732971191
2021-03-24,15.600000381469727
2021-03-25,15.649999618530273
2021-03-26,16.149999618530273
2021-03-29,15.993000030517578
2021-03-30,16.191999435424805
2021-03-31,16.229999542236328
2021-04-01,16.474000930786133
2021-04-05,16.423999786376953
2021-04-06,16.38800048828125
2021-04-07,16.364999771118164
2021-04-08,16.572999954223633
2021-04-09,16.42099952697754
2021-04-12,16.21500015258789
2021-04-13,16.7450008392334
2021-04-14,16.850000381469727
2021-04-15,17.06999969482422
2021-04-16,16.969999313354492
2021-04-19,17.219999313354492
2021-04-20,17.101999282836914
2021-04-21,17.6299991607666
2021-04-22,17.829999923706055
2021-04-23,18.200000762939453
2021-04-26,18.229999542236328
2021-04-27,18.459999084472656
2021-04-28,18.895000457763672
2021-04-29,18.618000030517578
2021-04-30,18.763999938964844
2021-05-03,18.75
2021-05-04,18.34000015258789
2021-05-05,18.264999389648438
2021-05-06,17.915000915527344
2021-05-07,17.594999313354492
2021-05-10,17.59000015258789
2021-05-11,17.579999923706055
2021-05-12,18.299999237060547
2021-05-13,18.489999771118164
2021-05-14,19.100000381469727
