,EGLE
2005-06-28,134516.65625
2005-06-29,134516.65625
2005-06-30,137573.859375
2005-07-01,137981.484375
2005-07-05,139000.546875
2005-07-06,139204.359375
2005-07-07,139000.546875
2005-07-08,137777.671875
2005-07-11,137268.140625
2005-07-12,136860.515625
2005-07-13,136452.890625
2005-07-14,135026.1875
2005-07-15,135535.71875
2005-07-18,134007.125
2005-07-19,134516.65625
2005-07-20,133497.59375
2005-07-21,135026.1875
2005-07-22,132376.625
2005-07-25,129727.0546875
2005-07-26,126873.6640625
2005-07-27,126466.0390625
2005-07-28,125956.5078125
2005-07-29,130134.6796875
2005-08-01,130949.9296875
2005-08-02,134618.5625
2005-08-03,134109.03125
2005-08-04,135535.71875
2005-08-05,136758.609375
2005-08-08,134822.375
2005-08-09,130338.4921875
2005-08-10,129115.609375
2005-08-11,131459.46875
2005-08-12,131561.375
2005-08-15,130949.9296875
2005-08-16,132784.25
2005-08-17,135026.1875
2005-08-18,132988.0625
2005-08-19,131459.46875
2005-08-22,130440.3984375
2005-08-23,132478.53125
2005-08-24,134822.375
2005-08-25,133497.59375
2005-08-26,133395.6875
2005-08-29,132784.25
2005-08-30,131663.28125
2005-08-31,132478.53125
2005-09-01,133599.5
2005-09-02,132988.0625
2005-09-06,132784.25
2005-09-07,133701.40625
2005-09-08,132274.71875
2005-09-09,132478.53125
2005-09-12,145726.375
2005-09-13,153369.375
2005-09-14,157955.171875
2005-09-15,165088.625
2005-09-16,157853.265625
2005-09-19,159993.296875
2005-09-20,158158.984375
2005-09-21,162948.59375
2005-09-22,163050.5
2005-09-23,168757.265625
2005-09-26,173444.96875
2005-09-27,177419.328125
2005-09-28,179049.828125
2005-09-29,174769.75
2005-09-30,174769.75
2005-10-03,175279.28125
2005-10-04,174056.40625
2005-10-05,162540.96875
2005-10-06,164273.375
2005-10-07,168145.828125
2005-10-10,178030.765625
2005-10-11,180782.234375
2005-10-12,172731.625
2005-10-13,167738.203125
2005-10-14,166209.59375
2005-10-17,164681.0
2005-10-18,159381.859375
2005-10-19,158872.328125
2005-10-20,158057.078125
2005-10-21,159483.765625
2005-10-24,159891.390625
2005-10-25,157955.171875
2005-10-26,154796.0625
2005-10-27,150312.171875
2005-10-28,147560.703125
2005-10-31,151025.515625
2005-11-01,151331.234375
2005-11-02,151127.421875
2005-11-03,154184.625
2005-11-04,153777.0
2005-11-07,156834.203125
2005-11-08,154286.53125
2005-11-09,154796.0625
2005-11-10,156732.296875
2005-11-11,157853.265625
2005-11-14,159789.484375
2005-11-15,154999.875
2005-11-16,152757.9375
2005-11-17,150312.171875
2005-11-18,147764.515625
2005-11-21,146541.640625
2005-11-22,150210.265625
2005-11-23,147866.421875
2005-11-25,149904.546875
2005-11-28,150414.078125
2005-11-29,154897.96875
2005-11-30,157547.546875
2005-12-01,157445.640625
2005-12-02,158464.703125
2005-12-05,161419.984375
2005-12-06,159178.046875
2005-12-07,156018.9375
2005-12-08,155917.03125
2005-12-09,155305.59375
2005-12-12,154184.625
2005-12-13,154796.0625
2005-12-14,153777.0
2005-12-15,155917.03125
2005-12-16,154796.0625
2005-12-19,156630.375
2005-12-20,159993.296875
2005-12-21,162337.15625
2005-12-22,160808.546875
2005-12-23,156936.109375
2005-12-27,157343.734375
2005-12-28,158872.328125
2005-12-29,159483.765625
2005-12-30,162235.25
2006-01-03,162642.875
2006-01-04,160604.734375
2006-01-05,163763.84375
2006-01-06,162540.96875
2006-01-09,163050.5
2006-01-10,161827.625
2006-01-11,163050.5
2006-01-12,142669.1875
2006-01-13,134007.125
2006-01-17,131153.75
2006-01-18,131459.46875
2006-01-19,127077.4765625
2006-01-20,122389.78125
2006-01-23,121268.8046875
2006-01-24,121778.3359375
2006-01-25,123918.375
2006-01-26,129319.421875
2006-01-27,130848.0234375
2006-01-30,139611.984375
2006-01-31,138083.390625
2006-02-01,142669.1875
2006-02-02,143993.96875
2006-02-03,141344.40625
2006-02-06,142669.1875
2006-02-07,141752.03125
2006-02-08,143178.71875
2006-02-09,142057.75
2006-02-10,146134.0
2006-02-13,135943.34375
2006-02-14,129828.9609375
2006-02-15,133293.78125
2006-02-16,131969.0
2006-02-17,130848.0234375
2006-02-21,129727.0546875
2006-02-22,128606.078125
2006-02-23,128911.796875
2006-02-24,128911.796875
2006-02-27,132580.4375
2006-02-28,132376.625
2006-03-01,131969.0
2006-03-02,132172.8125
2006-03-03,131867.09375
2006-03-06,128198.453125
2006-03-07,124122.1875
2006-03-08,122797.40625
2006-03-09,121778.3359375
2006-03-10,123001.21875
2006-03-13,123205.03125
2006-03-14,134516.65625
2006-03-15,134109.03125
2006-03-16,134516.65625
2006-03-17,134822.375
2006-03-20,134414.75
2006-03-21,133395.6875
2006-03-22,134007.125
2006-03-23,132988.0625
2006-03-24,132784.25
2006-03-27,136758.609375
2006-03-28,139408.171875
2006-03-29,140325.328125
2006-03-30,139102.453125
2006-03-31,142159.65625
2006-04-03,143382.53125
2006-04-04,139611.984375
2006-04-05,140936.765625
2006-04-06,138491.015625
2006-04-07,140631.046875
2006-04-10,137981.484375
2006-04-11,136758.609375
2006-04-12,135128.09375
2006-04-13,135433.8125
2006-04-17,135739.53125
2006-04-18,137370.046875
2006-04-19,140223.421875
2006-04-20,142771.09375
2006-04-21,142771.09375
2006-04-24,144707.3125
2006-04-25,145114.9375
2006-04-26,141140.578125
2006-04-27,140732.953125
2006-04-28,141752.03125
2006-05-01,140834.859375
2006-05-02,142159.65625
2006-05-03,138898.640625
2006-05-04,139510.078125
2006-05-05,140529.140625
2006-05-08,144197.78125
2006-05-09,140732.953125
2006-05-10,139611.984375
2006-05-11,140834.859375
2006-05-12,139510.078125
2006-05-15,137064.328125
2006-05-16,134312.84375
2006-05-17,133803.3125
2006-05-18,134516.65625
2006-05-19,135230.0
2006-05-22,136045.25
2006-05-23,138491.015625
2006-05-24,142669.1875
2006-05-25,140121.515625
2006-05-26,140223.421875
2006-05-30,137268.140625
2006-05-31,137981.484375
2006-06-01,137573.859375
2006-06-02,140325.328125
2006-06-05,137879.578125
2006-06-06,136758.609375
2006-06-07,134618.5625
2006-06-08,133089.96875
2006-06-09,137268.140625
2006-06-12,136860.515625
2006-06-13,132070.90625
2006-06-14,128911.796875
