,BNTC
2014-06-24,348.0
2014-06-25,348.0
2014-06-26,342.0
2014-06-27,336.0
2014-06-30,330.0
2014-07-01,330.0
2014-07-02,329.3999938964844
2014-07-03,320.3999938964844
2014-07-07,330.0
2014-07-08,333.0
2014-07-09,322.79998779296875
2014-07-10,330.0
2014-07-11,330.0
2014-07-14,304.79998779296875
2014-07-15,300.6000061035156
2014-07-16,298.20001220703125
2014-07-17,297.0
2014-07-18,306.0
2014-07-21,318.0
2014-07-22,318.6000061035156
2014-07-23,321.0
2014-07-24,321.0
2014-07-25,318.0
2014-07-28,296.6400146484375
2014-07-29,297.0
2014-07-30,285.0
2014-07-31,285.0
2014-08-01,276.6000061035156
2014-08-04,284.3999938964844
2014-08-05,262.79998779296875
2014-08-06,255.60000610351562
2014-08-07,253.1999969482422
2014-08-08,253.1999969482422
2014-08-11,265.79998779296875
2014-08-12,265.79998779296875
2014-08-13,265.79998779296875
2014-08-14,255.0
2014-08-15,276.0
2014-08-18,340.79998779296875
2014-08-19,318.0
2014-08-20,318.0
2014-08-21,322.0199890136719
2014-08-22,308.3999938964844
2014-08-25,320.3999938964844
2014-08-26,313.0799865722656
2014-08-27,309.0
2014-08-28,297.0
2014-08-29,271.20001220703125
2014-09-02,312.6000061035156
2014-09-03,306.0
2014-09-04,306.0
2014-09-05,293.3999938964844
2014-09-08,286.79998779296875
2014-09-09,281.3999938964844
2014-09-10,281.3999938964844
2014-09-11,282.0
2014-09-12,284.2799987792969
2014-09-15,282.0
2014-09-16,279.6000061035156
2014-09-17,288.6000061035156
2014-09-18,277.3800048828125
2014-09-19,270.0
2014-09-22,259.67999267578125
2014-09-23,259.67999267578125
2014-09-24,256.79998779296875
2014-09-25,256.79998779296875
2014-09-26,267.0
2014-09-29,255.0
2014-09-30,256.20001220703125
2014-10-01,251.39999389648438
2014-10-02,255.0
2014-10-03,253.8000030517578
2014-10-06,252.60000610351562
2014-10-07,234.0
2014-10-08,222.0
2014-10-09,220.8000030517578
2014-10-10,198.0
2014-10-13,165.0
2014-10-14,166.8000030517578
2014-10-15,166.8000030517578
2014-10-16,172.02000427246094
2014-10-17,172.1999969482422
2014-10-20,172.1999969482422
2014-10-21,183.60000610351562
2014-10-22,177.0
2014-10-23,171.0
2014-10-24,171.60000610351562
2014-10-27,171.60000610351562
2014-10-28,166.8000030517578
2014-10-29,139.8000030517578
2014-10-30,145.1999969482422
2014-10-31,149.75999450683594
2014-11-03,148.8000030517578
2014-11-04,158.10000610351562
2014-11-05,159.0
2014-11-06,159.0
2014-11-07,167.0399932861328
2014-11-10,180.60000610351562
2014-11-11,218.39999389648438
2014-11-12,218.6999969482422
2014-11-13,210.60000610351562
2014-11-14,194.39999389648438
2014-11-17,178.1999969482422
2014-11-18,159.0
2014-11-19,175.1999969482422
2014-11-20,177.60000610351562
2014-11-21,194.6999969482422
2014-11-24,186.0
2014-11-25,189.0
2014-11-26,189.60000610351562
2014-11-28,186.0
2014-12-01,181.1999969482422
2014-12-02,181.1999969482422
2014-12-03,177.60000610351562
2014-12-04,183.0
2014-12-05,183.0
2014-12-08,187.8000030517578
2014-12-09,186.0
2014-12-10,183.0
2014-12-11,192.0
2014-12-12,198.0
2014-12-15,208.8000030517578
2014-12-16,230.39999389648438
2014-12-17,212.39999389648438
2014-12-18,212.39999389648438
2014-12-19,216.0
2014-12-22,216.0
2014-12-23,211.8000030517578
2014-12-24,211.8000030517578
2014-12-26,217.1999969482422
2014-12-29,226.1999969482422
2014-12-30,226.1999969482422
2014-12-31,233.39999389648438
2015-01-02,233.39999389648438
2015-01-05,233.39999389648438
2015-01-06,233.39999389648438
2015-01-07,240.60000610351562
2015-01-08,240.60000610351562
2015-01-09,242.22000122070312
2015-01-12,234.0
2015-01-13,234.0
2015-01-14,213.60000610351562
2015-01-15,217.1999969482422
2015-01-16,216.0
2015-01-20,216.0
2015-01-21,204.3000030517578
2015-01-22,204.0
2015-01-23,195.89999389648438
2015-01-26,187.1999969482422
2015-01-27,178.8000030517578
2015-01-28,177.0
2015-01-29,184.44000244140625
2015-01-30,179.39999389648438
2015-02-02,188.39999389648438
2015-02-03,191.33999633789062
2015-02-04,189.0
2015-02-05,189.0
2015-02-06,189.0
2015-02-09,201.0
2015-02-10,198.0
2015-02-11,198.0
2015-02-12,198.0
2015-02-13,195.47999572753906
2015-02-17,192.60000610351562
2015-02-18,195.60000610351562
2015-02-19,203.39999389648438
2015-02-20,216.0
2015-02-23,210.9600067138672
2015-02-24,210.3000030517578
2015-02-25,205.1999969482422
2015-02-26,193.8000030517578
2015-02-27,190.1999969482422
2015-03-02,195.0
2015-03-03,196.8000030517578
2015-03-04,189.0
2015-03-05,183.60000610351562
2015-03-06,181.32000732421875
2015-03-09,177.0
2015-03-10,170.39999389648438
2015-03-11,172.8000030517578
2015-03-12,192.0
2015-03-13,195.0
2015-03-16,189.60000610351562
2015-03-17,184.1999969482422
2015-03-18,183.0
2015-03-19,181.1999969482422
2015-03-20,185.39999389648438
2015-03-23,188.16000366210938
2015-03-24,189.0
2015-03-25,189.0
2015-03-26,185.8800048828125
2015-03-27,185.8800048828125
2015-03-30,180.60000610351562
2015-03-31,178.0800018310547
2015-04-01,178.0800018310547
2015-04-02,153.0
2015-04-06,159.0
2015-04-07,159.0
2015-04-08,163.8000030517578
2015-04-09,172.8000030517578
2015-04-10,195.0
2015-04-13,175.1999969482422
2015-04-14,179.39999389648438
2015-04-15,190.1999969482422
2015-04-16,189.0
2015-04-17,196.1999969482422
2015-04-20,196.1999969482422
2015-04-21,196.1999969482422
2015-04-22,180.0
2015-04-23,188.39999389648438
2015-04-24,188.39999389648438
2015-04-27,181.1999969482422
2015-04-28,190.55999755859375
2015-04-29,190.74000549316406
2015-04-30,185.39999389648438
2015-05-01,184.8000030517578
2015-05-04,195.60000610351562
2015-05-05,188.39999389648438
2015-05-06,188.39999389648438
2015-05-07,188.39999389648438
2015-05-08,195.9600067138672
2015-05-11,193.67999267578125
2015-05-12,195.1199951171875
2015-05-13,195.1199951171875
2015-05-14,188.39999389648438
2015-05-15,192.0
2015-05-18,186.0
2015-05-19,186.0
2015-05-20,189.60000610351562
2015-05-21,189.60000610351562
2015-05-22,177.89999389648438
2015-05-26,181.8000030517578
2015-05-27,181.8000030517578
2015-05-28,186.0
2015-05-29,186.0
2015-06-01,186.0
2015-06-02,186.0
2015-06-03,183.83999633789062
2015-06-04,184.1999969482422
2015-06-05,184.1999969482422
2015-06-08,184.8000030517578
2015-06-09,184.8000030517578
2015-06-10,184.8000030517578
2015-06-11,184.8000030517578
2015-06-12,184.8000030517578
2015-06-15,184.8000030517578
2015-06-16,184.8000030517578
2015-06-17,184.8000030517578
2015-06-18,180.0
2015-06-19,180.0
2015-06-22,177.0
2015-06-23,170.5500030517578
2015-06-24,156.3000030517578
2015-06-25,160.8000030517578
2015-06-26,160.8000030517578
2015-06-29,160.9499969482422
2015-06-30,160.9499969482422
2015-07-01,170.25
2015-07-02,173.23500061035156
2015-07-06,167.39999389648438
2015-07-07,172.5
2015-07-08,168.0
2015-07-09,168.14999389648438
2015-07-10,168.3000030517578
2015-07-13,172.5
2015-07-14,176.10000610351562
2015-07-15,176.10000610351562
2015-07-16,178.875
2015-07-17,180.0
2015-07-20,180.75
2015-07-21,181.5
2015-07-22,194.39999389648438
