,BSBK
2020-01-16,11.59000015258789
2020-01-17,11.630000114440918
2020-01-21,11.890000343322754
2020-01-22,11.789999961853027
2020-01-23,11.680000305175781
2020-01-24,11.680000305175781
2020-01-27,11.5
2020-01-28,11.5
2020-01-29,11.529999732971191
2020-01-30,11.600000381469727
2020-01-31,11.59000015258789
2020-02-03,11.489999771118164
2020-02-04,11.539999961853027
2020-02-05,11.5
2020-02-06,11.399999618530273
2020-02-07,11.489999771118164
2020-02-10,11.489999771118164
2020-02-11,11.4399995803833
2020-02-12,11.380000114440918
2020-02-13,11.279999732971191
2020-02-14,11.25
2020-02-18,11.210000038146973
2020-02-19,10.850000381469727
2020-02-20,11.0
2020-02-21,11.020000457763672
2020-02-24,10.869999885559082
2020-02-25,10.65999984741211
2020-02-26,10.510000228881836
2020-02-27,10.430000305175781
2020-02-28,10.199999809265137
2020-03-02,10.329999923706055
2020-03-03,10.0600004196167
2020-03-04,10.1899995803833
2020-03-05,9.949999809265137
2020-03-06,9.979999542236328
2020-03-09,9.0
2020-03-10,9.039999961853027
2020-03-11,8.449999809265137
2020-03-12,7.710000038146973
2020-03-13,8.0600004196167
2020-03-16,6.920000076293945
2020-03-17,7.179999828338623
2020-03-18,6.429999828338623
2020-03-19,6.909999847412109
2020-03-20,6.599999904632568
2020-03-23,6.420000076293945
2020-03-24,6.760000228881836
2020-03-25,6.579999923706055
2020-03-26,6.949999809265137
2020-03-27,6.760000228881836
2020-03-30,6.699999809265137
2020-03-31,6.900000095367432
2020-04-01,6.800000190734863
2020-04-02,6.820000171661377
2020-04-03,6.800000190734863
2020-04-06,6.949999809265137
2020-04-07,8.0
2020-04-08,8.489999771118164
2020-04-09,8.25
2020-04-13,8.649999618530273
2020-04-14,8.329999923706055
2020-04-15,8.09000015258789
2020-04-16,8.050000190734863
2020-04-17,8.289999961853027
2020-04-20,8.109999656677246
2020-04-21,8.289999961853027
2020-04-22,8.010000228881836
2020-04-23,7.75
2020-04-24,7.989999771118164
2020-04-27,7.880000114440918
2020-04-28,8.0
2020-04-29,8.0600004196167
2020-04-30,8.100000381469727
2020-05-01,8.050000190734863
2020-05-04,8.279999732971191
2020-05-05,8.239999771118164
2020-05-06,8.229999542236328
2020-05-07,8.25
2020-05-08,8.239999771118164
2020-05-11,8.11400032043457
2020-05-12,8.029999732971191
2020-05-13,8.029999732971191
2020-05-14,7.820000171661377
2020-05-15,8.0
2020-05-18,7.75
2020-05-19,7.864999771118164
2020-05-20,8.0
2020-05-21,8.199999809265137
2020-05-22,8.0
2020-05-26,8.149999618530273
2020-05-27,8.380000114440918
2020-05-28,8.4399995803833
2020-05-29,8.8100004196167
2020-06-01,8.579999923706055
2020-06-02,8.979999542236328
2020-06-03,9.0
2020-06-04,9.149999618530273
2020-06-05,9.460000038146973
2020-06-08,9.600000381469727
2020-06-09,9.59000015258789
2020-06-10,9.229999542236328
2020-06-11,8.539999961853027
2020-06-12,9.239999771118164
2020-06-15,9.380000114440918
2020-06-16,9.579999923706055
2020-06-17,9.640000343322754
2020-06-18,9.40999984741211
2020-06-19,8.90999984741211
2020-06-22,9.069999694824219
2020-06-23,9.15999984741211
2020-06-24,8.920000076293945
2020-06-25,8.390000343322754
2020-06-26,8.59000015258789
2020-06-29,8.609999656677246
2020-06-30,8.739999771118164
2020-07-01,8.5
2020-07-02,8.800000190734863
2020-07-06,8.930000305175781
2020-07-07,8.460000038146973
2020-07-08,8.25
2020-07-09,7.760000228881836
2020-07-10,7.650000095367432
2020-07-13,7.71999979019165
2020-07-14,7.800000190734863
2020-07-15,8.149999618530273
2020-07-16,8.350000381469727
2020-07-17,8.369999885559082
2020-07-20,8.3100004196167
2020-07-21,8.430000305175781
2020-07-22,8.199999809265137
2020-07-23,8.140000343322754
2020-07-24,7.889999866485596
2020-07-27,8.319999694824219
2020-07-28,7.940000057220459
2020-07-29,8.399999618530273
2020-07-30,7.900000095367432
2020-07-31,7.889999866485596
2020-08-03,7.75
2020-08-04,7.75
2020-08-05,8.0
2020-08-06,7.980000019073486
2020-08-07,8.0
2020-08-10,8.210000038146973
2020-08-11,7.889999866485596
2020-08-12,7.71999979019165
2020-08-13,7.75
2020-08-14,7.690000057220459
2020-08-17,7.429999828338623
2020-08-18,7.300000190734863
2020-08-19,7.300000190734863
2020-08-20,7.25
2020-08-21,7.159999847412109
2020-08-24,7.21999979019165
2020-08-25,7.289999961853027
2020-08-26,7.119999885559082
2020-08-27,7.159999847412109
2020-08-28,7.320000171661377
2020-08-31,7.070000171661377
2020-09-01,7.110000133514404
2020-09-02,7.070000171661377
2020-09-03,7.03000020980835
2020-09-04,7.300000190734863
2020-09-08,7.239999771118164
2020-09-09,7.179999828338623
2020-09-10,7.260000228881836
2020-09-11,7.75
2020-09-14,7.900000095367432
2020-09-15,7.670000076293945
2020-09-16,7.869999885559082
2020-09-17,7.900000095367432
2020-09-18,7.900000095367432
2020-09-21,7.559999942779541
2020-09-22,7.429999828338623
2020-09-23,7.260000228881836
2020-09-24,7.869999885559082
2020-09-25,7.579999923706055
2020-09-28,7.610000133514404
2020-09-29,7.699999809265137
2020-09-30,7.619999885559082
2020-10-01,7.570000171661377
2020-10-02,7.650000095367432
2020-10-05,7.75
2020-10-06,7.78000020980835
2020-10-07,7.869999885559082
2020-10-08,7.730000019073486
2020-10-09,7.840000152587891
2020-10-12,7.869999885559082
2020-10-13,7.760000228881836
2020-10-14,7.760000228881836
2020-10-15,7.820000171661377
2020-10-16,7.78000020980835
2020-10-19,7.619999885559082
2020-10-20,7.869999885559082
2020-10-21,7.869999885559082
2020-10-22,7.800000190734863
2020-10-23,7.920000076293945
2020-10-26,8.0600004196167
2020-10-27,8.0
2020-10-28,7.889999866485596
2020-10-29,7.949999809265137
2020-10-30,7.900000095367432
