,AERI
2013-10-25,10.609999656677246
2013-10-28,10.550000190734863
2013-10-29,10.529999732971191
2013-10-30,10.399999618530273
2013-10-31,10.5
2013-11-01,10.5
2013-11-04,10.819999694824219
2013-11-05,11.510000228881836
2013-11-06,10.930000305175781
2013-11-07,10.420000076293945
2013-11-08,10.890000343322754
2013-11-11,10.880000114440918
2013-11-12,10.670000076293945
2013-11-13,10.510000228881836
2013-11-14,10.579999923706055
2013-11-15,10.699999809265137
2013-11-18,10.609999656677246
2013-11-19,11.449999809265137
2013-11-20,11.84000015258789
2013-11-21,11.600000381469727
2013-11-22,11.640000343322754
2013-11-25,11.25
2013-11-26,10.789999961853027
2013-11-27,11.670000076293945
2013-11-29,11.25
2013-12-02,11.489999771118164
2013-12-03,12.010000228881836
2013-12-04,13.600000381469727
2013-12-05,14.350000381469727
2013-12-06,15.350000381469727
2013-12-09,16.0
2013-12-10,15.989999771118164
2013-12-11,14.930000305175781
2013-12-12,14.949999809265137
2013-12-13,14.260000228881836
2013-12-16,14.800000190734863
2013-12-17,15.729999542236328
2013-12-18,16.079999923706055
2013-12-19,15.920000076293945
2013-12-20,16.389999389648438
2013-12-23,17.075000762939453
2013-12-24,16.979999542236328
2013-12-26,16.959999084472656
2013-12-27,17.3799991607666
2013-12-30,17.889999389648438
2013-12-31,17.959999084472656
2014-01-02,17.260000228881836
2014-01-03,17.530000686645508
2014-01-06,18.1299991607666
2014-01-07,18.93000030517578
2014-01-08,18.299999237060547
2014-01-09,19.989999771118164
2014-01-10,19.81999969482422
2014-01-13,19.280000686645508
2014-01-14,20.479999542236328
2014-01-15,21.459999084472656
2014-01-16,21.139999389648438
2014-01-17,20.709999084472656
2014-01-21,20.920000076293945
2014-01-22,20.25
2014-01-23,20.059999465942383
2014-01-24,18.709999084472656
2014-01-27,16.739999771118164
2014-01-28,15.760000228881836
2014-01-29,16.729999542236328
2014-01-30,17.90999984741211
2014-01-31,18.459999084472656
2014-02-03,17.0
2014-02-04,17.06999969482422
2014-02-05,17.1299991607666
2014-02-06,17.969999313354492
2014-02-07,18.959999084472656
2014-02-10,18.18000030517578
2014-02-11,18.3700008392334
2014-02-12,18.389999389648438
2014-02-13,18.540000915527344
2014-02-14,19.260000228881836
2014-02-18,20.68000030517578
2014-02-19,20.899999618530273
2014-02-20,21.25
2014-02-21,21.040000915527344
2014-02-24,20.040000915527344
2014-02-25,20.56999969482422
2014-02-26,21.329999923706055
2014-02-27,24.489999771118164
2014-02-28,22.969999313354492
2014-03-03,23.3700008392334
2014-03-04,24.920000076293945
2014-03-05,24.639999389648438
2014-03-06,22.559999465942383
2014-03-07,21.0
2014-03-10,22.309999465942383
2014-03-11,22.40999984741211
2014-03-12,21.90999984741211
2014-03-13,20.700000762939453
2014-03-14,20.0
2014-03-17,20.780000686645508
2014-03-18,21.889999389648438
2014-03-19,23.729999542236328
2014-03-20,22.780000686645508
2014-03-21,22.540000915527344
2014-03-24,20.68000030517578
2014-03-25,20.200000762939453
2014-03-26,20.600000381469727
2014-03-27,20.510000228881836
2014-03-28,21.1200008392334
2014-03-31,21.190000534057617
2014-04-01,22.3700008392334
2014-04-02,21.170000076293945
